Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
APOLLOTYRE,EQ,2017-05-15,227.05,227.6,232.4,225.05,231.55,231.9,230.08,4347614,1.0003153894E9,40744,1801217,41.43,2017,5,0.0,Slight
APOLLOTYRE,EQ,2017-05-16,231.9,232.0,235.35,230.7,234.1,234.4,233.88,3426685,8.014454807E8,29264,1570680,45.84,2017,5,1.0780508840017249,Positive
APOLLOTYRE,EQ,2017-05-17,234.4,234.1,239.05,231.7,237.6,237.35,236.18,5219959,1.2328588518E9,50958,1845182,35.35,2017,5,1.2585324232081863,Positive
APOLLOTYRE,EQ,2017-05-18,237.35,235.1,239.9,230.05,230.8,232.65,235.29,3965961,9.331699127E8,34539,1615604,40.74,2017,5,-1.9801980198019755,Negative
APOLLOTYRE,EQ,2017-05-19,232.65,234.4,237.75,230.1,234.0,234.65,234.28,5363574,1.25655194115E9,48236,3057294,57.0,2017,5,0.8596604341285192,Slight positive
APOLLOTYRE,EQ,2017-05-22,234.65,234.0,237.55,230.9,232.0,233.75,235.54,4429589,1.04336603935E9,27541,2771288,62.56,2017,5,-0.3835499680375051,Slight
APOLLOTYRE,EQ,2017-05-23,233.75,232.0,233.0,225.65,228.65,230.5,230.1,3349365,7.706723095E8,35957,1161396,34.68,2017,5,-1.3903743315508021,Negative
APOLLOTYRE,EQ,2017-05-24,230.5,229.0,230.45,217.25,222.4,221.45,222.93,4210918,9.387215069E8,38765,1221278,29.0,2017,5,-3.9262472885032587,Among top losers
APOLLOTYRE,EQ,2017-05-25,221.45,223.7,228.0,218.8,227.0,226.9,223.86,2798923,6.2655514025E8,45779,871667,31.14,2017,5,2.461052156242952,Positive
APOLLOTYRE,EQ,2017-05-26,226.9,227.45,236.0,223.8,232.45,232.1,231.85,2473018,5.7337646955E8,26252,662749,26.8,2017,5,2.2917584839136134,Positive
APOLLOTYRE,EQ,2017-05-29,232.1,232.0,234.35,225.05,226.3,225.65,228.11,2325611,5.304945964E8,17109,847385,36.44,2017,5,-2.7789745799224423,Negative
APOLLOTYRE,EQ,2017-05-30,225.65,224.0,229.75,222.85,229.0,228.2,227.88,2050162,4.671902127E8,22093,919479,44.85,2017,5,1.130068690449804,Positive
APOLLOTYRE,EQ,2017-05-31,228.2,229.3,231.65,227.5,228.7,228.6,228.71,2233535,5.1083874785E8,38237,1089201,48.77,2017,5,0.1752848378615275,Slight
APOLLOTYRE,EQ,2017-06-01,228.6,228.0,243.9,227.5,242.2,242.8,240.12,7092775,1.7030994175E9,49488,1047288,14.77,2017,6,6.211723534558188,Among top gainers
APOLLOTYRE,EQ,2017-06-02,242.8,243.15,248.85,241.6,246.4,247.15,246.31,5512657,1.3578022757E9,42130,1530915,27.77,2017,6,1.791598023064248,Positive
APOLLOTYRE,EQ,2017-06-05,247.15,245.15,254.5,245.15,247.55,248.2,250.5,3539094,8.865276162E8,24665,857445,24.23,2017,6,0.4248432126239057,Slight
APOLLOTYRE,EQ,2017-06-06,248.2,248.95,260.9,242.15,259.05,259.35,254.05,6377588,1.62019579285E9,51911,1478421,23.18,2017,6,4.492344883158757,Among top gainers
APOLLOTYRE,EQ,2017-06-07,259.35,261.95,264.75,257.3,258.3,259.45,260.92,6591199,1.71974284865E9,54687,1109180,16.83,2017,6,0.038557933294762245,Slight
APOLLOTYRE,EQ,2017-06-08,259.45,259.95,264.35,257.0,258.5,258.2,260.87,5124556,1.3368256772E9,39935,1503123,29.33,2017,6,-0.4817883985353633,Slight
APOLLOTYRE,EQ,2017-06-09,258.2,260.1,262.5,255.7,258.0,258.0,258.78,4079827,1.05576165445E9,33438,1157135,28.36,2017,6,-0.07745933384972449,Slight
APOLLOTYRE,EQ,2017-06-12,258.0,256.8,262.4,254.35,260.2,260.35,259.41,3182739,8.256224397E8,30315,534094,16.78,2017,6,0.9108527131783034,Slight positive
APOLLOTYRE,EQ,2017-06-13,260.35,261.0,266.6,253.95,254.75,257.3,262.7,8151583,2.141439955E9,71756,2782367,34.13,2017,6,-1.171499903975422,Negative
APOLLOTYRE,EQ,2017-06-14,257.3,254.4,259.9,251.5,259.7,258.15,255.45,6064458,1.5491805004E9,56181,1609872,26.55,2017,6,0.330353672755525,Slight
APOLLOTYRE,EQ,2017-06-15,258.15,257.0,260.6,254.95,257.1,257.2,257.87,3452982,8.9040590325E8,41086,1509633,43.72,2017,6,-0.3680030989734607,Slight
APOLLOTYRE,EQ,2017-06-16,257.2,257.3,259.65,254.65,255.65,255.65,256.83,2155363,5.5356228045E8,22384,561817,26.07,2017,6,-0.6026438569206777,Slight negative
APOLLOTYRE,EQ,2017-06-19,255.65,256.95,258.4,253.05,257.0,256.7,255.91,2695737,6.8987004325E8,18091,924083,34.28,2017,6,0.4107177782123931,Slight
APOLLOTYRE,EQ,2017-06-20,256.7,256.95,265.0,256.95,262.3,261.75,262.56,4810795,1.26310868495E9,36389,940109,19.54,2017,6,1.9672769770159764,Positive
APOLLOTYRE,EQ,2017-06-21,261.75,262.0,266.3,258.8,260.5,260.3,262.61,6463867,1.6974811807E9,50097,2853256,44.14,2017,6,-0.5539637058261657,Slight negative
APOLLOTYRE,EQ,2017-06-22,260.3,261.1,263.35,255.0,255.5,257.3,260.63,3234463,8.4299249665E8,32614,1148708,35.51,2017,6,-1.1525163273146368,Negative
APOLLOTYRE,EQ,2017-06-23,257.3,256.9,257.0,246.0,246.5,247.05,249.95,4146341,1.0363649635E9,32343,1200628,28.96,2017,6,-3.983676642052079,Among top losers
APOLLOTYRE,EQ,2017-06-27,247.05,245.35,245.4,238.9,242.75,243.25,242.37,2949329,7.148260942E8,29772,612071,20.75,2017,6,-1.538150172029958,Negative
APOLLOTYRE,EQ,2017-06-28,243.25,240.0,245.75,237.5,245.1,244.3,241.41,4211405,1.0166910039E9,47558,1363134,32.37,2017,6,0.4316546762589975,Slight
APOLLOTYRE,EQ,2017-06-29,244.3,246.5,247.3,241.85,242.6,242.9,244.47,2014274,4.924203014E8,16875,431614,21.43,2017,6,-0.5730659025787989,Slight negative
APOLLOTYRE,EQ,2017-06-30,242.9,240.0,243.1,239.0,240.5,240.7,240.84,2152305,5.183619126E8,20251,698777,32.47,2017,6,-0.9057225195553796,Slight negative
APOLLOTYRE,EQ,2017-07-03,240.7,241.0,255.05,241.0,255.05,254.6,250.54,5023488,1.2585897315E9,36090,1295483,25.79,2017,7,5.774823431657667,Among top gainers
APOLLOTYRE,EQ,2017-07-04,254.6,255.7,256.75,250.35,252.35,251.2,253.13,3128081,7.9179916595E8,22516,710819,22.72,2017,7,-1.3354281225451712,Negative
APOLLOTYRE,EQ,2017-07-05,251.2,252.8,257.9,251.0,254.55,254.55,255.03,2260574,5.765093394E8,14398,363703,16.09,2017,7,1.3335987261146587,Positive
APOLLOTYRE,EQ,2017-07-06,254.55,256.25,260.0,255.0,255.95,256.4,257.54,2911311,7.4977970055E8,32852,1173300,40.3,2017,7,0.7267727362011258,Slight positive
APOLLOTYRE,EQ,2017-07-07,256.4,254.9,260.0,252.9,258.4,258.75,257.48,3812270,9.8159282295E8,33089,1448537,38.0,2017,7,0.9165366614664676,Slight positive
APOLLOTYRE,EQ,2017-07-10,258.75,260.0,260.0,251.0,257.0,257.25,257.19,301951,7.765975175E7,2437,131468,43.54,2017,7,-0.5797101449275363,Slight negative
APOLLOTYRE,EQ,2017-07-11,257.25,257.4,259.7,247.4,249.3,249.6,255.06,3938837,1.00462699685E9,29226,1936074,49.15,2017,7,-2.9737609329446086,Negative
APOLLOTYRE,EQ,2017-07-12,249.6,247.7,254.0,245.5,252.0,252.25,249.41,3907251,9.7452535075E8,33747,1509767,38.64,2017,7,1.0616987179487203,Positive
APOLLOTYRE,EQ,2017-07-13,252.25,251.45,254.85,250.0,251.4,251.5,251.88,2118858,5.336923911E8,18203,578052,27.28,2017,7,-0.29732408325074333,Slight
APOLLOTYRE,EQ,2017-07-14,251.5,252.5,252.5,249.0,250.8,251.0,250.77,1480370,3.712373587E8,28111,534644,36.12,2017,7,-0.1988071570576541,Slight
APOLLOTYRE,EQ,2017-07-17,251.0,251.0,254.75,246.7,253.0,253.35,250.57,3015300,7.5554468415E8,37213,1105291,36.66,2017,7,0.936254980079679,Slight positive
APOLLOTYRE,EQ,2017-07-18,253.35,252.85,256.9,249.95,252.15,252.85,253.21,3368756,8.529956623E8,33977,1148242,34.09,2017,7,-0.19735543714229328,Slight
APOLLOTYRE,EQ,2017-07-19,252.85,253.9,257.35,253.15,256.2,255.9,255.1,3036591,7.746426815E8,25107,847007,27.89,2017,7,1.2062487640893855,Positive
APOLLOTYRE,EQ,2017-07-20,255.9,256.0,257.45,252.25,253.9,253.7,254.47,1830875,4.659033089E8,18798,340655,18.61,2017,7,-0.8597108245408429,Slight negative
APOLLOTYRE,EQ,2017-07-21,253.7,253.0,255.7,250.3,252.0,252.4,252.85,2795175,7.0676724565E8,29463,886681,31.72,2017,7,-0.5124162396531269,Slight negative
APOLLOTYRE,EQ,2017-07-24,252.4,254.3,255.5,251.05,253.35,253.7,253.12,1905074,4.822106037E8,29995,780347,40.96,2017,7,0.5150554675118791,Slight positive
APOLLOTYRE,EQ,2017-07-25,253.7,253.8,265.7,252.55,265.4,264.55,260.97,6443067,1.6814665467E9,51622,1369717,21.26,2017,7,4.276704769412701,Among top gainers
APOLLOTYRE,EQ,2017-07-26,264.55,265.8,268.9,264.25,266.05,266.9,266.72,5575016,1.486954904E9,63472,2712544,48.66,2017,7,0.8883008883008754,Slight positive
APOLLOTYRE,EQ,2017-07-27,266.9,266.2,267.15,258.75,262.8,261.9,262.15,2727039,7.149066678E8,28450,1076361,39.47,2017,7,-1.8733608092918699,Negative
APOLLOTYRE,EQ,2017-07-28,261.9,261.4,265.4,259.45,263.1,263.2,262.08,2729167,7.1525223205E8,41196,892248,32.69,2017,7,0.4963726613211193,Slight
APOLLOTYRE,EQ,2017-07-31,263.2,263.65,269.9,261.2,266.0,266.5,265.9,4278814,1.1377331837E9,35971,1846294,43.15,2017,7,1.2537993920972688,Positive
APOLLOTYRE,EQ,2017-08-01,266.5,267.7,268.0,263.0,266.0,266.95,265.93,2285358,6.077492537E8,25176,1160505,50.78,2017,8,0.168855534709189,Slight
APOLLOTYRE,EQ,2017-08-02,266.95,266.0,279.0,263.75,276.4,277.75,273.37,8790037,2.40291157115E9,65108,2382728,27.11,2017,8,4.0457014422176485,Among top gainers
APOLLOTYRE,EQ,2017-08-03,277.75,278.5,278.6,269.3,270.3,270.85,274.23,5013187,1.3747498446E9,38846,1304176,26.01,2017,8,-2.484248424842476,Negative
APOLLOTYRE,EQ,2017-08-04,270.85,261.0,270.4,259.1,263.6,262.25,265.08,10772073,2.85542227955E9,62879,3997687,37.11,2017,8,-3.175189219124985,Among top losers
APOLLOTYRE,EQ,2017-08-07,262.25,255.6,288.45,255.6,285.3,285.5,281.12,18908914,5.31573317715E9,115126,2269840,12.0,2017,8,8.865586272640611,Bull run
APOLLOTYRE,EQ,2017-08-08,285.5,285.0,285.0,271.75,280.75,280.45,278.07,8342293,2.3197131534E9,57536,2179255,26.12,2017,8,-1.7688266199649778,Negative
APOLLOTYRE,EQ,2017-08-09,280.45,276.15,279.0,267.5,270.25,270.25,272.42,6919830,1.88506615385E9,41646,3102703,44.84,2017,8,-3.637011945088247,Among top losers
APOLLOTYRE,EQ,2017-08-10,270.25,269.7,275.75,257.45,264.4,262.6,267.98,4651785,1.2466003444E9,33989,826041,17.76,2017,8,-2.8307123034227484,Negative
APOLLOTYRE,EQ,2017-08-11,262.6,260.1,262.5,252.0,258.25,257.05,257.56,4783508,1.23205353785E9,42865,1542198,32.24,2017,8,-2.113480578827118,Negative
APOLLOTYRE,EQ,2017-08-14,257.05,260.3,264.75,258.65,262.4,262.9,261.92,2552441,6.6853742485E8,19917,690503,27.05,2017,8,2.27582182454774,Positive
APOLLOTYRE,EQ,2017-08-16,262.9,265.0,273.95,259.5,272.0,272.7,267.2,4475188,1.1957622264E9,47265,1293740,28.91,2017,8,3.727653100038042,Among top gainers
APOLLOTYRE,EQ,2017-08-17,272.7,272.85,274.75,268.35,268.9,269.25,271.38,3452974,9.3707796705E8,44008,1373724,39.78,2017,8,-1.265126512651261,Negative
APOLLOTYRE,EQ,2017-08-18,269.25,267.4,271.8,265.3,270.05,270.15,269.06,2175670,5.8537866485E8,27653,435349,20.01,2017,8,0.334261838440103,Slight
APOLLOTYRE,EQ,2017-08-21,270.15,270.0,273.7,266.85,267.8,268.9,269.95,2921377,7.8862800135E8,38842,1240004,42.45,2017,8,-0.4627059041273367,Slight
APOLLOTYRE,EQ,2017-08-22,268.9,270.25,271.7,255.4,259.9,259.65,259.94,4894280,1.27224166785E9,78509,1498057,30.61,2017,8,-3.4399404983265156,Among top losers
APOLLOTYRE,EQ,2017-08-23,259.65,260.0,264.95,256.0,259.55,259.8,259.3,3009326,7.803297546E8,26844,493359,16.39,2017,8,0.05777007510111077,Slight
APOLLOTYRE,EQ,2017-08-24,259.8,261.0,261.4,253.6,256.8,257.0,256.33,3459869,8.8686651815E8,39584,1233063,35.64,2017,8,-1.0777521170130913,Negative
APOLLOTYRE,EQ,2017-08-28,257.0,257.05,257.65,251.2,252.05,252.6,253.03,5360565,1.35637704805E9,67113,3318236,61.9,2017,8,-1.7120622568093407,Negative
APOLLOTYRE,EQ,2017-08-29,252.6,249.5,254.65,246.15,249.1,249.15,249.93,6524043,1.6305582203E9,50986,1583002,24.26,2017,8,-1.3657957244655536,Negative
APOLLOTYRE,EQ,2017-08-30,249.15,251.0,253.3,247.6,248.1,248.35,249.84,3302942,8.2519998585E8,31638,1106276,33.49,2017,8,-0.3210917118201932,Slight
APOLLOTYRE,EQ,2017-08-31,248.35,248.35,254.2,248.35,253.8,253.4,252.44,4619190,1.1660776499E9,36760,1558638,33.74,2017,8,2.0334205758002866,Positive
APOLLOTYRE,EQ,2017-09-01,253.4,256.0,257.05,252.6,256.4,256.35,254.88,3278369,8.355869247E8,28095,1007813,30.74,2017,9,1.1641673243883255,Positive
APOLLOTYRE,EQ,2017-09-04,256.35,257.0,257.0,248.25,250.4,250.7,251.68,4478038,1.1270172282E9,26431,1027006,22.93,2017,9,-2.204017944216904,Negative
APOLLOTYRE,EQ,2017-09-05,250.7,250.85,255.0,250.7,253.5,253.45,253.4,2357609,5.97417304E8,23916,728505,30.9,2017,9,1.0969285999202234,Positive
APOLLOTYRE,EQ,2017-09-06,253.45,251.1,257.1,250.1,254.5,254.85,254.31,2563552,6.519417913E8,27092,607163,23.68,2017,9,0.5523771947129634,Slight positive
APOLLOTYRE,EQ,2017-09-07,254.85,256.8,257.6,252.25,253.05,253.2,254.49,2377279,6.0499506835E8,20885,953627,40.11,2017,9,-0.6474396703943519,Slight negative
APOLLOTYRE,EQ,2017-09-08,253.2,253.45,255.4,250.3,253.0,252.4,252.94,1600999,4.049581867E8,13990,553798,34.59,2017,9,-0.3159557661927263,Slight
APOLLOTYRE,EQ,2017-09-11,252.4,253.8,257.2,252.05,255.85,256.2,254.93,2212611,5.640569124E8,24840,718210,32.46,2017,9,1.5055467511885827,Positive
APOLLOTYRE,EQ,2017-09-12,256.2,257.65,264.5,256.1,264.25,263.35,261.22,3002793,7.843988131E8,24909,820903,27.34,2017,9,2.790788446526165,Positive
APOLLOTYRE,EQ,2017-09-13,263.35,266.0,266.55,258.2,259.55,260.0,263.15,4176745,1.09912155615E9,40493,1486458,35.59,2017,9,-1.272071387886851,Negative
APOLLOTYRE,EQ,2017-09-14,260.0,260.5,263.1,258.45,260.3,259.45,260.57,1673275,4.3600335325E8,36431,622733,37.22,2017,9,-0.21153846153846592,Slight
APOLLOTYRE,EQ,2017-09-15,259.45,258.3,260.45,253.55,255.05,255.7,256.32,2512542,6.4401191895E8,25013,933264,37.14,2017,9,-1.4453651956060898,Negative
APOLLOTYRE,EQ,2017-09-18,255.7,259.5,262.95,255.5,261.0,261.55,258.95,3148346,8.1526960015E8,32096,970209,30.82,2017,9,2.2878373093468998,Positive
APOLLOTYRE,EQ,2017-09-19,261.55,261.25,263.3,257.5,258.9,258.5,261.02,1709213,4.4613574075E8,16045,352686,20.63,2017,9,-1.1661250238960088,Negative
APOLLOTYRE,EQ,2017-09-20,258.5,268.0,269.0,261.65,262.25,262.25,264.55,5085001,1.3452189357E9,65273,1572064,30.92,2017,9,1.4506769825918762,Positive
APOLLOTYRE,EQ,2017-09-21,262.25,262.7,263.8,254.8,258.0,257.4,257.63,3027899,7.800705779E8,23249,1162656,38.4,2017,9,-1.8493803622497704,Negative
APOLLOTYRE,EQ,2017-09-22,257.4,259.75,263.0,248.65,251.5,251.35,257.84,4945207,1.275062737E9,37941,1529115,30.92,2017,9,-2.350427350427344,Negative
APOLLOTYRE,EQ,2017-09-25,251.35,253.2,253.2,245.0,249.65,249.8,248.58,2827572,7.028694196E8,36138,664605,23.5,2017,9,-0.6166699820966711,Slight negative
APOLLOTYRE,EQ,2017-09-26,249.8,243.0,252.2,243.0,247.2,248.0,247.31,3655722,9.0408954125E8,36757,1022287,27.96,2017,9,-0.7205764611689397,Slight negative
APOLLOTYRE,EQ,2017-09-27,248.0,248.55,250.1,239.3,241.15,241.7,246.07,2004251,4.9317916175E8,18120,420622,20.99,2017,9,-2.540322580645166,Negative
APOLLOTYRE,EQ,2017-09-28,241.7,242.05,246.3,240.6,241.55,243.15,243.13,4015188,9.761935211E8,41977,1340089,33.38,2017,9,0.5999172527927253,Slight positive
APOLLOTYRE,EQ,2017-09-29,243.15,244.55,249.4,244.55,246.0,245.75,247.02,2881800,7.118547715E8,20293,742874,25.78,2017,9,1.0692987867571435,Positive
APOLLOTYRE,EQ,2017-10-03,245.75,249.0,249.7,242.0,243.95,244.15,245.29,2325570,5.7043719465E8,19688,810281,34.84,2017,10,-0.6510681586978614,Slight negative
APOLLOTYRE,EQ,2017-10-04,244.15,245.2,246.25,237.65,238.5,238.95,242.48,4024911,9.7595432675E8,33213,1308898,32.52,2017,10,-2.1298382142125813,Negative
APOLLOTYRE,EQ,2017-10-05,238.95,237.5,240.8,236.0,239.25,239.7,238.2,3443418,8.202297716E8,34558,888427,25.8,2017,10,0.31387319522912743,Slight
APOLLOTYRE,EQ,2017-10-06,239.7,239.2,243.75,237.25,242.15,242.3,241.34,3960690,9.558875451E8,35757,1327495,33.52,2017,10,1.0846891948268764,Positive
APOLLOTYRE,EQ,2017-10-09,242.3,243.6,243.9,236.5,237.95,238.1,239.42,3689179,8.832783728E8,34566,1289461,34.95,2017,10,-1.7333883615352939,Negative
APOLLOTYRE,EQ,2017-10-10,238.1,238.4,242.8,238.05,242.2,242.25,241.03,2879505,6.9404560405E8,22616,1220948,42.4,2017,10,1.7429651406971884,Positive
APOLLOTYRE,EQ,2017-10-11,242.25,242.9,244.35,236.0,237.7,238.15,241.05,2982730,7.1897642935E8,37089,1265290,42.42,2017,10,-1.6924664602683155,Negative
APOLLOTYRE,EQ,2017-10-12,238.15,239.2,243.0,238.5,243.0,242.5,241.21,2427106,5.8543394155E8,20701,1266985,52.2,2017,10,1.8265798866260736,Positive
