Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
BERGEPAINT,EQ,2017-05-15,256.35,258.5,263.15,258.3,260.25,259.5,260.44,693178,1.805282727E8,11114,351310,50.68,2017,5,0.0,Slight
BERGEPAINT,EQ,2017-05-16,259.5,261.25,262.35,258.25,261.2,261.5,260.38,455581,1.1862257475E8,13715,243949,53.55,2017,5,0.7707129094412332,Slight positive
BERGEPAINT,EQ,2017-05-17,261.5,261.2,263.95,259.0,261.1,260.9,261.91,325496,8.525104365E7,6697,95378,29.3,2017,5,-0.22944550669216932,Slight
BERGEPAINT,EQ,2017-05-18,260.9,258.9,259.2,253.0,253.05,254.1,256.31,361411,9.26338492E7,5965,137486,38.04,2017,5,-2.60636259103104,Negative
BERGEPAINT,EQ,2017-05-19,254.1,254.85,255.95,241.6,248.15,247.8,249.47,479054,1.195098839E8,9143,150223,31.36,2017,5,-2.4793388429752,Negative
BERGEPAINT,EQ,2017-05-22,247.8,251.05,251.05,244.5,249.95,249.15,247.42,260390,6.442505595E7,5812,94671,36.36,2017,5,0.5447941888619832,Slight positive
BERGEPAINT,EQ,2017-05-23,249.15,250.9,250.9,236.95,243.0,244.1,243.58,719976,1.7537115825E8,15117,355647,49.4,2017,5,-2.0268914308649455,Negative
BERGEPAINT,EQ,2017-05-24,244.1,243.0,244.1,235.1,241.8,242.45,240.34,481018,1.1560809565E8,12865,251716,52.33,2017,5,-0.6759524784924235,Slight negative
BERGEPAINT,EQ,2017-05-25,242.45,242.5,245.3,238.9,242.8,242.65,242.36,594837,1.4416417975E8,15713,321453,54.04,2017,5,0.08249123530625575,Slight
BERGEPAINT,EQ,2017-05-26,242.65,242.95,261.0,242.7,259.9,258.0,256.65,1166089,2.992804054E8,17147,331553,28.43,2017,5,6.325983927467544,Among top gainers
BERGEPAINT,EQ,2017-05-29,258.0,259.0,266.85,256.0,256.15,256.9,260.05,774619,2.014396651E8,11894,153034,19.76,2017,5,-0.42635658914729563,Slight
BERGEPAINT,EQ,2017-05-30,256.9,256.0,266.65,249.5,256.0,256.0,258.32,1693223,4.373925429E8,24560,428151,25.29,2017,5,-0.3503308680420309,Slight
BERGEPAINT,EQ,2017-05-31,256.0,256.4,258.85,249.85,252.0,251.75,252.63,814818,2.0584735415E8,11788,214889,26.37,2017,5,-1.66015625,Negative
BERGEPAINT,EQ,2017-06-01,251.75,252.0,254.7,250.05,251.35,251.65,252.26,330619,8.340040435E7,4969,121612,36.78,2017,6,-0.03972194637537014,Slight
BERGEPAINT,EQ,2017-06-02,251.65,252.5,258.35,252.45,253.55,253.95,255.44,859958,2.1966339705E8,14344,336940,39.18,2017,6,0.913967812437903,Slight positive
BERGEPAINT,EQ,2017-06-05,253.95,255.0,258.4,254.7,256.5,256.0,256.33,372784,9.555447895E7,5604,170937,45.85,2017,6,0.80724552077181,Slight positive
