Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
CUMMINSIND,EQ,2017-05-15,1052.25,1068.0,1070.9,1046.75,1066.0,1066.05,1055.68,145671,1.5378251965E8,10148,67829,46.56,2017,5,0.0,Slight
CUMMINSIND,EQ,2017-05-16,1066.05,1066.2,1068.95,1042.0,1046.0,1047.75,1053.93,176596,1.861194389E8,9849,111884,63.36,2017,5,-0.017166174194456128,Slight
CUMMINSIND,EQ,2017-05-17,1047.75,1047.75,1052.95,1010.15,1016.0,1016.45,1024.25,261366,2.6770444855E8,20344,140100,53.6,2017,5,-0.029873538534955814,Slight
CUMMINSIND,EQ,2017-05-18,1016.45,1010.0,1070.0,982.05,1058.05,1054.45,1035.72,984418,1.01958126735E9,33701,447682,45.48,2017,5,0.037385016478921736,Slight
CUMMINSIND,EQ,2017-05-19,1054.45,1015.0,1015.0,932.55,980.0,972.95,972.51,2807183,2.73001554145E9,86579,882502,31.44,2017,5,-0.07729147897007918,Slight
CUMMINSIND,EQ,2017-05-22,972.95,980.0,980.0,907.8,939.95,930.8,930.29,1380001,1.28379432235E9,59940,498067,36.09,2017,5,-0.04332185621049395,Slight
CUMMINSIND,EQ,2017-05-23,930.8,921.0,939.7,884.55,924.0,926.2,916.15,783589,7.17881265E8,30995,462626,59.04,2017,5,-0.004941985388912665,Slight
CUMMINSIND,EQ,2017-05-24,926.2,930.0,934.95,908.0,920.0,914.8,917.04,323044,2.9624498285E8,13799,164652,50.97,2017,5,-0.01230835672640908,Slight
CUMMINSIND,EQ,2017-05-25,914.8,927.5,928.85,898.25,927.95,925.05,916.86,574618,5.268414418E8,27357,363336,63.23,2017,5,0.01120463489287276,Slight
CUMMINSIND,EQ,2017-05-26,925.05,940.0,956.35,923.15,945.0,949.95,945.98,314033,2.970674596E8,6967,197646,62.94,2017,5,0.02691746392086924,Slight
CUMMINSIND,EQ,2017-05-29,949.95,949.0,956.75,931.55,933.6,936.0,945.97,204901,1.938310999E8,5455,121049,59.08,2017,5,-0.014684983420180056,Slight
CUMMINSIND,EQ,2017-05-30,936.0,930.0,950.0,918.0,927.2,931.45,932.42,266113,2.481301643E8,7409,129467,48.65,2017,5,-0.004861111111111063,Slight
CUMMINSIND,EQ,2017-05-31,931.45,945.0,954.4,931.5,937.0,941.4,944.09,216181,2.0409494345E8,6739,130069,60.17,2017,5,0.010682269579687511,Slight
CUMMINSIND,EQ,2017-06-01,941.4,944.95,945.0,915.0,920.9,925.1,929.7,183427,1.7053243225E8,18300,94853,51.71,2017,6,-0.01731463777352874,Slight
CUMMINSIND,EQ,2017-06-02,925.1,928.0,959.0,924.25,938.2,943.2,948.39,329563,3.125534973E8,13495,109078,33.1,2017,6,0.019565452383526128,Slight
CUMMINSIND,EQ,2017-06-05,943.2,944.9,946.9,928.2,931.45,932.7,933.34,149617,1.396435403E8,4864,87788,58.68,2017,6,-0.011132315521628498,Slight
CUMMINSIND,EQ,2017-06-06,932.7,935.0,935.4,911.75,915.0,914.65,918.91,148737,1.366766523E8,9754,80804,54.33,2017,6,-0.01935241771201894,Slight
CUMMINSIND,EQ,2017-06-07,914.65,911.0,918.85,907.3,912.5,912.25,913.43,465138,4.2486969895E8,16816,356728,76.69,2017,6,-0.002623954518121661,Slight
CUMMINSIND,EQ,2017-06-08,912.25,907.3,925.3,906.95,921.5,919.9,918.79,191004,1.75491763E8,13529,90853,47.57,2017,6,0.008385859139490246,Slight
CUMMINSIND,EQ,2017-06-09,919.9,925.9,927.0,911.05,914.4,917.3,916.81,130979,1.2008293715E8,9630,70045,53.48,2017,6,-0.002826394173279729,Slight
CUMMINSIND,EQ,2017-06-12,917.3,919.25,919.25,888.0,896.5,898.2,895.48,281253,2.518571827E8,15064,153601,54.61,2017,6,-0.02082197754278852,Slight
CUMMINSIND,EQ,2017-06-13,898.2,899.0,922.4,898.0,910.1,913.05,907.82,162355,1.4738841665E8,8181,78978,48.65,2017,6,0.016533066132264428,Slight
