Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
DHFL,EQ,2017-05-15,426.65,429.5,434.4,427.05,431.0,431.4,430.94,1160661,5.001759063E8,15111,295581,25.47,2017,5,0.0,Slight
DHFL,EQ,2017-05-16,431.4,431.0,433.8,421.65,424.05,424.45,425.13,1662805,7.069152276E8,31644,681320,40.97,2017,5,-0.016110338433008783,Slight
DHFL,EQ,2017-05-17,424.45,424.5,432.5,420.1,428.3,429.0,428.13,1443843,6.181483312E8,20808,371928,25.76,2017,5,0.010719754977029124,Slight
DHFL,EQ,2017-05-18,429.0,424.95,427.9,416.55,418.5,417.95,422.22,1639654,6.9230066405E8,32812,534358,32.59,2017,5,-0.025757575757575785,Slight
DHFL,EQ,2017-05-19,417.95,423.0,426.45,398.65,405.9,404.2,411.93,2693962,1.1097156228E9,33554,884888,32.85,2017,5,-0.032898672089962916,Slight
DHFL,EQ,2017-05-22,404.2,408.0,412.15,400.25,403.9,404.0,405.76,1636114,6.6387486295E8,21505,445687,27.24,2017,5,-4.948045522018521E-4,Slight
DHFL,EQ,2017-05-23,404.0,405.95,411.8,387.2,400.5,402.0,400.48,2322519,9.3012426075E8,30348,489515,21.08,2017,5,-0.0049504950495049506,Slight
DHFL,EQ,2017-05-24,402.0,404.8,407.9,392.5,397.5,395.55,399.79,1984614,7.934355063E8,31616,533717,26.89,2017,5,-0.016044776119402956,Slight
DHFL,EQ,2017-05-25,395.55,397.45,407.6,397.3,404.95,405.5,403.71,3393790,1.37010753085E9,56100,1958807,57.72,2017,5,0.02515484768044492,Slight
DHFL,EQ,2017-05-26,405.5,411.9,415.45,408.7,411.0,410.65,411.89,2555251,1.05248044075E9,35435,760344,29.76,2017,5,0.01270036991368675,Slight
DHFL,EQ,2017-05-29,410.65,412.0,419.7,409.95,411.2,410.95,414.27,1944213,8.0542613555E8,37384,578026,29.73,2017,5,7.305491294289818E-4,Slight
DHFL,EQ,2017-05-30,410.95,411.2,414.0,408.0,412.8,412.15,411.35,1364490,5.612857045E8,29192,535078,39.21,2017,5,0.0029200632680374465,Slight
DHFL,EQ,2017-05-31,412.15,414.45,421.45,412.55,418.0,416.65,417.86,2502720,1.04578369495E9,55464,969147,38.72,2017,5,0.01091835496785151,Slight
DHFL,EQ,2017-06-01,416.65,417.7,419.8,414.0,416.5,416.9,416.54,1364330,5.683034366E8,40287,516303,37.84,2017,6,6.000240009600385E-4,Slight
DHFL,EQ,2017-06-02,416.9,418.5,420.5,410.25,413.5,414.25,415.03,1208328,5.0149402575E8,14783,477032,39.48,2017,6,-0.006356440393379653,Slight
DHFL,EQ,2017-06-05,414.25,415.0,431.95,414.0,431.55,430.75,426.07,2860841,1.21891884595E9,34776,876492,30.64,2017,6,0.039831019915509955,Slight
