Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
EXIDEIND,EQ,2017-05-15,244.85,245.35,247.25,244.2,245.5,245.8,245.63,957470,2.351828534E8,10111,370038,38.65,2017,5,0.0,Slight
EXIDEIND,EQ,2017-05-16,245.8,246.4,247.8,243.05,245.7,244.7,244.73,1023539,2.5048634035E8,14018,344354,33.64,2017,5,-0.00447518307567137,Slight
EXIDEIND,EQ,2017-05-17,244.7,244.7,244.9,242.15,242.9,243.2,243.38,1145096,2.7869285105E8,11088,612394,53.48,2017,5,-0.006129955046996322,Slight
EXIDEIND,EQ,2017-05-18,243.2,242.05,242.65,237.35,240.0,239.85,239.8,970233,2.3266437735E8,14371,516311,53.22,2017,5,-0.013774671052631556,Slight
EXIDEIND,EQ,2017-05-19,239.85,240.9,244.4,233.45,238.1,238.15,239.05,2505511,5.989367097E8,18102,717386,28.63,2017,5,-0.007087763185324114,Slight
EXIDEIND,EQ,2017-05-22,238.15,238.5,239.9,228.2,230.0,230.8,234.82,1081432,2.539417147E8,11197,315880,29.21,2017,5,-0.030862901532647466,Slight
EXIDEIND,EQ,2017-05-23,230.8,231.0,232.3,223.15,226.85,227.05,227.69,1661614,3.78338519E8,15477,394469,23.74,2017,5,-0.016247833622183707,Slight
EXIDEIND,EQ,2017-05-24,227.05,226.9,232.0,219.2,223.05,222.15,226.05,1354743,3.062410146E8,12942,466543,34.44,2017,5,-0.02158114952653603,Slight
EXIDEIND,EQ,2017-05-25,222.15,224.6,229.7,223.4,226.1,227.8,227.12,1618095,3.6749702135E8,12994,517655,31.99,2017,5,0.025433265811388727,Slight
EXIDEIND,EQ,2017-05-26,227.8,227.4,234.8,226.5,234.0,233.35,231.87,1519584,3.5234266135E8,15234,689846,45.4,2017,5,0.024363476733977096,Slight
EXIDEIND,EQ,2017-05-29,233.35,232.85,233.95,227.5,228.85,228.45,230.1,661490,1.522119721E8,5847,230309,34.82,2017,5,-0.02099850010713523,Slight
EXIDEIND,EQ,2017-05-30,228.45,227.95,232.95,225.4,229.0,227.35,229.16,1255827,2.8778360385E8,11595,583690,46.48,2017,5,-0.004815057999562243,Slight
EXIDEIND,EQ,2017-05-31,227.35,228.2,234.15,228.2,231.2,230.25,231.35,1504782,3.4813052985E8,12586,692014,45.99,2017,5,0.012755663074554677,Slight
EXIDEIND,EQ,2017-06-01,230.25,230.0,232.4,227.3,227.9,228.05,229.09,1195050,2.7376821755E8,10286,485150,40.6,2017,6,-0.009554831704668788,Slight
EXIDEIND,EQ,2017-06-02,228.05,228.2,231.9,225.6,227.6,227.2,228.52,1597496,3.6506289985E8,14149,897742,56.2,2017,6,-0.0037272527954396962,Slight
EXIDEIND,EQ,2017-06-05,227.2,227.4,229.8,226.95,227.8,227.4,227.9,921399,2.099898503E8,6509,587515,63.76,2017,6,8.802816901409202E-4,Slight
EXIDEIND,EQ,2017-06-06,227.4,227.7,230.85,222.45,224.2,223.95,225.7,1218624,2.750426328E8,12557,420197,34.48,2017,6,-0.015171503957783716,Slight
EXIDEIND,EQ,2017-06-07,223.95,224.4,226.55,222.6,224.4,223.55,223.95,929561,2.0817665475E8,9106,534291,57.48,2017,6,-0.0017861129716453552,Slight
EXIDEIND,EQ,2017-06-08,223.55,224.9,227.55,223.9,224.05,224.3,225.55,1334935,3.0109303425E8,24609,596675,44.7,2017,6,0.003354954148959964,Slight
EXIDEIND,EQ,2017-06-09,224.3,223.9,225.95,222.65,222.9,223.0,223.85,848845,1.9001582775E8,9470,405938,47.82,2017,6,-0.00579580918412845,Slight
EXIDEIND,EQ,2017-06-12,223.0,221.9,225.85,220.9,224.15,224.3,223.76,821268,1.8376487145E8,11213,388167,47.26,2017,6,0.005829596412556105,Slight
EXIDEIND,EQ,2017-06-13,224.3,226.5,229.85,225.3,227.5,227.65,227.9,2004290,4.5678604875E8,19291,897424,44.78,2017,6,0.014935354436023156,Slight
EXIDEIND,EQ,2017-06-14,227.65,227.75,229.2,225.5,225.9,226.05,227.2,1364704,3.100592362E8,13481,635068,46.54,2017,6,-0.0070283329672743,Slight
EXIDEIND,EQ,2017-06-15,226.05,225.5,226.55,220.3,221.0,220.95,222.15,1596360,3.5463375925E8,12513,1017025,63.71,2017,6,-0.0225613802256139,Slight
EXIDEIND,EQ,2017-06-16,220.95,221.0,223.5,220.6,222.0,221.95,221.87,946486,2.0999397495E8,9257,298424,31.53,2017,6,0.004525910839556461,Slight
EXIDEIND,EQ,2017-06-19,221.95,224.6,227.0,222.0,226.2,226.2,224.48,1243619,2.791686536E8,11580,565929,45.51,2017,6,0.019148456859653076,Slight
EXIDEIND,EQ,2017-06-20,226.2,226.4,228.25,223.85,225.5,225.25,226.46,1085902,2.45913425E8,10384,461945,42.54,2017,6,-0.004199823165340357,Slight
EXIDEIND,EQ,2017-06-21,225.25,225.25,227.5,224.6,225.25,225.25,226.02,974541,2.202622821E8,8067,394545,40.49,2017,6,0.0,Slight
EXIDEIND,EQ,2017-06-22,225.25,225.4,226.3,216.85,218.3,219.05,222.53,1242406,2.7646738065E8,13478,500910,40.32,2017,6,-0.027524972253052112,Slight
EXIDEIND,EQ,2017-06-23,219.05,217.9,218.7,212.1,216.6,216.4,215.86,1907732,4.1180528055E8,16166,664462,34.83,2017,6,-0.012097694590276218,Slight
EXIDEIND,EQ,2017-06-27,216.4,216.1,216.55,212.05,213.2,212.75,213.73,1114671,2.382357515E8,25985,570771,51.21,2017,6,-0.016866913123844758,Slight
EXIDEIND,EQ,2017-06-28,212.75,211.0,217.65,208.75,217.65,216.8,213.8,1824125,3.8999388435E8,22500,648415,35.55,2017,6,0.01903642773207996,Slight
EXIDEIND,EQ,2017-06-29,216.8,216.2,221.45,216.0,218.0,218.0,218.68,2388648,5.223598965E8,18762,1136345,47.57,2017,6,0.005535055350553453,Slight
EXIDEIND,EQ,2017-06-30,218.0,216.05,222.0,215.55,221.85,220.5,219.0,921455,2.017996377E8,11950,469037,50.9,2017,6,0.011467889908256881,Slight
EXIDEIND,EQ,2017-07-03,220.5,220.0,224.45,219.1,224.0,223.5,222.11,1155586,2.5667066145E8,10286,541012,46.82,2017,7,0.013605442176870748,Slight
EXIDEIND,EQ,2017-07-04,223.5,222.5,228.4,220.55,226.75,226.25,225.31,1488027,3.3526848655E8,13498,360745,24.24,2017,7,0.012304250559284116,Slight
EXIDEIND,EQ,2017-07-05,226.25,225.25,229.95,225.1,227.3,228.3,228.14,1331210,3.037026889E8,13384,701859,52.72,2017,7,0.009060773480663033,Slight
