Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
GMRINFRA,EQ,2017-05-15,16.6,16.7,17.7,16.7,17.6,17.55,17.15,51996656,8.9165789435E8,11922,29960644,57.62,2017,5,0.0,Slight
GMRINFRA,EQ,2017-05-16,17.55,17.6,17.7,17.05,17.35,17.4,17.38,18797177,3.26723844E8,10494,5716554,30.41,2017,5,-0.8547008547008668,Slight negative
GMRINFRA,EQ,2017-05-17,17.4,17.4,17.7,17.25,17.25,17.3,17.4,14686157,2.5557015125E8,8448,4250771,28.94,2017,5,-0.5747126436781487,Slight negative
GMRINFRA,EQ,2017-05-18,17.3,17.15,17.25,16.65,16.75,16.75,16.94,17050095,2.8890043815E8,9429,5476423,32.12,2017,5,-3.179190751445091,Among top losers
GMRINFRA,EQ,2017-05-19,16.75,16.85,17.35,16.6,17.0,16.95,16.96,22080313,3.7444058075E8,9355,2110450,9.56,2017,5,1.1940298507462643,Positive
GMRINFRA,EQ,2017-05-22,16.95,17.1,17.25,16.65,16.7,16.8,16.92,13103012,2.2173911515E8,6187,1690943,12.9,2017,5,-0.884955752212381,Slight negative
GMRINFRA,EQ,2017-05-23,16.8,16.7,16.75,15.6,15.75,15.9,16.14,27678783,4.4677413405E8,14512,7544503,27.26,2017,5,-5.3571428571428585,Among top losers
GMRINFRA,EQ,2017-05-24,15.9,15.9,16.0,14.25,14.6,14.55,15.01,34309492,5.1507262505E8,22645,6123558,17.85,2017,5,-8.490566037735848,Bear drop
GMRINFRA,EQ,2017-05-25,14.55,14.7,15.4,14.45,15.25,15.2,15.08,29769387,4.4879907675E8,18513,9617533,32.31,2017,5,4.467353951890025,Among top gainers
GMRINFRA,EQ,2017-05-26,15.2,15.3,16.05,15.15,15.95,15.95,15.7,17886317,2.808528046E8,10010,4255974,23.79,2017,5,4.934210526315789,Among top gainers
GMRINFRA,EQ,2017-05-29,15.95,16.0,16.15,14.7,14.8,14.8,15.14,19771246,2.993976892E8,16182,6085479,30.78,2017,5,-7.210031347962373,Bear drop
GMRINFRA,EQ,2017-05-30,14.8,14.45,15.15,14.2,14.9,15.0,14.71,22808916,3.354705484E8,17394,6882926,30.18,2017,5,1.3513513513513464,Positive
GMRINFRA,EQ,2017-05-31,15.0,15.0,15.3,14.75,15.1,15.05,15.03,20483733,3.0781351255E8,8847,7807318,38.11,2017,5,0.3333333333333381,Slight
GMRINFRA,EQ,2017-06-01,15.05,15.25,15.25,14.6,15.0,14.95,14.9,6267102,9.33596983E7,4781,1287570,20.54,2017,6,-0.6644518272425344,Slight negative
GMRINFRA,EQ,2017-06-02,14.95,15.05,19.05,14.95,16.8,16.9,17.46,318000100,5.5524260681E9,147752,56772035,17.85,2017,6,13.043478260869563,Bull run
GMRINFRA,EQ,2017-06-05,16.9,17.05,17.65,16.15,16.75,16.7,16.89,119450359,2.01774475025E9,70576,33645464,28.17,2017,6,-1.1834319526627177,Negative
