Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
JINDALSTEL,EQ,2017-05-15,112.1,112.9,114.85,112.3,114.7,114.2,113.84,5730419,6.523225642E8,22627,1197305,20.89,2017,5,0.0,Slight
JINDALSTEL,EQ,2017-05-16,114.2,115.15,115.75,113.5,113.75,114.1,114.53,5083003,5.8213992045E8,18359,1081322,21.27,2017,5,-0.08756567425569924,Slight
JINDALSTEL,EQ,2017-05-17,114.1,114.5,118.2,114.2,116.35,116.4,116.62,14511700,1.69238713485E9,49346,4838996,33.35,2017,5,2.015775635407547,Positive
JINDALSTEL,EQ,2017-05-18,116.4,114.7,115.8,112.6,112.95,113.3,113.83,6952070,7.9137539445E8,23427,1894268,27.25,2017,5,-2.6632302405498356,Negative
JINDALSTEL,EQ,2017-05-19,113.3,113.8,115.5,109.3,112.7,112.15,112.6,7976703,8.981929805E8,30938,1806216,22.64,2017,5,-1.015004413062658,Negative
JINDALSTEL,EQ,2017-05-22,112.15,113.45,115.8,111.95,114.45,113.75,114.08,7699472,8.7836042945E8,28263,1833565,23.81,2017,5,1.4266607222469856,Positive
JINDALSTEL,EQ,2017-05-23,113.75,114.85,116.4,102.7,107.9,108.15,108.85,39016051,4.2467768336E9,130143,5521903,14.15,2017,5,-4.923076923076918,Among top losers
JINDALSTEL,EQ,2017-05-24,108.15,109.9,113.9,108.9,110.8,111.1,111.54,18762989,2.09273444575E9,62087,4301240,22.92,2017,5,2.727693018955144,Positive
JINDALSTEL,EQ,2017-05-25,111.1,112.0,119.5,111.3,118.3,118.5,114.97,15373769,1.767578343E9,49672,4319815,28.1,2017,5,6.660666066606666,Among top gainers
JINDALSTEL,EQ,2017-05-26,118.5,119.0,125.75,119.0,124.9,125.0,122.99,18661412,2.2951081319E9,77863,5187820,27.8,2017,5,5.485232067510548,Among top gainers
JINDALSTEL,EQ,2017-05-29,125.0,127.0,129.4,119.2,120.85,120.45,124.14,13503169,1.6762680571E9,50212,2301166,17.04,2017,5,-3.639999999999998,Among top losers
JINDALSTEL,EQ,2017-05-30,120.45,120.0,124.45,117.1,123.2,123.5,121.22,11227909,1.36103268965E9,41227,1790333,15.95,2017,5,2.532171025321708,Positive
JINDALSTEL,EQ,2017-05-31,123.5,123.0,124.3,121.2,121.4,121.75,122.13,5671848,6.9271014885E8,22699,1243076,21.92,2017,5,-1.417004048582996,Negative
JINDALSTEL,EQ,2017-06-01,121.75,121.75,121.9,118.4,120.8,120.3,119.85,5848472,7.009464919E8,21483,503627,8.61,2017,6,-1.1909650924024664,Negative
JINDALSTEL,EQ,2017-06-02,120.3,121.2,123.45,120.6,121.95,121.85,122.08,6266169,7.6496405625E8,24158,819893,13.08,2017,6,1.2884455527847025,Positive
JINDALSTEL,EQ,2017-06-05,121.85,121.9,123.7,121.05,121.4,121.8,122.28,4337415,5.3036541685E8,17213,730390,16.84,2017,6,-0.04103405826836041,Slight
JINDALSTEL,EQ,2017-06-06,121.8,121.9,122.4,117.5,117.65,118.2,119.53,5601738,6.6955086665E8,19990,1155665,20.63,2017,6,-2.9556650246305374,Negative
JINDALSTEL,EQ,2017-06-07,118.2,118.3,119.75,117.7,119.35,119.1,118.83,3348433,3.979105419E8,12896,599854,17.91,2017,6,0.761421319796947,Slight positive
JINDALSTEL,EQ,2017-06-08,119.1,120.25,125.45,120.25,121.7,121.85,123.36,14349883,1.77023893535E9,55345,1810823,12.62,2017,6,2.3089840470193117,Positive
JINDALSTEL,EQ,2017-06-09,121.85,122.85,123.6,121.2,122.95,123.2,122.47,5958974,7.2981332675E8,25344,910831,15.29,2017,6,1.1079195732458011,Positive
JINDALSTEL,EQ,2017-06-12,123.2,123.75,124.8,121.15,121.95,122.1,122.89,7078435,8.6984472445E8,24636,1419559,20.05,2017,6,-0.8928571428571498,Slight negative
JINDALSTEL,EQ,2017-06-13,122.1,122.6,123.9,121.5,123.0,122.95,122.82,4559238,5.5998425685E8,16618,834539,18.3,2017,6,0.6961506961507031,Slight positive
JINDALSTEL,EQ,2017-06-14,122.95,122.4,122.9,120.0,122.9,122.4,121.6,5171829,6.2890208875E8,21495,558643,10.8,2017,6,-0.44733631557543485,Slight
