Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
JUBLFOOD,EQ,2017-05-15,986.35,991.85,1031.0,983.55,1029.6,1025.45,1009.72,576466,5.820685093E8,19888,115368,20.01,2017,5,0.0,Slight
JUBLFOOD,EQ,2017-05-16,1025.45,1028.5,1054.85,1028.5,1052.0,1050.65,1042.26,487510,5.081106962E8,15487,84859,17.41,2017,5,2.4574577014969083,Positive
JUBLFOOD,EQ,2017-05-17,1050.65,1044.0,1058.75,1024.2,1047.0,1049.05,1039.93,393751,4.0947257135E8,15205,61936,15.73,2017,5,-0.15228667967450019,Slight
JUBLFOOD,EQ,2017-05-18,1049.05,1039.7,1049.15,1012.2,1014.1,1019.35,1033.8,381432,3.943245499E8,10345,40599,10.64,2017,5,-2.8311329297936165,Negative
JUBLFOOD,EQ,2017-05-19,1019.35,1022.0,1042.2,1011.0,1012.55,1018.1,1025.24,287852,2.951170541E8,9834,60049,20.86,2017,5,-0.12262716436945112,Slight
JUBLFOOD,EQ,2017-05-22,1018.1,1018.1,1038.0,1015.0,1022.85,1030.3,1026.6,321837,3.303981681E8,9940,87006,27.03,2017,5,1.198310578528625,Positive
JUBLFOOD,EQ,2017-05-23,1030.3,1030.0,1030.0,990.0,990.0,993.15,1009.44,342845,3.4608314395E8,12009,77703,22.66,2017,5,-3.6057458992526428,Among top losers
JUBLFOOD,EQ,2017-05-24,993.15,995.0,1005.9,966.0,974.45,976.45,988.12,448045,4.4272327285E8,12040,42627,9.51,2017,5,-1.6815184010471662,Negative
JUBLFOOD,EQ,2017-05-25,976.45,974.45,1024.0,965.25,1024.0,1014.95,998.09,524803,5.2380298235E8,23985,109155,20.8,2017,5,3.9428542168057756,Among top gainers
JUBLFOOD,EQ,2017-05-26,1014.95,1024.0,1035.0,982.5,993.95,992.7,1013.2,391221,3.9638570295E8,17661,72571,18.55,2017,5,-2.1922262180402976,Negative
