Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
MRPL,EQ,2017-05-15,129.0,131.35,135.45,131.2,134.0,134.2,133.31,1866640,2.4883476455E8,16937,524064,28.08,2017,5,0.0,Slight
MRPL,EQ,2017-05-16,134.2,133.2,134.6,130.55,131.8,131.7,132.02,891972,1.177616893E8,8787,322721,36.18,2017,5,-1.8628912071535024,Negative
MRPL,EQ,2017-05-17,131.7,131.25,136.35,131.25,134.5,135.1,134.39,4107759,5.520435177E8,23368,1760745,42.86,2017,5,2.5816249050873243,Positive
MRPL,EQ,2017-05-18,135.1,139.7,142.8,135.0,135.95,136.1,139.44,10309477,1.4375690296E9,63863,2073114,20.11,2017,5,0.7401924500370096,Slight positive
MRPL,EQ,2017-05-19,136.1,139.0,139.0,132.15,133.6,133.6,135.85,2148214,2.9184244875E8,19220,660925,30.77,2017,5,-1.8368846436443793,Negative
MRPL,EQ,2017-05-22,133.6,134.85,134.85,128.35,128.95,129.25,131.29,1911642,2.5098832235E8,15580,759173,39.71,2017,5,-3.2559880239520917,Among top losers
MRPL,EQ,2017-05-23,129.25,130.35,130.35,120.1,124.6,124.7,126.0,2571835,3.2405422145E8,25724,1046448,40.69,2017,5,-3.520309477756284,Among top losers
MRPL,EQ,2017-05-24,124.7,125.85,127.0,122.3,123.25,123.3,124.4,1688484,2.10044249E8,20464,672710,39.84,2017,5,-1.1226944667201328,Negative
MRPL,EQ,2017-05-25,123.3,124.85,130.95,123.0,130.2,130.15,127.99,2420541,3.0981181875E8,17824,936756,38.7,2017,5,5.555555555555563,Among top gainers
MRPL,EQ,2017-05-26,130.15,129.4,135.75,129.15,134.6,134.35,132.89,1872542,2.4884057755E8,13166,648317,34.62,2017,5,3.2270457164809745,Among top gainers
MRPL,EQ,2017-05-29,134.35,133.05,133.5,128.35,128.85,128.95,130.3,918740,1.197141595E8,19384,417885,45.48,2017,5,-4.019352437662826,Among top losers
MRPL,EQ,2017-05-30,128.95,129.0,131.0,127.05,128.9,129.15,129.26,1050077,1.357334343E8,10848,352706,33.59,2017,5,0.15509887553316562,Slight
MRPL,EQ,2017-05-31,129.15,129.3,132.5,129.0,132.0,131.15,130.97,1371655,1.796505737E8,18078,447426,32.62,2017,5,1.5485869144405728,Positive
