Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
NBCC,EQ,2017-05-15,194.25,194.5,198.65,194.5,198.3,197.6,196.41,514453,1.0104564585E8,4624,228886,44.49,2017,5,0.0,Slight
NBCC,EQ,2017-05-16,197.6,198.0,199.95,196.2,199.0,198.25,198.16,623932,1.236406478E8,10242,253139,40.57,2017,5,0.32894736842105554,Slight
NBCC,EQ,2017-05-17,198.25,198.6,202.95,197.0,200.6,200.35,200.41,1919273,3.8464241175E8,23920,841130,43.83,2017,5,1.059268600252204,Positive
NBCC,EQ,2017-05-18,200.35,197.0,199.25,193.5,193.6,194.2,196.2,786742,1.543567159E8,7908,398233,50.62,2017,5,-3.0696281507362144,Among top losers
NBCC,EQ,2017-05-19,194.2,196.0,197.75,192.5,193.5,193.55,194.92,585718,1.1417057625E8,6411,217995,37.22,2017,5,-0.334706488156528,Slight
NBCC,EQ,2017-05-22,193.55,195.2,196.0,188.1,189.0,189.2,191.58,967519,1.8535573945E8,9651,501747,51.86,2017,5,-2.24748127098942,Negative
NBCC,EQ,2017-05-23,189.2,187.2,188.25,178.2,181.0,180.95,182.94,1203078,2.2009017785E8,12737,527011,43.81,2017,5,-4.36046511627907,Among top losers
NBCC,EQ,2017-05-24,180.95,181.8,185.0,178.7,181.8,180.65,182.17,1119511,2.0394047315E8,11612,513704,45.89,2017,5,-0.16579165515334787,Slight
NBCC,EQ,2017-05-25,180.65,182.0,188.7,181.75,186.75,186.95,186.08,1159454,2.157472726E8,11713,520120,44.86,2017,5,3.4874065873235445,Among top gainers
NBCC,EQ,2017-05-26,186.95,189.0,196.2,188.45,196.15,194.7,193.72,1964565,3.8057357125E8,14281,689109,35.08,2017,5,4.145493447445841,Among top gainers
NBCC,EQ,2017-05-29,194.7,198.0,199.5,193.5,194.6,194.9,196.26,2262374,4.4400985025E8,16537,885396,39.14,2017,5,0.10272213662045047,Slight
NBCC,EQ,2017-05-30,194.9,193.2,196.7,189.65,196.0,196.1,194.21,1361403,2.644033115E8,12695,574062,42.17,2017,5,0.6157003591585369,Slight positive
NBCC,EQ,2017-05-31,196.1,195.9,197.4,192.7,195.4,194.95,195.26,467123,9.120868165E7,8774,188043,40.26,2017,5,-0.5864354920958724,Slight negative
NBCC,EQ,2017-06-01,194.95,193.0,194.9,190.5,193.35,193.45,193.25,475100,9.18119327E7,4522,146890,30.92,2017,6,-0.7694280584765325,Slight negative
NBCC,EQ,2017-06-02,193.45,195.25,198.5,194.3,195.4,195.65,196.36,1119595,2.198394393E8,10661,316308,28.25,2017,6,1.1372447660894376,Positive
NBCC,EQ,2017-06-05,195.65,195.0,203.8,195.0,203.5,201.15,199.59,2218936,4.428804046E8,16283,1156154,52.1,2017,6,2.8111423460260667,Positive
NBCC,EQ,2017-06-06,201.15,206.5,208.55,201.25,202.2,202.25,204.71,3198706,6.547972329E8,27653,877174,27.42,2017,6,0.5468555804126245,Slight positive
NBCC,EQ,2017-06-07,202.25,202.5,203.45,199.85,201.3,200.9,201.23,717153,1.443133474E8,7457,258410,36.03,2017,6,-0.6674907292954236,Slight negative
NBCC,EQ,2017-06-08,200.9,203.0,203.0,198.05,198.4,198.4,199.06,638129,1.2702906495E8,6665,312354,48.95,2017,6,-1.2444001991040319,Negative
NBCC,EQ,2017-06-09,198.4,198.1,200.8,196.1,198.35,198.55,198.66,636230,1.2639398935E8,5639,228767,35.96,2017,6,0.07560483870968028,Slight
NBCC,EQ,2017-06-12,198.55,196.5,200.7,196.1,198.4,198.6,198.44,564101,1.1194210985E8,5712,197122,34.94,2017,6,0.025182573659019363,Slight
NBCC,EQ,2017-06-13,198.6,198.75,200.4,198.2,198.8,198.85,199.29,585091,1.1660413435E8,4413,263214,44.99,2017,6,0.12588116817724068,Slight
NBCC,EQ,2017-06-14,198.85,198.75,199.5,196.65,199.1,198.75,198.25,667114,1.322535787E8,5248,248140,37.2,2017,6,-0.050289162685438434,Slight
NBCC,EQ,2017-06-15,198.75,197.2,198.6,197.0,197.9,197.7,197.71,617424,1.2206911865E8,4613,277761,44.99,2017,6,-0.5283018867924586,Slight negative
NBCC,EQ,2017-06-16,197.7,197.75,204.5,196.5,202.45,200.7,201.04,4530391,9.107885768E8,24667,2164034,47.77,2017,6,1.5174506828528074,Positive
NBCC,EQ,2017-06-19,200.7,203.0,206.7,199.7,205.95,205.45,203.56,1976729,4.023746763E8,15994,749633,37.92,2017,6,2.3667164922770305,Positive
NBCC,EQ,2017-06-20,205.45,210.45,210.6,206.15,206.55,206.95,209.07,4350943,9.0964032935E8,34581,1189489,27.34,2017,6,0.7301046483329278,Slight positive
NBCC,EQ,2017-06-21,206.95,207.9,211.5,207.05,210.0,209.8,209.95,2326849,4.88521288E8,21987,833875,35.84,2017,6,1.3771442377385952,Positive
NBCC,EQ,2017-06-22,209.8,210.6,213.5,204.55,207.5,206.9,210.46,2319434,4.8814246495E8,22538,753764,32.5,2017,6,-1.3822688274547215,Negative
NBCC,EQ,2017-06-23,206.9,208.0,211.0,201.5,209.4,208.9,207.22,3012490,6.242393026E8,25357,1470876,48.83,2017,6,0.9666505558240696,Slight positive
NBCC,EQ,2017-06-27,208.9,209.95,210.0,201.5,202.0,202.15,204.66,1851789,3.7899217595E8,14635,657036,35.48,2017,6,-3.231211105792245,Among top losers
NBCC,EQ,2017-06-28,202.15,201.4,204.8,200.5,202.9,203.5,203.5,1050558,2.137844253E8,13069,441164,41.99,2017,6,0.6678209250556489,Slight positive
NBCC,EQ,2017-06-29,203.5,204.35,207.0,203.75,204.7,204.3,205.15,1027744,2.108411735E8,12653,395395,38.47,2017,6,0.3931203931203987,Slight
NBCC,EQ,2017-06-30,204.3,203.5,204.0,200.5,202.2,202.5,202.2,1162960,2.351459281E8,10136,507320,43.62,2017,6,-0.8810572687224725,Slight negative
