Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
PNB,EQ,2017-05-15,169.15,169.95,171.3,166.2,166.85,166.8,168.94,7476618,1.2631231754E9,41641,1352589,18.09,2017,5,0.0,Slight
PNB,EQ,2017-05-16,166.8,167.35,178.0,164.8,173.2,174.15,173.13,51532461,8.9219039676E9,254027,5804867,11.26,2017,5,0.04406474820143881,Slight
PNB,EQ,2017-05-17,174.15,173.0,173.1,164.3,164.8,165.05,167.27,26536944,4.438941589E9,116512,7037498,26.52,2017,5,-0.052253804191788655,Slight
PNB,EQ,2017-05-18,165.05,163.4,164.4,157.9,158.25,158.5,161.06,13905573,2.2396125483E9,76746,3245443,23.34,2017,5,-0.03968494395637692,Slight
PNB,EQ,2017-05-19,158.5,159.5,162.25,154.1,155.2,155.2,157.59,16311602,2.57054046755E9,82394,2816963,17.27,2017,5,-0.020820189274448023,Slight
PNB,EQ,2017-05-22,155.2,157.5,158.0,150.25,151.05,150.95,153.77,11857847,1.82335897075E9,61559,1874308,15.81,2017,5,-0.027384020618556704,Slight
PNB,EQ,2017-05-23,150.95,151.95,154.35,145.55,149.1,149.75,150.19,18177361,2.7301346752E9,84779,2318975,12.76,2017,5,-0.007949652202716057,Slight
PNB,EQ,2017-05-24,149.75,149.7,152.35,146.5,147.3,147.45,149.16,12578488,1.8761564686E9,63143,1093155,8.69,2017,5,-0.015358931552587721,Slight
PNB,EQ,2017-05-25,147.45,148.5,151.9,144.35,151.2,150.7,148.28,18805386,2.78852974595E9,70546,5106397,27.15,2017,5,0.02204136995591726,Slight
PNB,EQ,2017-05-26,150.7,151.0,153.3,149.6,150.3,150.65,151.23,9285518,1.40429397965E9,45352,1805638,19.45,2017,5,-3.317850033177369E-4,Slight
PNB,EQ,2017-05-29,150.65,150.45,151.85,143.05,143.65,145.1,147.58,8154328,1.20340669845E9,37624,1838845,22.55,2017,5,-0.036840358446730906,Slight
