Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
RBLBANK,EQ,2017-05-15,556.55,557.5,564.9,551.1,564.25,563.9,560.31,888219,4.9767486795E8,17580,387382,43.61,2017,5,0.0,Slight
RBLBANK,EQ,2017-05-16,563.9,564.8,567.7,559.0,561.6,562.6,562.26,495571,2.786409174E8,8172,203735,41.11,2017,5,-0.23053732931370005,Slight
RBLBANK,EQ,2017-05-17,562.6,563.0,569.9,558.0,564.7,564.25,563.94,831318,4.68817558E8,13860,253851,30.54,2017,5,0.29328119445431516,Slight
RBLBANK,EQ,2017-05-18,564.25,559.8,563.0,551.0,553.5,552.15,555.33,1050920,5.8361203735E8,27124,615645,58.58,2017,5,-2.1444395214887058,Negative
RBLBANK,EQ,2017-05-19,552.15,560.95,567.0,551.4,553.8,555.45,558.44,1292735,7.219100606E8,39632,569809,44.08,2017,5,0.5976636783482873,Slight positive
RBLBANK,EQ,2017-05-22,555.45,557.5,559.95,542.6,545.5,544.85,548.78,676006,3.709779548E8,13070,285523,42.24,2017,5,-1.9083625888918934,Negative
RBLBANK,EQ,2017-05-23,544.85,546.0,547.4,502.2,522.0,524.5,525.03,1588845,8.341937008E8,31571,531438,33.45,2017,5,-3.7349729283289017,Among top losers
RBLBANK,EQ,2017-05-24,524.5,524.95,539.7,518.2,526.3,524.35,529.33,1343057,7.109213873E8,25418,486475,36.22,2017,5,-0.028598665395610536,Slight
RBLBANK,EQ,2017-05-25,524.35,527.8,549.45,525.75,548.2,545.6,537.94,1052847,5.663671615E8,17723,446922,42.45,2017,5,4.052636597692381,Among top gainers
RBLBANK,EQ,2017-05-26,545.6,549.4,552.5,505.3,515.6,516.55,521.74,7280565,3.7985854598E9,92398,3695651,50.76,2017,5,-5.324413489736083,Among top losers
RBLBANK,EQ,2017-05-29,516.55,519.0,527.9,504.0,507.05,508.15,514.44,2977390,1.53169190515E9,42525,1197065,40.21,2017,5,-1.6261736521149894,Negative
RBLBANK,EQ,2017-05-30,508.15,505.4,514.0,495.85,511.0,509.5,507.62,1418146,7.198818728E8,21947,333261,23.5,2017,5,0.265669585752243,Slight
RBLBANK,EQ,2017-05-31,509.5,511.0,537.9,509.9,536.0,527.7,523.48,3068601,1.60636362105E9,44628,1326531,43.23,2017,5,3.5721295387635026,Among top gainers
RBLBANK,EQ,2017-06-01,527.7,533.0,554.25,531.0,549.6,550.1,543.29,3657981,1.98734354505E9,54169,1189994,32.53,2017,6,4.244836081106684,Among top gainers
RBLBANK,EQ,2017-06-02,550.1,552.0,558.0,546.05,550.0,550.85,552.57,1634243,9.030334247E8,26334,526126,32.19,2017,6,0.13633884748227595,Slight
RBLBANK,EQ,2017-06-05,550.85,552.9,552.9,540.0,542.8,542.95,546.73,761989,4.166010926E8,14325,286938,37.66,2017,6,-1.4341472270127942,Negative
RBLBANK,EQ,2017-06-06,542.95,543.4,550.8,537.5,541.4,542.8,544.27,1075850,5.8555329275E8,18819,234654,21.81,2017,6,-0.027626853301425718,Slight
