Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
TATACHEM,EQ,2017-05-15,628.4,628.9,636.8,627.1,629.6,629.8,632.46,348768,2.2058343685E8,16519,137793,39.51,2017,5,0.0,Slight
TATACHEM,EQ,2017-05-16,629.8,629.9,647.0,629.9,645.0,643.9,640.36,426939,2.733931905E8,8398,221740,51.94,2017,5,2.2388059701492575,Positive
TATACHEM,EQ,2017-05-17,643.9,645.0,647.0,636.05,636.1,638.1,640.51,304687,1.9515515995E8,8663,79983,26.25,2017,5,-0.9007609877310071,Slight negative
TATACHEM,EQ,2017-05-18,638.1,635.0,635.0,622.2,630.0,624.9,626.25,470858,2.94872875E8,10717,224935,47.77,2017,5,-2.068641278796434,Negative
TATACHEM,EQ,2017-05-19,624.9,628.0,635.6,610.0,618.0,616.45,623.41,285139,1.7775804535E8,7906,67972,23.84,2017,5,-1.3522163546167278,Negative
TATACHEM,EQ,2017-05-22,616.45,612.1,624.4,596.4,599.0,598.9,610.18,401429,2.4494449585E8,13679,89764,22.36,2017,5,-2.8469462243491064,Negative
TATACHEM,EQ,2017-05-23,598.9,595.1,609.45,580.95,603.3,601.9,599.46,739125,4.430772207E8,20995,354761,48.0,2017,5,0.5009183503088996,Slight positive
TATACHEM,EQ,2017-05-24,601.9,604.0,609.9,591.55,595.0,596.05,600.37,374373,2.247639273E8,19123,142474,38.06,2017,5,-0.9719222462203062,Slight negative
TATACHEM,EQ,2017-05-25,596.05,596.55,619.0,596.55,613.0,615.25,609.58,472017,2.8773277845E8,15844,127670,27.05,2017,5,3.221206274641397,Among top gainers
TATACHEM,EQ,2017-05-26,615.25,617.3,625.95,606.0,609.45,610.4,614.91,1217053,7.4837931335E8,27245,171107,14.06,2017,5,-0.7882974400650179,Slight negative
TATACHEM,EQ,2017-05-29,610.4,612.0,617.9,605.0,609.2,608.25,610.05,532092,3.246039522E8,17088,199576,37.51,2017,5,-0.35222804718217193,Slight
TATACHEM,EQ,2017-05-30,608.25,609.0,629.5,601.75,627.95,627.15,618.9,467679,2.894477196E8,13601,166441,35.59,2017,5,3.1072749691738557,Among top gainers
TATACHEM,EQ,2017-05-31,627.15,630.0,632.95,622.45,625.95,628.3,628.98,333451,2.097351653E8,11613,86969,26.08,2017,5,0.18336920991787886,Slight
TATACHEM,EQ,2017-06-01,628.3,632.0,641.0,630.0,639.0,637.45,637.51,545589,3.478157697E8,21787,129717,23.78,2017,6,1.4563106796116652,Positive
TATACHEM,EQ,2017-06-02,637.45,638.5,645.9,636.85,637.0,639.7,641.17,622003,3.988106787E8,12269,386904,62.2,2017,6,0.3529688603027688,Slight
TATACHEM,EQ,2017-06-05,639.7,641.8,647.9,631.8,635.25,637.75,641.63,619030,3.971877855E8,11733,207115,33.46,2017,6,-0.30483038924496564,Slight
TATACHEM,EQ,2017-06-06,637.75,637.9,640.0,620.15,622.0,621.5,627.82,388282,2.4377068625E8,18801,118306,30.47,2017,6,-2.5480203841630735,Negative
TATACHEM,EQ,2017-06-07,621.5,624.0,629.95,618.05,625.0,624.95,624.19,594558,3.7111558975E8,16331,268699,45.19,2017,6,0.5551086082059606,Slight positive
TATACHEM,EQ,2017-06-08,624.95,627.0,629.0,612.6,613.55,614.25,618.65,329876,2.0407740875E8,11649,115026,34.87,2017,6,-1.7121369709576837,Negative
TATACHEM,EQ,2017-06-09,614.25,616.0,623.0,610.55,620.15,620.45,617.83,288565,1.7828514985E8,10074,81731,28.32,2017,6,1.0093610093610168,Positive
TATACHEM,EQ,2017-06-12,620.45,621.0,629.45,615.0,618.95,618.4,621.52,534797,3.3238473555E8,11416,106083,19.84,2017,6,-0.33040535095496304,Slight
TATACHEM,EQ,2017-06-13,618.4,620.0,625.75,614.9,616.0,616.55,621.38,347822,2.1613018385E8,9092,77297,22.22,2017,6,-0.29915912031048236,Slight
TATACHEM,EQ,2017-06-14,616.55,618.0,619.45,612.1,615.0,614.8,615.82,413128,2.5441172535E8,6372,119104,28.83,2017,6,-0.28383748276701,Slight
TATACHEM,EQ,2017-06-15,614.8,615.0,621.9,609.75,612.9,612.0,614.12,236540,1.4526333625E8,5427,91806,38.81,2017,6,-0.4554326610279692,Slight
TATACHEM,EQ,2017-06-16,612.0,612.4,618.95,610.1,612.0,611.85,613.43,173600,1.064913395E8,7400,60198,34.68,2017,6,-0.02450980392156491,Slight
