Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
TATAPOWER,EQ,2017-05-15,82.3,82.55,83.8,82.15,83.55,83.55,82.85,2007841,1.6635152835E8,13315,796744,39.68,2017,5,0.0,Slight
TATAPOWER,EQ,2017-05-16,83.55,83.9,85.95,83.4,83.7,83.85,84.2,5141578,4.329309613E8,23193,2125318,41.34,2017,5,0.003590664272890451,Slight
TATAPOWER,EQ,2017-05-17,83.85,84.0,86.0,83.6,85.15,85.35,84.92,5499293,4.6698138875E8,32097,2264851,41.18,2017,5,0.01788908765652952,Slight
TATAPOWER,EQ,2017-05-18,85.35,84.75,85.6,83.5,83.8,83.75,84.49,2296399,1.940176581E8,6983,1217618,53.02,2017,5,-0.018746338605741,Slight
TATAPOWER,EQ,2017-05-19,83.75,84.4,85.45,83.05,83.9,84.15,84.03,6222693,5.22919913E8,19269,1918659,30.83,2017,5,0.004776119402985142,Slight
TATAPOWER,EQ,2017-05-22,84.15,84.25,84.5,80.55,82.0,82.05,82.04,5011530,4.111469401E8,22255,2305842,46.01,2017,5,-0.024955436720142703,Slight
TATAPOWER,EQ,2017-05-23,82.05,82.05,82.25,80.0,80.5,80.5,80.41,5940971,4.7768873045E8,21948,4189479,70.52,2017,5,-0.018890920170627632,Slight
TATAPOWER,EQ,2017-05-24,80.5,80.65,81.75,80.05,80.25,80.25,80.43,4879178,3.9244081E8,17019,3525802,72.26,2017,5,-0.003105590062111801,Slight
TATAPOWER,EQ,2017-05-25,80.25,80.35,81.25,79.85,80.0,80.4,80.37,8911228,7.1621119435E8,29904,5091540,57.14,2017,5,0.0018691588785047437,Slight
TATAPOWER,EQ,2017-05-26,80.4,80.4,81.25,79.55,81.2,81.05,80.53,2377593,1.9146620765E8,14920,1200115,50.48,2017,5,0.008084577114427755,Slight
TATAPOWER,EQ,2017-05-29,81.05,81.4,81.4,79.8,81.3,81.15,80.82,1724129,1.3933590135E8,11459,757477,43.93,2017,5,0.0012338062924121965,Slight
TATAPOWER,EQ,2017-05-30,81.15,81.2,82.8,80.85,82.05,82.4,82.05,1879356,1.5420816455E8,14582,895885,47.67,2017,5,0.015403573629081947,Slight
TATAPOWER,EQ,2017-05-31,82.4,82.6,82.6,80.6,81.0,81.0,81.26,5984254,4.8626694405E8,47984,4520829,75.55,2017,5,-0.01699029126213599,Slight
TATAPOWER,EQ,2017-06-01,81.0,81.3,81.35,80.05,80.75,80.7,80.54,2767159,2.228618459E8,12183,1854477,67.02,2017,6,-0.0037037037037036687,Slight
TATAPOWER,EQ,2017-06-02,80.7,81.0,81.7,80.85,81.2,81.05,81.14,1447974,1.17491376E8,11053,880352,60.8,2017,6,0.004337050805452222,Slight
TATAPOWER,EQ,2017-06-05,81.05,81.45,81.55,80.55,81.0,81.0,80.98,2458920,1.991246694E8,9789,1815292,73.82,2017,6,-6.169031462060106E-4,Slight
