Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
ASHOKA,EQ,2017-05-15,210.35,211.0,217.5,206.15,216.3,216.05,212.63,159997,3.402052045E7,3506,88509,55.32,2017,5,0.0,Slight
ASHOKA,EQ,2017-05-16,216.05,212.3,216.0,211.0,214.0,214.9,213.24,213214,4.54662991E7,2860,151941,71.26,2017,5,-0.5322841934737356,Slight negative
ASHOKA,EQ,2017-05-17,214.9,214.3,218.7,212.1,216.55,217.0,215.97,383131,8.27434021E7,3297,261939,68.37,2017,5,0.9771986970684012,Slight positive
ASHOKA,EQ,2017-05-18,217.0,216.0,216.6,208.0,210.0,209.65,211.74,78709,1.666570755E7,1372,35458,45.05,2017,5,-3.387096774193546,Among top losers
ASHOKA,EQ,2017-05-19,209.65,212.1,213.9,205.05,206.05,206.25,209.95,398725,8.371350005E7,2060,301747,75.68,2017,5,-1.621750536608636,Negative
ASHOKA,EQ,2017-05-22,206.25,208.5,209.15,198.95,201.05,201.6,204.11,126516,2.582284635E7,2941,86762,68.58,2017,5,-2.2545454545454575,Negative
ASHOKA,EQ,2017-05-23,201.6,205.0,205.0,192.85,196.0,197.65,197.09,97570,1.92298819E7,1844,53598,54.93,2017,5,-1.9593253968253912,Negative
ASHOKA,EQ,2017-05-24,197.65,197.65,201.3,194.45,198.0,196.0,197.8,91289,1.80573051E7,2539,50139,54.92,2017,5,-0.8348090058183687,Slight negative
ASHOKA,EQ,2017-05-25,196.0,200.0,202.75,197.1,199.9,199.55,199.91,97592,1.951004815E7,3595,23283,23.86,2017,5,1.8112244897959242,Positive
ASHOKA,EQ,2017-05-26,199.55,199.95,203.9,198.7,199.9,199.9,200.24,137024,2.7437143E7,2379,89490,65.31,2017,5,0.17539463793535168,Slight
ASHOKA,EQ,2017-05-29,199.9,200.0,203.85,198.5,201.0,200.05,200.33,59339,1.1887294E7,969,37367,62.97,2017,5,0.07503751875938253,Slight
ASHOKA,EQ,2017-05-30,200.05,202.05,202.05,193.0,196.0,194.9,197.83,143106,2.83105289E7,1616,116345,81.3,2017,5,-2.5743564108972783,Negative
ASHOKA,EQ,2017-05-31,194.9,196.95,198.0,188.6,191.0,190.35,193.14,164095,3.169406425E7,4195,114227,69.61,2017,5,-2.3345305284761473,Negative
ASHOKA,EQ,2017-06-01,190.35,191.1,192.9,186.15,187.75,187.5,189.06,63366,1.198017175E7,1427,39893,62.96,2017,6,-1.4972419227738347,Negative
ASHOKA,EQ,2017-06-02,187.5,188.2,193.5,188.2,190.0,190.25,190.46,88745,1.690213015E7,1947,47272,53.27,2017,6,1.4666666666666666,Positive
ASHOKA,EQ,2017-06-05,190.25,190.35,194.5,190.35,191.6,192.0,192.94,558436,1.077436855E8,1894,528408,94.62,2017,6,0.9198423127463863,Slight positive
ASHOKA,EQ,2017-06-06,192.0,192.25,193.7,185.1,188.2,187.6,188.63,95631,1.80393408E7,2803,52811,55.22,2017,6,-2.2916666666666696,Negative
ASHOKA,EQ,2017-06-07,187.6,187.75,190.7,184.55,186.0,186.15,187.03,121724,2.276620345E7,1810,83650,68.72,2017,6,-0.7729211087419983,Slight negative
ASHOKA,EQ,2017-06-08,186.15,186.2,189.9,184.4,185.4,186.25,186.87,134107,2.50610066E7,1821,99604,74.27,2017,6,0.05372011818425695,Slight
ASHOKA,EQ,2017-06-09,186.25,187.7,187.7,184.45,184.65,185.05,185.07,265993,4.922796335E7,3412,235242,88.44,2017,6,-0.6442953020134167,Slight negative
ASHOKA,EQ,2017-06-12,185.05,186.0,192.4,186.0,189.5,189.8,190.31,163046,3.102970425E7,3237,71308,43.73,2017,6,2.5668738178870574,Positive
ASHOKA,EQ,2017-06-13,189.8,191.4,193.6,190.05,193.0,192.25,191.41,86024,1.64658183E7,2199,37099,43.13,2017,6,1.2908324552160109,Positive
ASHOKA,EQ,2017-06-14,192.25,191.05,194.7,189.5,190.1,190.65,190.83,53418,1.01936684E7,1541,25441,47.63,2017,6,-0.8322496749024678,Slight negative
ASHOKA,EQ,2017-06-15,190.65,190.15,194.35,186.65,192.1,190.55,191.75,79358,1.521657475E7,1695,44624,56.23,2017,6,-0.05245213742459707,Slight
ASHOKA,EQ,2017-06-16,190.55,193.65,195.4,191.1,192.0,193.3,193.78,248739,4.8200383E7,2036,213584,85.87,2017,6,1.443190763579113,Positive
ASHOKA,EQ,2017-06-19,193.3,195.4,196.15,192.85,195.6,194.8,194.69,60229,1.172616615E7,1696,37615,62.45,2017,6,0.7759958613554061,Slight positive
ASHOKA,EQ,2017-06-20,194.8,198.0,205.0,196.85,198.5,199.2,200.04,380970,7.62085653E7,5076,221832,58.23,2017,6,2.258726899383972,Positive
ASHOKA,EQ,2017-06-21,199.2,199.2,199.2,194.25,199.0,198.25,197.16,66151,1.304233665E7,1331,37384,56.51,2017,6,-0.4769076305220827,Slight
ASHOKA,EQ,2017-06-22,198.25,198.85,198.95,190.6,191.15,191.55,193.37,94821,1.83358327E7,2415,64930,68.48,2017,6,-3.3795712484237015,Among top losers
ASHOKA,EQ,2017-06-23,191.55,193.6,193.6,183.0,184.3,184.15,185.84,167822,3.118796855E7,4111,129874,77.39,2017,6,-3.8632210910989326,Among top losers
ASHOKA,EQ,2017-06-27,184.15,184.2,186.6,180.0,183.1,182.75,182.46,59962,1.09408409E7,2091,37682,62.84,2017,6,-0.7602497963616648,Slight negative
ASHOKA,EQ,2017-06-28,182.75,182.75,187.35,178.75,182.45,183.65,183.06,122700,2.246134855E7,1882,76683,62.5,2017,6,0.49247606019152157,Slight
ASHOKA,EQ,2017-06-29,183.65,186.35,188.0,182.0,186.7,186.65,185.25,364933,6.7602741E7,2190,327188,89.66,2017,6,1.6335420637081404,Positive
ASHOKA,EQ,2017-06-30,186.65,189.05,189.05,182.2,185.2,184.6,184.77,48648,8988588.85,1047,25780,52.99,2017,6,-1.0983123493169094,Negative
ASHOKA,EQ,2017-07-03,184.6,183.55,187.55,183.55,185.9,185.75,185.52,30493,5657131.2,844,17948,58.86,2017,7,0.6229685807150627,Slight positive
ASHOKA,EQ,2017-07-04,185.75,186.0,193.5,184.8,187.3,188.3,188.88,71274,1.346196095E7,1674,30518,42.82,2017,7,1.3728129205922,Positive
ASHOKA,EQ,2017-07-05,188.3,187.5,191.0,186.15,189.25,190.0,189.54,62665,1.187732565E7,1748,38290,61.1,2017,7,0.9028146574614915,Slight positive
ASHOKA,EQ,2017-07-06,190.0,191.0,192.4,187.0,187.7,187.25,189.0,95826,1.81108971E7,1023,78531,81.95,2017,7,-1.4473684210526316,Negative
ASHOKA,EQ,2017-07-07,187.25,188.0,190.7,185.2,190.05,190.0,187.53,129313,2.42505704E7,1386,103134,79.76,2017,7,1.4686248331108145,Positive
ASHOKA,EQ,2017-07-10,190.0,191.65,191.65,186.0,188.2,188.45,188.66,4308,812754.95,152,2633,61.12,2017,7,-0.8157894736842165,Slight negative
ASHOKA,EQ,2017-07-11,188.45,189.8,192.0,186.75,190.5,189.45,189.43,41384,7839447.2,748,30787,74.39,2017,7,0.5306447333510215,Slight positive
ASHOKA,EQ,2017-07-12,189.45,194.0,194.0,189.0,191.4,191.65,192.45,124623,2.398383395E7,1169,86679,69.55,2017,7,1.1612562681446383,Positive
ASHOKA,EQ,2017-07-13,191.65,193.8,198.0,192.3,193.0,193.8,194.46,98544,1.91628662E7,2321,48370,49.08,2017,7,1.1218366814505638,Positive
ASHOKA,EQ,2017-07-14,193.8,194.55,195.2,188.0,189.65,190.95,190.81,175199,3.34297377E7,2530,142875,81.55,2017,7,-1.4705882352941293,Negative
ASHOKA,EQ,2017-07-17,190.95,190.05,192.0,188.0,188.0,188.5,188.95,17269,3262907.15,375,10791,62.49,2017,7,-1.283058392249274,Negative
