Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
BAJAJELEC,EQ,2017-05-15,350.75,351.2,352.3,339.1,342.0,341.15,344.83,150265,5.181536605E7,2733,91705,61.03,2017,5,0.0,Slight
BAJAJELEC,EQ,2017-05-16,341.15,342.9,350.5,341.65,346.6,347.0,346.14,118849,4.11380466E7,2671,53340,44.88,2017,5,1.7147882163271355,Positive
BAJAJELEC,EQ,2017-05-17,347.0,347.1,352.0,345.85,349.5,349.85,349.9,108592,3.799645475E7,2259,46366,42.7,2017,5,0.8213256484149921,Slight positive
BAJAJELEC,EQ,2017-05-18,349.85,346.95,346.95,331.5,336.0,334.1,339.31,158652,5.38316472E7,3454,91087,57.41,2017,5,-4.501929398313563,Among top losers
BAJAJELEC,EQ,2017-05-19,334.1,339.05,344.0,332.0,335.5,336.2,338.64,129244,4.37673105E7,3097,47468,36.73,2017,5,0.6285543250523693,Slight positive
BAJAJELEC,EQ,2017-05-22,336.2,338.0,339.95,297.4,313.2,313.25,315.99,436640,1.3797327435E8,9573,128883,29.52,2017,5,-6.826293872694822,Among top losers
BAJAJELEC,EQ,2017-05-23,313.25,314.0,318.5,299.3,316.5,315.55,309.44,174457,5.398397745E7,4615,59422,34.06,2017,5,0.7342378292098999,Slight positive
BAJAJELEC,EQ,2017-05-24,315.55,316.0,344.0,316.0,330.0,327.95,333.41,713070,2.377411335E8,11873,139627,19.58,2017,5,3.9296466487085966,Among top gainers
BAJAJELEC,EQ,2017-05-25,327.95,329.95,348.5,327.05,347.0,346.2,343.29,527663,1.8114294745E8,9390,169067,32.04,2017,5,5.564872694008233,Among top gainers
BAJAJELEC,EQ,2017-05-26,346.2,342.2,361.4,340.0,361.4,359.45,354.09,498356,1.7646214685E8,13974,249504,50.07,2017,5,3.827267475447718,Among top gainers
BAJAJELEC,EQ,2017-05-29,359.45,361.65,363.7,342.1,350.05,348.7,353.31,1121276,3.961593394E8,22652,452341,40.34,2017,5,-2.9906802058700794,Negative
BAJAJELEC,EQ,2017-05-30,348.7,347.05,348.7,339.75,343.15,342.85,343.25,82976,2.84813349E7,1904,32621,39.31,2017,5,-1.6776598795526143,Negative
BAJAJELEC,EQ,2017-05-31,342.85,342.85,359.9,338.45,342.0,342.05,350.14,211629,7.410012955E7,4857,83582,39.49,2017,5,-0.233338194545723,Slight
BAJAJELEC,EQ,2017-06-01,342.05,342.5,348.3,340.5,342.0,341.45,344.58,72157,2.486394085E7,2851,28619,39.66,2017,6,-0.17541295132291265,Slight
BAJAJELEC,EQ,2017-06-02,341.45,342.1,357.9,342.1,353.0,352.15,352.99,598382,2.11225493E8,12285,257155,42.98,2017,6,3.133694537999704,Among top gainers
BAJAJELEC,EQ,2017-06-05,352.15,355.0,362.0,352.3,358.1,357.6,358.78,423436,1.519193794E8,10184,130218,30.75,2017,6,1.5476359505892505,Positive
BAJAJELEC,EQ,2017-06-06,357.6,360.0,360.9,354.6,358.3,357.65,358.34,173160,6.20493307E7,4249,84956,49.06,2017,6,0.013982102908264687,Slight
BAJAJELEC,EQ,2017-06-07,357.65,360.0,367.0,355.25,357.75,357.9,363.73,578218,2.1031326085E8,17732,213347,36.9,2017,6,0.06990074094785405,Slight
BAJAJELEC,EQ,2017-06-08,357.9,359.95,361.65,355.0,357.55,356.5,358.26,102728,3.680353935E7,2038,31560,30.72,2017,6,-0.391170718077669,Slight
BAJAJELEC,EQ,2017-06-09,356.5,359.1,359.1,348.6,351.0,350.0,351.96,230990,8.12999425E7,2567,184465,79.86,2017,6,-1.8232819074333801,Negative
BAJAJELEC,EQ,2017-06-12,350.0,350.0,354.65,345.5,348.0,348.45,349.51,115013,4.01985576E7,2442,53947,46.91,2017,6,-0.4428571428571461,Slight
BAJAJELEC,EQ,2017-06-13,348.45,349.0,352.0,341.7,342.2,343.5,348.69,252957,8.820462275E7,4272,105494,41.7,2017,6,-1.4205768402927217,Negative
BAJAJELEC,EQ,2017-06-14,343.5,345.8,351.45,343.05,350.0,349.3,348.12,149255,5.19591377E7,4861,66412,44.5,2017,6,1.6885007278020412,Positive
BAJAJELEC,EQ,2017-06-15,349.3,350.8,351.6,344.0,346.15,345.6,347.8,97936,3.406208465E7,2290,32622,33.31,2017,6,-1.0592613799026591,Negative
BAJAJELEC,EQ,2017-06-16,345.6,348.0,350.0,342.35,342.35,343.95,345.94,96898,3.35209582E7,2022,43843,45.25,2017,6,-0.4774305555555654,Slight
BAJAJELEC,EQ,2017-06-19,343.95,343.35,349.8,343.35,347.0,346.8,347.35,89955,3.12463149E7,3496,44733,49.73,2017,6,0.8286088094199805,Slight positive
BAJAJELEC,EQ,2017-06-20,346.8,347.95,348.8,340.1,342.0,341.4,344.37,112612,3.878003795E7,2437,63237,56.15,2017,6,-1.5570934256055462,Negative
BAJAJELEC,EQ,2017-06-21,341.4,342.0,346.0,337.5,342.0,342.35,342.71,152251,5.21778881E7,2819,75333,49.48,2017,6,0.27826596367898226,Slight
BAJAJELEC,EQ,2017-06-22,342.35,344.0,345.25,339.5,341.0,340.0,343.13,128392,4.40548889E7,1844,98274,76.54,2017,6,-0.6864320140207456,Slight negative
