Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
BOMDYEING,EQ,2017-05-15,83.0,83.15,83.75,81.9,82.15,82.2,82.57,1553427,1.2826094065E8,8074,479867,30.89,2017,5,0.0,Slight
BOMDYEING,EQ,2017-05-16,82.2,81.9,84.0,81.75,83.8,83.4,82.88,2149649,1.781606385E8,9804,561852,26.14,2017,5,1.4598540145985435,Positive
BOMDYEING,EQ,2017-05-17,83.4,82.55,83.8,82.05,82.25,82.25,82.71,1267468,1.0483544555E8,7220,395417,31.2,2017,5,-1.3788968824940115,Negative
BOMDYEING,EQ,2017-05-18,82.25,80.85,81.85,78.55,78.9,78.95,80.3,1156424,9.28656791E7,7001,538431,46.56,2017,5,-4.012158054711243,Among top losers
BOMDYEING,EQ,2017-05-19,78.95,79.75,80.35,76.35,77.3,77.15,78.07,1444416,1.127716415E8,7588,518874,35.92,2017,5,-2.279924002533245,Negative
BOMDYEING,EQ,2017-05-22,77.15,76.5,77.55,73.65,74.0,74.0,75.88,1104857,8.383221375E7,7459,418671,37.89,2017,5,-4.082955281918348,Among top losers
BOMDYEING,EQ,2017-05-23,74.0,73.5,74.25,68.5,70.1,70.45,70.86,1943788,1.37732634E8,9539,545391,28.06,2017,5,-4.797297297297294,Among top losers
BOMDYEING,EQ,2017-05-24,70.45,68.65,70.15,66.3,67.3,66.95,68.15,1897802,1.2933043775E8,9297,700948,36.93,2017,5,-4.9680624556423,Among top losers
BOMDYEING,EQ,2017-05-25,66.95,67.85,70.45,67.5,70.2,69.85,68.98,1161153,8.01003395E7,7276,386944,33.32,2017,5,4.331590739357717,Among top gainers
BOMDYEING,EQ,2017-05-26,69.85,70.2,73.75,69.9,73.75,73.0,72.03,1691870,1.2186338715E8,8618,519995,30.73,2017,5,4.509663564781683,Among top gainers
BOMDYEING,EQ,2017-05-29,73.0,73.4,73.9,70.0,70.45,70.5,71.88,1343625,9.65847965E7,7788,495425,36.87,2017,5,-3.4246575342465753,Among top losers
BOMDYEING,EQ,2017-05-30,70.5,69.8,72.35,68.65,71.9,71.8,70.77,984550,6.96745464E7,6605,256820,26.09,2017,5,1.8439716312056698,Positive
BOMDYEING,EQ,2017-05-31,71.8,71.3,72.6,70.5,71.25,71.35,71.65,919733,6.58955386E7,5296,305972,33.27,2017,5,-0.6267409470752129,Slight negative
