Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
FORTIS,EQ,2017-05-15,208.4,208.4,209.65,204.05,206.75,205.25,205.66,9078354,1.86705498265E9,24607,5980115,65.87,2017,5,0.0,Slight
FORTIS,EQ,2017-05-16,205.25,206.25,209.45,205.45,207.7,207.9,207.86,2146212,4.461109371E8,15071,1127662,52.54,2017,5,0.012911084043848992,Slight
FORTIS,EQ,2017-05-17,207.9,208.0,210.8,204.9,205.3,205.9,208.01,3032479,6.307854267E8,21453,1609171,53.06,2017,5,-0.00962000962000962,Slight
FORTIS,EQ,2017-05-18,205.9,204.0,205.25,195.0,195.8,196.85,200.05,2852401,5.7061989575E8,18709,1337328,46.88,2017,5,-0.04395337542496363,Slight
FORTIS,EQ,2017-05-19,196.85,197.8,204.9,196.45,204.2,203.55,200.95,4144993,8.329173261E8,37949,1424440,34.37,2017,5,0.03403606807213623,Slight
FORTIS,EQ,2017-05-22,203.55,206.0,206.25,193.5,195.4,194.8,198.74,3379385,6.716313565E8,25848,1700659,50.32,2017,5,-0.04298698108572832,Slight
FORTIS,EQ,2017-05-23,194.8,195.5,199.0,191.2,196.95,196.55,196.18,3746973,7.350808927E8,29372,2086212,55.68,2017,5,0.008983572895277207,Slight
FORTIS,EQ,2017-05-24,196.55,197.65,200.2,192.5,194.5,194.35,196.82,2471551,4.864561841E8,24620,1254518,50.76,2017,5,-0.011193080641058341,Slight
FORTIS,EQ,2017-05-25,194.35,192.5,203.5,192.1,202.5,202.55,199.13,2337720,4.655025299E8,16209,666465,28.51,2017,5,0.042191921790584085,Slight
FORTIS,EQ,2017-05-26,202.55,205.1,206.25,201.75,202.75,202.75,204.18,2141143,4.3717877675E8,14747,855686,39.96,2017,5,9.874105159219384E-4,Slight
FORTIS,EQ,2017-05-29,202.75,200.4,203.05,194.9,196.0,196.1,197.75,928548,1.8361827955E8,7854,231726,24.96,2017,5,-0.03279901356350188,Slight
FORTIS,EQ,2017-05-30,196.1,195.0,200.5,193.65,197.9,198.15,197.15,1134162,2.2359686825E8,8038,227986,20.1,2017,5,0.010453850076491644,Slight
FORTIS,EQ,2017-05-31,198.15,198.85,200.8,194.6,195.55,195.15,196.35,1517166,2.9789392815E8,9887,741440,48.87,2017,5,-0.01514004542013626,Slight
FORTIS,EQ,2017-06-01,195.15,195.9,200.25,195.15,199.8,198.35,197.35,837394,1.6525971035E8,6033,248194,29.64,2017,6,0.016397642838841858,Slight
FORTIS,EQ,2017-06-02,198.35,200.05,201.6,191.75,193.2,192.95,195.33,2967855,5.7972298445E8,15457,1540619,51.91,2017,6,-0.027224602974539984,Slight
FORTIS,EQ,2017-06-05,192.95,194.0,196.9,193.6,194.75,194.9,195.37,1688838,3.299437339E8,12741,654094,38.73,2017,6,0.010106245141228386,Slight
FORTIS,EQ,2017-06-06,194.9,195.4,195.45,189.1,190.4,191.05,192.04,3708378,7.121618121E8,17057,2344287,63.22,2017,6,-0.019753719856336553,Slight
FORTIS,EQ,2017-06-07,191.05,191.1,198.7,191.1,194.5,194.05,195.63,3368728,6.5901800525E8,21279,1095546,32.52,2017,6,0.015702695629416383,Slight
FORTIS,EQ,2017-06-08,194.05,195.9,196.85,191.8,192.5,192.95,193.47,2996960,5.798215521E8,15869,1350749,45.07,2017,6,-0.005668642102551006,Slight
FORTIS,EQ,2017-06-09,192.95,193.0,195.5,192.3,193.35,193.55,193.83,1998918,3.874494339E8,21047,930423,46.55,2017,6,0.0031096138896088248,Slight
FORTIS,EQ,2017-06-12,193.55,192.9,194.4,190.8,191.5,191.45,192.43,1553424,2.9891815025E8,12531,740699,47.68,2017,6,-0.010849909584086916,Slight
FORTIS,EQ,2017-06-13,191.45,192.0,193.3,189.1,189.2,189.45,190.31,3566743,6.7877650825E8,22974,1924672,53.96,2017,6,-0.010446591799425439,Slight
