Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
IDFC,EQ,2017-05-15,63.35,63.95,64.35,63.25,63.65,63.7,63.74,2754130,1.7554331365E8,10529,1119918,40.66,2017,5,0.0,Slight
IDFC,EQ,2017-05-16,63.7,64.0,64.6,62.9,64.55,64.25,63.8,4014549,2.5613552295E8,12172,1694524,42.21,2017,5,0.8634222919937161,Slight positive
IDFC,EQ,2017-05-17,64.25,64.65,64.65,63.25,63.25,63.35,63.58,4184709,2.6604866985E8,6189,2802239,66.96,2017,5,-1.4007782101167292,Negative
IDFC,EQ,2017-05-18,63.35,62.4,62.6,61.2,61.35,61.5,61.85,6040654,3.736229209E8,14151,2475921,40.99,2017,5,-2.920284135753751,Negative
IDFC,EQ,2017-05-19,61.5,61.85,62.3,60.3,61.0,61.15,61.2,3697284,2.262721366E8,7537,1711047,46.28,2017,5,-0.5691056910569129,Slight negative
IDFC,EQ,2017-05-22,61.15,61.3,61.7,60.0,60.1,60.2,60.62,3714457,2.251838742E8,9335,1491139,40.14,2017,5,-1.553556827473419,Negative
IDFC,EQ,2017-05-23,60.2,60.3,60.45,57.3,58.2,58.25,58.59,3616589,2.118975128E8,9665,897898,24.83,2017,5,-3.2392026578073136,Among top losers
IDFC,EQ,2017-05-24,58.25,58.2,58.9,56.4,56.75,56.9,57.52,4987978,2.8690499005E8,9410,1666628,33.41,2017,5,-2.3175965665236076,Negative
IDFC,EQ,2017-05-25,56.9,57.3,58.35,56.2,57.7,57.6,57.54,29243828,1.6827969564E9,30826,18794467,64.27,2017,5,1.2302284710017626,Positive
IDFC,EQ,2017-05-26,57.6,57.8,59.6,57.5,59.45,59.25,58.79,4264464,2.507168094E8,7597,1994291,46.77,2017,5,2.864583333333331,Positive
IDFC,EQ,2017-05-29,59.25,59.3,59.5,57.9,58.5,58.35,58.63,4465533,2.6181659205E8,7958,2467805,55.26,2017,5,-1.5189873417721496,Negative
IDFC,EQ,2017-05-30,58.35,58.2,59.55,57.55,59.15,59.15,58.72,4192784,2.461815893E8,7911,2145253,51.17,2017,5,1.3710368466152478,Positive
IDFC,EQ,2017-05-31,59.15,59.3,59.75,58.8,59.15,59.05,59.16,2288705,1.353963447E8,4324,987975,43.17,2017,5,-0.1690617075232484,Slight
IDFC,EQ,2017-06-01,59.05,58.75,59.4,58.1,59.0,59.15,58.74,1926329,1.1315873685E8,5010,591973,30.73,2017,6,0.16934801016088302,Slight
IDFC,EQ,2017-06-02,59.15,59.4,60.0,59.0,59.2,59.4,59.6,3069321,1.8294655885E8,5501,1483205,48.32,2017,6,0.42265426880811496,Slight
IDFC,EQ,2017-06-05,59.4,59.2,59.7,58.9,59.0,59.0,59.13,1755635,1.038060234E8,5032,821941,46.82,2017,6,-0.673400673400671,Slight negative
IDFC,EQ,2017-06-06,59.0,59.25,59.25,57.85,58.55,58.7,58.6,4148126,2.430932216E8,12608,2125806,51.25,2017,6,-0.5084745762711816,Slight negative
IDFC,EQ,2017-06-07,58.7,58.7,59.05,58.25,59.0,58.7,58.67,1591564,9.33706993E7,5346,592858,37.25,2017,6,0.0,Slight
IDFC,EQ,2017-06-08,58.7,59.1,59.1,57.4,57.5,57.65,57.82,4239089,2.450956695E8,9582,2157386,50.89,2017,6,-1.78875638841568,Negative
IDFC,EQ,2017-06-09,57.65,57.5,57.8,57.1,57.45,57.65,57.54,1183799,6.812018965E7,3309,377796,31.91,2017,6,0.0,Slight
IDFC,EQ,2017-06-12,57.65,57.4,57.55,56.25,56.35,56.4,56.79,1713896,9.732898885E7,4410,654442,38.18,2017,6,-2.168256721595837,Negative
IDFC,EQ,2017-06-13,56.4,56.6,56.95,56.3,56.35,56.5,56.66,1213899,6.87823178E7,3641,410504,33.82,2017,6,0.17730496453900962,Slight
IDFC,EQ,2017-06-14,56.5,56.4,56.95,56.15,56.75,56.5,56.56,1003347,5.674635495E7,3624,298043,29.7,2017,6,0.0,Slight
IDFC,EQ,2017-06-15,56.5,56.9,57.5,56.35,56.55,56.6,56.85,3671049,2.087120774E8,9731,1434768,39.08,2017,6,0.1769911504424804,Slight
IDFC,EQ,2017-06-16,56.6,57.0,57.35,56.4,57.0,57.05,56.87,2646538,1.5052126135E8,5696,1077489,40.71,2017,6,0.7950530035335613,Slight positive
IDFC,EQ,2017-06-19,57.05,57.25,57.55,56.7,56.95,57.05,57.0,1803732,1.0281066725E8,6100,452818,25.1,2017,6,0.0,Slight
IDFC,EQ,2017-06-20,57.05,57.3,58.25,56.85,58.0,57.95,57.6,2702452,1.556605705E8,5853,1300895,48.14,2017,6,1.577563540753735,Positive
IDFC,EQ,2017-06-21,57.95,57.8,58.0,56.95,57.35,57.4,57.44,3767928,2.16431353E8,4780,2043615,54.24,2017,6,-0.9490940465918969,Slight negative
IDFC,EQ,2017-06-22,57.4,59.2,59.4,57.5,57.5,57.7,58.24,9684227,5.6400558625E8,22058,4249861,43.88,2017,6,0.5226480836237009,Slight positive
IDFC,EQ,2017-06-23,57.7,57.6,57.9,55.9,56.05,56.2,56.58,2269798,1.2841714795E8,8095,740579,32.63,2017,6,-2.5996533795493932,Negative
IDFC,EQ,2017-06-27,56.2,56.45,56.7,54.7,55.05,54.95,55.67,3091368,1.720962511E8,9316,1069793,34.61,2017,6,-2.224199288256228,Negative
IDFC,EQ,2017-06-28,54.95,54.3,55.75,54.3,55.7,55.6,55.18,4481435,2.472896064E8,7320,2350465,52.45,2017,6,1.182893539581435,Positive
IDFC,EQ,2017-06-29,55.6,55.7,56.2,54.65,55.3,55.15,55.23,24714221,1.364909247E9,41540,12640269,51.15,2017,6,-0.8093525179856166,Slight negative
IDFC,EQ,2017-06-30,55.15,54.85,56.8,54.15,54.3,55.25,55.1,14607378,8.048573231E8,14585,9430999,64.56,2017,6,0.1813236627379899,Slight
IDFC,EQ,2017-07-03,55.25,54.3,54.55,53.9,54.15,54.2,54.29,7578461,4.1144934465E8,16489,4813839,63.52,2017,7,-1.9004524886877776,Negative
IDFC,EQ,2017-07-04,54.2,54.4,56.5,54.3,54.85,54.9,55.57,20418061,1.13455915745E9,44154,12733058,62.36,2017,7,1.2915129151291433,Positive
IDFC,EQ,2017-07-05,54.9,55.2,60.75,54.75,60.55,60.45,58.13,34021165,1.97756130685E9,73827,11141437,32.75,2017,7,10.109289617486347,Bull run
IDFC,EQ,2017-07-06,60.45,61.35,62.4,59.9,60.15,60.65,61.22,30472182,1.8654726814E9,63581,8812573,28.92,2017,7,0.33085194375516247,Slight
IDFC,EQ,2017-07-07,60.65,62.0,62.1,59.3,60.0,59.95,60.29,19776663,1.1924131066E9,55200,9355607,47.31,2017,7,-1.1541632316570416,Negative
IDFC,EQ,2017-07-10,59.95,65.9,68.9,56.05,56.45,56.5,57.97,11221799,6.505566678E8,24189,4237974,37.77,2017,7,-5.7547956630525485,Among top losers
IDFC,EQ,2017-07-11,56.5,57.25,57.65,55.7,55.95,56.0,56.71,11236099,6.371994326E8,36063,4776312,42.51,2017,7,-0.8849557522123894,Slight negative
IDFC,EQ,2017-07-12,56.0,56.1,57.6,55.65,57.15,57.3,56.82,9006350,5.1174474015E8,18860,2906379,32.27,2017,7,2.3214285714285663,Positive
IDFC,EQ,2017-07-13,57.3,57.65,57.65,56.25,56.5,56.5,56.89,4410767,2.5093020795E8,10804,1400752,31.76,2017,7,-1.3961605584642185,Negative
IDFC,EQ,2017-07-14,56.5,56.7,56.8,55.9,56.1,56.15,56.26,4430191,2.492435922E8,14631,1890234,42.67,2017,7,-0.6194690265486751,Slight negative
IDFC,EQ,2017-07-17,56.15,56.15,56.5,55.55,56.05,56.1,56.02,4155261,2.3276974755E8,9804,1740779,41.89,2017,7,-0.08904719501335202,Slight
IDFC,EQ,2017-07-18,56.1,55.7,57.75,55.45,57.4,57.3,56.97,16058598,9.1484191535E8,29020,9104844,56.7,2017,7,2.1390374331550728,Positive
IDFC,EQ,2017-07-19,57.3,57.8,59.7,57.5,59.5,59.4,58.69,14025162,8.2310684385E8,27213,6722842,47.93,2017,7,3.664921465968589,Among top gainers
IDFC,EQ,2017-07-20,59.4,59.45,60.35,58.65,59.0,59.1,59.28,12910157,7.6536198145E8,21175,5197163,40.26,2017,7,-0.5050505050505003,Slight negative
IDFC,EQ,2017-07-21,59.1,59.4,59.7,57.2,58.35,58.3,58.7,5602121,3.2886141855E8,18370,1978598,35.32,2017,7,-1.3536379018612592,Negative
IDFC,EQ,2017-07-24,58.3,58.55,59.4,58.35,58.95,58.95,58.97,5154605,3.0399093795E8,14959,1931087,37.46,2017,7,1.1149228130360305,Positive
IDFC,EQ,2017-07-25,58.95,59.0,59.25,58.2,58.4,58.65,58.72,4083565,2.3976848345E8,16941,1843739,45.15,2017,7,-0.50890585241731,Slight negative
IDFC,EQ,2017-07-26,58.65,58.95,59.1,58.2,58.35,58.35,58.61,5023303,2.9442824315E8,14148,2573979,51.24,2017,7,-0.5115089514066448,Slight negative
IDFC,EQ,2017-07-27,58.35,58.55,59.2,57.35,57.6,57.6,58.0,17698654,1.0264450365E9,23419,8940782,50.52,2017,7,-1.2853470437017995,Negative
IDFC,EQ,2017-07-28,57.6,58.6,60.45,58.05,59.5,59.55,59.5,15633060,9.3015388875E8,40045,5451998,34.87,2017,7,3.385416666666659,Among top gainers
IDFC,EQ,2017-07-31,59.55,59.55,59.8,58.55,58.7,58.75,59.05,5510634,3.25387589E8,11238,2658617,48.25,2017,7,-1.3434089000839584,Negative
IDFC,EQ,2017-08-01,58.75,59.35,59.6,58.6,58.7,58.7,59.01,4789084,2.825852401E8,10193,2760336,57.64,2017,8,-0.08510638297871857,Slight
IDFC,EQ,2017-08-02,58.7,58.9,59.3,57.6,57.9,58.2,58.3,5402562,3.149440378E8,11085,2735901,50.64,2017,8,-0.8517887563884157,Slight negative
IDFC,EQ,2017-08-03,58.2,58.2,58.2,56.65,56.75,56.95,57.37,3419930,1.962148124E8,8768,1719361,50.27,2017,8,-2.147766323024055,Negative
IDFC,EQ,2017-08-04,56.95,56.65,57.7,56.25,57.55,57.55,57.1,7583139,4.3298910275E8,16683,2991064,39.44,2017,8,1.0535557506584623,Positive
IDFC,EQ,2017-08-07,57.55,57.85,58.8,57.15,58.65,58.55,58.0,3173240,1.8404999745E8,8969,1412100,44.5,2017,8,1.737619461337967,Positive
IDFC,EQ,2017-08-08,58.55,58.7,58.8,56.75,56.85,56.9,57.41,3164313,1.816504412E8,7939,1380482,43.63,2017,8,-2.8181041844577264,Negative
IDFC,EQ,2017-08-09,56.9,56.9,57.8,56.15,56.25,56.4,57.0,3947103,2.250000422E8,11153,1482422,37.56,2017,8,-0.8787346221441125,Slight negative
