Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
IRCON,EQ,2018-09-28,475.0,412.0,465.0,409.1,412.95,415.3,436.73,5675479,2.4786744142E9,182952,1617374,28.5,2018,9,0.0,Slight
IRCON,EQ,2018-10-01,415.3,418.1,434.85,406.6,428.25,427.0,419.97,624624,2.6232334465E8,20363,148088,23.71,2018,10,2.8172405490007195,Positive
IRCON,EQ,2018-10-03,427.0,431.35,437.85,418.55,419.05,421.4,427.59,279765,1.196258109E8,9172,110748,39.59,2018,10,-1.3114754098360708,Negative
IRCON,EQ,2018-10-04,421.4,419.0,419.0,404.0,405.45,407.1,410.83,232364,9.54620837E7,10440,111715,48.08,2018,10,-3.3934504034171704,Among top losers
IRCON,EQ,2018-10-05,407.1,407.0,409.1,388.3,397.95,399.8,396.4,373530,1.4806764705E8,9636,203317,54.43,2018,10,-1.7931712110046698,Negative
IRCON,EQ,2018-10-08,399.8,398.0,400.0,380.0,380.9,382.05,390.29,134318,5.24234703E7,5565,52484,39.07,2018,10,-4.439719859929965,Among top losers
IRCON,EQ,2018-10-09,382.05,382.5,386.25,355.0,363.2,363.65,367.64,251694,9.253216675E7,7718,103145,40.98,2018,10,-4.8161235440387475,Among top losers
IRCON,EQ,2018-10-10,363.65,367.0,384.4,356.7,365.8,365.05,366.37,682482,2.500436462E8,13613,323172,47.35,2018,10,0.38498556304139536,Slight
IRCON,EQ,2018-10-11,365.05,359.8,373.1,350.05,360.05,360.95,364.06,191987,6.9894994E7,5894,75420,39.28,2018,10,-1.1231338172853096,Negative
IRCON,EQ,2018-10-12,360.95,371.0,373.4,362.1,368.0,368.0,368.49,258969,9.54281235E7,15564,162837,62.88,2018,10,1.9531791106801528,Positive
IRCON,EQ,2018-10-15,368.0,374.0,378.8,368.55,375.75,375.4,373.44,228108,8.51845177E7,14338,117217,51.39,2018,10,2.010869565217385,Positive
IRCON,EQ,2018-10-16,375.4,378.4,392.0,372.0,378.0,379.4,380.91,234268,8.923438715E7,8717,97125,41.46,2018,10,1.0655301012253597,Positive
IRCON,EQ,2018-10-17,379.4,384.8,384.8,365.6,367.0,367.6,374.28,109997,4.116939815E7,6052,51024,46.39,2018,10,-3.110173958882434,Among top losers
IRCON,EQ,2018-10-19,367.6,367.1,367.1,360.0,362.5,361.75,362.49,59494,2.156569445E7,2294,25445,42.77,2018,10,-1.5914036996735643,Negative
IRCON,EQ,2018-10-22,361.75,363.9,364.9,355.0,355.3,355.8,358.06,50845,1.82053653E7,2189,21815,42.9,2018,10,-1.6447823082239084,Negative
IRCON,EQ,2018-10-23,355.8,355.8,355.8,346.05,349.0,347.85,351.06,60941,2.139392345E7,2042,29271,48.03,2018,10,-2.234401349072509,Negative
IRCON,EQ,2018-10-24,347.85,353.0,354.6,344.0,345.6,345.5,347.29,55627,1.931856605E7,2211,20966,37.69,2018,10,-0.6755785539744208,Slight negative
IRCON,EQ,2018-10-25,345.5,343.8,349.35,338.0,342.0,342.7,342.42,53967,1.84794614E7,2596,18472,34.23,2018,10,-0.8104196816208427,Slight negative
IRCON,EQ,2018-10-26,342.7,343.2,353.0,340.95,347.0,346.55,346.11,61398,2.12507006E7,2066,26053,42.43,2018,10,1.1234315728042086,Positive
IRCON,EQ,2018-10-29,346.55,350.0,351.85,345.0,347.6,348.55,349.22,57626,2.012392415E7,2088,34573,60.0,2018,10,0.5771172990910403,Slight positive
IRCON,EQ,2018-10-30,348.55,350.9,357.45,347.1,348.0,348.35,350.42,77720,2.72347554E7,3689,37382,48.1,2018,10,-0.057380576674792315,Slight
IRCON,EQ,2018-10-31,348.35,350.9,351.8,344.55,348.5,347.4,348.06,40403,1.40628251E7,2888,20922,51.78,2018,10,-0.2727142241998121,Slight
IRCON,EQ,2018-11-01,347.4,349.1,362.0,347.0,357.0,356.4,355.15,143203,5.085899535E7,6345,72201,50.42,2018,11,2.590673575129534,Positive
IRCON,EQ,2018-11-02,356.4,360.6,371.2,358.65,362.7,360.9,365.45,181775,6.64301147E7,10149,100878,55.5,2018,11,1.2626262626262628,Positive
IRCON,EQ,2018-11-05,360.9,363.0,369.0,362.0,366.0,365.65,365.56,43301,1.58290413E7,1523,22309,51.52,2018,11,1.316154059296204,Positive
IRCON,EQ,2018-11-06,365.65,370.0,370.0,362.0,364.0,364.0,364.03,40031,1.45723254E7,1149,21115,52.75,2018,11,-0.45125119649937845,Slight
IRCON,EQ,2018-11-07,364.0,367.4,373.55,364.95,373.5,371.35,369.57,49929,1.845201995E7,1289,33510,67.12,2018,11,2.0192307692307754,Positive
IRCON,EQ,2018-11-09,371.35,373.5,390.0,372.1,389.9,385.3,381.81,134013,5.11671147E7,2974,91562,68.32,2018,11,3.756563888514875,Among top gainers
IRCON,EQ,2018-11-12,385.3,388.75,417.65,388.5,410.0,407.6,406.45,309997,1.259996078E8,10743,148070,47.76,2018,11,5.787697897742022,Among top gainers
IRCON,EQ,2018-11-13,407.6,407.0,419.8,404.0,416.0,415.6,412.64,284187,1.17267744E8,11863,147606,51.94,2018,11,1.9627085377821392,Positive
IRCON,EQ,2018-11-14,415.6,425.0,425.0,408.0,421.9,421.15,418.65,514841,2.1553899855E8,17637,258957,50.3,2018,11,1.3354186717997965,Positive
IRCON,EQ,2018-11-15,421.15,424.2,431.8,415.0,420.0,422.35,425.15,301507,1.2818518805E8,13383,118901,39.44,2018,11,0.2849341089873075,Slight
IRCON,EQ,2018-11-16,422.35,421.3,427.0,412.05,413.1,414.95,417.94,102809,4.29677056E7,3678,45945,44.69,2018,11,-1.7521013377530563,Negative
IRCON,EQ,2018-11-19,414.95,414.95,417.8,406.8,407.1,410.1,411.73,42882,1.765578375E7,1407,27581,64.32,2018,11,-1.1688155199421535,Negative
IRCON,EQ,2018-11-20,410.1,408.0,413.75,400.0,402.05,401.85,407.13,48721,1.983567815E7,1870,25234,51.79,2018,11,-2.0117044623262617,Negative
IRCON,EQ,2018-11-21,401.85,402.0,406.7,396.05,398.2,398.25,402.12,55375,2.22676069E7,1680,27081,48.9,2018,11,-0.8958566629339362,Slight negative
IRCON,EQ,2018-11-22,398.25,399.7,402.0,387.0,387.15,388.8,393.63,38231,1.504894105E7,1541,21452,56.11,2018,11,-2.3728813559322006,Negative
IRCON,EQ,2018-11-26,388.8,390.0,397.45,377.0,388.95,389.25,386.9,65224,2.52353347E7,2185,23215,35.59,2018,11,0.11574074074073781,Slight
IRCON,EQ,2018-11-27,389.25,385.0,410.95,385.0,408.25,408.45,400.56,107566,4.308642935E7,4399,58016,53.94,2018,11,4.932562620423889,Among top gainers
IRCON,EQ,2018-11-28,408.45,410.0,426.0,410.0,425.75,423.6,419.75,218430,9.168535995E7,8900,133437,61.09,2018,11,3.7091443261109154,Among top gainers
IRCON,EQ,2018-11-29,423.6,425.0,434.85,418.0,429.5,427.75,425.91,156409,6.661652675E7,6488,90656,57.96,2018,11,0.979697828139749,Slight positive
IRCON,EQ,2018-11-30,427.75,428.0,431.0,422.55,431.0,429.75,427.82,67497,2.887630025E7,2757,43773,64.85,2018,11,0.46756282875511396,Slight
IRCON,EQ,2018-12-03,429.75,432.0,438.9,428.0,431.6,432.7,433.99,74881,3.24977773E7,2197,53890,71.97,2018,12,0.6864456079115738,Slight positive
IRCON,EQ,2018-12-04,432.7,433.0,433.0,421.3,427.0,425.95,425.52,38486,1.637652255E7,1822,21199,55.08,2018,12,-1.559972267159695,Negative
IRCON,EQ,2018-12-05,425.95,422.0,439.0,422.0,433.05,434.45,433.65,239412,1.0382178935E8,4412,67603,28.24,2018,12,1.995539382556638,Positive
IRCON,EQ,2018-12-06,434.45,433.9,439.6,422.5,431.5,431.2,430.78,195824,8.43567916E7,4228,60631,30.96,2018,12,-0.7480722752905973,Slight negative
IRCON,EQ,2018-12-07,431.2,433.5,437.5,426.5,426.5,429.95,433.67,143085,6.20520871E7,2416,21988,15.37,2018,12,-0.28988868274582563,Slight
IRCON,EQ,2018-12-10,429.95,418.0,426.0,414.65,414.75,416.3,419.65,70303,2.950238845E7,1532,19122,27.2,2018,12,-3.1747877660192994,Among top losers
IRCON,EQ,2018-12-11,416.3,412.05,422.95,403.55,415.0,415.9,415.01,50479,2.094916905E7,1992,20841,41.29,2018,12,-0.09608455440788713,Slight
IRCON,EQ,2018-12-12,415.9,420.0,430.0,417.25,425.5,424.85,425.6,47089,2.00408954E7,1369,26039,55.3,2018,12,2.151959605674452,Positive
IRCON,EQ,2018-12-13,424.85,429.9,432.9,423.0,423.0,424.1,427.18,35589,1.520278655E7,1646,21603,60.7,2018,12,-0.17653289396257502,Slight
IRCON,EQ,2018-12-14,424.1,422.1,430.45,420.55,423.1,425.25,425.48,34216,1.45582934E7,3036,12125,35.44,2018,12,0.27116246168355984,Slight
IRCON,EQ,2018-12-17,425.25,430.0,471.0,427.0,457.0,458.8,459.95,1496600,6.8836710615E8,44176,298362,19.94,2018,12,7.889476778365669,Bull run
IRCON,EQ,2018-12-18,458.8,456.4,468.75,453.25,462.0,463.45,461.49,506470,2.337283178E8,16775,139328,27.51,2018,12,1.0135135135135085,Positive
IRCON,EQ,2018-12-19,463.45,465.3,467.65,457.2,458.3,459.7,461.55,163258,7.535230345E7,5320,58789,36.01,2018,12,-0.8091487754881864,Slight negative
