Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
JKLAKSHMI,EQ,2017-05-15,504.3,504.0,519.4,504.0,511.0,510.8,512.21,65942,3.37759649E7,2066,34858,52.86,2017,5,0.0,Slight
JKLAKSHMI,EQ,2017-05-16,510.8,514.6,532.95,513.0,532.0,527.5,521.11,161032,8.391605745E7,4959,94000,58.37,2017,5,3.2693813625685175,Among top gainers
JKLAKSHMI,EQ,2017-05-17,527.5,530.9,536.95,513.0,513.9,516.2,523.78,95207,4.986781925E7,2878,57507,60.4,2017,5,-2.1421800947867213,Negative
JKLAKSHMI,EQ,2017-05-18,516.2,491.7,504.0,472.0,484.55,478.95,482.76,493737,2.383549541E8,14686,243734,49.37,2017,5,-7.2161952731499515,Bear drop
JKLAKSHMI,EQ,2017-05-19,478.95,481.8,488.85,465.0,469.0,469.55,483.69,334922,1.6199687805E8,15246,248638,74.24,2017,5,-1.962626578974836,Negative
JKLAKSHMI,EQ,2017-05-22,469.55,477.05,477.8,465.6,475.9,475.75,473.27,89813,4.25057975E7,4030,57661,64.2,2017,5,1.32041316153764,Positive
JKLAKSHMI,EQ,2017-05-23,475.75,475.0,488.8,471.05,480.4,485.6,483.17,207823,1.00413983E8,5890,148141,71.28,2017,5,2.070415133998954,Positive
JKLAKSHMI,EQ,2017-05-24,485.6,485.9,491.0,473.0,478.0,481.9,485.3,171731,8.334059935E7,19884,100506,58.53,2017,5,-0.7619439868204376,Slight negative
JKLAKSHMI,EQ,2017-05-25,481.9,480.0,483.8,467.55,482.0,478.05,473.46,61135,2.894491425E7,2598,32046,52.42,2017,5,-0.7989209379539253,Slight negative
JKLAKSHMI,EQ,2017-05-26,478.05,479.5,486.0,473.0,481.0,481.15,479.95,59289,2.84559011E7,2027,43116,72.72,2017,5,0.6484677335006727,Slight positive
JKLAKSHMI,EQ,2017-05-29,481.15,484.25,511.0,478.1,495.0,496.3,498.05,297128,1.4798339355E8,9959,192069,64.64,2017,5,3.1487062246700686,Among top gainers
JKLAKSHMI,EQ,2017-05-30,496.3,495.9,500.8,482.0,493.05,495.4,496.04,91024,4.51511216E7,2538,60717,66.7,2017,5,-0.18134193028410922,Slight
JKLAKSHMI,EQ,2017-05-31,495.4,495.4,500.85,488.0,488.5,489.5,492.16,92350,4.54512473E7,2987,64584,69.93,2017,5,-1.1909568025837662,Negative
JKLAKSHMI,EQ,2017-06-01,489.5,484.5,494.9,484.5,485.05,485.9,489.49,23680,1.15910678E7,1818,13673,57.74,2017,6,-0.7354443309499535,Slight negative
JKLAKSHMI,EQ,2017-06-02,485.9,486.0,496.45,485.1,490.5,488.85,489.62,59652,2.920657755E7,2202,44274,74.22,2017,6,0.6071208067503695,Slight positive
JKLAKSHMI,EQ,2017-06-05,488.85,490.0,504.4,488.85,499.05,498.9,496.5,129970,6.45304658E7,3453,86437,66.51,2017,6,2.0558453513347557,Positive
JKLAKSHMI,EQ,2017-06-06,498.9,492.1,498.9,485.2,491.4,490.2,490.81,173293,8.50531742E7,4931,102666,59.24,2017,6,-1.7438364401683681,Negative
JKLAKSHMI,EQ,2017-06-07,490.2,492.65,493.95,484.2,487.6,487.25,487.22,48764,2.375893635E7,1745,28165,57.76,2017,6,-0.6017951856385126,Slight negative
JKLAKSHMI,EQ,2017-06-08,487.25,486.55,489.4,479.0,482.5,483.1,482.71,87483,4.22289303E7,2212,43402,49.61,2017,6,-0.8517188301693129,Slight negative
JKLAKSHMI,EQ,2017-06-09,483.1,487.85,487.85,478.5,480.0,480.4,481.4,50889,2.44977186E7,3047,30241,59.43,2017,6,-0.5588904988615288,Slight negative
JKLAKSHMI,EQ,2017-06-12,480.4,480.4,483.8,466.6,468.5,473.8,477.92,36947,1.76577965E7,1908,25896,70.09,2017,6,-1.3738551207327157,Negative
JKLAKSHMI,EQ,2017-06-13,473.8,471.8,476.7,463.9,475.0,472.1,468.02,114328,5.350799275E7,5252,85467,74.76,2017,6,-0.3588011819333028,Slight
JKLAKSHMI,EQ,2017-06-14,472.1,469.35,486.0,469.35,486.0,482.3,479.22,44130,2.114781825E7,2433,20237,45.86,2017,6,2.1605592035585657,Positive
JKLAKSHMI,EQ,2017-06-15,482.3,482.0,486.8,475.0,480.0,478.2,480.8,25430,1.222672375E7,1047,15726,61.84,2017,6,-0.8500933029234963,Slight negative
JKLAKSHMI,EQ,2017-06-16,478.2,476.75,502.95,476.75,494.8,496.95,495.56,173854,8.61550497E7,3746,139140,80.03,2017,6,3.920953575909661,Among top gainers
JKLAKSHMI,EQ,2017-06-19,496.95,507.0,508.65,493.9,495.0,495.25,499.95,63885,3.19390352E7,2232,38210,59.81,2017,6,-0.34208672904718557,Slight
JKLAKSHMI,EQ,2017-06-20,495.25,499.5,499.5,480.55,483.0,484.4,488.88,35115,1.716701545E7,1196,19643,55.94,2017,6,-2.190812720848061,Negative
JKLAKSHMI,EQ,2017-06-21,484.4,481.0,496.45,475.2,493.0,494.85,491.23,112138,5.50854191E7,3229,69765,62.21,2017,6,2.1573080099091753,Positive
JKLAKSHMI,EQ,2017-06-22,494.85,495.75,499.35,487.0,487.75,488.9,491.3,50737,2.492717265E7,2059,25055,49.38,2017,6,-1.2023845609780832,Negative
JKLAKSHMI,EQ,2017-06-23,488.9,490.0,495.75,480.0,489.5,489.6,489.39,52664,2.57733284E7,2011,30790,58.46,2017,6,0.14317856412355195,Slight
