Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
LAXMIMACH,EQ,2017-05-15,4552.4,4619.95,4670.0,4550.05,4606.0,4614.05,4629.76,4275,1.979224395E7,1097,2447,57.24,2017,5,0.0,Slight
LAXMIMACH,EQ,2017-05-16,4614.05,4566.05,4650.0,4564.1,4582.0,4589.8,4612.18,4467,2.06025927E7,805,2961,66.29,2017,5,-0.005255686435994408,Slight
LAXMIMACH,EQ,2017-05-17,4589.8,4500.0,4675.2,4500.0,4610.0,4637.25,4608.88,6320,2.912811985E7,1035,2876,45.51,2017,5,0.01033814109547253,Slight
LAXMIMACH,EQ,2017-05-18,4637.25,4599.95,4624.8,4515.1,4515.1,4544.45,4567.74,4500,2.05548359E7,831,2776,61.69,2017,5,-0.020011860477653822,Slight
LAXMIMACH,EQ,2017-05-19,4544.45,4586.9,4648.0,4490.0,4521.0,4522.7,4556.21,4190,1.90905285E7,990,1944,46.4,2017,5,-0.0047860577187558455,Slight
LAXMIMACH,EQ,2017-05-22,4522.7,4599.0,4599.0,4451.15,4451.15,4462.6,4506.94,2424,1.092482175E7,513,1730,71.37,2017,5,-0.01328852234284818,Slight
LAXMIMACH,EQ,2017-05-23,4462.6,4493.1,4535.0,4316.5,4369.65,4371.45,4404.49,4562,2.00932728E7,1251,2088,45.77,2017,5,-0.020425312598037138,Slight
LAXMIMACH,EQ,2017-05-24,4371.45,4388.05,4444.0,4351.1,4355.0,4360.35,4409.06,4432,1.95409532E7,960,3203,72.27,2017,5,-0.002539203239199683,Slight
LAXMIMACH,EQ,2017-05-25,4360.35,4336.55,4416.0,4336.55,4402.25,4405.8,4390.88,2897,1.272038055E7,608,1900,65.59,2017,5,0.010423475179744703,Slight
LAXMIMACH,EQ,2017-05-26,4405.8,4377.4,4588.95,4377.4,4500.0,4499.05,4502.75,5362,2.414377025E7,1355,3328,62.07,2017,5,0.02116528212810386,Slight
