Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
LEMONTREE,EQ,2018-04-09,56.0,61.6,73.9,57.25,72.3,71.65,65.59,67619635,4.4349004667E9,263630,13918070,20.58,2018,4,0.0,Slight
LEMONTREE,EQ,2018-04-10,71.65,69.85,71.5,65.4,66.5,66.85,68.42,15217104,1.0411591662E9,87183,3186294,20.94,2018,4,-0.06699232379623184,Slight
LEMONTREE,EQ,2018-04-11,66.85,67.25,69.7,66.05,66.95,66.95,67.69,9094509,6.156215798E8,44895,2323539,25.55,2018,4,0.001495886312640367,Slight
LEMONTREE,EQ,2018-04-12,66.95,67.1,67.7,65.1,66.5,66.4,66.44,2408408,1.6002198275E8,14777,681080,28.28,2018,4,-0.008215085884988755,Slight
LEMONTREE,EQ,2018-04-13,66.4,66.7,68.2,66.5,67.6,67.7,67.56,2406014,1.625400275E8,20955,994028,41.31,2018,4,0.019578313253012004,Slight
LEMONTREE,EQ,2018-04-16,67.7,66.9,68.1,66.0,67.45,67.25,67.28,2128485,1.4320460045E8,14187,1188805,55.85,2018,4,-0.006646971935007427,Slight
LEMONTREE,EQ,2018-04-17,67.25,67.6,70.2,66.85,68.3,68.5,69.09,4825528,3.3337740335E8,24391,1940412,40.21,2018,4,0.01858736059479554,Slight
LEMONTREE,EQ,2018-04-18,68.5,69.0,71.7,65.9,68.2,68.05,69.81,6054807,4.227024052E8,29244,1818832,30.04,2018,4,-0.006569343065693472,Slight
LEMONTREE,EQ,2018-04-19,68.05,69.2,72.7,68.5,72.65,71.85,70.89,3326199,2.3579755135E8,15997,1246134,37.46,2018,4,0.05584129316678909,Slight
LEMONTREE,EQ,2018-04-20,71.85,72.5,85.5,72.1,82.35,83.7,79.74,18742753,1.4945687276E9,72952,2689086,14.35,2018,4,0.16492693110647194,Slight
LEMONTREE,EQ,2018-04-23,83.7,83.0,90.9,80.4,84.05,83.95,86.39,17221425,1.48768752115E9,103513,3391690,19.69,2018,4,0.0029868578255675027,Slight
LEMONTREE,EQ,2018-04-24,83.95,84.5,86.7,80.55,81.75,81.65,83.32,4452462,3.709697444E8,28711,1206266,27.09,2018,4,-0.027397260273972567,Slight
LEMONTREE,EQ,2018-04-25,81.65,81.7,82.0,74.4,75.1,75.65,77.01,4514470,3.476388781E8,25186,1783643,39.51,2018,4,-0.07348438456827923,Slight
LEMONTREE,EQ,2018-04-26,75.65,75.5,75.65,70.25,72.4,73.1,72.57,5474867,3.9733092375E8,32843,1868477,34.13,2018,4,-0.03370786516853947,Slight
LEMONTREE,EQ,2018-04-27,73.1,73.0,76.9,72.2,75.4,75.35,75.08,3916156,2.940325313E8,24179,821997,20.99,2018,4,0.030779753761969907,Slight
LEMONTREE,EQ,2018-04-30,75.35,75.5,76.9,73.8,75.75,75.55,75.53,1401796,1.058757748E8,9234,375394,26.78,2018,4,0.002654280026542838,Slight
LEMONTREE,EQ,2018-05-02,75.55,75.8,80.8,75.2,78.5,78.4,78.35,3896698,3.0529918925E8,26327,1209300,31.03,2018,5,0.03772336201191275,Slight
LEMONTREE,EQ,2018-05-03,78.4,80.0,80.4,76.5,79.0,79.0,78.53,2774372,2.1787487785E8,22654,777277,28.02,2018,5,0.007653061224489723,Slight
LEMONTREE,EQ,2018-05-04,79.0,78.65,79.55,76.6,76.8,77.2,78.15,1027937,8.032901325E7,9315,378430,36.81,2018,5,-0.022784810126582244,Slight
LEMONTREE,EQ,2018-05-07,77.2,77.2,77.45,70.3,72.9,73.2,73.96,2951116,2.1827167655E8,63183,1917716,64.98,2018,5,-0.05181347150259067,Slight
LEMONTREE,EQ,2018-05-08,73.2,73.6,74.95,72.35,72.8,72.9,73.58,2464144,1.813043056E8,52056,1518496,61.62,2018,5,-0.004098360655737666,Slight
LEMONTREE,EQ,2018-05-09,72.9,73.05,74.6,72.0,72.1,72.4,73.37,2289495,1.6798719275E8,50832,1686130,73.65,2018,5,-0.006858710562414266,Slight
LEMONTREE,EQ,2018-05-10,72.4,72.85,73.4,71.1,71.5,71.55,72.08,1916462,1.381479156E8,44113,1315863,68.66,2018,5,-0.011740331491712825,Slight
LEMONTREE,EQ,2018-05-11,71.55,71.95,71.95,68.2,69.2,69.3,70.08,1544306,1.082265673E8,31340,1076701,69.72,2018,5,-0.031446540880503145,Slight
LEMONTREE,EQ,2018-05-14,69.3,69.45,71.7,66.2,69.0,68.1,69.79,2301609,1.606202229E8,29608,1471855,63.95,2018,5,-0.017316017316017358,Slight
LEMONTREE,EQ,2018-05-15,68.1,68.45,68.8,66.0,66.4,66.75,66.95,1411571,9.449772435E7,11760,737133,52.22,2018,5,-0.019823788546255425,Slight
LEMONTREE,EQ,2018-05-16,66.75,66.5,66.8,63.0,65.55,65.0,65.17,4602647,2.9995549585E8,23137,3672504,79.79,2018,5,-0.026217228464419477,Slight
LEMONTREE,EQ,2018-05-17,65.0,65.15,68.65,64.5,65.05,65.1,66.73,4371369,2.917003324E8,20118,2850776,65.21,2018,5,0.001538461538461451,Slight
LEMONTREE,EQ,2018-05-18,65.1,65.5,65.75,63.0,63.85,63.95,63.96,1314524,8.40718693E7,8433,691706,52.62,2018,5,-0.017665130568356245,Slight
LEMONTREE,EQ,2018-05-21,63.95,63.85,63.85,61.8,63.5,63.05,62.77,775558,4.8682276E7,6455,323064,41.66,2018,5,-0.0140734949179047,Slight
LEMONTREE,EQ,2018-05-22,63.05,62.95,68.0,62.55,66.3,66.35,65.72,1436399,9.440713245E7,8678,421167,29.32,2018,5,0.05233941316415539,Slight
LEMONTREE,EQ,2018-05-23,66.35,66.4,68.5,64.1,65.15,65.15,66.72,782434,5.22012284E7,15352,272471,34.82,2018,5,-0.01808590806330051,Slight
LEMONTREE,EQ,2018-05-24,65.15,65.2,67.45,64.1,65.9,65.4,66.12,899280,5.94620236E7,11662,410833,45.68,2018,5,0.003837298541826554,Slight
LEMONTREE,EQ,2018-05-25,65.4,66.0,67.4,64.25,65.85,65.7,65.98,1135981,7.495201265E7,12179,540442,47.57,2018,5,0.004587155963302708,Slight
LEMONTREE,EQ,2018-05-28,65.7,68.45,70.0,67.1,69.2,69.05,68.75,1783592,1.226267816E8,16131,689571,38.66,2018,5,0.05098934550989337,Slight
LEMONTREE,EQ,2018-05-29,69.05,69.9,70.9,69.65,70.3,70.1,70.12,1536212,1.0772642285E8,13780,895037,58.26,2018,5,0.015206372194062233,Slight
LEMONTREE,EQ,2018-05-30,70.1,70.8,75.75,70.0,72.6,72.45,73.34,3715096,2.724676328E8,29509,1616828,43.52,2018,5,0.0335235378031385,Slight
LEMONTREE,EQ,2018-05-31,72.45,73.45,74.7,71.0,73.65,72.6,73.61,1438929,1.059163152E8,10419,676980,47.05,2018,5,0.002070393374741083,Slight
LEMONTREE,EQ,2018-06-01,72.6,72.5,75.0,71.6,72.3,72.7,73.57,1163627,8.56027718E7,12092,499721,42.95,2018,6,0.0013774104683196768,Slight
LEMONTREE,EQ,2018-06-04,72.7,75.25,77.4,73.45,75.6,75.95,75.44,3209752,2.421319988E8,22976,1124474,35.03,2018,6,0.04470426409903714,Slight
LEMONTREE,EQ,2018-06-05,75.95,75.35,75.35,69.35,70.15,70.2,71.69,2973410,2.1317382185E8,28301,1652760,55.58,2018,6,-0.07570770243581303,Slight
LEMONTREE,EQ,2018-06-06,70.2,70.0,71.5,69.5,70.0,70.2,70.17,2222313,1.5592974705E8,13860,1342789,60.42,2018,6,0.0,Slight
LEMONTREE,EQ,2018-06-07,70.2,70.8,73.5,70.55,71.45,71.35,71.6,1917055,1.37263747E8,20369,823134,42.94,2018,6,0.01638176638176626,Slight
LEMONTREE,EQ,2018-06-08,71.35,71.0,71.35,69.9,70.2,70.1,70.22,1723456,1.2101869805E8,8609,922839,53.55,2018,6,-0.017519271198318153,Slight
LEMONTREE,EQ,2018-06-11,70.1,70.7,72.0,70.5,71.2,71.2,71.17,749228,5.33248479E7,5338,292556,39.05,2018,6,0.01569186875891596,Slight
LEMONTREE,EQ,2018-06-12,71.2,71.45,78.25,70.8,76.1,76.5,75.65,4730394,3.5787351575E8,29299,1485033,31.39,2018,6,0.07443820224719097,Slight
LEMONTREE,EQ,2018-06-13,76.5,76.0,76.5,74.5,75.1,75.15,75.35,1108764,8.3540701E7,8360,455239,41.06,2018,6,-0.01764705882352934,Slight
LEMONTREE,EQ,2018-06-14,75.15,74.8,75.8,73.5,75.05,75.3,74.71,784144,5.858057425E7,5580,281336,35.88,2018,6,0.0019960079840318223,Slight
LEMONTREE,EQ,2018-06-15,75.3,74.25,75.9,73.85,75.5,75.5,74.91,722753,5.41406979E7,4371,328249,45.42,2018,6,0.002656042496679985,Slight
LEMONTREE,EQ,2018-06-18,75.5,75.0,77.0,74.7,76.5,76.3,76.23,1033699,7.88000461E7,7322,404458,39.13,2018,6,0.010596026490066187,Slight
