Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
MINDAIND,EQ,2017-05-15,495.65,495.95,522.0,495.9,522.0,517.9,514.9,110264,5.677482635E7,3648,68819,62.41,2017,5,0.0,Slight
MINDAIND,EQ,2017-05-16,517.9,523.7,568.0,500.1,551.0,545.6,543.53,1185514,6.443668473E8,28000,220287,18.58,2017,5,5.3485228808650405,Among top gainers
MINDAIND,EQ,2017-05-17,545.6,555.0,571.0,541.15,559.0,560.1,558.38,465042,2.5966861865E8,14208,181463,39.02,2017,5,2.657624633431085,Positive
MINDAIND,EQ,2017-05-18,560.1,556.95,558.0,542.2,547.0,545.25,551.99,90333,4.98631392E7,3951,47989,53.12,2017,5,-2.6513122656668493,Negative
MINDAIND,EQ,2017-05-19,545.25,549.7,588.8,547.0,560.0,560.8,568.56,371398,2.1116318755E8,10466,184909,49.79,2017,5,2.8519027968821558,Positive
MINDAIND,EQ,2017-05-22,560.8,563.0,576.4,560.0,565.05,564.05,567.88,138675,7.87509994E7,4642,67056,48.35,2017,5,0.5795292439372326,Slight positive
MINDAIND,EQ,2017-05-23,564.05,569.0,569.9,535.8,551.1,552.9,549.15,106114,5.82722526E7,5351,54683,51.53,2017,5,-1.97677510858966,Negative
MINDAIND,EQ,2017-05-24,552.9,558.85,574.0,549.95,558.7,555.55,562.32,105480,5.93131372E7,5337,45363,43.01,2017,5,0.47929101103273236,Slight
MINDAIND,EQ,2017-05-25,555.55,553.45,571.0,553.45,571.0,568.9,565.53,49019,2.772180215E7,2056,26919,54.92,2017,5,2.4030240302403065,Positive
MINDAIND,EQ,2017-05-26,568.9,574.3,607.0,568.55,597.0,596.15,593.38,168413,9.993253245E7,8374,62260,36.97,2017,5,4.78994550887678,Among top gainers
MINDAIND,EQ,2017-05-29,596.15,601.45,618.8,595.1,611.0,607.2,607.32,126105,7.65859045E7,4735,56431,44.75,2017,5,1.853560345550628,Positive
MINDAIND,EQ,2017-05-30,607.2,608.0,617.9,598.3,607.0,605.05,607.61,75919,4.612892485E7,3020,29392,38.71,2017,5,-0.3540843214756408,Slight
MINDAIND,EQ,2017-05-31,605.05,608.0,633.4,606.55,629.05,627.3,622.77,98244,6.11835875E7,4743,40720,41.45,2017,5,3.6773820345426,Among top gainers
MINDAIND,EQ,2017-06-01,627.3,630.05,641.35,625.0,626.0,625.9,632.15,87292,5.518166025E7,3180,49236,56.4,2017,6,-0.22317870237525544,Slight
MINDAIND,EQ,2017-06-02,625.9,630.0,630.0,610.0,620.05,619.3,622.43,65991,4.10744719E7,2733,33677,51.03,2017,6,-1.0544815465729387,Negative
MINDAIND,EQ,2017-06-05,619.3,624.4,632.8,620.0,627.0,627.75,628.49,52506,3.299935605E7,3399,31827,60.62,2017,6,1.364443726788317,Positive
MINDAIND,EQ,2017-06-06,627.75,627.7,630.0,615.55,623.1,628.7,627.35,37754,2.36848334E7,2704,22786,60.35,2017,6,0.15133412982876074,Slight
MINDAIND,EQ,2017-06-07,628.7,628.6,630.0,619.95,624.95,623.85,626.13,24800,1.552801035E7,2293,17173,69.25,2017,6,-0.7714331159535586,Slight negative
MINDAIND,EQ,2017-06-08,623.85,626.25,648.45,618.3,618.3,621.8,632.23,100318,6.342376735E7,5144,59997,59.81,2017,6,-0.3286046325238548,Slight
MINDAIND,EQ,2017-06-09,621.8,624.95,629.0,621.0,626.0,623.7,625.69,44349,2.774871955E7,2205,27165,61.25,2017,6,0.30556449018978626,Slight
MINDAIND,EQ,2017-06-12,623.7,617.05,623.9,593.55,600.0,597.85,602.3,167130,1.006631765E8,7564,109578,65.56,2017,6,-4.144620811287481,Among top losers
MINDAIND,EQ,2017-06-13,597.85,596.0,614.0,585.9,593.0,595.35,601.77,71121,4.27985594E7,5168,35392,49.76,2017,6,-0.418165091578155,Slight
MINDAIND,EQ,2017-06-14,595.35,595.4,606.4,594.05,596.5,596.4,599.97,44584,2.67490655E7,3946,29474,66.11,2017,6,0.17636684303350206,Slight
MINDAIND,EQ,2017-06-15,596.4,596.5,601.2,593.1,596.0,596.3,596.53,52101,3.107966295E7,2868,40841,78.39,2017,6,-0.016767270288400863,Slight
MINDAIND,EQ,2017-06-16,596.3,597.1,598.35,586.7,591.0,591.15,591.1,56927,3.364973335E7,2913,36038,63.31,2017,6,-0.8636592319302328,Slight negative
MINDAIND,EQ,2017-06-19,591.15,592.4,608.9,592.4,607.4,606.65,601.49,115564,6.951102555E7,2358,88525,76.6,2017,6,2.6220079506047536,Positive
MINDAIND,EQ,2017-06-20,606.65,609.85,612.5,600.9,607.0,607.15,608.19,37923,2.30645695E7,2267,18985,50.06,2017,6,0.08241984669908514,Slight
MINDAIND,EQ,2017-06-21,607.15,610.1,610.1,595.1,598.6,598.4,602.98,26194,1.57945318E7,2015,18328,69.97,2017,6,-1.4411595157704027,Negative
MINDAIND,EQ,2017-06-22,598.4,598.6,608.0,596.65,600.0,598.55,600.7,42213,2.535722385E7,2340,23717,56.18,2017,6,0.025066844919782297,Slight
MINDAIND,EQ,2017-06-23,598.55,605.0,607.85,597.55,604.0,604.3,601.41,66166,3.97930941E7,5282,53321,80.59,2017,6,0.960654916047114,Slight positive
MINDAIND,EQ,2017-06-27,604.3,607.0,609.0,598.0,599.0,600.45,601.8,28422,1.71043814E7,1093,21778,76.62,2017,6,-0.637100777759376,Slight negative
MINDAIND,EQ,2017-06-28,600.45,600.05,608.0,598.55,602.0,604.05,602.82,25552,1.540322975E7,1996,20774,81.3,2017,6,0.5995503372470495,Slight positive
MINDAIND,EQ,2017-06-29,604.05,608.0,631.15,607.0,628.8,628.25,622.97,89087,5.549832445E7,3341,58129,65.25,2017,6,4.006290869961104,Among top gainers
MINDAIND,EQ,2017-06-30,628.25,628.25,644.8,614.85,643.9,640.35,631.55,82339,5.200121465E7,5912,48439,58.83,2017,6,1.9259848786311218,Positive
MINDAIND,EQ,2017-07-03,640.35,646.2,660.25,631.55,655.0,652.65,654.44,133001,8.70406251E7,3866,85101,63.99,2017,7,1.9208245490747176,Positive
MINDAIND,EQ,2017-07-04,652.65,658.65,664.4,648.0,651.0,656.75,655.99,49092,3.22037222E7,2393,21934,44.68,2017,7,0.6282080747720865,Slight positive
MINDAIND,EQ,2017-07-05,656.75,651.05,687.35,651.05,670.0,671.8,669.53,338451,2.2660313E8,6716,221471,65.44,2017,7,2.2915873620098903,Positive
MINDAIND,EQ,2017-07-06,671.8,675.95,685.0,665.0,672.0,670.55,675.83,72103,4.87291962E7,3529,37727,52.32,2017,7,-0.1860672819291456,Slight
MINDAIND,EQ,2017-07-07,670.55,673.0,677.95,650.4,672.75,670.7,668.41,47672,3.18646041E7,2527,24820,52.06,2017,7,0.022369696517797473,Slight
MINDAIND,EQ,2017-07-10,670.7,672.0,675.5,655.0,672.05,672.45,672.37,8188,5505349.4,262,6396,78.11,2017,7,0.26092142537647234,Slight
