Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
NCC,EQ,2017-05-15,93.8,94.1,97.9,94.05,97.9,97.35,96.08,3616693,3.47479475E8,13933,1120046,30.97,2017,5,0.0,Slight
NCC,EQ,2017-05-16,97.35,98.15,100.8,97.1,100.6,100.4,99.01,8251673,8.1700744425E8,28908,2698728,32.71,2017,5,0.03133025166923484,Slight
NCC,EQ,2017-05-17,100.4,100.95,103.65,100.1,101.35,101.45,102.05,9866001,1.00680256515E9,40313,3276414,33.21,2017,5,0.010458167330677262,Slight
NCC,EQ,2017-05-18,101.45,99.8,100.85,96.55,96.9,97.0,98.8,4163676,4.1136489155E8,18977,1196998,28.75,2017,5,-0.04386397240019717,Slight
NCC,EQ,2017-05-19,97.0,97.8,99.25,94.25,95.7,95.45,96.53,3782348,3.651141747E8,19517,706203,18.67,2017,5,-0.01597938144329894,Slight
NCC,EQ,2017-05-22,95.45,96.0,97.95,94.65,95.0,95.25,96.56,3829849,3.6981114585E8,16697,1116014,29.14,2017,5,-0.0020953378732320883,Slight
NCC,EQ,2017-05-23,95.25,95.0,95.0,89.2,89.65,90.95,91.94,5042864,4.6362811645E8,18975,1159894,23.0,2017,5,-0.04514435695538055,Slight
NCC,EQ,2017-05-24,90.95,87.05,87.9,80.2,83.95,83.25,83.91,11587471,9.7230157035E8,45469,3024219,26.1,2017,5,-0.08466190214403521,Slight
NCC,EQ,2017-05-25,83.25,83.4,86.9,77.9,85.75,85.85,83.8,16966835,1.4218975779E9,48995,5495472,32.39,2017,5,0.031231231231231164,Slight
NCC,EQ,2017-05-26,85.85,86.0,88.05,85.1,87.45,87.6,86.8,3286675,2.8527317445E8,12678,515820,15.69,2017,5,0.020384391380314504,Slight
NCC,EQ,2017-05-29,87.6,87.9,88.4,84.55,85.25,85.1,86.27,2762009,2.3828937565E8,10291,639940,23.17,2017,5,-0.02853881278538813,Slight
NCC,EQ,2017-05-30,85.1,85.75,85.75,82.7,84.65,84.3,84.02,3156651,2.6523661765E8,13025,583882,18.5,2017,5,-0.009400705052878933,Slight
NCC,EQ,2017-05-31,84.3,84.5,88.5,84.5,87.8,87.9,87.24,5956202,5.19616953E8,22518,1372268,23.04,2017,5,0.04270462633451968,Slight
NCC,EQ,2017-06-01,87.9,87.7,88.45,86.65,86.85,86.85,87.33,2406887,2.1019370025E8,12120,696095,28.92,2017,6,-0.011945392491467706,Slight
NCC,EQ,2017-06-02,86.85,87.7,89.5,86.6,87.65,88.0,88.13,7742009,6.822982502E8,22081,3531831,45.62,2017,6,0.013241220495106572,Slight
NCC,EQ,2017-06-05,88.0,88.1,88.35,86.8,87.05,87.1,87.62,2289444,2.005914106E8,16039,622945,27.21,2017,6,-0.010227272727272791,Slight
NCC,EQ,2017-06-06,87.1,86.9,87.5,84.15,85.1,85.0,85.56,3517344,3.009347026E8,15192,654428,18.61,2017,6,-0.024110218140068824,Slight
