Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
PVR,EQ,2017-05-15,1526.2,1532.35,1538.15,1515.45,1520.0,1524.95,1526.51,103693,1.5828833155E8,7359,54518,52.58,2017,5,0.0,Slight
PVR,EQ,2017-05-16,1524.95,1526.7,1545.0,1526.65,1533.25,1539.0,1538.04,86547,1.331128858E8,6332,39020,45.09,2017,5,0.9213416833338768,Slight positive
PVR,EQ,2017-05-17,1539.0,1539.7,1552.85,1526.05,1527.0,1530.3,1538.01,73902,1.136621775E8,4665,21303,28.83,2017,5,-0.5653021442495156,Slight negative
PVR,EQ,2017-05-18,1530.3,1525.0,1539.35,1502.2,1514.9,1515.05,1519.68,82125,1.248034666E8,2903,38796,47.24,2017,5,-0.9965366268052016,Slight negative
PVR,EQ,2017-05-19,1515.05,1515.0,1534.5,1502.2,1517.65,1513.55,1513.25,114890,1.738567285E8,9495,54764,47.67,2017,5,-0.09900663344444079,Slight
PVR,EQ,2017-05-22,1513.55,1498.45,1522.0,1397.05,1492.0,1481.0,1473.33,449726,6.625966991E8,29357,179657,39.95,2017,5,-2.150573155825705,Negative
PVR,EQ,2017-05-23,1481.0,1492.0,1515.0,1445.5,1497.0,1496.45,1476.7,318619,4.705033264E8,9260,179663,56.39,2017,5,1.0432140445644866,Positive
PVR,EQ,2017-05-24,1496.45,1490.0,1530.05,1444.15,1452.0,1450.0,1484.3,107642,1.5977257095E8,5923,33688,31.3,2017,5,-3.1040128303652006,Among top losers
PVR,EQ,2017-05-25,1450.0,1450.0,1474.75,1439.05,1474.75,1461.15,1456.94,114328,1.665689393E8,3930,53461,46.76,2017,5,0.7689655172413856,Slight positive
PVR,EQ,2017-05-26,1461.15,1463.1,1498.0,1451.0,1475.0,1471.5,1473.7,129323,1.9058376305E8,7326,37335,28.87,2017,5,0.7083461656914012,Slight positive
PVR,EQ,2017-05-29,1471.5,1460.05,1485.2,1460.05,1470.15,1472.85,1470.23,82565,1.213899356E8,2761,37285,45.16,2017,5,0.09174311926604886,Slight
PVR,EQ,2017-05-30,1472.85,1470.0,1487.9,1425.05,1447.5,1447.9,1455.43,205277,2.9876598955E8,9267,25865,12.6,2017,5,-1.693994636249436,Negative
PVR,EQ,2017-05-31,1447.9,1440.1,1518.0,1440.1,1449.05,1454.95,1477.74,225319,3.3296260695E8,14074,77117,34.23,2017,5,0.4869120795635026,Slight
PVR,EQ,2017-06-01,1454.95,1452.0,1469.7,1452.0,1455.0,1455.7,1459.95,59522,8.68990743E7,3090,23335,39.2,2017,6,0.051548163167119146,Slight
