Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
RCOM,EQ,2017-05-15,32.45,32.5,32.6,31.7,32.0,32.0,31.99,7126316,2.2799734945E8,11883,1908042,26.77,2017,5,0.0,Slight
RCOM,EQ,2017-05-16,32.0,32.05,32.35,31.85,32.0,32.1,32.12,7274881,2.336877055E8,9976,2211910,30.4,2017,5,0.31250000000000444,Slight
RCOM,EQ,2017-05-17,32.1,32.1,32.3,31.7,31.9,31.95,31.97,6245114,1.9963601625E8,8838,1399815,22.41,2017,5,-0.4672897196261748,Slight
RCOM,EQ,2017-05-18,31.95,31.6,31.9,31.0,31.05,31.05,31.34,11189938,3.506775576E8,17051,3629175,32.43,2017,5,-2.8169014084507,Negative
RCOM,EQ,2017-05-19,31.05,31.2,31.45,30.25,30.55,30.55,30.8,11898780,3.66454736E8,18065,3309529,27.81,2017,5,-1.6103059581320451,Negative
RCOM,EQ,2017-05-22,30.55,30.75,30.8,29.7,29.9,29.8,30.08,10150535,3.053526307E8,19810,3463929,34.13,2017,5,-2.454991816693944,Negative
RCOM,EQ,2017-05-23,29.8,29.7,29.8,27.2,27.95,28.0,28.16,25930820,7.3009265815E8,42741,5472973,21.11,2017,5,-6.04026845637584,Among top losers
RCOM,EQ,2017-05-24,28.0,28.0,28.2,25.3,25.9,25.9,26.34,46243616,1.21805138135E9,60442,12211614,26.41,2017,5,-7.500000000000005,Bear drop
RCOM,EQ,2017-05-25,25.9,25.9,26.55,25.15,26.2,25.95,25.9,28257448,7.3182482785E8,35034,6872713,24.32,2017,5,0.1930501930501958,Slight
RCOM,EQ,2017-05-26,25.95,26.0,26.3,25.35,25.95,25.75,25.93,14024830,3.636344454E8,20142,4643580,33.11,2017,5,-0.7707129094412304,Slight negative
RCOM,EQ,2017-05-29,25.75,25.0,25.3,19.7,20.8,20.5,21.29,114681061,2.44174832065E9,121576,24407844,21.28,2017,5,-20.388349514563107,Bear drop
RCOM,EQ,2017-05-30,20.5,20.0,22.45,18.95,20.2,20.0,20.51,130001062,2.66635136175E9,131557,24960708,19.2,2017,5,-2.4390243902439024,Negative
RCOM,EQ,2017-05-31,20.0,20.0,20.7,18.1,20.55,19.9,19.03,231757141,4.4096517861E9,144306,36142401,15.59,2017,5,-0.5000000000000071,Slight negative
RCOM,EQ,2017-06-01,19.9,20.5,21.15,19.85,20.7,20.75,20.56,119167702,2.45006118035E9,100392,23621882,19.82,2017,6,4.271356783919606,Among top gainers
RCOM,EQ,2017-06-02,20.75,20.5,21.65,20.05,20.7,20.65,20.67,92064997,1.9027320358E9,76785,18572290,20.17,2017,6,-0.4819277108433803,Slight
RCOM,EQ,2017-06-05,20.65,21.4,21.6,20.65,20.75,20.8,20.99,62528686,1.31264283115E9,48525,20457641,32.72,2017,6,0.726392251815991,Slight positive
RCOM,EQ,2017-06-06,20.8,20.8,20.85,19.75,20.2,20.15,20.18,44525105,8.9833524425E8,37179,8623150,19.37,2017,6,-3.12500000000001,Among top losers
RCOM,EQ,2017-06-07,20.15,19.7,19.7,19.15,19.3,19.35,19.45,45032892,8.7569649355E8,35975,11802183,26.21,2017,6,-3.970223325062021,Among top losers
RCOM,EQ,2017-06-08,19.35,19.3,19.4,18.65,18.65,18.75,18.97,32893792,6.2412095015E8,30192,10666086,32.43,2017,6,-3.100775193798457,Among top losers
