Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
SONATSOFTW,EQ,2017-05-15,163.6,164.9,165.0,162.1,162.45,162.65,163.09,53383,8706165.55,1251,35924,67.29,2017,5,0.0,Slight
SONATSOFTW,EQ,2017-05-16,162.65,163.0,163.95,158.0,158.5,158.6,160.17,270635,4.334677855E7,5672,155739,57.55,2017,5,-0.024900092222563855,Slight
SONATSOFTW,EQ,2017-05-17,158.6,158.5,159.85,157.55,158.0,158.25,158.62,56955,9034082.85,1206,37437,65.73,2017,5,-0.0022068095838587284,Slight
SONATSOFTW,EQ,2017-05-18,158.25,158.25,161.75,156.55,156.75,157.4,158.69,169341,2.687264685E7,3728,85633,50.57,2017,5,-0.005371248025276425,Slight
SONATSOFTW,EQ,2017-05-19,157.4,156.6,159.0,150.3,151.7,151.9,154.0,167554,2.580327265E7,2082,117644,70.21,2017,5,-0.0349428208386277,Slight
SONATSOFTW,EQ,2017-05-22,151.9,153.4,153.4,150.0,150.05,150.45,151.17,111525,1.685964015E7,3503,75527,67.72,2017,5,-0.009545753785385233,Slight
SONATSOFTW,EQ,2017-05-23,150.45,150.0,150.25,144.55,146.5,146.05,146.52,220787,3.23499311E7,6312,156354,70.82,2017,5,-0.02924559654370208,Slight
SONATSOFTW,EQ,2017-05-24,146.05,147.0,148.0,143.85,144.0,146.0,145.99,143541,2.095534485E7,2590,86947,60.57,2017,5,-3.423485107840559E-4,Slight
SONATSOFTW,EQ,2017-05-25,146.0,144.0,150.45,143.0,150.0,149.65,147.2,152779,2.248907E7,3115,103014,67.43,2017,5,0.02500000000000004,Slight
SONATSOFTW,EQ,2017-05-26,149.65,150.0,153.0,146.6,149.45,149.65,148.98,166213,2.47621853E7,4221,101839,61.27,2017,5,0.0,Slight
SONATSOFTW,EQ,2017-05-29,149.65,151.6,152.7,148.0,149.9,148.6,150.28,97412,1.46385946E7,2008,67754,69.55,2017,5,-0.007016371533578425,Slight
SONATSOFTW,EQ,2017-05-30,148.6,152.9,152.9,148.75,149.65,149.8,150.3,116285,1.747766515E7,2562,77761,66.87,2017,5,0.008075370121130666,Slight
SONATSOFTW,EQ,2017-05-31,149.8,149.7,152.05,147.6,150.0,148.95,149.57,138676,2.0742097E7,2583,100020,72.12,2017,5,-0.00567423230974648,Slight
SONATSOFTW,EQ,2017-06-01,148.95,147.5,157.25,147.5,153.5,153.05,153.01,972944,1.488661795E8,10993,798433,82.06,2017,6,0.02752601544142345,Slight
SONATSOFTW,EQ,2017-06-02,153.05,155.05,163.7,153.1,160.0,159.35,159.14,473285,7.532036685E7,10671,260370,55.01,2017,6,0.041163018621365455,Slight
SONATSOFTW,EQ,2017-06-05,159.35,160.1,166.8,159.95,162.5,162.9,163.77,207187,3.393020095E7,4618,86285,41.65,2017,6,0.02227800439284601,Slight
SONATSOFTW,EQ,2017-06-06,162.9,163.9,168.5,161.0,164.0,164.1,165.84,273667,4.53849426E7,5480,119759,43.76,2017,6,0.007366482504603982,Slight
SONATSOFTW,EQ,2017-06-07,164.1,164.95,168.7,159.0,159.9,160.75,163.8,392254,6.425231475E7,6905,138758,35.37,2017,6,-0.02041438147471051,Slight
SONATSOFTW,EQ,2017-06-08,160.75,162.3,162.3,157.25,158.5,158.45,158.78,86270,1.36983538E7,2992,47161,54.67,2017,6,-0.014307931570762123,Slight
SONATSOFTW,EQ,2017-06-09,158.45,160.3,162.0,157.65,160.25,160.4,160.16,130731,2.093812575E7,3004,57083,43.66,2017,6,0.012306721363206168,Slight
SONATSOFTW,EQ,2017-06-12,160.4,159.0,161.0,156.0,156.2,156.3,157.29,125785,1.978527265E7,2410,81667,64.93,2017,6,-0.025561097256857818,Slight
SONATSOFTW,EQ,2017-06-13,156.3,156.3,157.45,153.35,155.0,154.15,155.1,128496,1.992936565E7,2826,90286,70.26,2017,6,-0.013755598208573291,Slight
SONATSOFTW,EQ,2017-06-14,154.15,153.1,154.75,149.0,153.35,152.7,151.89,246320,3.74130338E7,4519,144695,58.74,2017,6,-0.009406422315926156,Slight
SONATSOFTW,EQ,2017-06-15,152.7,152.0,153.0,149.5,150.55,150.5,151.22,128005,1.93571931E7,3300,89141,69.64,2017,6,-0.014407334643090955,Slight
SONATSOFTW,EQ,2017-06-16,150.5,152.0,163.85,150.6,157.05,158.05,156.84,560532,8.791390415E7,7569,250487,44.69,2017,6,0.050166112956810706,Slight
SONATSOFTW,EQ,2017-06-19,158.05,158.05,158.35,153.1,153.8,153.95,155.23,179646,2.78862535E7,5050,100106,55.72,2017,6,-0.025941157861436397,Slight
SONATSOFTW,EQ,2017-06-20,153.95,153.25,155.3,152.6,154.15,153.95,153.95,138448,2.13138073E7,4073,90121,65.09,2017,6,0.0,Slight
SONATSOFTW,EQ,2017-06-21,153.95,153.8,155.2,152.15,153.2,152.85,152.96,140085,2.142743045E7,4509,106974,76.36,2017,6,-0.007145177005521237,Slight
SONATSOFTW,EQ,2017-06-22,152.85,153.95,155.25,151.5,152.5,152.25,153.25,114800,1.759338655E7,3416,72306,62.98,2017,6,-0.003925417075564242,Slight
SONATSOFTW,EQ,2017-06-23,152.25,152.6,152.85,149.6,151.35,151.3,150.95,136992,2.067853125E7,3372,95696,69.86,2017,6,-0.006239737274219958,Slight
SONATSOFTW,EQ,2017-06-27,151.3,151.55,152.9,149.1,149.8,149.85,150.34,59365,8924752.95,1596,39774,67.0,2017,6,-0.009583608724388744,Slight
