Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
VENKEYS,EQ,2017-05-15,1228.4,1167.0,1244.7,1167.0,1172.0,1169.7,1189.59,99659,1.1855354335E8,5436,40813,40.95,2017,5,0.0,Slight
VENKEYS,EQ,2017-05-16,1169.7,1169.7,1205.65,1135.0,1183.0,1177.0,1172.48,61572,7.21921112E7,4011,22051,35.81,2017,5,0.6240916474309612,Slight positive
VENKEYS,EQ,2017-05-17,1177.0,1177.0,1209.95,1174.2,1188.2,1188.0,1194.72,60769,7.26020745E7,2904,17361,28.57,2017,5,0.9345794392523364,Slight positive
VENKEYS,EQ,2017-05-18,1188.0,1183.0,1188.0,1150.0,1157.0,1156.9,1169.84,28629,3.349137235E7,1699,12506,43.68,2017,5,-2.61784511784511,Negative
VENKEYS,EQ,2017-05-19,1156.9,1161.7,1181.0,1141.15,1162.0,1161.65,1163.78,28520,3.319106135E7,1538,11738,41.16,2017,5,0.4105799982712421,Slight
VENKEYS,EQ,2017-05-22,1161.65,1175.0,1219.7,1170.5,1219.7,1219.7,1206.08,154509,1.863505029E8,6350,57108,36.96,2017,5,4.997202255412556,Among top gainers
VENKEYS,EQ,2017-05-23,1219.7,1245.0,1274.0,1175.0,1185.0,1187.8,1222.03,154425,1.8871126545E8,7111,50785,32.89,2017,5,-2.615397228826768,Negative
VENKEYS,EQ,2017-05-24,1187.8,1210.0,1210.0,1135.05,1136.0,1144.9,1160.74,63467,7.366859585E7,4742,29699,46.79,2017,5,-3.611719144637133,Among top losers
VENKEYS,EQ,2017-05-25,1144.9,1155.0,1199.0,1136.1,1182.0,1181.85,1176.5,77370,9.10260869E7,4065,30735,39.72,2017,5,3.2273561009695007,Among top gainers
VENKEYS,EQ,2017-05-26,1181.85,1192.0,1240.9,1184.35,1240.9,1240.9,1223.57,96485,1.180559105E8,4856,45800,47.47,2017,5,4.996403942970782,Among top gainers
VENKEYS,EQ,2017-05-29,1240.9,1279.9,1293.95,1231.0,1240.0,1241.9,1261.81,65998,8.32771895E7,3167,29419,44.58,2017,5,0.08058667096462245,Slight
VENKEYS,EQ,2017-05-30,1241.9,1239.7,1239.7,1205.1,1213.5,1212.3,1218.51,25572,3.115984285E7,1620,13422,52.49,2017,5,-2.383444721797257,Negative
VENKEYS,EQ,2017-05-31,1212.3,1225.0,1251.95,1208.1,1215.25,1213.35,1226.42,35574,4.36285695E7,3307,19088,53.66,2017,5,0.08661222469685347,Slight
VENKEYS,EQ,2017-06-01,1213.35,1215.05,1260.0,1215.0,1248.0,1252.65,1238.77,60565,7.502637155E7,4533,24947,41.19,2017,6,3.238966497712959,Among top gainers
VENKEYS,EQ,2017-06-02,1252.65,1252.0,1264.5,1230.0,1240.0,1244.1,1251.5,32026,4.00805155E7,2692,17703,55.28,2017,6,-0.6825529876661622,Slight negative
VENKEYS,EQ,2017-06-05,1244.1,1248.0,1271.9,1230.0,1248.1,1244.35,1251.35,26062,3.26126652E7,1802,12102,46.44,2017,6,0.02009484768105458,Slight
VENKEYS,EQ,2017-06-06,1244.35,1259.8,1290.0,1249.95,1260.05,1253.45,1270.11,48347,6.1405775E7,3403,19760,40.87,2017,6,0.7313055008639159,Slight positive
VENKEYS,EQ,2017-06-07,1253.45,1276.0,1444.95,1275.6,1399.0,1403.65,1401.59,674986,9.460520075E8,41169,98033,14.52,2017,6,11.982927121145641,Bull run
VENKEYS,EQ,2017-06-08,1403.65,1395.0,1473.0,1394.9,1431.0,1427.25,1445.06,328543,4.747629619E8,18745,58756,17.88,2017,6,1.6813308160866247,Positive
