Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
VIPIND,EQ,2017-05-15,202.05,203.65,205.0,198.1,198.95,199.2,200.7,145003,2.910229985E7,2102,66456,45.83,2017,5,0.0,Slight
VIPIND,EQ,2017-05-16,199.2,200.4,205.0,198.9,201.0,200.9,202.3,357349,7.2291505E7,6281,101836,28.5,2017,5,0.8534136546184825,Slight positive
VIPIND,EQ,2017-05-17,200.9,201.55,202.05,198.5,199.0,199.65,200.71,128429,2.57775676E7,3750,64230,50.01,2017,5,-0.6222000995520159,Slight negative
VIPIND,EQ,2017-05-18,199.65,199.1,202.0,192.05,192.55,193.3,198.79,441208,8.770868585E7,6837,240717,54.56,2017,5,-3.180565990483343,Among top losers
VIPIND,EQ,2017-05-19,193.3,199.0,204.0,194.25,196.5,195.95,198.82,723731,1.4388906985E8,10066,184810,25.54,2017,5,1.3709260217278723,Positive
VIPIND,EQ,2017-05-22,195.95,199.0,200.5,190.25,192.6,192.85,195.55,282636,5.526909175E7,3895,121074,42.84,2017,5,-1.5820362337330924,Negative
VIPIND,EQ,2017-05-23,192.85,193.9,194.25,181.0,182.5,183.2,186.01,186052,3.460672445E7,3689,80316,43.17,2017,5,-5.003889032927148,Among top losers
VIPIND,EQ,2017-05-24,183.2,184.5,188.95,178.95,183.2,183.4,184.57,202226,3.73251427E7,4182,88883,43.95,2017,5,0.10917030567686521,Slight
VIPIND,EQ,2017-05-25,183.4,184.6,188.9,183.0,186.8,187.55,186.62,135681,2.5320724E7,2113,46103,33.98,2017,5,2.26281352235551,Positive
VIPIND,EQ,2017-05-26,187.55,188.7,196.75,187.0,193.8,193.75,192.82,227242,4.38161909E7,5012,115495,50.82,2017,5,3.305785123966936,Among top gainers
VIPIND,EQ,2017-05-29,193.75,194.75,195.25,188.0,189.65,189.6,191.05,119168,2.276715685E7,1889,45770,38.41,2017,5,-2.1419354838709705,Negative
VIPIND,EQ,2017-05-30,189.6,189.9,194.8,186.1,189.9,189.35,190.82,181446,3.46229841E7,2814,31568,17.4,2017,5,-0.13185654008438819,Slight
VIPIND,EQ,2017-05-31,189.35,189.95,195.5,188.35,194.0,192.7,193.13,184799,3.56900584E7,6418,89080,48.2,2017,5,1.7692104568259808,Positive
VIPIND,EQ,2017-06-01,192.7,194.75,201.85,192.0,197.1,197.9,198.81,389321,7.740038175E7,5381,99812,25.64,2017,6,2.6984950700570924,Positive
VIPIND,EQ,2017-06-02,197.9,198.4,202.8,196.1,197.5,197.9,199.42,177078,3.53123374E7,3462,49537,27.97,2017,6,0.0,Slight
VIPIND,EQ,2017-06-05,197.9,199.5,202.0,196.25,199.3,198.7,199.83,218575,4.36772361E7,3065,72162,33.01,2017,6,0.40424456796360936,Slight
VIPIND,EQ,2017-06-06,198.7,199.5,201.0,196.25,196.3,197.35,198.37,118831,2.357241985E7,2675,53234,44.8,2017,6,-0.6794162053346726,Slight negative
VIPIND,EQ,2017-06-07,197.35,197.1,200.85,193.45,193.8,194.25,196.46,142355,2.79676692E7,3829,82303,57.82,2017,6,-1.5708132759057483,Negative
VIPIND,EQ,2017-06-08,194.25,195.55,197.5,193.0,194.5,194.65,195.0,144436,2.8165159E7,2885,64737,44.82,2017,6,0.20592020592020885,Slight
VIPIND,EQ,2017-06-09,194.65,195.4,199.55,192.5,194.25,195.25,195.78,228540,4.47445869E7,7969,98680,43.18,2017,6,0.30824556896994315,Slight
VIPIND,EQ,2017-06-12,195.25,195.0,198.9,193.4,195.05,195.45,196.3,153109,3.00549263E7,2072,63240,41.3,2017,6,0.1024327784891107,Slight
VIPIND,EQ,2017-06-13,195.45,195.75,199.0,194.5,196.65,197.0,197.37,164448,3.24566056E7,1984,56076,34.1,2017,6,0.7930416986441604,Slight positive
VIPIND,EQ,2017-06-14,197.0,197.75,203.4,193.5,194.7,195.45,198.85,561699,1.1169270485E8,6935,214416,38.17,2017,6,-0.7868020304568586,Slight negative
VIPIND,EQ,2017-06-15,195.45,195.85,196.25,192.0,192.5,192.55,194.07,128054,2.485191645E7,2077,64790,50.6,2017,6,-1.4837554361729226,Negative
VIPIND,EQ,2017-06-16,192.55,193.4,196.0,192.5,194.0,194.6,194.35,133536,2.59520745E7,2118,72124,54.01,2017,6,1.0646585302518736,Positive
VIPIND,EQ,2017-06-19,194.6,195.4,198.5,194.4,194.6,195.2,196.88,267164,5.25990788E7,4592,114662,42.92,2017,6,0.3083247687564205,Slight
VIPIND,EQ,2017-06-20,195.2,195.85,200.0,194.05,194.7,195.0,197.51,551747,1.0897619665E8,9631,174589,31.64,2017,6,-0.10245901639343681,Slight
VIPIND,EQ,2017-06-21,195.0,196.5,198.35,195.25,196.25,196.3,196.87,292367,5.755811085E7,4387,96803,33.11,2017,6,0.6666666666666725,Slight positive
VIPIND,EQ,2017-06-22,196.3,196.6,198.0,192.4,193.1,193.2,195.53,108716,2.12574293E7,1988,59084,54.35,2017,6,-1.579215486500266,Negative
VIPIND,EQ,2017-06-23,193.2,195.0,196.5,187.0,189.95,190.2,191.58,199614,3.82426539E7,3423,60371,30.24,2017,6,-1.5527950310559007,Negative
VIPIND,EQ,2017-06-27,190.2,191.65,192.15,182.4,186.85,186.4,186.03,134944,2.510416855E7,2315,57452,42.57,2017,6,-1.9978969505783297,Negative
VIPIND,EQ,2017-06-28,186.4,187.35,187.35,179.0,179.15,180.75,182.52,143168,2.61313525E7,4130,94569,66.05,2017,6,-3.031115879828329,Among top losers
VIPIND,EQ,2017-06-29,180.75,180.75,185.3,176.35,184.1,184.1,183.53,139440,2.559157625E7,2111,53443,38.33,2017,6,1.8533886583679082,Positive
VIPIND,EQ,2017-06-30,184.1,185.0,185.0,181.3,182.0,182.1,182.13,99970,1.82075054E7,1869,52473,52.49,2017,6,-1.0863661053775122,Negative
VIPIND,EQ,2017-07-03,182.1,182.3,185.5,182.2,185.5,184.8,184.21,91040,1.67707416E7,2077,56276,61.81,2017,7,1.4827018121911133,Positive
VIPIND,EQ,2017-07-04,184.8,186.0,192.1,185.8,190.5,190.45,189.91,383270,7.278682065E7,6555,168609,43.99,2017,7,3.057359307359295,Among top gainers
VIPIND,EQ,2017-07-05,190.45,190.95,193.7,190.95,193.3,192.9,192.53,199630,3.84343867E7,2288,104952,52.57,2017,7,1.2864268836965174,Positive
VIPIND,EQ,2017-07-06,192.9,192.7,198.0,192.45,196.8,196.05,195.98,319288,6.2573141E7,2474,207824,65.09,2017,7,1.6329704510108893,Positive
VIPIND,EQ,2017-07-07,196.05,196.0,196.0,191.5,192.0,192.75,193.72,180001,3.4869842E7,2553,140157,77.86,2017,7,-1.6832440703902123,Negative
VIPIND,EQ,2017-07-10,192.75,194.65,195.3,189.1,189.75,189.8,190.1,38273,7275686.85,482,26887,70.25,2017,7,-1.5304798962386452,Negative
VIPIND,EQ,2017-07-11,189.8,191.05,191.05,184.75,185.95,186.0,188.28,121502,2.287585825E7,1933,69723,57.38,2017,7,-2.002107481559542,Negative
VIPIND,EQ,2017-07-12,186.0,186.85,190.6,183.1,185.0,185.0,185.79,231565,4.302188015E7,6043,136688,59.03,2017,7,-0.5376344086021505,Slight negative
