Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
WELSPUNIND,EQ,2017-05-15,89.4,89.7,93.9,89.2,90.0,90.25,90.94,3056833,2.7799832485E8,12247,1939157,63.44,2017,5,0.0,Slight
WELSPUNIND,EQ,2017-05-16,90.25,90.9,91.0,90.0,90.5,90.65,90.36,792353,7.15982034E7,6460,576788,72.79,2017,5,0.0044321329639889825,Slight
WELSPUNIND,EQ,2017-05-17,90.65,90.9,91.55,88.3,88.4,88.85,89.91,1886102,1.6957702765E8,11102,1507068,79.9,2017,5,-0.019856591285162838,Slight
WELSPUNIND,EQ,2017-05-18,88.85,88.7,89.4,86.3,87.0,86.9,87.58,582904,5.104999995E7,6843,372116,63.84,2017,5,-0.021947101857062338,Slight
WELSPUNIND,EQ,2017-05-19,86.9,88.0,88.0,84.7,84.8,85.05,86.12,503081,4.332683515E7,3637,344163,68.41,2017,5,-0.021288837744534043,Slight
WELSPUNIND,EQ,2017-05-22,85.05,85.85,86.0,81.35,84.7,83.7,83.89,2447619,2.0533283045E8,5958,2050154,83.76,2017,5,-0.015873015873015806,Slight
WELSPUNIND,EQ,2017-05-23,83.7,85.5,85.65,79.0,83.15,84.75,82.76,1212547,1.003459885E8,6234,704405,58.09,2017,5,0.012544802867383478,Slight
WELSPUNIND,EQ,2017-05-24,84.75,84.45,84.45,81.0,83.1,82.8,82.42,1220369,1.0058517845E8,10011,847135,69.42,2017,5,-0.02300884955752216,Slight
WELSPUNIND,EQ,2017-05-25,82.8,83.0,84.0,82.1,82.9,82.95,82.85,393982,3.263970535E7,3097,230592,58.53,2017,5,0.0018115942028986195,Slight
WELSPUNIND,EQ,2017-05-26,82.95,84.0,84.7,82.55,83.7,84.1,84.11,385599,3.243199915E7,2628,232070,60.18,2017,5,0.01386377335744414,Slight
