Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
ADANIPORTS,EQ,2017-05-15,357.95,359,359.75,350.85,356,356.20,354.78,1530781,543093896.10,14738,554124,36.20,2017,5,0,Slight
ADANIPORTS,EQ,2017-05-16,356.20,354.20,358.15,351.15,353.55,354.50,354.64,1321254,468571841.60,24113,465010,35.19,2017,5,-0.00,Slight
ADANIPORTS,EQ,2017-05-17,354.50,354.50,354.80,347.55,348.95,348.55,349.74,1239867,433632452.30,19750,571621,46.10,2017,5,-0.02,Slight
ADANIPORTS,EQ,2017-05-18,348.55,344.30,359.55,342.20,348.15,347.90,350.16,3618961,1267198439.50,76390,963959,26.64,2017,5,-0.00,Slight
ADANIPORTS,EQ,2017-05-19,347.90,349.05,352.50,345.30,350.45,349.45,348.91,1302961,454610341.90,20989,492222,37.78,2017,5,0.00,Slight
ADANIPORTS,EQ,2017-05-22,349.45,352.40,357.40,350.45,354,354.45,354.60,2939697,1042419733.85,36043,1207131,41.06,2017,5,0.01,Slight
ADANIPORTS,EQ,2017-05-23,354.45,354.80,355.60,328.50,330.65,331.65,340.41,6270500,2134542924.05,70709,2738738,43.68,2017,5,-0.06,Slight
ADANIPORTS,EQ,2017-05-24,331.65,333.40,342.95,328.10,341.80,339.65,337.39,8363216,2821651249.20,78246,1533176,18.33,2017,5,0.02,Slight
ADANIPORTS,EQ,2017-05-25,339.65,344.90,346.25,331.30,341.55,340.75,339.21,5992900,2032861963.30,57622,1993080,33.26,2017,5,0.00,Slight
ADANIPORTS,EQ,2017-05-26,340.75,342.40,351,339,348,348,347.55,2754435,957311566.85,28126,1036015,37.61,2017,5,0.02,Slight
ADANIPORTS,EQ,2017-05-29,348,347.80,348.35,325.10,327.80,327.80,331.08,3943111,1305479519.25,44755,1440160,36.52,2017,5,-0.06,Slight
ADANIPORTS,EQ,2017-05-30,327.80,328.40,342.90,327.45,341,340.35,337.25,3680879,1241380243.80,51558,1506427,40.93,2017,5,0.04,Slight
ADANIPORTS,EQ,2017-05-31,340.35,341.50,345.75,336.55,341.75,339,339.69,12190256,4140919820.35,94792,9389385,77.02,2017,5,-0.00,Slight
ADANIPORTS,EQ,2017-06-01,339,337.60,351.95,337.60,350.50,349.20,345.71,3447544,1191835643.15,38653,1449223,42.04,2017,6,0.03,Slight
ADANIPORTS,EQ,2017-06-02,349.20,352,359.40,350.50,357,357.90,356.79,3297747,1176599800.85,39939,809810,24.56,2017,6,0.02,Slight
ADANIPORTS,EQ,2017-06-05,357.90,359.95,364.50,355.20,361.50,361.05,361.20,2830068,1022229864,31813,891587,31.50,2017,6,0.01,Slight
ADANIPORTS,EQ,2017-06-06,361.05,362.95,368.75,357.05,360.55,361.45,361.51,5229905,1890666385.65,39979,2688647,51.41,2017,6,0.00,Slight
ADANIPORTS,EQ,2017-06-07,361.45,363.60,363.95,357.30,359.50,359.10,360.29,5435369,1958318728.55,39716,2979849,54.82,2017,6,-0.01,Slight
ADANIPORTS,EQ,2017-06-08,359.10,359.25,361.85,350.50,360.15,359.15,356.46,4568139,1628376375.65,37373,2595605,56.82,2017,6,0.00,Slight
ADANIPORTS,EQ,2017-06-09,359.15,360,360.60,350.25,359.60,359.85,356.71,7152603,2551426079.20,62422,4653276,65.06,2017,6,0.00,Slight
ADANIPORTS,EQ,2017-06-12,359.85,359.70,359.70,353.55,358.50,356.85,355.91,4963488,1766570106.25,33056,3176070,63.99,2017,6,-0.01,Slight
ADANIPORTS,EQ,2017-06-13,356.85,359,363.15,355.40,360.05,359.40,358.99,5463098,1961198954.75,43624,3250231,59.49,2017,6,0.01,Slight
ADANIPORTS,EQ,2017-06-14,359.40,360.50,360.90,356.10,359.95,359.50,358.73,6005138,2154240467.95,52462,4303037,71.66,2017,6,0.00,Slight
ADANIPORTS,EQ,2017-06-15,359.50,359.45,366.40,357.75,360,360,361.79,3997432,1446234310.25,38912,1764531,44.14,2017,6,0.00,Slight
ADANIPORTS,EQ,2017-06-16,360,361.50,365.10,356.25,364.90,363.15,360.57,5332597,1922749821.70,38347,3577084,67.08,2017,6,0.01,Slight
ADANIPORTS,EQ,2017-06-19,363.15,365,375.60,365,373.65,373.80,371.87,7328947,2725421740.10,105974,3109194,42.42,2017,6,0.03,Slight
ADANIPORTS,EQ,2017-06-20,373.80,375.60,377.70,370.10,374.05,375.65,374.86,4597214,1723331097.20,55660,2585956,56.25,2017,6,0.00,Slight
ADANIPORTS,EQ,2017-06-21,375.65,374.75,377.20,367.20,369.95,369.95,371.88,2797034,1040150834.60,40320,1262268,45.13,2017,6,-0.02,Slight
ADANIPORTS,EQ,2017-06-22,369.95,370,373.80,367.50,369.30,369.45,370.87,1935079,717655350.30,30166,969841,50.12,2017,6,-0.00,Slight
