Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
ASIANPAINT,EQ,2017-05-15,1132.95,1142.90,1149.90,1135,1149.90,1148.05,1145.57,729473,835665366.30,20868,471377,64.62,2017,5,0,Slight
ASIANPAINT,EQ,2017-05-16,1148.05,1148.90,1149.70,1129.60,1143.50,1142.85,1137.20,913600,1038946254.20,35436,641893,70.26,2017,5,-0.45,Slight
ASIANPAINT,EQ,2017-05-17,1142.85,1143,1159,1136.55,1156.75,1154.95,1149.76,579709,666523901.30,24824,282528,48.74,2017,5,1.06,Positive
ASIANPAINT,EQ,2017-05-18,1154.95,1147.15,1159.80,1140,1154.80,1151.35,1149.89,702003,807226505.80,23468,436095,62.12,2017,5,-0.31,Slight
ASIANPAINT,EQ,2017-05-19,1151.35,1139.85,1144.80,1098.80,1131,1123.15,1124.84,1732673,1948985827.70,87720,1021656,58.96,2017,5,-2.45,Negative
ASIANPAINT,EQ,2017-05-22,1123.15,1124.25,1137.85,1104,1115,1112.55,1114.62,1058940,1180313677.85,35354,634686,59.94,2017,5,-0.94,Slight negative
ASIANPAINT,EQ,2017-05-23,1112.55,1119.95,1126.55,1091.45,1100,1098.90,1100.96,1374392,1513145693.40,39196,938302,68.27,2017,5,-1.23,Negative
ASIANPAINT,EQ,2017-05-24,1098.90,1095,1107.05,1080.50,1095,1091.20,1091.35,1551698,1693452519.60,41861,1178089,75.92,2017,5,-0.70,Slight negative
ASIANPAINT,EQ,2017-05-25,1091.20,1095.55,1125,1090.05,1112.95,1113.20,1103.08,1226634,1353073003.65,25147,780546,63.63,2017,5,2.02,Positive
ASIANPAINT,EQ,2017-05-26,1113.20,1124.95,1148.80,1124,1131.10,1132.45,1136.19,915210,1039852090.05,26431,503139,54.98,2017,5,1.73,Positive
ASIANPAINT,EQ,2017-05-29,1132.45,1125,1150,1125,1150,1146.55,1142.72,460152,525823543,18073,154068,33.48,2017,5,1.25,Positive
ASIANPAINT,EQ,2017-05-30,1146.55,1150,1166.10,1147,1159.05,1159.45,1157.02,460978,533362998.35,14351,175817,38.14,2017,5,1.13,Positive
ASIANPAINT,EQ,2017-05-31,1159.45,1159,1165,1144.55,1148.30,1151.20,1154.09,1488564,1717935013.80,68693,1216029,81.69,2017,5,-0.71,Slight negative
ASIANPAINT,EQ,2017-06-01,1151.20,1150,1162,1133.10,1160.45,1160.45,1147.48,578030,663277562.80,30430,300818,52.04,2017,6,0.80,Slight positive
ASIANPAINT,EQ,2017-06-02,1160.45,1161.20,1174.90,1160.20,1162,1164.30,1167.23,437401,510546697.90,18139,171177,39.14,2017,6,0.33,Slight
ASIANPAINT,EQ,2017-06-05,1164.30,1165,1176.40,1159.50,1162,1161.55,1166.51,425935,496855895.65,23829,215478,50.59,2017,6,-0.24,Slight
ASIANPAINT,EQ,2017-06-06,1161.55,1162.15,1165.30,1141.05,1155,1153.15,1150.02,787798,905985417.65,30990,481260,61.09,2017,6,-0.72,Slight negative
ASIANPAINT,EQ,2017-06-07,1153.15,1154,1168,1146,1164.50,1161.50,1160.05,531046,616040896.70,51084,291088,54.81,2017,6,0.72,Slight positive
