Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
BAJFINANCE,EQ,2017-05-15,1314.75,1323,1348.50,1317.65,1332,1332.95,1335.96,634195,847257919.70,16701,188623,29.74,2017,5,0,Slight
BAJFINANCE,EQ,2017-05-16,1332.95,1337.40,1358.80,1327.20,1346,1347.75,1344.96,788530,1060542484.10,22552,274106,34.76,2017,5,1.11,Positive
BAJFINANCE,EQ,2017-05-17,1347.75,1350,1374,1297.50,1320,1324.80,1343.51,2408302,3235569755.55,67508,468034,19.43,2017,5,-1.70,Negative
BAJFINANCE,EQ,2017-05-18,1324.80,1299,1343,1296.05,1310.70,1314.55,1325.97,1210985,1605727642.65,34422,305579,25.23,2017,5,-0.77,Slight negative
BAJFINANCE,EQ,2017-05-19,1314.55,1324,1333.90,1265.55,1288,1289.15,1295.81,1167010,1512225877.70,32394,346261,29.67,2017,5,-1.93,Negative
BAJFINANCE,EQ,2017-05-22,1289.15,1299,1304,1237.35,1240,1242.15,1264.99,873873,1105443652.65,39772,391500,44.80,2017,5,-3.65,Among top losers
BAJFINANCE,EQ,2017-05-23,1242.15,1249.90,1265,1190.55,1230.70,1233.75,1231.01,1348383,1659867589.90,60446,466036,34.56,2017,5,-0.68,Slight negative
BAJFINANCE,EQ,2017-05-24,1233.75,1234,1254.90,1210,1225,1224.35,1231.39,787101,969230740.90,42989,266289,33.83,2017,5,-0.76,Slight negative
BAJFINANCE,EQ,2017-05-25,1224.35,1230,1268,1228.25,1263,1258.85,1250.15,905807,1132395407.40,38094,349445,38.58,2017,5,2.82,Positive
BAJFINANCE,EQ,2017-05-26,1258.85,1261.70,1326.70,1261.70,1314.85,1317.80,1305.26,1306793,1705701981.25,40302,456603,34.94,2017,5,4.68,Among top gainers
BAJFINANCE,EQ,2017-05-29,1317.80,1319.40,1333,1301.90,1309.95,1307.45,1318.58,652289,860093352.45,24119,192661,29.54,2017,5,-0.79,Slight negative
BAJFINANCE,EQ,2017-05-30,1307.45,1305.20,1324.90,1303.70,1322.35,1321.55,1317.44,513005,675851927.35,25635,204921,39.95,2017,5,1.08,Positive
BAJFINANCE,EQ,2017-05-31,1321.55,1323,1334.90,1316.10,1329.40,1326.95,1326.64,726284,963517605.55,42248,356399,49.07,2017,5,0.41,Slight
BAJFINANCE,EQ,2017-06-01,1326.95,1334,1339,1320.25,1323.80,1327.35,1329.35,387968,515743856.35,12771,156031,40.22,2017,6,0.03,Slight
BAJFINANCE,EQ,2017-06-02,1327.35,1332.40,1365,1318,1362,1361.25,1346.17,668081,899348743.70,21491,198882,29.77,2017,6,2.55,Positive
BAJFINANCE,EQ,2017-06-05,1361.25,1368.55,1372.65,1348.05,1361.75,1363.10,1361.85,570009,776267840.05,16609,161674,28.36,2017,6,0.14,Slight
BAJFINANCE,EQ,2017-06-06,1363.10,1363.40,1367.90,1325,1333.65,1336.65,1342.10,601678,807514827.35,22461,242587,40.32,2017,6,-1.94,Negative
BAJFINANCE,EQ,2017-06-07,1336.65,1341.10,1360,1335.10,1341.30,1343.15,1346.68,550988,742007098,15482,219513,39.84,2017,6,0.49,Slight
BAJFINANCE,EQ,2017-06-08,1343.15,1344.90,1372,1344.70,1360,1361.70,1360.76,570819,776748073.45,19214,220896,38.70,2017,6,1.38,Positive
BAJFINANCE,EQ,2017-06-09,1361.70,1358,1382,1343.70,1370,1376.85,1367.45,530582,725541900.15,23351,178831,33.70,2017,6,1.11,Positive
BAJFINANCE,EQ,2017-06-12,1376.85,1369.95,1383,1356.55,1369,1364.95,1367.40,370028,505978055.50,14815,103847,28.06,2017,6,-0.86,Slight negative
BAJFINANCE,EQ,2017-06-13,1364.95,1374,1380,1361,1362,1371.50,1373.62,435644,598410870.85,22238,190154,43.65,2017,6,0.48,Slight
BAJFINANCE,EQ,2017-06-14,1371.50,1374.20,1375,1354,1360,1361,1365.29,634727,866584207.50,29134,339284,53.45,2017,6,-0.77,Slight negative
BAJFINANCE,EQ,2017-06-15,1361,1361.10,1413,1352.20,1409.30,1405.25,1386.17,1569774,2175971915,46282,740293,47.16,2017,6,3.25,Among top gainers
BAJFINANCE,EQ,2017-06-16,1405.25,1415,1424.85,1403.30,1406,1410.30,1415.04,824516,1166727044.55,36654,332550,40.33,2017,6,0.36,Slight
BAJFINANCE,EQ,2017-06-19,1410.30,1405.20,1421.70,1395.60,1400.10,1399.85,1405.58,426223,599091881.05,20625,170557,40.02,2017,6,-0.74,Slight negative
BAJFINANCE,EQ,2017-06-20,1399.85,1407.70,1432.90,1395.05,1411.50,1409.60,1418.20,781161,1107841162.40,38166,294753,37.73,2017,6,0.70,Slight positive
BAJFINANCE,EQ,2017-06-21,1409.60,1404.80,1426,1401,1419.90,1416.65,1416.69,449181,636348673.30,23993,170175,37.89,2017,6,0.50,Slight positive
BAJFINANCE,EQ,2017-06-22,1416.65,1419,1427,1395.30,1400,1401.80,1410.93,477586,673842667.65,31890,240623,50.38,2017,6,-1.05,Negative
BAJFINANCE,EQ,2017-06-23,1401.80,1405,1415.50,1366,1400,1400.75,1391.87,620781,864045572.65,27030,213449,34.38,2017,6,-0.07,Slight
BAJFINANCE,EQ,2017-06-27,1400.75,1400,1400,1336.75,1341,1349.95,1361.84,1053829,1435142568.55,37982,522564,49.59,2017,6,-3.63,Among top losers
BAJFINANCE,EQ,2017-06-28,1349.95,1341,1377,1313.90,1371,1372.35,1353.90,998218,1351490429.30,30259,430604,43.14,2017,6,1.66,Positive
BAJFINANCE,EQ,2017-06-29,1372.35,1379,1394.85,1366.50,1369.65,1376.30,1381.08,726869,1003865047.95,17813,296476,40.79,2017,6,0.29,Slight
BAJFINANCE,EQ,2017-06-30,1376.30,1367.60,1380,1352.50,1373.55,1373.10,1364,496260,676901079.60,31246,216431,43.61,2017,6,-0.23,Slight
BAJFINANCE,EQ,2017-07-03,1373.10,1380,1390,1366.50,1384,1387.15,1380.67,446514,616490664.50,18913,193216,43.27,2017,7,1.02,Positive
BAJFINANCE,EQ,2017-07-04,1387.15,1390,1408.75,1376.55,1378,1379.55,1388.07,704342,977677586.10,23191,350690,49.79,2017,7,-0.55,Slight negative
BAJFINANCE,EQ,2017-07-05,1379.55,1375,1407,1370.10,1399,1398.55,1391.60,643929,896093763.40,25001,298889,46.42,2017,7,1.38,Positive
BAJFINANCE,EQ,2017-07-06,1398.55,1398.90,1413.50,1392.35,1397.50,1399.30,1404.77,418130,587376329.20,25318,178634,42.72,2017,7,0.05,Slight
BAJFINANCE,EQ,2017-07-07,1399.30,1398.50,1403.60,1387.40,1393,1391.70,1395.07,202005,281811710.30,8185,75611,37.43,2017,7,-0.54,Slight negative
BAJFINANCE,EQ,2017-07-10,1391.70,1451.55,1451.55,1395.10,1411.55,1412.80,1410.24,150018,211560811.05,3910,96462,64.30,2017,7,1.52,Positive
BAJFINANCE,EQ,2017-07-11,1412.80,1419.40,1431,1409.60,1422,1419.20,1422.27,665556,946603580.40,28991,319337,47.98,2017,7,0.45,Slight
