Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
CIPLA,EQ,2017-05-15,567.95,567,572.45,561,566.65,569,568.17,606569,344636374.80,20905,349445,57.61,2017,5,0,Slight
CIPLA,EQ,2017-05-16,569,566.65,570,564,565.70,565.60,565.88,330195,186850407.40,13421,166079,50.30,2017,5,-0.60,Slight negative
CIPLA,EQ,2017-05-17,565.60,565.10,566,560.05,561.05,562.35,562.01,895238,503128350.25,35003,641507,71.66,2017,5,-0.57,Slight negative
CIPLA,EQ,2017-05-18,562.35,559.30,564.95,556.80,560.90,560.10,560.16,2155599,1207477343.35,12636,1862981,86.43,2017,5,-0.40,Slight
CIPLA,EQ,2017-05-19,560.10,561.30,566.65,558.65,564.20,564.95,561.86,685662,385248719.65,10878,376701,54.94,2017,5,0.87,Slight positive
CIPLA,EQ,2017-05-22,564.95,567,567.70,553.10,555.75,563.10,563.25,948063,533996871.45,15992,713759,75.29,2017,5,-0.33,Slight
CIPLA,EQ,2017-05-23,563.10,558.60,558.80,531.25,532.95,533.20,538.11,1225772,659597733.45,24881,487893,39.80,2017,5,-5.31,Among top losers
CIPLA,EQ,2017-05-24,533.20,531,536.35,514,521.30,519.65,522.69,1340656,700753145.45,35256,505963,37.74,2017,5,-2.54,Negative
CIPLA,EQ,2017-05-25,519.65,522,525,496.40,504.70,504,505.53,4378940,2213673893,66378,1981607,45.25,2017,5,-3.01,Among top losers
CIPLA,EQ,2017-05-26,504,483,504.75,480.20,491.25,488.90,489.42,7010307,3431015679.55,112619,1655216,23.61,2017,5,-3.00,Negative
CIPLA,EQ,2017-05-29,488.90,492,507.50,488.90,505.95,505.35,496.36,4118338,2044165727.55,57601,2685163,65.20,2017,5,3.36,Among top gainers
CIPLA,EQ,2017-05-30,505.35,504.80,517.60,501.40,510,510.50,512.29,1047968,536865305.85,23806,258147,24.63,2017,5,1.02,Positive
CIPLA,EQ,2017-05-31,510.50,514.80,520.10,505,519.40,516.35,513.96,1366315,702224797.80,56012,658731,48.21,2017,5,1.15,Positive
CIPLA,EQ,2017-06-01,516.35,519.70,529.90,513.05,514.60,515.55,518.86,1433241,743649419,30567,682004,47.58,2017,6,-0.15,Slight
CIPLA,EQ,2017-06-02,515.55,517.70,533.90,517.70,531.30,530.05,529.73,2152367,1140168635.20,33284,908858,42.23,2017,6,2.81,Positive
CIPLA,EQ,2017-06-05,530.05,531.30,536.70,528,534.95,534.80,533.57,802335,428098105.60,16665,291592,36.34,2017,6,0.90,Slight positive
CIPLA,EQ,2017-06-06,534.80,537.70,539.55,522.35,537,534.65,530.06,765557,405794665.35,15481,215307,28.12,2017,6,-0.03,Slight
CIPLA,EQ,2017-06-07,534.65,536.40,543.45,530.70,538.10,540.20,538.88,719071,387489410.25,25362,236293,32.86,2017,6,1.04,Positive
