Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
DRREDDY,EQ,2017-05-15,2580.80,2600,2699,2592,2667.50,2675.80,2655.42,946756,2514038416.75,60746,392469,41.45,2017,5,0,Slight
DRREDDY,EQ,2017-05-16,2675.80,2690.80,2734,2690.80,2717.50,2724.10,2721.18,440462,1198576504.70,27798,144587,32.83,2017,5,1.81,Positive
DRREDDY,EQ,2017-05-17,2724.10,2720,2760,2686.55,2738,2736.90,2731.48,409818,1119407972.50,25364,133595,32.60,2017,5,0.47,Slight
DRREDDY,EQ,2017-05-18,2736.90,2695,2719.85,2672.20,2681.10,2678.95,2693.81,282411,760761442.05,22125,177774,62.95,2017,5,-2.12,Negative
DRREDDY,EQ,2017-05-19,2678.95,2694.95,2694.95,2637,2654.80,2656.45,2659.44,260677,693255521.10,35605,152233,58.40,2017,5,-0.84,Slight negative
DRREDDY,EQ,2017-05-22,2656.45,2680,2681.95,2602.10,2610,2608.70,2621.76,154462,404961904.10,21943,69055,44.71,2017,5,-1.80,Negative
DRREDDY,EQ,2017-05-23,2608.70,2618.80,2618.80,2542.80,2585,2579.45,2573.20,284428,731891214.90,27875,139400,49.01,2017,5,-1.12,Negative
DRREDDY,EQ,2017-05-24,2579.45,2573,2573,2510,2513,2516.80,2536,366315,928974589,40598,193026,52.69,2017,5,-2.43,Negative
DRREDDY,EQ,2017-05-25,2516.80,2507.40,2508.35,2398,2423,2427.70,2444.58,808310,1975977067.55,54917,431336,53.36,2017,5,-3.54,Among top losers
DRREDDY,EQ,2017-05-26,2427.70,2500,2509.95,2403.80,2419.95,2414.40,2435.38,721031,1755982583.05,38740,328084,45.50,2017,5,-0.55,Slight negative
DRREDDY,EQ,2017-05-29,2414.40,2430.10,2465,2380.35,2415.80,2425.85,2428.14,543508,1319711334.05,38559,222097,40.86,2017,5,0.47,Slight
DRREDDY,EQ,2017-05-30,2425.85,2419.95,2500,2416.15,2476,2481.35,2482.88,437985,1087462474.40,29802,190717,43.54,2017,5,2.29,Positive
DRREDDY,EQ,2017-05-31,2481.35,2490,2544,2464,2510,2523.85,2521.91,786086,1982434960.25,82413,548143,69.73,2017,5,1.71,Positive
DRREDDY,EQ,2017-06-01,2523.85,2540,2567.75,2513.90,2517.10,2522.80,2539.65,324502,824120054.80,23053,130170,40.11,2017,6,-0.04,Slight
DRREDDY,EQ,2017-06-02,2522.80,2535.20,2574.80,2525.15,2548.35,2554.50,2554.08,293291,749088057.50,18438,163448,55.73,2017,6,1.26,Positive
DRREDDY,EQ,2017-06-05,2554.50,2543.15,2568,2520.10,2531,2535.85,2543.32,224677,571424640.45,17781,124681,55.49,2017,6,-0.73,Slight negative
DRREDDY,EQ,2017-06-06,2535.85,2534.95,2565.50,2516,2546.25,2549.30,2541.61,172111,437438467.15,14592,45718,26.56,2017,6,0.53,Slight positive
DRREDDY,EQ,2017-06-07,2549.30,2538,2564.50,2516.05,2535,2540.65,2543.22,247189,628654853.60,16479,115767,46.83,2017,6,-0.34,Slight
DRREDDY,EQ,2017-06-08,2540.65,2545.50,2666.25,2545.50,2634,2636.25,2632.90,845476,2226053263.20,48502,329752,39,2017,6,3.76,Among top gainers
DRREDDY,EQ,2017-06-09,2636.25,2650,2650,2602,2627.10,2628.80,2624.54,206211,541209021.45,13688,53866,26.12,2017,6,-0.28,Slight
DRREDDY,EQ,2017-06-12,2628.80,2626.30,2656.95,2617.05,2627.50,2630.25,2635.01,138429,364762463.70,19006,59581,43.04,2017,6,0.06,Slight
DRREDDY,EQ,2017-06-13,2630.25,2633.20,2645.50,2612.05,2629.80,2626.70,2628.47,135916,357250684.35,13501,59164,43.53,2017,6,-0.13,Slight
DRREDDY,EQ,2017-06-14,2626.70,2668,2699,2645.40,2662.05,2669.30,2672.36,748839,2001169218.75,57350,234063,31.26,2017,6,1.62,Positive
DRREDDY,EQ,2017-06-15,2669.30,2662.70,2720.95,2655,2699,2700.50,2700.86,694652,1876156210.65,24980,433148,62.35,2017,6,1.17,Positive
DRREDDY,EQ,2017-06-16,2700.50,2714.20,2718.15,2631,2680.10,2682.60,2669.56,370538,989172133.85,32227,144362,38.96,2017,6,-0.66,Slight negative
DRREDDY,EQ,2017-06-19,2682.60,2672,2672,2640.55,2649,2657.45,2655.97,441803,1173416345.75,21981,261404,59.17,2017,6,-0.94,Slight negative
DRREDDY,EQ,2017-06-20,2657.45,2660.35,2695,2653.60,2675.10,2676.05,2671.83,196527,525086116,18333,69880,35.56,2017,6,0.70,Slight positive
DRREDDY,EQ,2017-06-21,2676.05,2675,2695,2655.75,2686,2687.05,2678.40,179216,480012286.55,24341,87975,49.09,2017,6,0.41,Slight
DRREDDY,EQ,2017-06-22,2687.05,2690.10,2699.90,2618.55,2633,2635.60,2659.30,171787,456833415.15,15252,59192,34.46,2017,6,-1.91,Negative
DRREDDY,EQ,2017-06-23,2635.60,2636.10,2659.40,2614.80,2644,2643.70,2639.23,232808,614434704.70,17366,105438,45.29,2017,6,0.31,Slight
DRREDDY,EQ,2017-06-27,2643.70,2630.25,2670,2630.25,2646.10,2653.10,2653.13,265871,705389825.50,28765,135361,50.91,2017,6,0.36,Slight
DRREDDY,EQ,2017-06-28,2653.10,2631,2664.70,2625.15,2648,2651.75,2646.54,191968,508051841.40,20324,94151,49.05,2017,6,-0.05,Slight
DRREDDY,EQ,2017-06-29,2651.75,2651.20,2666.95,2640.05,2655,2651.50,2651.63,181588,481503495.20,20449,78460,43.21,2017,6,-0.01,Slight
DRREDDY,EQ,2017-06-30,2651.50,2650,2711,2645,2690.50,2690.10,2687.15,327643,880426100.25,24633,142471,43.48,2017,6,1.46,Positive
DRREDDY,EQ,2017-07-03,2690.10,2700,2706.10,2665,2675.30,2682.55,2677.64,144646,387309279.50,17660,62782,43.40,2017,7,-0.28,Slight
DRREDDY,EQ,2017-07-04,2682.55,2668.10,2676.10,2610.30,2621.80,2623.70,2633.30,264253,695856474.30,17098,108822,41.18,2017,7,-2.19,Negative
DRREDDY,EQ,2017-07-05,2623.70,2621.50,2669,2621.50,2665.05,2664.95,2647.30,181326,480023556.75,14235,60559,33.40,2017,7,1.57,Positive
DRREDDY,EQ,2017-07-06,2664.95,2664.95,2679,2642.10,2676.55,2667.90,2661.82,124936,332557419.20,14248,46720,37.40,2017,7,0.11,Slight
DRREDDY,EQ,2017-07-07,2667.90,2669.80,2729.50,2667.25,2705,2705.40,2714.59,284992,773636376.95,20834,68284,23.96,2017,7,1.41,Positive
DRREDDY,EQ,2017-07-10,2705.40,2733.30,2745.50,2700,2722,2726.20,2733.17,40393,110400852.95,2475,14180,35.11,2017,7,0.77,Slight positive
DRREDDY,EQ,2017-07-11,2726.20,2730,2732.40,2683,2689.90,2691.25,2713.10,160926,436608091.55,16488,78741,48.93,2017,7,-1.28,Negative
DRREDDY,EQ,2017-07-12,2691.25,2693.85,2721.45,2668.65,2683,2690.10,2694.86,213175,574477093.25,12948,105858,49.66,2017,7,-0.04,Slight
DRREDDY,EQ,2017-07-13,2690.10,2693.25,2719.75,2683,2691,2694,2701.55,137183,370606244,13427,50096,36.52,2017,7,0.14,Slight
DRREDDY,EQ,2017-07-14,2694,2699.15,2725,2686.40,2700,2703,2704.52,195286,528154103.95,9780,94145,48.21,2017,7,0.33,Slight
DRREDDY,EQ,2017-07-17,2703,2697.40,2703.70,2682.30,2696,2697.25,2696.48,201896,544407643.35,7956,135481,67.10,2017,7,-0.21,Slight
DRREDDY,EQ,2017-07-18,2697.25,2690,2743.30,2687.55,2722,2718.95,2727.53,301108,821281939.15,21104,95132,31.59,2017,7,0.80,Slight positive
DRREDDY,EQ,2017-07-19,2718.95,2723,2784.80,2720.35,2780,2774,2761.79,364602,1006955811.10,21326,170760,46.83,2017,7,2.02,Positive
DRREDDY,EQ,2017-07-20,2774,2774.95,2778.40,2742.30,2746,2750.10,2757.08,187889,518025590.70,13578,105088,55.93,2017,7,-0.86,Slight negative
DRREDDY,EQ,2017-07-21,2750.10,2738,2780,2727,2758.10,2762.55,2755.38,282516,778439475.55,16207,104516,36.99,2017,7,0.45,Slight
DRREDDY,EQ,2017-07-24,2762.55,2785,2787,2688.90,2692,2696.45,2705.80,517895,1401320059.95,31506,234290,45.24,2017,7,-2.39,Negative
DRREDDY,EQ,2017-07-25,2696.45,2696.45,2713.35,2680,2687,2692.15,2693.25,374960,1009861565.55,23100,200187,53.39,2017,7,-0.16,Slight
DRREDDY,EQ,2017-07-26,2692.15,2708,2716.55,2680.90,2706.50,2707.35,2696.36,174665,470960137.05,12237,48068,27.52,2017,7,0.56,Slight positive
DRREDDY,EQ,2017-07-27,2707.35,2710,2723,2587,2599,2620.35,2654.38,1822665,4838047469.25,59608,950000,52.12,2017,7,-3.21,Among top losers
DRREDDY,EQ,2017-07-28,2620.35,2499.50,2506.55,2451.10,2465.20,2464.95,2477.93,1548997,3838301243.45,83696,628351,40.57,2017,7,-5.93,Among top losers
DRREDDY,EQ,2017-07-31,2464.95,2438,2448.10,2375,2375.90,2383.20,2397.27,1525068,3655998819.75,60287,848382,55.63,2017,7,-3.32,Among top losers
DRREDDY,EQ,2017-08-01,2383.20,2379,2458,2369.80,2426,2431.55,2434.57,1034078,2517534036.05,49499,441348,42.68,2017,8,2.03,Positive
DRREDDY,EQ,2017-08-02,2431.55,2435.10,2439.90,2372.40,2380,2378.55,2399.24,570459,1368666303.55,33446,299456,52.49,2017,8,-2.18,Negative
DRREDDY,EQ,2017-08-03,2378.55,2388,2397,2314.35,2321.60,2323.95,2355.05,777585,1831252484.70,44064,403217,51.86,2017,8,-2.30,Negative
DRREDDY,EQ,2017-08-04,2323.95,2315,2315.05,2230.10,2238,2239.55,2259.94,1226639,2772125168.15,68535,593155,48.36,2017,8,-3.63,Among top losers
DRREDDY,EQ,2017-08-07,2239.55,2240,2257,2200,2202,2206.95,2229.80,736078,1641306908.35,39569,355427,48.29,2017,8,-1.46,Negative
DRREDDY,EQ,2017-08-08,2206.95,2205.80,2206.95,2084.85,2089,2095.65,2144.08,1360991,2918074107.90,70288,572265,42.05,2017,8,-5.04,Among top losers
DRREDDY,EQ,2017-08-09,2095.65,2090.90,2105,2032.50,2042.10,2048.35,2057.88,1124987,2315092583.40,75234,417081,37.07,2017,8,-2.26,Negative
DRREDDY,EQ,2017-08-10,2048.35,2042,2099,1934.10,1945.10,1944.45,2008.04,1540007,3092401284.40,82468,392238,25.47,2017,8,-5.07,Among top losers
DRREDDY,EQ,2017-08-11,1944.45,1925.05,2029.95,1901.15,2016,2011.15,1976.92,1857913,3672948660.75,103761,460806,24.80,2017,8,3.43,Among top gainers
DRREDDY,EQ,2017-08-14,2011.15,2000,2039.90,1970.10,2002,2002.05,2004.45,843270,1690295221.60,39430,125561,14.89,2017,8,-0.45,Slight
DRREDDY,EQ,2017-08-16,2002.05,1995,2017.80,1970.05,1992.45,2005.25,1994.02,662136,1320311276.50,32294,216468,32.69,2017,8,0.16,Slight
DRREDDY,EQ,2017-08-17,2005.25,2010,2031.90,1992.45,2007.90,2011.25,2011.74,540131,1086605443.75,24709,200279,37.08,2017,8,0.30,Slight
DRREDDY,EQ,2017-08-18,2011.25,1998,2007.55,1971.30,1981.05,1982,1986.40,349297,693842325.25,17725,119347,34.17,2017,8,-1.45,Negative
DRREDDY,EQ,2017-08-21,1982,1990,2001,1921.10,1934.50,1931.10,1960.09,418295,819896731.85,19527,133150,31.83,2017,8,-2.57,Negative
DRREDDY,EQ,2017-08-22,1931.10,1945,2014,1935,1978.80,1984.15,1979.81,772164,1528737153.65,38427,123757,16.03,2017,8,2.75,Positive
