Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
EICHERMOT,EQ,2017-05-15,29178.35,29403.10,29455,28831,28915.05,28930.60,29015.64,20026,581067259.50,8495,8193,40.91,2017,5,0,Slight
EICHERMOT,EQ,2017-05-16,28930.60,28920.45,29450,28820,29365.95,29362.50,29107.91,36189,1053386156.95,11584,16359,45.20,2017,5,1.49,Positive
EICHERMOT,EQ,2017-05-17,29362.50,29262,29300,28971.35,28982.05,29093.55,29116.26,18545,539961046.05,7918,10611,57.22,2017,5,-0.92,Slight negative
EICHERMOT,EQ,2017-05-18,29093.55,28900,28998.85,28213,28213,28357.30,28521.49,30153,860008512.70,11283,15761,52.27,2017,5,-2.53,Negative
EICHERMOT,EQ,2017-05-19,28357.30,28698,28698,27756,27915,27936.05,28024.04,44251,1240091573.45,21721,20153,45.54,2017,5,-1.49,Negative
EICHERMOT,EQ,2017-05-22,27936.05,27936.05,28279.95,27021.50,27111.05,27189.90,27433.60,48952,1342929422.80,24609,30492,62.29,2017,5,-2.67,Negative
EICHERMOT,EQ,2017-05-23,27189.90,27199,27900,27120.55,27578.05,27598.25,27621.83,68040,1879389043.30,28403,32731,48.11,2017,5,1.50,Positive
EICHERMOT,EQ,2017-05-24,27598.25,27600,27757.05,27200,27400,27364.70,27468.84,34680,952619368.30,15300,19301,55.65,2017,5,-0.85,Slight negative
EICHERMOT,EQ,2017-05-25,27364.70,27430,28120,27321.05,28118,28009.45,27714.16,42365,1174110337.95,17914,22090,52.14,2017,5,2.36,Positive
EICHERMOT,EQ,2017-05-26,28009.45,27915,28633.50,27915,28270,28351.35,28409.72,30251,859422470.55,12803,13189,43.60,2017,5,1.22,Positive
EICHERMOT,EQ,2017-05-29,28351.35,28350.70,28495,28028,28102,28172.10,28267.47,21765,615241513.15,10443,10246,47.08,2017,5,-0.63,Slight negative
EICHERMOT,EQ,2017-05-30,28172.10,28235,28459.35,27812.05,28207.30,28323.40,28159.02,23730,668213604.95,10691,10430,43.95,2017,5,0.54,Slight positive
EICHERMOT,EQ,2017-05-31,28323.40,28400,28549,28227.65,28499.85,28435,28392.54,42875,1217330133.50,23609,28511,66.50,2017,5,0.39,Slight
EICHERMOT,EQ,2017-06-01,28435,28580,29019.45,28500,28700,28793.40,28775.46,47476,1366143859.55,16722,15384,32.40,2017,6,1.26,Positive
