Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
GAIL,EQ,2017-05-15,409.20,413.05,415.25,410,413.80,414,412.83,1077551,444848781.20,22153,459059,42.60,2017,5,0,Slight
GAIL,EQ,2017-05-16,414,415.80,416,410.25,411,411.40,412.85,2434834,1005216064.70,46472,1771251,72.75,2017,5,-0.63,Slight negative
GAIL,EQ,2017-05-17,411.40,411.50,412.90,405.60,408.50,408.30,408.42,2002105,817707001,48972,1405319,70.19,2017,5,-0.75,Slight negative
GAIL,EQ,2017-05-18,408.30,406.35,409,401.50,403,404.75,407.03,2132140,867845090.30,39137,1405640,65.93,2017,5,-0.87,Slight negative
GAIL,EQ,2017-05-19,404.75,404,406.35,396,401.35,401.05,400.31,2847835,1140022072.40,64928,1922275,67.50,2017,5,-0.91,Slight negative
GAIL,EQ,2017-05-22,401.05,404.30,404.30,387.05,388.85,390.20,394.05,2356287,928506059.70,47455,982053,41.68,2017,5,-2.71,Negative
GAIL,EQ,2017-05-23,390.20,380.10,386.45,365.50,380,380.35,374.70,9935103,3722635322.05,103859,4352691,43.81,2017,5,-2.52,Negative
GAIL,EQ,2017-05-24,380.35,382,392.75,375.15,392,390.65,386.42,4051382,1565544720.25,67002,1782890,44.01,2017,5,2.71,Positive
GAIL,EQ,2017-05-25,390.65,392.55,403.95,391.90,396.80,401,399.79,7771785,3107071322.50,92446,5353155,68.88,2017,5,2.65,Positive
GAIL,EQ,2017-05-26,401,399.70,403,398,401.70,401.75,400.61,2024741,811127274.10,53478,1524152,75.28,2017,5,0.19,Slight
GAIL,EQ,2017-05-29,401.75,400,405.75,395.15,400.50,401.15,399.97,2131677,852614063.90,21058,1256936,58.96,2017,5,-0.15,Slight
GAIL,EQ,2017-05-30,401.15,398.15,408.55,398,406.40,405.45,405.55,2062918,836615924.10,44832,1255144,60.84,2017,5,1.07,Positive
GAIL,EQ,2017-05-31,405.45,406.40,417.80,406.40,413,414,413.02,7712717,3185518283.25,96928,6246802,80.99,2017,5,2.11,Positive
GAIL,EQ,2017-06-01,414,414,415,407.45,410.50,410.35,410.30,1704028,699162139.55,29092,1175295,68.97,2017,6,-0.88,Slight negative
GAIL,EQ,2017-06-02,410.35,411.25,413.40,399.50,401.60,402.35,403.17,2592907,1045393183.15,59428,1641469,63.31,2017,6,-1.95,Negative
GAIL,EQ,2017-06-05,402.35,402.10,404.80,397.05,397.90,398,400.73,1600250,641273683,24436,853305,53.32,2017,6,-1.08,Negative
GAIL,EQ,2017-06-06,398,398.35,404,394.25,398.85,398.90,399.58,1634672,653178079.25,31929,750577,45.92,2017,6,0.23,Slight
GAIL,EQ,2017-06-07,398.90,399.50,408.70,399.50,402.10,402.60,404.40,2110469,853477001.75,26293,760565,36.04,2017,6,0.93,Slight positive
GAIL,EQ,2017-06-08,402.60,402.50,404.55,384.55,385.25,388.60,391.51,3973648,1555733724.60,37408,2485385,62.55,2017,6,-3.48,Among top losers
GAIL,EQ,2017-06-09,388.60,388,388,378.45,381,381.15,381.54,3245904,1238428347.30,68096,1468159,45.23,2017,6,-1.92,Negative
GAIL,EQ,2017-06-12,381.15,381,387.25,376.65,380.90,381.40,384.03,2976063,1142893287.60,42087,1303506,43.80,2017,6,0.07,Slight
GAIL,EQ,2017-06-13,381.40,382,387,379.40,381.90,381.70,382.57,1863735,713009347.10,37069,1145228,61.45,2017,6,0.08,Slight
GAIL,EQ,2017-06-14,381.70,382.10,384.50,379,381.50,381.05,381.34,2284680,871243228.50,39313,1545587,67.65,2017,6,-0.17,Slight
GAIL,EQ,2017-06-15,381.05,380,381.15,373,377.10,376.60,375.62,4407491,1655561198.05,81426,2924252,66.35,2017,6,-1.17,Negative
GAIL,EQ,2017-06-16,376.60,378.65,381.50,377.25,379.55,378.35,379.18,3788173,1436390255.20,64307,2587029,68.29,2017,6,0.46,Slight
GAIL,EQ,2017-06-19,378.35,379.35,381.45,374.30,380.35,380.65,378.15,1720791,650716510.95,34544,744938,43.29,2017,6,0.61,Slight positive
GAIL,EQ,2017-06-20,380.65,380.65,383.40,373.70,375.20,375.20,377.45,2523237,952403530,43978,1086736,43.07,2017,6,-1.43,Negative
GAIL,EQ,2017-06-21,375.20,375.30,375.55,366.70,368,368.25,369.89,1810446,669669601,38044,964780,53.29,2017,6,-1.85,Negative
GAIL,EQ,2017-06-22,368.25,365.55,367.45,355.20,360.65,360.10,359.31,5673695,2038599028.10,93401,3442699,60.68,2017,6,-2.21,Negative
GAIL,EQ,2017-06-23,360.10,362.40,363.80,351,354.70,354.15,354.16,3540086,1253754142,106926,2413182,68.17,2017,6,-1.65,Negative
GAIL,EQ,2017-06-27,354.15,356,362.65,346.65,359.60,359.70,357.21,2786723,995438399.50,57648,1219636,43.77,2017,6,1.57,Positive
GAIL,EQ,2017-06-28,359.70,362.40,367.50,355.10,355.80,356.05,360.53,3167738,1142051460.75,44900,1390359,43.89,2017,6,-1.01,Negative
GAIL,EQ,2017-06-29,356.05,358,364.20,356.45,362,362.35,361.35,4080230,1474406347.45,51665,2294353,56.23,2017,6,1.77,Positive
GAIL,EQ,2017-06-30,362.35,361.90,363.90,355.30,362,361.45,360.07,1359544,489530279.40,14842,615795,45.29,2017,6,-0.25,Slight
GAIL,EQ,2017-07-03,361.45,362,367.75,359.10,367.20,367.10,365,1368858,499636199.20,23559,703784,51.41,2017,7,1.56,Positive
GAIL,EQ,2017-07-04,367.10,365.75,368.95,360.15,366,365.35,365.12,1561665,570200412.15,53249,944442,60.48,2017,7,-0.48,Slight
GAIL,EQ,2017-07-05,365.35,368,368,361.50,363.10,363.05,363.04,1182681,429355770.45,31550,614121,51.93,2017,7,-0.63,Slight negative
GAIL,EQ,2017-07-06,363.05,363.10,364.45,357.40,361.05,361.50,361.65,1848822,668618727,21453,1067165,57.72,2017,7,-0.43,Slight
GAIL,EQ,2017-07-07,361.50,361,361,355.50,359,358.95,358.32,2073789,743071589.95,35453,1052552,50.76,2017,7,-0.71,Slight negative
GAIL,EQ,2017-07-10,358.95,369,393.30,358,366,366,364.87,264486,96502306.80,4259,86732,32.79,2017,7,1.96,Positive
GAIL,EQ,2017-07-11,366,367.45,370.45,361.70,363.90,363.25,365.34,1067794,390105253.30,20059,536141,50.21,2017,7,-0.75,Slight negative
GAIL,EQ,2017-07-12,363.25,364.10,372.75,363.25,368.60,369.85,368.30,3562361,1312014328.05,48435,1928632,54.14,2017,7,1.82,Positive
