Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
HDFCBANK,EQ,2017-05-15,1551.65,1550,1557.20,1542.25,1553,1553.40,1550.73,701195,1087367599.80,15104,309282,44.11,2017,5,0,Slight
HDFCBANK,EQ,2017-05-16,1553.40,1555,1562,1548.25,1561.85,1559.65,1555.11,897594,1395856787.25,21073,347734,38.74,2017,5,0.00,Slight
HDFCBANK,EQ,2017-05-17,1559.65,1558.80,1565.40,1551.50,1557.50,1557.15,1557.51,868118,1352102516.90,32732,367931,42.38,2017,5,-0.00,Slight
HDFCBANK,EQ,2017-05-18,1557.15,1549,1561.50,1548.10,1557.50,1557.10,1556.99,776820,1209499656.15,13648,518101,66.70,2017,5,-0.00,Slight
HDFCBANK,EQ,2017-05-19,1557.10,1559.50,1569.90,1545.25,1568.05,1561.25,1556.93,713534,1110925609.25,18458,296680,41.58,2017,5,0.00,Slight
HDFCBANK,EQ,2017-05-22,1561.25,1565.10,1580,1563.10,1579,1576,1572.46,715013,1124331912.15,24974,413491,57.83,2017,5,0.01,Slight
HDFCBANK,EQ,2017-05-23,1576,1580,1583.55,1565,1569,1569.10,1575.09,770043,1212889747.95,17873,489628,63.58,2017,5,-0.00,Slight
HDFCBANK,EQ,2017-05-24,1569.10,1569.05,1575.45,1562,1567,1566.75,1566.76,866847,1358143699.60,34901,615909,71.05,2017,5,-0.00,Slight
HDFCBANK,EQ,2017-05-25,1566.75,1567.10,1629.40,1567.10,1613.25,1617.15,1605.26,5022701,8062757340,60075,3585041,71.38,2017,5,0.03,Slight
HDFCBANK,EQ,2017-05-26,1617.15,1606.65,1632,1601.10,1623,1626,1617.56,1360789,2201159155,31085,754482,55.44,2017,5,0.01,Slight
HDFCBANK,EQ,2017-05-29,1626,1619.80,1648,1617.65,1626.65,1631.90,1634.94,1479085,2418209870.85,48257,924191,62.48,2017,5,0.00,Slight
HDFCBANK,EQ,2017-05-30,1631.90,1630,1633.50,1616.15,1631.40,1629.05,1622.75,1108546,1798890005,26377,592343,53.43,2017,5,-0.00,Slight
HDFCBANK,EQ,2017-05-31,1629.05,1625,1643,1623.15,1640,1636.20,1631.48,1329728,2169429926.80,18717,926698,69.69,2017,5,0.00,Slight
HDFCBANK,EQ,2017-06-01,1636.20,1639,1639.85,1620.55,1627,1628.60,1630.91,839885,1369779680.10,21114,481729,57.36,2017,6,-0.00,Slight
