Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
HEROMOTOCO,EQ,2017-05-15,3541.50,3541,3558,3504.60,3518,3515.45,3519.65,215587,758790616.85,17129,110769,51.38,2017,5,0,Slight
HEROMOTOCO,EQ,2017-05-16,3515.45,3529.50,3631.80,3491.10,3623,3619.40,3561.42,372398,1326265605.95,33654,147610,39.64,2017,5,2.96,Positive
HEROMOTOCO,EQ,2017-05-17,3619.40,3615,3683.95,3595.05,3634.10,3645.95,3651.06,338342,1235308259.25,27003,160855,47.54,2017,5,0.73,Slight positive
HEROMOTOCO,EQ,2017-05-18,3645.95,3600,3639,3577.05,3586,3592.05,3602.46,294013,1059169584.35,23822,143430,48.78,2017,5,-1.48,Negative
HEROMOTOCO,EQ,2017-05-19,3592.05,3597,3656,3533.75,3565,3571.65,3593.06,270446,971728391,26291,113208,41.86,2017,5,-0.57,Slight negative
HEROMOTOCO,EQ,2017-05-22,3571.65,3596.75,3645,3550.95,3580.15,3562.45,3591.90,255829,918911777.80,22156,119621,46.76,2017,5,-0.26,Slight
HEROMOTOCO,EQ,2017-05-23,3562.45,3593.90,3619,3550,3579,3585,3584.05,199447,714828089.40,27413,78193,39.20,2017,5,0.63,Slight positive
HEROMOTOCO,EQ,2017-05-24,3585,3585,3612.30,3527.20,3560,3567.60,3570.22,256025,914065392.85,39984,166139,64.89,2017,5,-0.49,Slight
HEROMOTOCO,EQ,2017-05-25,3567.60,3567.60,3645.25,3527.15,3640,3625.85,3588.29,253648,910162981.05,31288,124004,48.89,2017,5,1.63,Positive
HEROMOTOCO,EQ,2017-05-26,3625.85,3626.10,3660.10,3605.60,3620,3618.40,3636.04,193039,701897907.85,21195,85002,44.03,2017,5,-0.21,Slight
HEROMOTOCO,EQ,2017-05-29,3618.40,3621.90,3678.45,3590.55,3675,3665.80,3641.01,211133,768738284.25,16843,68418,32.41,2017,5,1.31,Positive
HEROMOTOCO,EQ,2017-05-30,3665.80,3660,3748,3660,3736,3740.35,3710.50,347224,1288374717.15,22493,171293,49.33,2017,5,2.03,Positive
HEROMOTOCO,EQ,2017-05-31,3740.35,3735,3762,3721.20,3760,3745.45,3741.86,424001,1586554078.15,49480,273792,64.57,2017,5,0.14,Slight
HEROMOTOCO,EQ,2017-06-01,3745.45,3742,3815,3708.80,3730,3733.35,3776.56,451621,1705571882.15,37325,279018,61.78,2017,6,-0.32,Slight
HEROMOTOCO,EQ,2017-06-02,3733.35,3758.80,3857.50,3750,3849.95,3849.75,3827.99,570351,2183296767.40,35344,275420,48.29,2017,6,3.12,Among top gainers
HEROMOTOCO,EQ,2017-06-05,3849.75,3850,3880.55,3821.25,3830.55,3834.95,3847.29,181146,696921627.70,21548,70089,38.69,2017,6,-0.38,Slight
HEROMOTOCO,EQ,2017-06-06,3834.95,3844,3844,3785.05,3803.15,3799.95,3803.95,119591,454918762.75,8696,39881,33.35,2017,6,-0.91,Slight negative
HEROMOTOCO,EQ,2017-06-07,3799.95,3803.85,3856.05,3803.85,3841,3843.25,3844.22,426059,1637862448.85,44951,294488,69.12,2017,6,1.14,Positive
HEROMOTOCO,EQ,2017-06-08,3843.25,3847,3859,3778.25,3783.95,3784.45,3800.49,256253,973887835.25,35814,167153,65.23,2017,6,-1.53,Negative
HEROMOTOCO,EQ,2017-06-09,3784.45,3796.30,3800.50,3755.60,3786,3780.10,3779.46,302560,1143513647.50,19861,198672,65.66,2017,6,-0.11,Slight
HEROMOTOCO,EQ,2017-06-12,3780.10,3777,3790,3760.35,3771.05,3773.25,3779.97,182605,690242211,17760,117935,64.58,2017,6,-0.18,Slight
HEROMOTOCO,EQ,2017-06-13,3773.25,3780,3785.35,3742.25,3751,3752.50,3765.91,212476,800166535.50,16843,128289,60.38,2017,6,-0.55,Slight negative
