Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
INFRATEL,EQ,2017-05-15,374.70,375.80,375.80,368.65,372,371.05,371.08,761032,282404441.40,27740,357531,46.98,2017,5,0,Slight
INFRATEL,EQ,2017-05-16,371.05,371.15,380.85,370.05,375.75,376.55,377.05,1346372,507645858.50,42924,677288,50.30,2017,5,1.48,Positive
INFRATEL,EQ,2017-05-17,376.55,377.60,396.50,375.10,388.95,389.90,383.22,2268036,869162931.10,83975,1371275,60.46,2017,5,3.55,Among top gainers
INFRATEL,EQ,2017-05-18,389.90,388.40,388.85,377,378.55,378.90,382.60,2014628,770791008.20,50270,1025637,50.91,2017,5,-2.82,Negative
INFRATEL,EQ,2017-05-19,378.90,381.10,387.50,374.85,379.40,378.95,379.43,2031322,770752524.35,63099,1020560,50.24,2017,5,0.01,Slight
INFRATEL,EQ,2017-05-22,378.95,383.70,389.30,376.15,388.20,387.95,385.56,2772691,1069052134,73071,1228540,44.31,2017,5,2.37,Positive
INFRATEL,EQ,2017-05-23,387.95,385,390,378.40,379.90,379.85,382.84,3811223,1459070783.70,60957,2039492,53.51,2017,5,-2.09,Negative
INFRATEL,EQ,2017-05-24,379.85,379.85,382,367.20,368.45,369,372.49,3134390,1167520763.55,83856,1860115,59.35,2017,5,-2.86,Negative
INFRATEL,EQ,2017-05-25,369,369.10,376.35,365.85,368.70,373.50,371.80,7287977,2709679898.70,89929,6053646,83.06,2017,5,1.22,Positive
INFRATEL,EQ,2017-05-26,373.50,370,377.20,366.30,369.50,369.95,371.45,1918463,712610729,43541,788763,41.11,2017,5,-0.95,Slight negative
INFRATEL,EQ,2017-05-29,369.95,370,381.40,367.70,377.10,379.35,376.57,3887542,1463947606.95,54997,2827505,72.73,2017,5,2.54,Positive
INFRATEL,EQ,2017-05-30,379.35,379.35,379.85,365.65,373,372.25,371.46,1273594,473092028.40,28694,420437,33.01,2017,5,-1.87,Negative
INFRATEL,EQ,2017-05-31,372.25,374.25,374.35,360.65,368.20,366.60,365.34,3613527,1320155619.05,132010,2260332,62.55,2017,5,-1.52,Negative
INFRATEL,EQ,2017-06-01,366.60,370.10,379.45,369.80,377,376.25,375.07,2505966,939912213.15,50681,1369539,54.65,2017,6,2.63,Positive
INFRATEL,EQ,2017-06-02,376.25,376.45,382.90,371,373.30,374.65,376.87,1334349,502873542.40,37710,496717,37.23,2017,6,-0.43,Slight
INFRATEL,EQ,2017-06-05,374.65,381.30,384.90,375.60,380.55,382.45,381.61,3563721,1359941983.55,74109,1871029,52.50,2017,6,2.08,Positive
INFRATEL,EQ,2017-06-06,382.45,383,388.90,379.80,384.70,383.15,384.02,2537956,974632973.95,53194,1811141,71.36,2017,6,0.18,Slight
INFRATEL,EQ,2017-06-07,383.15,385.75,388.60,379.70,380.40,383.20,383.79,1610112,617938455.05,45025,812548,50.47,2017,6,0.01,Slight
INFRATEL,EQ,2017-06-08,383.20,383,383.10,374.80,379.50,379.85,378.44,1107704,419194066.15,20214,342689,30.94,2017,6,-0.87,Slight negative
INFRATEL,EQ,2017-06-09,379.85,379.85,384.75,377.10,383,382.65,381.29,1545424,589254785.90,34955,494657,32.01,2017,6,0.74,Slight positive
INFRATEL,EQ,2017-06-12,382.65,380.55,386,376.80,384.75,384.75,382.05,1660758,634484310.35,47895,728996,43.90,2017,6,0.55,Slight positive
INFRATEL,EQ,2017-06-13,384.75,385,389.85,379.55,381.55,384.20,384.56,1863956,716802446.45,38488,580484,31.14,2017,6,-0.14,Slight
INFRATEL,EQ,2017-06-14,384.20,382.70,387.40,381.45,386.90,386.10,384.75,1317476,506897019.55,39782,825288,62.64,2017,6,0.49,Slight
INFRATEL,EQ,2017-06-15,386.10,385.30,389.10,370.65,378.25,374.80,378.94,2369536,897923562.70,33682,1201629,50.71,2017,6,-2.93,Negative
INFRATEL,EQ,2017-06-16,374.80,374.80,384.65,373.25,375,375.10,379.31,2699975,1024121008.90,53617,1350780,50.03,2017,6,0.08,Slight
INFRATEL,EQ,2017-06-19,375.10,376,383.90,373.50,375.05,376.55,380.64,2163886,823666461.20,50329,1353450,62.55,2017,6,0.39,Slight
INFRATEL,EQ,2017-06-20,376.55,377.15,381.50,375.70,377.75,377.10,378.48,1331396,503909527.95,27127,283356,21.28,2017,6,0.15,Slight
INFRATEL,EQ,2017-06-21,377.10,377.50,378.10,370.50,371.05,371.70,374.03,2388975,893538570.70,67053,1379532,57.75,2017,6,-1.43,Negative
INFRATEL,EQ,2017-06-22,371.70,372.20,376.50,371,374.90,375,374.83,1120673,420060242.70,40145,595546,53.14,2017,6,0.89,Slight positive
INFRATEL,EQ,2017-06-23,375,377.35,378.55,371.05,372.50,372.15,375.39,2156583,809553208.85,61112,981685,45.52,2017,6,-0.76,Slight negative
INFRATEL,EQ,2017-06-27,372.15,373.70,375.90,368.80,372.65,373.30,373.23,1850097,690519836.75,64523,1074997,58.10,2017,6,0.31,Slight
INFRATEL,EQ,2017-06-28,373.30,372.60,379.95,371.10,379.30,376.45,373.66,1768602,660848264.60,33839,1296489,73.31,2017,6,0.84,Slight positive
INFRATEL,EQ,2017-06-29,376.45,379.90,382.50,374.25,375.45,378.20,378.89,5450689,2065236593.60,101550,3142730,57.66,2017,6,0.46,Slight
INFRATEL,EQ,2017-06-30,378.20,375,377.05,371.25,374,374.55,373.63,980667,366404153.30,19464,552996,56.39,2017,6,-0.97,Slight negative
INFRATEL,EQ,2017-07-03,374.55,374.50,399.90,374.45,398,397.75,391.57,4181712,1637449786,65358,2066573,49.42,2017,7,6.19,Among top gainers
INFRATEL,EQ,2017-07-04,397.75,399.80,405.90,396.60,402,401.55,402.02,2412278,969779026.35,42566,766981,31.79,2017,7,0.96,Slight positive
INFRATEL,EQ,2017-07-05,401.55,397.75,405.75,397.75,403.50,403.05,402.57,1039605,418513502.75,22627,442453,42.56,2017,7,0.37,Slight
INFRATEL,EQ,2017-07-06,403.05,403.55,416.20,398.60,415,414.70,409.04,2220499,908280558.85,52165,956315,43.07,2017,7,2.89,Positive
INFRATEL,EQ,2017-07-07,414.70,413,414.65,402.15,407.05,404.35,406.07,2673281,1085550146.40,47500,1433912,53.64,2017,7,-2.50,Negative
INFRATEL,EQ,2017-07-10,404.35,415,415,404,408,410.30,407.62,1255267,511667882.40,8681,1012975,80.70,2017,7,1.47,Positive
