Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
M&amp;M,EQ,2017-05-15,1367.85,1373,1386.65,1370,1374.80,1375.65,1378.31,558190,769357918.15,38442,386664,69.27,2017,5,0,Slight
M&amp;M,EQ,2017-05-16,1375.65,1377,1380.50,1363.10,1364.15,1366.35,1371.22,516012,707563396.95,29075,334469,64.82,2017,5,-0.68,Slight negative
M&amp;M,EQ,2017-05-17,1366.35,1363,1384.35,1360.40,1379,1378.80,1378.56,920884,1269496569.50,32299,689649,74.89,2017,5,0.91,Slight positive
M&amp;M,EQ,2017-05-18,1378.80,1369,1372,1347.50,1347.50,1352.85,1361.70,1217846,1658344015.40,20476,1043736,85.70,2017,5,-1.88,Negative
M&amp;M,EQ,2017-05-19,1352.85,1350,1357.60,1328.50,1338.20,1333.40,1344.80,976742,1313521664.40,36297,773590,79.20,2017,5,-1.44,Negative
M&amp;M,EQ,2017-05-22,1333.40,1340.15,1341.95,1301.10,1307,1306.25,1313.89,436797,573901073.90,26521,261661,59.90,2017,5,-2.04,Negative
M&amp;M,EQ,2017-05-23,1306.25,1315,1338.35,1300,1328.35,1331.75,1324.90,780182,1033663448.90,40561,445992,57.17,2017,5,1.95,Positive
M&amp;M,EQ,2017-05-24,1331.75,1331.50,1338.80,1301.45,1308,1308.65,1314.05,625683,822180435,29997,382266,61.10,2017,5,-1.73,Negative
M&amp;M,EQ,2017-05-25,1308.65,1311,1335.90,1304,1335.90,1327.50,1321.97,1456698,1925707945.30,60911,1095811,75.23,2017,5,1.44,Positive
M&amp;M,EQ,2017-05-26,1327.50,1334,1348.90,1327.50,1341,1340.85,1339.17,335223,448919973.95,16125,156414,46.66,2017,5,1.01,Positive
M&amp;M,EQ,2017-05-29,1340.85,1345,1375.75,1327.40,1362.90,1360.05,1353.03,1058764,1432543453.90,37535,603995,57.05,2017,5,1.43,Positive
M&amp;M,EQ,2017-05-30,1360.05,1364,1379,1342.30,1367.65,1361.10,1362.54,2223885,3030140652.25,68059,815525,36.67,2017,5,0.08,Slight
M&amp;M,EQ,2017-05-31,1361.10,1392.50,1448.50,1392,1413.70,1416.95,1424.14,3941786,5613656174.25,146225,1848666,46.90,2017,5,4.10,Among top gainers
