Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
RELIANCE,EQ,2017-05-15,1350.45,1356.40,1356.40,1333.50,1343.60,1344.10,1344.22,1540213,2070378803.20,75812,802733,52.12,2017,5,0,Slight
RELIANCE,EQ,2017-05-16,1344.10,1346.05,1376.90,1341,1356.20,1356.30,1360.59,2892947,3936121463.60,79767,1238129,42.80,2017,5,0.01,Slight
RELIANCE,EQ,2017-05-17,1356.30,1353,1365.95,1347.75,1350,1353.10,1354.16,2250304,3047263294.20,56277,1225837,54.47,2017,5,-0.00,Slight
RELIANCE,EQ,2017-05-18,1353.10,1340.25,1350,1324.10,1327.45,1327.35,1336.14,2237916,2990177747.20,84723,1339478,59.85,2017,5,-0.02,Slight
RELIANCE,EQ,2017-05-19,1327.35,1333,1335.70,1310,1318.20,1318.85,1321.99,2928883,3871939701.45,115988,1444387,49.32,2017,5,-0.01,Slight
RELIANCE,EQ,2017-05-22,1318.85,1326.50,1333.60,1315.20,1326,1324.15,1322.82,2011859,2661318292.65,89828,1123947,55.87,2017,5,0.00,Slight
RELIANCE,EQ,2017-05-23,1324.15,1325.70,1329.85,1302,1304.55,1305.55,1313.55,2108223,2769246986.80,81667,1172410,55.61,2017,5,-0.01,Slight
RELIANCE,EQ,2017-05-24,1305.55,1307.50,1313.70,1295.10,1299,1297.70,1302.71,3274804,4266122161.80,78535,1782580,54.43,2017,5,-0.01,Slight
RELIANCE,EQ,2017-05-25,1297.70,1300,1312.40,1296.45,1301.50,1302.45,1303.19,5925335,7721842990.45,114553,4678965,78.97,2017,5,0.00,Slight
RELIANCE,EQ,2017-05-26,1302.45,1303.95,1344.40,1300,1339,1337.30,1320.18,4898639,6467102968.55,111248,2843822,58.05,2017,5,0.03,Slight
RELIANCE,EQ,2017-05-29,1337.30,1337,1365.45,1335.60,1355.25,1356.90,1352.77,5491170,7428268296.70,88604,2590759,47.18,2017,5,0.01,Slight
