Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
TCS,EQ,2017-05-15,2360.65,2375.10,2377.95,2341.60,2368,2365.10,2352.60,908802,2138043383,30047,712450,78.39,2017,5,0,Slight
TCS,EQ,2017-05-16,2365.10,2380,2435,2373.45,2425.10,2429.15,2410.26,1800513,4339703206.25,58476,1167534,64.84,2017,5,2.71,Positive
TCS,EQ,2017-05-17,2429.15,2433.50,2460.75,2423,2450,2455.35,2443.31,1438099,3513728629.80,86412,1031752,71.74,2017,5,1.08,Positive
TCS,EQ,2017-05-18,2455.35,2450,2572,2442.25,2525,2536.20,2525.78,2569297,6489478324.85,111566,1135613,44.20,2017,5,3.29,Among top gainers
TCS,EQ,2017-05-19,2536.20,2536.20,2540.55,2486,2503.85,2507.15,2506.58,893022,2238429862.60,63112,517461,57.94,2017,5,-1.15,Negative
TCS,EQ,2017-05-22,2507.15,2510,2553.75,2510,2535,2531.35,2530.69,831970,2105461143.45,53261,509741,61.27,2017,5,0.97,Slight positive
TCS,EQ,2017-05-23,2531.35,2533.20,2564.15,2514,2523.70,2521.70,2530.49,1374298,3477645339.05,88749,995551,72.44,2017,5,-0.38,Slight
TCS,EQ,2017-05-24,2521.70,2534.80,2570,2529.65,2567.10,2559.15,2545.01,1267274,3225227837.35,58716,918505,72.48,2017,5,1.49,Positive
TCS,EQ,2017-05-25,2559.15,2577,2637.55,2568,2615.05,2624.60,2605.40,2047047,5333377224.30,87147,1180439,57.67,2017,5,2.56,Positive
TCS,EQ,2017-05-26,2624.60,2625,2626.85,2564.65,2570.05,2578.25,2593,681275,1766542910.70,32170,390827,57.37,2017,5,-1.77,Negative
TCS,EQ,2017-05-29,2578.25,2579,2596.50,2564,2572,2572.85,2577.65,874645,2254524743.95,41767,635375,72.64,2017,5,-0.21,Slight
TCS,EQ,2017-05-30,2572.85,2560,2575.95,2525,2548.20,2551.10,2554.74,463817,1184932112.45,26766,246206,53.08,2017,5,-0.85,Slight negative
TCS,EQ,2017-05-31,2551.10,2533,2572.50,2528,2539.95,2546.60,2549.69,1251365,3190589291.10,103176,925467,73.96,2017,5,-0.18,Slight
TCS,EQ,2017-06-01,2546.60,2530,2564,2530,2553,2553.60,2552.85,540032,1378618493.35,38315,370004,68.52,2017,6,0.27,Slight
TCS,EQ,2017-06-02,2553.60,2556.25,2591.85,2552.50,2560,2564.90,2568.84,677824,1741220234.05,43736,511928,75.53,2017,6,0.44,Slight
TCS,EQ,2017-06-05,2564.90,2565,2619.90,2560.15,2616,2603.95,2577.20,750094,1933140402.50,39041,490594,65.40,2017,6,1.52,Positive
TCS,EQ,2017-06-06,2603.95,2631,2708.95,2630,2705,2696,2693.18,2973360,8007780799,132494,1888281,63.51,2017,6,3.54,Among top gainers
TCS,EQ,2017-06-07,2696,2697,2700,2576.55,2613.95,2615.25,2624.95,2463888,6467588528.80,109104,1265805,51.37,2017,6,-3.00,Negative
TCS,EQ,2017-06-08,2615.25,2598,2604.95,2515.50,2520,2521.60,2543.44,1665357,4235730503.25,80468,678314,40.73,2017,6,-3.58,Among top losers
TCS,EQ,2017-06-09,2521.60,2520,2547.40,2486,2518.60,2507,2513.28,1574017,3955950265.40,83931,599286,38.07,2017,6,-0.58,Slight negative
TCS,EQ,2017-06-12,2507,2497,2512.90,2470.40,2484.90,2487.20,2487.48,813253,2022948074.30,44849,306655,37.71,2017,6,-0.79,Slight negative
TCS,EQ,2017-06-13,2487.20,2465,2481.10,2447,2450,2451.55,2464.89,587707,1448635342.35,52410,268108,45.62,2017,6,-1.43,Negative
TCS,EQ,2017-06-14,2451.55,2455,2476,2455,2465.40,2470.20,2469.41,744571,1838650964,42987,456486,61.31,2017,6,0.76,Slight positive
