Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
TITAN,EQ,2017-05-15,495,489.65,490,472.40,486,483.65,479.93,3897357,1870464545.25,52478,1722661,44.20,2017,5,0,Slight
TITAN,EQ,2017-05-16,483.65,486,491,480.80,490,488.30,487.32,1308863,637831624.70,33942,563667,43.07,2017,5,0.01,Slight
TITAN,EQ,2017-05-17,488.30,490,490.10,477.30,481,481.75,482.25,859054,414281441.95,26686,448314,52.19,2017,5,-0.01,Slight
TITAN,EQ,2017-05-18,481.75,479,482.60,470.05,470.85,471.65,474.78,811219,385152612.25,24621,438716,54.08,2017,5,-0.02,Slight
TITAN,EQ,2017-05-19,471.65,475,479.50,460.35,469.65,471.15,469.05,1022479,479589060.05,27225,263561,25.78,2017,5,-0.00,Slight
TITAN,EQ,2017-05-22,471.15,474,483.75,472.20,481.90,481.40,478.30,1725108,825127681.65,25751,777453,45.07,2017,5,0.02,Slight
TITAN,EQ,2017-05-23,481.40,478.65,485.60,472.95,475.85,478.35,479.94,1651642,792690042.50,38743,766712,46.42,2017,5,-0.01,Slight
TITAN,EQ,2017-05-24,478.35,474.25,478.95,460.10,470.45,469.20,469.91,1477366,694229941,35081,959757,64.96,2017,5,-0.02,Slight
TITAN,EQ,2017-05-25,469.20,471.10,471.85,461,464,463.90,466.31,974154,454254480.25,24584,557552,57.23,2017,5,-0.01,Slight
TITAN,EQ,2017-05-26,463.90,464.80,477.95,462.90,471,473.45,469.18,1594613,748163103.90,44946,695755,43.63,2017,5,0.02,Slight
TITAN,EQ,2017-05-29,473.45,471.80,494.15,469,470.10,470.65,480.91,2314193,1112912577.10,41024,562642,24.31,2017,5,-0.01,Slight
TITAN,EQ,2017-05-30,470.65,470,471,462.45,470.10,469.80,467.57,1496350,699648238.95,17891,1082365,72.33,2017,5,-0.00,Slight
TITAN,EQ,2017-05-31,469.80,469.40,480,467.55,474.90,474.90,473.05,1366115,646237924.15,52831,671044,49.12,2017,5,0.01,Slight
