Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
AMARAJABAT,EQ,2017-05-15,926.25,928.20,938.95,928,929.10,933.40,934.34,442351,413307446.90,16295,194376,43.94,2017,5,0,Slight
AMARAJABAT,EQ,2017-05-16,933.40,937.30,937.30,917.40,923,924.70,928.74,302097,280570514.40,10098,139993,46.34,2017,5,-0.93,Slight negative
AMARAJABAT,EQ,2017-05-17,924.70,924,941,920.85,935.20,937.70,935.89,449382,420573432.55,12467,212942,47.39,2017,5,1.41,Positive
AMARAJABAT,EQ,2017-05-18,937.70,932.45,932.45,906,912.85,912.10,920,251893,231741646.45,8547,90560,35.95,2017,5,-2.73,Negative
AMARAJABAT,EQ,2017-05-19,912.10,919,922.50,887.15,897.95,895.75,904.07,210088,189935162.10,7711,64656,30.78,2017,5,-1.79,Negative
AMARAJABAT,EQ,2017-05-22,895.75,902.30,905.80,875.05,875.30,877.70,890.40,255592,227578528.95,10813,104615,40.93,2017,5,-2.02,Negative
AMARAJABAT,EQ,2017-05-23,877.70,878.70,889.15,860.50,869,874.20,876.86,451773,396140173.60,14140,199107,44.07,2017,5,-0.40,Slight
AMARAJABAT,EQ,2017-05-24,874.20,874.90,886.35,805.70,830.15,835.65,841.26,1862271,1566652531.45,39701,669714,35.96,2017,5,-4.41,Among top losers
AMARAJABAT,EQ,2017-05-25,835.65,833,848.15,824.05,839.95,837.45,836.49,402168,336410596.70,15675,131928,32.80,2017,5,0.22,Slight
AMARAJABAT,EQ,2017-05-26,837.45,839.80,877.50,838.20,863.55,865.85,863.83,624926,539830867.40,23249,347241,55.57,2017,5,3.39,Among top gainers
AMARAJABAT,EQ,2017-05-29,865.85,865.40,866,842.10,860,858.35,855.47,297787,254749071.65,7755,156768,52.64,2017,5,-0.87,Slight negative
AMARAJABAT,EQ,2017-05-30,858.35,859.65,870,846.20,866.05,868.35,863.64,229799,198463402.40,8251,88666,38.58,2017,5,1.17,Positive
AMARAJABAT,EQ,2017-05-31,868.35,868,882.80,868,880,874.40,876.07,233268,204358189.35,10975,110342,47.30,2017,5,0.70,Slight positive
AMARAJABAT,EQ,2017-06-01,874.40,872,879.05,863.20,870,868.25,870.76,220491,191994444.05,8756,109647,49.73,2017,6,-0.70,Slight negative
AMARAJABAT,EQ,2017-06-02,868.25,868.95,877.45,865.60,873.40,873.65,872.17,177113,154472519.35,14321,77816,43.94,2017,6,0.62,Slight positive
AMARAJABAT,EQ,2017-06-05,873.65,874.90,882.70,872,881.80,880.15,878.61,148500,130473681,13032,86063,57.95,2017,6,0.74,Slight positive
AMARAJABAT,EQ,2017-06-06,880.15,885,887,873.05,873.20,877.90,880.18,232079,204272103.35,9071,144954,62.46,2017,6,-0.26,Slight
AMARAJABAT,EQ,2017-06-07,877.90,876.10,881.60,870.05,873,874.25,875.37,171190,149855326.30,8634,84580,49.41,2017,6,-0.42,Slight
AMARAJABAT,EQ,2017-06-08,874.25,875,879.85,863.50,865.50,866.95,866.99,178292,154577747.90,8143,96363,54.05,2017,6,-0.84,Slight negative
AMARAJABAT,EQ,2017-06-09,866.95,871.50,871.50,856.65,858.25,860.85,860.49,285938,246046191.50,5894,205165,71.75,2017,6,-0.70,Slight negative
AMARAJABAT,EQ,2017-06-12,860.85,854,855.50,845,846.95,847.90,848.49,348723,295888873.65,11303,196626,56.38,2017,6,-1.50,Negative
AMARAJABAT,EQ,2017-06-13,847.90,850,855.10,838,838.55,841.15,844.56,374311,316129871.85,14565,209188,55.89,2017,6,-0.80,Slight negative
AMARAJABAT,EQ,2017-06-14,841.15,841.95,846.55,832,845,844.10,840.58,175870,147832928.20,9289,62183,35.36,2017,6,0.35,Slight
AMARAJABAT,EQ,2017-06-15,844.10,845,845.05,836,838.80,838.10,840.07,198311,166594646.40,8316,118632,59.82,2017,6,-0.71,Slight negative
AMARAJABAT,EQ,2017-06-16,838.10,845,849,837.05,839.45,839.55,841.50,197839,166481225.95,7761,71728,36.26,2017,6,0.17,Slight
AMARAJABAT,EQ,2017-06-19,839.55,840,846,834.10,836.85,837.10,839.36,220421,185011811.60,12813,86042,39.04,2017,6,-0.29,Slight
AMARAJABAT,EQ,2017-06-20,837.10,837,843.20,834,834,835.25,839.53,900924,756355730.30,11233,823999,91.46,2017,6,-0.22,Slight
AMARAJABAT,EQ,2017-06-21,835.25,835.95,847.55,829.85,841,841.95,841.78,360134,303152141.70,16478,226995,63.03,2017,6,0.80,Slight positive
AMARAJABAT,EQ,2017-06-22,841.95,844.40,854.80,842.40,849,849.75,850.53,591602,503173824.35,16612,401079,67.80,2017,6,0.93,Slight positive
AMARAJABAT,EQ,2017-06-23,849.75,849,853.80,837.40,840,839.95,840.91,144488,121501256.60,5019,77387,53.56,2017,6,-1.15,Negative
AMARAJABAT,EQ,2017-06-27,839.95,842.40,842.40,830.30,839.05,839.30,836.76,258937,216668153,10393,191212,73.84,2017,6,-0.08,Slight
AMARAJABAT,EQ,2017-06-28,839.30,837,846.60,834.05,837.05,839.40,840.77,324581,272898499.25,10262,207753,64.01,2017,6,0.01,Slight
AMARAJABAT,EQ,2017-06-29,839.40,839,851.65,835.05,837,837.40,842.78,267665,225583730.70,6498,132567,49.53,2017,6,-0.24,Slight
AMARAJABAT,EQ,2017-06-30,837.40,834,841.80,829.10,841.80,839.60,835.33,212049,177130563.55,8541,89132,42.03,2017,6,0.26,Slight
AMARAJABAT,EQ,2017-07-03,839.60,840,843.80,837.50,840.80,841.50,841.53,84211,70866387.55,3471,32420,38.50,2017,7,0.23,Slight
AMARAJABAT,EQ,2017-07-04,841.50,843.60,858.35,831.70,856.30,856.40,848.90,451281,383090735.60,11200,125781,27.87,2017,7,1.77,Positive
AMARAJABAT,EQ,2017-07-05,856.40,862,863.40,845,848.50,848.30,851.58,516287,439658923.15,15985,310858,60.21,2017,7,-0.95,Slight negative
AMARAJABAT,EQ,2017-07-06,848.30,853.75,854.90,843.20,846.60,846.50,850.67,126333,107467554.40,6463,64077,50.72,2017,7,-0.21,Slight
AMARAJABAT,EQ,2017-07-07,846.50,846.20,861.25,842.25,858.10,859.10,854.61,245904,210151836.10,10010,147428,59.95,2017,7,1.49,Positive
AMARAJABAT,EQ,2017-07-10,859.10,866.60,870.55,859,865.95,866.35,867.13,63717,55251164.80,2455,36629,57.49,2017,7,0.84,Slight positive
AMARAJABAT,EQ,2017-07-11,866.35,866,872.40,847.55,853.85,850.35,854.55,509100,435052379.20,8976,334529,65.71,2017,7,-1.85,Negative
AMARAJABAT,EQ,2017-07-12,850.35,850.35,868,850,851.55,851.95,855.45,501930,429373756.55,9795,305329,60.83,2017,7,0.19,Slight
AMARAJABAT,EQ,2017-07-13,851.95,854.95,857.45,848.55,852.20,852.15,851.79,181074,154236372.45,10655,109261,60.34,2017,7,0.02,Slight
AMARAJABAT,EQ,2017-07-14,852.15,856,856.05,843.05,843.55,844.55,847.85,325762,276198055.60,16392,175096,53.75,2017,7,-0.89,Slight negative
AMARAJABAT,EQ,2017-07-17,844.55,846.55,852.50,838.50,839.50,840.15,842.68,389856,328525467.40,8459,292622,75.06,2017,7,-0.52,Slight negative
AMARAJABAT,EQ,2017-07-18,840.15,842,848,835.70,843,843.10,843.59,150762,127180851,7687,71365,47.34,2017,7,0.35,Slight
AMARAJABAT,EQ,2017-07-19,843.10,843.90,847,832.80,835,834.20,836.35,615560,514820548.30,8815,486247,78.99,2017,7,-1.06,Negative
AMARAJABAT,EQ,2017-07-20,834.20,836.40,840,828.45,834.90,833.75,835.56,199702,166862946.80,5392,125585,62.89,2017,7,-0.05,Slight
AMARAJABAT,EQ,2017-07-21,833.75,834,842.50,834,841,839.10,839.48,269636,226353049.90,12928,95651,35.47,2017,7,0.64,Slight positive
AMARAJABAT,EQ,2017-07-24,839.10,840.15,848.85,840.15,844,843.25,845.03,162940,137689932.40,6902,62319,38.25,2017,7,0.49,Slight
AMARAJABAT,EQ,2017-07-25,843.25,845.90,848,843,846.40,846.05,845.29,177983,150447751.25,9670,84495,47.47,2017,7,0.33,Slight
AMARAJABAT,EQ,2017-07-26,846.05,842,852,842,848,847.65,848.14,172325,146155047.90,8522,53500,31.05,2017,7,0.19,Slight
AMARAJABAT,EQ,2017-07-27,847.65,852.50,854.40,838,842.95,846.95,848.12,269211,228322225.60,10159,126687,47.06,2017,7,-0.08,Slight
AMARAJABAT,EQ,2017-07-28,846.95,841,843.80,838,841,840.50,840.65,67097,56404843.65,2787,24142,35.98,2017,7,-0.76,Slight negative
AMARAJABAT,EQ,2017-07-31,840.50,841.05,843,833,835.40,834.40,835.46,178063,148764852.95,8687,91523,51.40,2017,7,-0.73,Slight negative
AMARAJABAT,EQ,2017-08-01,834.40,839.95,850.70,834,847.50,847.45,842.91,171042,144172245.80,7852,57538,33.64,2017,8,1.56,Positive
AMARAJABAT,EQ,2017-08-02,847.45,844.05,851,840,840.65,842.70,845.25,100464,84916783.95,4777,41385,41.19,2017,8,-0.56,Slight negative
AMARAJABAT,EQ,2017-08-03,842.70,842,844.10,815,818,817.65,827.83,256160,212057202.05,14504,130544,50.96,2017,8,-2.97,Negative
AMARAJABAT,EQ,2017-08-04,817.65,818,818.95,787.30,804,805.80,800.86,487344,390296687.25,17965,198881,40.81,2017,8,-1.45,Negative
AMARAJABAT,EQ,2017-08-07,805.80,809.65,835,792.85,814.40,821.25,821.12,1235383,1014399931.35,29266,231973,18.78,2017,8,1.92,Positive
AMARAJABAT,EQ,2017-08-08,821.25,824.95,825.35,793,800.60,800.95,804.57,575935,463380645.50,19296,202240,35.12,2017,8,-2.47,Negative
AMARAJABAT,EQ,2017-08-09,800.95,798,811.95,789.75,802,805.20,801.81,674420,540757715.15,21758,410158,60.82,2017,8,0.53,Slight positive
AMARAJABAT,EQ,2017-08-10,805.20,806.90,813.65,794.15,801.45,800.25,802.14,213527,171278263,6284,62746,29.39,2017,8,-0.61,Slight negative
AMARAJABAT,EQ,2017-08-11,800.25,798,811.20,785,798,801.20,803.02,719248,577567800.45,9002,555710,77.26,2017,8,0.12,Slight
AMARAJABAT,EQ,2017-08-14,801.20,804.85,815,800.05,811.50,811.25,805.97,1104698,890354365.30,9849,954100,86.37,2017,8,1.25,Positive
AMARAJABAT,EQ,2017-08-16,811.25,820,831.50,808,813.20,813,819.47,346165,283672879.70,17042,126385,36.51,2017,8,0.22,Slight
AMARAJABAT,EQ,2017-08-17,813,815.25,819.80,804.10,808,806,810.18,114501,92766590.60,5529,41489,36.23,2017,8,-0.86,Slight negative
AMARAJABAT,EQ,2017-08-18,806,807.70,808,787.20,796,796.55,796.13,207648,165314166.70,8181,58327,28.09,2017,8,-1.17,Negative
AMARAJABAT,EQ,2017-08-21,796.55,793.15,798.80,750,756.15,759.75,767.55,810424,622037863.90,21856,339052,41.84,2017,8,-4.62,Among top losers
AMARAJABAT,EQ,2017-08-22,759.75,760.10,769,750.75,759,758.40,759.41,476691,362003823.90,10726,159296,33.42,2017,8,-0.18,Slight
AMARAJABAT,EQ,2017-08-23,758.40,763.70,772,752,771,767.30,763.02,796297,607591829.30,16927,475896,59.76,2017,8,1.17,Positive
AMARAJABAT,EQ,2017-08-24,767.30,769.90,784.25,764,776,777.20,777.25,850609,661139506.70,13140,587164,69.03,2017,8,1.29,Positive
