Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
BERGEPAINT,EQ,2017-05-15,256.35,258.50,263.15,258.30,260.25,259.50,260.44,693178,180528272.70,11114,351310,50.68,2017,5,0,Slight
BERGEPAINT,EQ,2017-05-16,259.50,261.25,262.35,258.25,261.20,261.50,260.38,455581,118622574.75,13715,243949,53.55,2017,5,0.01,Slight
BERGEPAINT,EQ,2017-05-17,261.50,261.20,263.95,259,261.10,260.90,261.91,325496,85251043.65,6697,95378,29.30,2017,5,-0.00,Slight
BERGEPAINT,EQ,2017-05-18,260.90,258.90,259.20,253,253.05,254.10,256.31,361411,92633849.20,5965,137486,38.04,2017,5,-0.03,Slight
BERGEPAINT,EQ,2017-05-19,254.10,254.85,255.95,241.60,248.15,247.80,249.47,479054,119509883.90,9143,150223,31.36,2017,5,-0.02,Slight
BERGEPAINT,EQ,2017-05-22,247.80,251.05,251.05,244.50,249.95,249.15,247.42,260390,64425055.95,5812,94671,36.36,2017,5,0.01,Slight
BERGEPAINT,EQ,2017-05-23,249.15,250.90,250.90,236.95,243,244.10,243.58,719976,175371158.25,15117,355647,49.40,2017,5,-0.02,Slight
BERGEPAINT,EQ,2017-05-24,244.10,243,244.10,235.10,241.80,242.45,240.34,481018,115608095.65,12865,251716,52.33,2017,5,-0.01,Slight
BERGEPAINT,EQ,2017-05-25,242.45,242.50,245.30,238.90,242.80,242.65,242.36,594837,144164179.75,15713,321453,54.04,2017,5,0.00,Slight
BERGEPAINT,EQ,2017-05-26,242.65,242.95,261,242.70,259.90,258,256.65,1166089,299280405.40,17147,331553,28.43,2017,5,0.06,Slight
BERGEPAINT,EQ,2017-05-29,258,259,266.85,256,256.15,256.90,260.05,774619,201439665.10,11894,153034,19.76,2017,5,-0.00,Slight
BERGEPAINT,EQ,2017-05-30,256.90,256,266.65,249.50,256,256,258.32,1693223,437392542.90,24560,428151,25.29,2017,5,-0.00,Slight
BERGEPAINT,EQ,2017-05-31,256,256.40,258.85,249.85,252,251.75,252.63,814818,205847354.15,11788,214889,26.37,2017,5,-0.02,Slight
BERGEPAINT,EQ,2017-06-01,251.75,252,254.70,250.05,251.35,251.65,252.26,330619,83400404.35,4969,121612,36.78,2017,6,-0.00,Slight
BERGEPAINT,EQ,2017-06-02,251.65,252.50,258.35,252.45,253.55,253.95,255.44,859958,219663397.05,14344,336940,39.18,2017,6,0.01,Slight
BERGEPAINT,EQ,2017-06-05,253.95,255,258.40,254.70,256.50,256,256.33,372784,95554478.95,5604,170937,45.85,2017,6,0.01,Slight
BERGEPAINT,EQ,2017-06-06,256,256.30,256.85,250.25,251.40,251.20,252.63,476623,120408756.55,8569,222599,46.70,2017,6,-0.02,Slight
BERGEPAINT,EQ,2017-06-07,251.20,251.40,254.15,250.20,251.55,251.65,251.83,503919,126903252.35,6712,309826,61.48,2017,6,0.00,Slight
BERGEPAINT,EQ,2017-06-08,251.65,254,256.75,249.60,249.95,250.85,252.93,469273,118692458.40,6289,188387,40.14,2017,6,-0.00,Slight
BERGEPAINT,EQ,2017-06-09,250.85,250,254.25,249.20,251,251.25,251.45,328579,82621310.40,5181,163523,49.77,2017,6,0.00,Slight
BERGEPAINT,EQ,2017-06-12,251.25,249.75,252.70,247.75,251.75,251.50,250.25,456870,114329989.50,8377,254323,55.67,2017,6,0.00,Slight
BERGEPAINT,EQ,2017-06-13,251.50,251.90,253.60,248.30,248.45,249.20,251.13,193529,48601777.95,2923,82050,42.40,2017,6,-0.01,Slight
BERGEPAINT,EQ,2017-06-14,249.20,250.10,251.40,247.55,249,249.50,249.47,197044,49155839.20,6383,52785,26.79,2017,6,0.00,Slight
BERGEPAINT,EQ,2017-06-15,249.50,250.50,257.20,250.25,253.25,253.20,254.36,744428,189355196.20,16175,294229,39.52,2017,6,0.01,Slight
BERGEPAINT,EQ,2017-06-16,253.20,253.10,258.15,249.30,249.95,250.60,253.58,610078,154702904.65,9097,234089,38.37,2017,6,-0.01,Slight
BERGEPAINT,EQ,2017-06-19,250.60,252.40,252.50,249.55,250.80,249.90,250.83,278792,69929349,4104,119623,42.91,2017,6,-0.00,Slight
BERGEPAINT,EQ,2017-06-20,249.90,250.15,251.50,244.40,248.55,249,248.09,382401,94870368.35,8947,142485,37.26,2017,6,-0.00,Slight
BERGEPAINT,EQ,2017-06-21,249,251,254.40,250.50,251.75,251.30,252.57,464022,117198965.70,6864,126937,27.36,2017,6,0.01,Slight
BERGEPAINT,EQ,2017-06-22,251.30,252.90,253.70,248,248.70,248.80,251.62,567575,142815212.30,11263,381494,67.21,2017,6,-0.01,Slight
BERGEPAINT,EQ,2017-06-23,248.80,249,250,244.25,245.20,245.40,246.14,430959,106076972.15,10398,230305,53.44,2017,6,-0.01,Slight
BERGEPAINT,EQ,2017-06-27,245.40,247,247,240.15,241.35,241.55,241.99,439124,106263298.55,8595,152611,34.75,2017,6,-0.02,Slight
BERGEPAINT,EQ,2017-06-28,241.55,240,240.65,234.40,237,236.35,237.16,593353,140718216.05,39789,316881,53.41,2017,6,-0.02,Slight
BERGEPAINT,EQ,2017-06-29,236.35,236.40,241,236.35,240.95,238.90,238.44,475871,113465454.45,19356,212176,44.59,2017,6,0.01,Slight
BERGEPAINT,EQ,2017-06-30,238.90,240,247,236.05,247,246.25,243.69,588860,143502044.80,10720,337913,57.38,2017,6,0.03,Slight
BERGEPAINT,EQ,2017-07-03,246.25,247.75,248.25,244,245.65,246.15,245.69,216336,53152464.15,7322,88936,41.11,2017,7,-0.00,Slight
BERGEPAINT,EQ,2017-07-04,246.15,247,250,243.70,244,244.40,246.54,283184,69816771.95,4002,107706,38.03,2017,7,-0.01,Slight
BERGEPAINT,EQ,2017-07-05,244.40,244.40,246.65,243.25,244.75,244.95,244.76,279952,68521985.15,6776,181378,64.79,2017,7,0.00,Slight
BERGEPAINT,EQ,2017-07-06,244.95,246.20,247.70,244,244.50,244.60,245.86,246258,60544685.75,8481,125721,51.05,2017,7,-0.00,Slight
BERGEPAINT,EQ,2017-07-07,244.60,245.50,246.15,241,245.80,245.15,244.24,214412,52368739.35,3802,82429,38.44,2017,7,0.00,Slight
BERGEPAINT,EQ,2017-07-10,245.15,253,253,247,252.50,251.65,251.07,208808,52424451.80,2726,148169,70.96,2017,7,0.03,Slight
BERGEPAINT,EQ,2017-07-11,251.65,252,257.20,251.85,255.10,254.80,255.60,755405,193082258.85,11720,380687,50.40,2017,7,0.01,Slight
BERGEPAINT,EQ,2017-07-12,254.80,256.50,257.80,253.50,257.25,257.20,256.29,348202,89240761.45,6443,184859,53.09,2017,7,0.01,Slight
BERGEPAINT,EQ,2017-07-13,257.20,258,258.50,254.10,255,255.55,257.02,417732,107365652.55,6667,223059,53.40,2017,7,-0.01,Slight
BERGEPAINT,EQ,2017-07-14,255.55,255.55,256.55,250.40,254,253.25,253.26,261801,66302491.55,5510,104931,40.08,2017,7,-0.01,Slight
BERGEPAINT,EQ,2017-07-17,253.25,254.70,255.90,251.50,252.70,253.20,253.68,308095,78157233.10,6975,175296,56.90,2017,7,-0.00,Slight
BERGEPAINT,EQ,2017-07-18,253.20,252,255.70,250.60,252.80,253.15,254.03,337069,85625864.55,8875,122772,36.42,2017,7,-0.00,Slight
BERGEPAINT,EQ,2017-07-19,253.15,253.05,257.80,253,256.30,256.25,256.08,359141,91967369.30,12296,135000,37.59,2017,7,0.01,Slight
BERGEPAINT,EQ,2017-07-20,256.25,256.90,257,253.15,253.95,253.75,254.29,240224,61085795.15,5327,76342,31.78,2017,7,-0.01,Slight
BERGEPAINT,EQ,2017-07-21,253.75,254.50,255.25,250.20,251.50,252.35,252.91,297967,75357595.55,6784,117474,39.43,2017,7,-0.01,Slight
BERGEPAINT,EQ,2017-07-24,252.35,251.05,256.40,248.15,254.35,255.20,253,611368,154678327.85,13750,335526,54.88,2017,7,0.01,Slight
BERGEPAINT,EQ,2017-07-25,255.20,255.20,259.90,252.05,254.10,253.50,256.77,717442,184220938.40,12225,221405,30.86,2017,7,-0.01,Slight
BERGEPAINT,EQ,2017-07-26,253.50,255,256.50,252.05,255.90,255.40,254.81,254274,64790296.50,5437,87608,34.45,2017,7,0.01,Slight
BERGEPAINT,EQ,2017-07-27,255.40,255.10,256.50,247.60,248.50,249,251.62,262346,66011198.30,5678,130967,49.92,2017,7,-0.03,Slight
BERGEPAINT,EQ,2017-07-28,249,249,252,248.50,251.35,251.40,250.18,200858,50250119.90,5465,81027,40.34,2017,7,0.01,Slight
BERGEPAINT,EQ,2017-07-31,251.40,252.85,252.85,244.95,247.95,247.80,247.58,438764,108627501.80,18760,232044,52.89,2017,7,-0.01,Slight
BERGEPAINT,EQ,2017-08-01,247.80,248,250.60,247,248.65,248.75,249.38,395205,98556259.35,14729,183478,46.43,2017,8,0.00,Slight
BERGEPAINT,EQ,2017-08-02,248.75,248.90,252,247.70,250,250.75,250.30,456568,114278221.75,13374,196334,43,2017,8,0.01,Slight
BERGEPAINT,EQ,2017-08-03,250.75,251.45,251.45,245.50,246.05,247,247.21,381076,94204175.35,10164,173793,45.61,2017,8,-0.01,Slight
BERGEPAINT,EQ,2017-08-04,247,246.70,246.85,239.85,242,241.35,242.68,794136,192722340.80,15089,299423,37.70,2017,8,-0.02,Slight
BERGEPAINT,EQ,2017-08-07,241.35,240,249.90,237.60,249.25,248.95,243.80,865622,211040313.55,13045,270963,31.30,2017,8,0.03,Slight
BERGEPAINT,EQ,2017-08-08,248.95,249,254.40,243,253,253.10,250.30,706305,176788087.80,12860,314479,44.52,2017,8,0.02,Slight
BERGEPAINT,EQ,2017-08-09,253.10,252.50,257.80,241.75,254.95,256.10,251.02,1515965,380545055.05,28729,813102,53.64,2017,8,0.01,Slight
BERGEPAINT,EQ,2017-08-10,256.10,253.15,254.45,244,248.05,247.35,249.39,519774,129626081.25,10330,115083,22.14,2017,8,-0.03,Slight
BERGEPAINT,EQ,2017-08-11,247.35,241,247.40,231.30,237.90,238.20,239.49,959480,229781827.55,12504,264518,27.57,2017,8,-0.04,Slight
BERGEPAINT,EQ,2017-08-14,238.20,240.20,253.50,240.20,246.85,247.40,247.44,657578,162711011.40,17833,319313,48.56,2017,8,0.04,Slight
BERGEPAINT,EQ,2017-08-16,247.40,247.10,250.25,244.70,245.80,246.60,247.22,295531,73061878.25,6390,63673,21.55,2017,8,-0.00,Slight
BERGEPAINT,EQ,2017-08-17,246.60,246.60,248.95,241,241.05,242.10,245.17,572950,140472897.35,11204,307309,53.64,2017,8,-0.02,Slight
BERGEPAINT,EQ,2017-08-18,242.10,241,244.75,237,241.50,240.55,239.69,514291,123268988.95,8649,236212,45.93,2017,8,-0.01,Slight
BERGEPAINT,EQ,2017-08-21,240.55,241.70,242.55,236.50,240.90,238.85,239.24,467657,111882563.05,8471,224838,48.08,2017,8,-0.01,Slight
BERGEPAINT,EQ,2017-08-22,238.85,238.35,241.80,235.60,236.50,237.15,237.94,313387,74567724.85,6467,118276,37.74,2017,8,-0.01,Slight
BERGEPAINT,EQ,2017-08-23,237.15,238,238.70,230.55,237.75,237.20,234.25,1023303,239706491.45,23963,348485,34.05,2017,8,0.00,Slight
BERGEPAINT,EQ,2017-08-24,237.20,236.30,245.60,234.60,244.95,240.55,240.03,1687464,405044533.70,15492,948801,56.23,2017,8,0.01,Slight
BERGEPAINT,EQ,2017-08-28,240.55,244.95,246.45,241.20,244.50,244.25,244.04,716048,174744910.90,14244,403521,56.35,2017,8,0.02,Slight
BERGEPAINT,EQ,2017-08-29,244.25,244.45,245.35,240.60,244.25,244,243.71,642236,156519379.05,10694,443763,69.10,2017,8,-0.00,Slight
BERGEPAINT,EQ,2017-08-30,244,245,245,241.05,242.40,242,242.42,1230924,298402604,15826,878709,71.39,2017,8,-0.01,Slight
BERGEPAINT,EQ,2017-08-31,242,244.60,246.90,243,245.80,246,245.65,459092,112774854.65,6989,253078,55.13,2017,8,0.02,Slight
BERGEPAINT,EQ,2017-09-01,246,246.20,253.80,245.15,249,249.95,249.86,940242,234933401.85,16898,400264,42.57,2017,9,0.02,Slight
BERGEPAINT,EQ,2017-09-04,249.95,251.10,253.45,242.20,243.50,244.75,247.39,984971,243670354.80,24098,509320,51.71,2017,9,-0.02,Slight
BERGEPAINT,EQ,2017-09-05,244.75,246.95,256.50,246.80,256,255.45,252.38,1259474,317861350.80,21019,421591,33.47,2017,9,0.04,Slight
BERGEPAINT,EQ,2017-09-06,255.45,253.95,262.40,253,259.95,259.50,260.21,1857557,483346145.75,20839,507096,27.30,2017,9,0.02,Slight
BERGEPAINT,EQ,2017-09-07,259.50,262,263.60,257.35,259.05,258.75,260.11,736974,191691085.30,16094,309354,41.98,2017,9,-0.00,Slight
BERGEPAINT,EQ,2017-09-08,258.75,259.90,262.25,254.65,256.25,256.35,258.29,433553,111981870.90,8899,179957,41.51,2017,9,-0.01,Slight
BERGEPAINT,EQ,2017-09-11,256.35,256.85,268.25,256.70,266.50,266.60,264.32,1324736,350154585.15,16401,552172,41.68,2017,9,0.04,Slight
BERGEPAINT,EQ,2017-09-12,266.60,269,271,266.60,267.60,267.75,268.39,1582361,424696362.65,25541,623742,39.42,2017,9,0.00,Slight
BERGEPAINT,EQ,2017-09-13,267.75,266.90,273.90,266.25,266.50,267.75,270.63,1618287,437949766.45,22819,625704,38.66,2017,9,0,Slight
BERGEPAINT,EQ,2017-09-14,267.75,270.25,274.15,266.60,271.60,271.90,270.73,1111753,300979484.70,14959,479775,43.15,2017,9,0.02,Slight
BERGEPAINT,EQ,2017-09-15,271.90,270,272.90,262.45,263.85,264.45,266.28,2557870,681122262.95,19530,1072719,41.94,2017,9,-0.03,Slight
BERGEPAINT,EQ,2017-09-18,264.45,265,270.75,265,268.05,268.05,268.62,598264,160707431.95,6523,296992,49.64,2017,9,0.01,Slight
BERGEPAINT,EQ,2017-09-19,268.05,268.85,268.95,265.05,266.50,266.45,266.59,335682,89490381.30,6293,121126,36.08,2017,9,-0.01,Slight
BERGEPAINT,EQ,2017-09-20,266.45,266.95,267.80,263,263.55,264.45,264.90,319722,84695348.90,4583,130235,40.73,2017,9,-0.01,Slight
BERGEPAINT,EQ,2017-09-21,264.45,264,269.50,258.30,261,261.15,263.44,673860,177524138.95,9648,163075,24.20,2017,9,-0.01,Slight
BERGEPAINT,EQ,2017-09-22,261.15,260,260.30,252,253.75,252.80,256.61,607767,155957916.40,7106,247033,40.65,2017,9,-0.03,Slight
BERGEPAINT,EQ,2017-09-25,252.80,252,252.80,244.40,249.80,247.05,247.88,648899,160850878,12784,313403,48.30,2017,9,-0.02,Slight
BERGEPAINT,EQ,2017-09-26,247.05,245,250.40,240,241.65,243.15,244.93,841011,205988954.90,16862,306500,36.44,2017,9,-0.02,Slight
BERGEPAINT,EQ,2017-09-27,243.15,243.30,248.20,241.60,243.95,242.90,246.02,811692,199693734.20,8547,391110,48.18,2017,9,-0.00,Slight
BERGEPAINT,EQ,2017-09-28,242.90,242.60,244.75,238.25,241,240,240.73,610569,146982898.55,6753,252359,41.33,2017,9,-0.01,Slight
BERGEPAINT,EQ,2017-09-29,240,241.80,247,238,245,245.10,244.32,473010,115567344.70,7884,180884,38.24,2017,9,0.02,Slight
BERGEPAINT,EQ,2017-10-03,245.10,246.55,251.20,245.45,247.90,247.30,248,356232,88347244.45,6429,112851,31.68,2017,10,0.01,Slight
BERGEPAINT,EQ,2017-10-04,247.30,247.30,254,247.25,253.95,253.60,252.89,560898,141847058.80,8435,234857,41.87,2017,10,0.03,Slight
BERGEPAINT,EQ,2017-10-05,253.60,254.20,259.25,254.20,255.60,256.25,256.56,779250,199924595.25,10929,400200,51.36,2017,10,0.01,Slight
BERGEPAINT,EQ,2017-10-06,256.25,257,258.75,256.50,257.80,257.85,257.71,399373,102921151.35,5166,273618,68.51,2017,10,0.01,Slight
BERGEPAINT,EQ,2017-10-09,257.85,259.40,262.40,255.55,261.90,260.90,258.90,556283,144023596.90,6295,251814,45.27,2017,10,0.01,Slight
BERGEPAINT,EQ,2017-10-10,260.90,260.90,263.25,259.70,263,262.75,262.13,313079,82068321.10,5444,137403,43.89,2017,10,0.01,Slight
