Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
CASTROLIND,EQ,2017-05-15,437.70,438,452,435.50,449.75,449.85,445.95,2018406,900103147.15,29885,1637034,81.11,2017,5,0,Slight
CASTROLIND,EQ,2017-05-16,449.85,451.90,452,442.25,443.80,443,443.78,534824,237342389.70,9438,387126,72.38,2017,5,-1.52,Negative
CASTROLIND,EQ,2017-05-17,443,443.60,444.50,438.35,439,439.55,440.69,377225,166238432.75,12293,223768,59.32,2017,5,-0.78,Slight negative
CASTROLIND,EQ,2017-05-18,439.55,437.95,440,432.25,434.20,433.95,435.10,398719,173482318,7171,211541,53.06,2017,5,-1.27,Negative
CASTROLIND,EQ,2017-05-19,433.95,436.65,446.85,434,438.50,437.10,439.51,886466,389611035.25,14752,354918,40.04,2017,5,0.73,Slight positive
CASTROLIND,EQ,2017-05-22,437.10,435,436.50,421.25,424.05,424.95,426.92,490688,209485598.60,10053,212233,43.25,2017,5,-2.78,Negative
CASTROLIND,EQ,2017-05-23,424.95,425,428.25,410.05,412,411.90,414.35,460503,190807451.40,10753,216518,47.02,2017,5,-3.07,Among top losers
CASTROLIND,EQ,2017-05-24,411.90,410,420.40,408.10,418.05,418.80,414.82,1200856,498144074.90,12980,448341,37.34,2017,5,1.68,Positive
CASTROLIND,EQ,2017-05-25,418.80,419.80,423.20,411.05,413.40,414.45,416.25,771538,321150340.55,10059,382656,49.60,2017,5,-1.04,Negative
CASTROLIND,EQ,2017-05-26,414.45,414.45,424.75,414.45,421.25,420.50,421,623334,262424396.85,9299,273865,43.94,2017,5,1.46,Positive
CASTROLIND,EQ,2017-05-29,420.50,421.50,422.95,414.50,416.60,416.90,417.50,317132,132403720.70,9060,173544,54.72,2017,5,-0.86,Slight negative
CASTROLIND,EQ,2017-05-30,416.90,416.60,425.40,415.25,425,422.30,420.99,829826,349348245.85,10427,418316,50.41,2017,5,1.30,Positive
CASTROLIND,EQ,2017-05-31,422.30,425,429.90,420.20,422.85,424.15,425.84,1709936,728160533.75,26165,739337,43.24,2017,5,0.44,Slight
CASTROLIND,EQ,2017-06-01,424.15,423,425.75,415.80,423,423.20,421.84,1027416,433409084.30,13373,521582,50.77,2017,6,-0.22,Slight
CASTROLIND,EQ,2017-06-02,423.20,425,426,415.50,418,418.40,419.11,531324,222683820.20,14142,253848,47.78,2017,6,-1.13,Negative
CASTROLIND,EQ,2017-06-05,418.40,419,421.35,411.50,411.65,412.70,416.05,469164,195195355.05,7182,264660,56.41,2017,6,-1.36,Negative
CASTROLIND,EQ,2017-06-06,412.70,411,415.55,408.25,411,410.70,411.56,528713,217597395.60,9196,220990,41.80,2017,6,-0.48,Slight
CASTROLIND,EQ,2017-06-07,410.70,411.45,415,411,413,413.85,413.59,340084,140654633.35,6654,179964,52.92,2017,6,0.77,Slight positive
CASTROLIND,EQ,2017-06-08,413.85,418,418.75,412.25,412.65,412.95,414.31,228776,94783313,4592,99059,43.30,2017,6,-0.22,Slight
CASTROLIND,EQ,2017-06-09,412.95,412.95,415,406.10,407,408.10,410.77,423179,173829070.45,6020,238627,56.39,2017,6,-1.17,Negative
CASTROLIND,EQ,2017-06-12,408.10,407.50,407.85,401.80,402.95,402.90,403.50,603418,243480824.65,14164,309355,51.27,2017,6,-1.27,Negative
CASTROLIND,EQ,2017-06-13,402.90,403,408.70,400,400.50,401.15,404.70,795858,322082125.40,12273,471566,59.25,2017,6,-0.43,Slight
CASTROLIND,EQ,2017-06-14,401.15,401.35,403.75,396.65,397,397.55,399,565027,225443578.55,9484,338787,59.96,2017,6,-0.90,Slight negative
CASTROLIND,EQ,2017-06-15,397.55,396.40,413.50,396.10,409.75,409.50,406.76,1922785,782104031.70,21797,849544,44.18,2017,6,3.01,Among top gainers
CASTROLIND,EQ,2017-06-16,409.50,410,413.45,407.05,410.55,411.30,410.31,937341,384602018.15,9552,409872,43.73,2017,6,0.44,Slight
CASTROLIND,EQ,2017-06-19,411.30,412,418,410.10,411.90,412.35,414.88,853754,354201726.20,11885,282183,33.05,2017,6,0.26,Slight
CASTROLIND,EQ,2017-06-20,412.35,414,416.20,410.45,412.90,414,412.48,1201021,495398522.70,13092,575422,47.91,2017,6,0.40,Slight
CASTROLIND,EQ,2017-06-21,414,413.90,419.35,412.10,415.15,415.40,415.91,838245,348633197.65,24114,482629,57.58,2017,6,0.34,Slight
CASTROLIND,EQ,2017-06-22,415.40,416,420,410.60,412,412,416.42,612198,254930979.55,9670,297757,48.64,2017,6,-0.82,Slight negative
CASTROLIND,EQ,2017-06-23,412,412.90,414,406,409.45,409.65,409.68,620280,254115368.10,21794,356977,57.55,2017,6,-0.57,Slight negative
CASTROLIND,EQ,2017-06-27,409.65,410.50,411.55,402.20,406.95,406.35,405.74,494380,200591674.60,9399,213024,43.09,2017,6,-0.81,Slight negative
CASTROLIND,EQ,2017-06-28,406.35,406.95,407,402.50,403,403.55,404.41,590036,238613723.55,8595,422365,71.58,2017,6,-0.69,Slight negative
CASTROLIND,EQ,2017-06-29,403.55,404.10,407.60,399.50,402.40,400.80,402.45,1156871,465577299.95,20133,839593,72.57,2017,6,-0.68,Slight negative
CASTROLIND,EQ,2017-06-30,400.80,401.50,405.90,398.45,404.50,404.70,402.28,686472,276153073.55,21485,338673,49.34,2017,6,0.97,Slight positive
CASTROLIND,EQ,2017-07-03,404.70,406.75,407.65,400.70,401,401.55,402.44,308206,124035450.65,9574,178903,58.05,2017,7,-0.78,Slight negative
CASTROLIND,EQ,2017-07-04,401.55,402.25,404.85,398.20,400.10,400.30,401.64,492935,197980016.65,13650,331114,67.17,2017,7,-0.31,Slight
CASTROLIND,EQ,2017-07-05,400.30,400.25,402.30,399,399.65,399.95,400,440616,176247782.45,6761,299004,67.86,2017,7,-0.09,Slight
CASTROLIND,EQ,2017-07-06,399.95,400.80,403.45,399,399.70,399.95,400.13,819342,327847018.65,13156,615956,75.18,2017,7,0,Slight
CASTROLIND,EQ,2017-07-07,399.95,399.20,402.65,398.25,399.80,400.10,400.16,1011035,404572551.70,25359,665770,65.85,2017,7,0.04,Slight
CASTROLIND,EQ,2017-07-10,400.10,399.25,404.25,399.25,402.55,403,402.89,117943,47518470.95,1207,80491,68.25,2017,7,0.72,Slight positive
CASTROLIND,EQ,2017-07-11,403,403.45,404.25,398.50,400,399.35,401.32,966602,387915106.25,32103,683961,70.76,2017,7,-0.91,Slight negative
CASTROLIND,EQ,2017-07-12,399.35,399.35,409.50,396.15,409.40,408.40,403.26,1025028,413354652.90,16337,579190,56.50,2017,7,2.27,Positive
CASTROLIND,EQ,2017-07-13,408.40,410,412.40,405,405,406.25,408.81,826869,338033211.60,12319,393312,47.57,2017,7,-0.53,Slight negative
CASTROLIND,EQ,2017-07-14,406.25,406.90,409.40,401.70,406.70,406.30,406.27,441910,179536917.20,8246,193941,43.89,2017,7,0.01,Slight
CASTROLIND,EQ,2017-07-17,406.30,409.90,412,407,408.50,408.75,409.87,550841,225775037.30,15833,198208,35.98,2017,7,0.60,Slight positive
CASTROLIND,EQ,2017-07-18,408.75,408.50,409.30,404,406,406.55,406.63,508946,206952991.55,9451,342173,67.23,2017,7,-0.54,Slight negative
CASTROLIND,EQ,2017-07-19,406.55,407,410.70,406.05,409,408.55,408.99,371492,151936291.60,6825,225748,60.77,2017,7,0.49,Slight
CASTROLIND,EQ,2017-07-20,408.55,409.20,412.35,403.25,405.05,404.45,408.10,923347,376817541.55,14199,535773,58.03,2017,7,-1.00,Negative
CASTROLIND,EQ,2017-07-21,404.45,406,412,405.60,410,410,409.77,874510,358348867.50,15107,473527,54.15,2017,7,1.37,Positive
CASTROLIND,EQ,2017-07-24,410,410,411.05,407.90,409.05,409.65,409.33,266118,108928905.90,3585,157612,59.23,2017,7,-0.09,Slight
CASTROLIND,EQ,2017-07-25,409.65,409.75,415.85,407,410.65,411.85,412.79,1154430,476538091.85,16909,750579,65.02,2017,7,0.54,Slight positive
CASTROLIND,EQ,2017-07-26,411.85,412,412.20,407.40,408.95,408,409.04,551279,225496435.50,11459,263332,47.77,2017,7,-0.93,Slight negative
CASTROLIND,EQ,2017-07-27,408,408.05,411.75,402.40,404.75,404.50,405.79,3306581,1341763685.55,33156,2810128,84.99,2017,7,-0.86,Slight negative
CASTROLIND,EQ,2017-07-28,404.50,405.25,406.85,400,402.50,402.60,403.21,498769,201109739.65,8398,268586,53.85,2017,7,-0.47,Slight
CASTROLIND,EQ,2017-07-31,402.60,405,405.20,400,400.50,400.65,401.16,676321,271310218.90,9425,358059,52.94,2017,7,-0.48,Slight
CASTROLIND,EQ,2017-08-01,400.65,400.25,403.95,399.25,399.60,399.95,401.20,360391,144588591.20,7201,158889,44.09,2017,8,-0.17,Slight
CASTROLIND,EQ,2017-08-02,399.95,401.80,402.80,394.10,394.55,396.40,397.57,472840,187986343.20,8923,211641,44.76,2017,8,-0.89,Slight negative
CASTROLIND,EQ,2017-08-03,396.40,396,396,390.35,391.75,391.75,392.38,781950,306824582.50,15562,476088,60.88,2017,8,-1.17,Negative
CASTROLIND,EQ,2017-08-04,391.75,390,397.35,386.05,395.35,396.10,391.31,787623,308205686.25,11683,424629,53.91,2017,8,1.11,Positive
CASTROLIND,EQ,2017-08-07,396.10,397.35,400,391.65,398.50,398.65,396.05,523832,207463411.60,9255,148802,28.41,2017,8,0.64,Slight positive
CASTROLIND,EQ,2017-08-08,398.65,398.80,399.25,390.60,395,392.50,394.42,478915,188893051.80,9692,160417,33.50,2017,8,-1.54,Negative
CASTROLIND,EQ,2017-08-09,392.50,392.90,393.20,387.70,388.30,388.35,389.46,269140,104819350.05,5039,119314,44.33,2017,8,-1.06,Negative
CASTROLIND,EQ,2017-08-10,388.35,388,388,375,380,378,380.65,490087,186550805.70,9628,228508,46.63,2017,8,-2.67,Negative
CASTROLIND,EQ,2017-08-11,378,375.10,381.65,372,373.55,374.50,375.38,606029,227494125.90,7703,329561,54.38,2017,8,-0.93,Slight negative
CASTROLIND,EQ,2017-08-14,374.50,377,382.65,376,377.55,378.60,379.50,317124,120349660.70,6841,160134,50.50,2017,8,1.09,Positive
CASTROLIND,EQ,2017-08-16,378.60,380.45,388,378.65,388,386.85,384.30,294372,113128102.05,11118,135683,46.09,2017,8,2.18,Positive
CASTROLIND,EQ,2017-08-17,386.85,387.80,391.40,382,383.10,383,385.98,289844,111872998.75,5354,146307,50.48,2017,8,-1.00,Slight negative
CASTROLIND,EQ,2017-08-18,383,381.85,388.50,380.50,388.20,387.65,383.26,610925,234140395.65,17168,380734,62.32,2017,8,1.21,Positive
CASTROLIND,EQ,2017-08-21,387.65,387.15,388.80,382.90,387.10,386.35,385.98,567809,219160349.90,9271,342184,60.26,2017,8,-0.34,Slight
CASTROLIND,EQ,2017-08-22,386.35,386.45,389.15,381.35,387,387.80,385.73,389454,150224744.10,6840,145083,37.25,2017,8,0.38,Slight
CASTROLIND,EQ,2017-08-23,387.80,389.50,390.90,383.50,387.75,389.45,386.92,581453,224974307.10,13570,239404,41.17,2017,8,0.43,Slight
CASTROLIND,EQ,2017-08-24,389.45,380.35,394.50,374.40,388.45,390.70,384.64,2386345,917890544,28366,681501,28.56,2017,8,0.32,Slight
CASTROLIND,EQ,2017-08-28,390.70,389.20,391.30,381,384.25,383.85,383.59,1173948,450317222.80,15238,657782,56.03,2017,8,-1.75,Negative
CASTROLIND,EQ,2017-08-29,383.85,384.25,385,381.90,384.50,384.30,383.34,934793,358341310.20,12564,511083,54.67,2017,8,0.12,Slight
