Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
CUMMINSIND,EQ,2017-05-15,1052.25,1068,1070.90,1046.75,1066,1066.05,1055.68,145671,153782519.65,10148,67829,46.56,2017,5,0,Slight
CUMMINSIND,EQ,2017-05-16,1066.05,1066.20,1068.95,1042,1046,1047.75,1053.93,176596,186119438.90,9849,111884,63.36,2017,5,-1.72,Negative
CUMMINSIND,EQ,2017-05-17,1047.75,1047.75,1052.95,1010.15,1016,1016.45,1024.25,261366,267704448.55,20344,140100,53.60,2017,5,-2.99,Negative
CUMMINSIND,EQ,2017-05-18,1016.45,1010,1070,982.05,1058.05,1054.45,1035.72,984418,1019581267.35,33701,447682,45.48,2017,5,3.74,Among top gainers
CUMMINSIND,EQ,2017-05-19,1054.45,1015,1015,932.55,980,972.95,972.51,2807183,2730015541.45,86579,882502,31.44,2017,5,-7.73,Bear drop
CUMMINSIND,EQ,2017-05-22,972.95,980,980,907.80,939.95,930.80,930.29,1380001,1283794322.35,59940,498067,36.09,2017,5,-4.33,Among top losers
CUMMINSIND,EQ,2017-05-23,930.80,921,939.70,884.55,924,926.20,916.15,783589,717881265,30995,462626,59.04,2017,5,-0.49,Slight
CUMMINSIND,EQ,2017-05-24,926.20,930,934.95,908,920,914.80,917.04,323044,296244982.85,13799,164652,50.97,2017,5,-1.23,Negative
CUMMINSIND,EQ,2017-05-25,914.80,927.50,928.85,898.25,927.95,925.05,916.86,574618,526841441.80,27357,363336,63.23,2017,5,1.12,Positive
CUMMINSIND,EQ,2017-05-26,925.05,940,956.35,923.15,945,949.95,945.98,314033,297067459.60,6967,197646,62.94,2017,5,2.69,Positive
CUMMINSIND,EQ,2017-05-29,949.95,949,956.75,931.55,933.60,936,945.97,204901,193831099.90,5455,121049,59.08,2017,5,-1.47,Negative
CUMMINSIND,EQ,2017-05-30,936,930,950,918,927.20,931.45,932.42,266113,248130164.30,7409,129467,48.65,2017,5,-0.49,Slight
CUMMINSIND,EQ,2017-05-31,931.45,945,954.40,931.50,937,941.40,944.09,216181,204094943.45,6739,130069,60.17,2017,5,1.07,Positive
CUMMINSIND,EQ,2017-06-01,941.40,944.95,945,915,920.90,925.10,929.70,183427,170532432.25,18300,94853,51.71,2017,6,-1.73,Negative
CUMMINSIND,EQ,2017-06-02,925.10,928,959,924.25,938.20,943.20,948.39,329563,312553497.30,13495,109078,33.10,2017,6,1.96,Positive
CUMMINSIND,EQ,2017-06-05,943.20,944.90,946.90,928.20,931.45,932.70,933.34,149617,139643540.30,4864,87788,58.68,2017,6,-1.11,Negative
CUMMINSIND,EQ,2017-06-06,932.70,935,935.40,911.75,915,914.65,918.91,148737,136676652.30,9754,80804,54.33,2017,6,-1.94,Negative
CUMMINSIND,EQ,2017-06-07,914.65,911,918.85,907.30,912.50,912.25,913.43,465138,424869698.95,16816,356728,76.69,2017,6,-0.26,Slight
CUMMINSIND,EQ,2017-06-08,912.25,907.30,925.30,906.95,921.50,919.90,918.79,191004,175491763,13529,90853,47.57,2017,6,0.84,Slight positive
CUMMINSIND,EQ,2017-06-09,919.90,925.90,927,911.05,914.40,917.30,916.81,130979,120082937.15,9630,70045,53.48,2017,6,-0.28,Slight
CUMMINSIND,EQ,2017-06-12,917.30,919.25,919.25,888,896.50,898.20,895.48,281253,251857182.70,15064,153601,54.61,2017,6,-2.08,Negative
CUMMINSIND,EQ,2017-06-13,898.20,899,922.40,898,910.10,913.05,907.82,162355,147388416.65,8181,78978,48.65,2017,6,1.65,Positive
CUMMINSIND,EQ,2017-06-14,913.05,920,926,896,919.25,919.75,913.99,1347853,1231930348.95,18031,1168116,86.66,2017,6,0.73,Slight positive
CUMMINSIND,EQ,2017-06-15,919.75,919.10,928.60,905.50,915,914.20,915.67,195197,178735345,7066,74533,38.18,2017,6,-0.60,Slight negative
CUMMINSIND,EQ,2017-06-16,914.20,921.40,923.20,911,917.10,920.20,918.42,385648,354187171.30,4495,323239,83.82,2017,6,0.66,Slight positive
CUMMINSIND,EQ,2017-06-19,920.20,924,942.55,922,932.65,932.20,934.36,263812,246494164.45,14888,126427,47.92,2017,6,1.30,Positive
CUMMINSIND,EQ,2017-06-20,932.20,938,938,920,922.15,922.95,926.56,73319,67934235.40,3485,28482,38.85,2017,6,-0.99,Slight negative
CUMMINSIND,EQ,2017-06-21,922.95,921.95,932.40,908.55,912.15,912.90,919.70,110436,101567639.55,5519,53826,48.74,2017,6,-1.09,Negative
CUMMINSIND,EQ,2017-06-22,912.90,908.05,922,899,901,903,911.99,110871,101113660.45,5936,42542,38.37,2017,6,-1.08,Negative
CUMMINSIND,EQ,2017-06-23,903,901.20,912.90,901.20,908,907.90,907.88,112408,102052714.90,3969,48699,43.32,2017,6,0.54,Slight positive
CUMMINSIND,EQ,2017-06-27,907.90,919,919,898.10,910,910.10,907.86,279070,253356462.05,9052,215097,77.08,2017,6,0.24,Slight
CUMMINSIND,EQ,2017-06-28,910.10,901.20,916,901.20,910.15,912.65,910.55,177886,161974034.80,7396,67145,37.75,2017,6,0.28,Slight
CUMMINSIND,EQ,2017-06-29,912.65,912.65,930.90,902.30,912,907.60,918.30,224971,206591574.70,8571,56016,24.90,2017,6,-0.55,Slight negative
CUMMINSIND,EQ,2017-06-30,907.60,906.50,944,893.05,923,919.75,907.39,309608,280935050.50,7728,158824,51.30,2017,6,1.34,Positive
CUMMINSIND,EQ,2017-07-03,919.75,915,919.70,901.10,914,912,909.26,332443,302275550.50,6397,167067,50.25,2017,7,-0.84,Slight negative
CUMMINSIND,EQ,2017-07-04,912,907.10,922.30,907.10,910,913.45,914.01,141367,129210187.80,5561,82921,58.66,2017,7,0.16,Slight
CUMMINSIND,EQ,2017-07-05,913.45,913.50,922,908.15,912,913.70,914.12,122148,111657368.35,4633,57774,47.30,2017,7,0.03,Slight
CUMMINSIND,EQ,2017-07-06,913.70,919.95,923.50,905,911,914.05,913.79,338874,309659698.55,8000,262313,77.41,2017,7,0.04,Slight
CUMMINSIND,EQ,2017-07-07,914.05,910,920,906.30,909,909.35,915.25,417745,382342672.80,5076,346106,82.85,2017,7,-0.51,Slight negative
CUMMINSIND,EQ,2017-07-10,909.35,875,918,875,913.90,912.55,913.19,44508,40644276.80,710,32455,72.92,2017,7,0.35,Slight
CUMMINSIND,EQ,2017-07-11,912.55,911,919,904,905.70,908.05,912.18,696292,635147116.30,4146,628852,90.31,2017,7,-0.49,Slight
CUMMINSIND,EQ,2017-07-12,908.05,907,914.35,904.25,911,911,908.66,208668,189607328.85,5851,167976,80.50,2017,7,0.32,Slight
CUMMINSIND,EQ,2017-07-13,911,911,933.90,911,933,931,925.85,162652,150591995.20,6822,63302,38.92,2017,7,2.20,Positive
CUMMINSIND,EQ,2017-07-14,931,938,945.55,927.05,935,935.05,936.19,238257,223052714.90,5012,132488,55.61,2017,7,0.44,Slight
CUMMINSIND,EQ,2017-07-17,935.05,927.35,940.15,925.10,936.90,936.40,936.05,69524,65077767.55,2070,42660,61.36,2017,7,0.14,Slight
CUMMINSIND,EQ,2017-07-18,936.40,935,941,930,934,935.40,934.40,100557,93960411.85,2727,64359,64,2017,7,-0.11,Slight
CUMMINSIND,EQ,2017-07-19,935.40,935.15,968.95,933.10,967,966.40,954.80,339957,324590199.85,12460,157218,46.25,2017,7,3.31,Among top gainers
CUMMINSIND,EQ,2017-07-20,966.40,970,977,962.15,972.30,974.45,971.83,525558,510754328.55,10341,389548,74.12,2017,7,0.83,Slight positive
CUMMINSIND,EQ,2017-07-21,974.45,974,1010,968.50,1004,1004.65,989.88,531469,526092482,20710,273301,51.42,2017,7,3.10,Among top gainers
CUMMINSIND,EQ,2017-07-24,1004.65,1005,1039.95,995.55,1037.20,1028,1010.32,506088,511312370.35,12637,319304,63.09,2017,7,2.32,Positive
CUMMINSIND,EQ,2017-07-25,1028,1023.80,1044.10,1001.10,1001.35,1005.40,1025.42,474959,487032344.15,20711,282544,59.49,2017,7,-2.20,Negative
CUMMINSIND,EQ,2017-07-26,1005.40,1005,1010,993.45,1000,999.85,1001.49,390956,391536594.05,12895,291362,74.53,2017,7,-0.55,Slight negative
CUMMINSIND,EQ,2017-07-27,999.85,991,997.05,952.70,961,959.60,966.67,384355,371545097.70,12544,192337,50.04,2017,7,-4.03,Among top losers
CUMMINSIND,EQ,2017-07-28,959.60,961,995.80,957.45,990,989.90,982.17,359350,352941162.40,13589,181012,50.37,2017,7,3.16,Among top gainers
