Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
DHFL,EQ,2017-05-15,426.65,429.50,434.40,427.05,431,431.40,430.94,1160661,500175906.30,15111,295581,25.47,2017,5,0,Slight
DHFL,EQ,2017-05-16,431.40,431,433.80,421.65,424.05,424.45,425.13,1662805,706915227.60,31644,681320,40.97,2017,5,-1.61,Negative
DHFL,EQ,2017-05-17,424.45,424.50,432.50,420.10,428.30,429,428.13,1443843,618148331.20,20808,371928,25.76,2017,5,1.07,Positive
DHFL,EQ,2017-05-18,429,424.95,427.90,416.55,418.50,417.95,422.22,1639654,692300664.05,32812,534358,32.59,2017,5,-2.58,Negative
DHFL,EQ,2017-05-19,417.95,423,426.45,398.65,405.90,404.20,411.93,2693962,1109715622.80,33554,884888,32.85,2017,5,-3.29,Among top losers
DHFL,EQ,2017-05-22,404.20,408,412.15,400.25,403.90,404,405.76,1636114,663874862.95,21505,445687,27.24,2017,5,-0.05,Slight
DHFL,EQ,2017-05-23,404,405.95,411.80,387.20,400.50,402,400.48,2322519,930124260.75,30348,489515,21.08,2017,5,-0.50,Slight
DHFL,EQ,2017-05-24,402,404.80,407.90,392.50,397.50,395.55,399.79,1984614,793435506.30,31616,533717,26.89,2017,5,-1.60,Negative
DHFL,EQ,2017-05-25,395.55,397.45,407.60,397.30,404.95,405.50,403.71,3393790,1370107530.85,56100,1958807,57.72,2017,5,2.52,Positive
DHFL,EQ,2017-05-26,405.50,411.90,415.45,408.70,411,410.65,411.89,2555251,1052480440.75,35435,760344,29.76,2017,5,1.27,Positive
DHFL,EQ,2017-05-29,410.65,412,419.70,409.95,411.20,410.95,414.27,1944213,805426135.55,37384,578026,29.73,2017,5,0.07,Slight
DHFL,EQ,2017-05-30,410.95,411.20,414,408,412.80,412.15,411.35,1364490,561285704.50,29192,535078,39.21,2017,5,0.29,Slight
DHFL,EQ,2017-05-31,412.15,414.45,421.45,412.55,418,416.65,417.86,2502720,1045783694.95,55464,969147,38.72,2017,5,1.09,Positive
DHFL,EQ,2017-06-01,416.65,417.70,419.80,414,416.50,416.90,416.54,1364330,568303436.60,40287,516303,37.84,2017,6,0.06,Slight
DHFL,EQ,2017-06-02,416.90,418.50,420.50,410.25,413.50,414.25,415.03,1208328,501494025.75,14783,477032,39.48,2017,6,-0.64,Slight negative
DHFL,EQ,2017-06-05,414.25,415,431.95,414,431.55,430.75,426.07,2860841,1218918845.95,34776,876492,30.64,2017,6,3.98,Among top gainers
DHFL,EQ,2017-06-06,430.75,433,434.85,422.15,423.80,424.60,428.24,2238759,958716790.20,28924,602812,26.93,2017,6,-1.43,Negative
DHFL,EQ,2017-06-07,424.60,426.80,433.90,422.25,433.80,431.45,428.56,2066575,885659061.55,27190,457660,22.15,2017,6,1.61,Positive
DHFL,EQ,2017-06-08,431.45,435,438,430.40,433.60,434.45,434.23,2019357,876868807.10,22017,451099,22.34,2017,6,0.70,Slight positive
DHFL,EQ,2017-06-09,434.45,434.70,437.80,432.65,435.30,435.70,435.56,1429383,622587953.50,16806,466865,32.66,2017,6,0.29,Slight
DHFL,EQ,2017-06-12,435.70,433.20,436.20,425.15,429,428.35,430.75,1379624,594274467.10,26398,434735,31.51,2017,6,-1.69,Negative
DHFL,EQ,2017-06-13,428.35,429.60,444.25,429.10,439.55,440.10,439.05,3321654,1458365000.15,41823,933218,28.09,2017,6,2.74,Positive
DHFL,EQ,2017-06-14,440.10,442,449,441.55,446.50,446.40,445.28,2551411,1136098515.40,34430,489987,19.20,2017,6,1.43,Positive
DHFL,EQ,2017-06-15,446.40,446,464.70,443.40,464.70,463.25,457.28,4737401,2166328484.85,71522,1467727,30.98,2017,6,3.77,Among top gainers
DHFL,EQ,2017-06-16,463.25,464,466.60,451.10,452.70,454.80,458.71,2954283,1355149638.30,32086,1025700,34.72,2017,6,-1.82,Negative
DHFL,EQ,2017-06-19,454.80,457,461.95,455.10,458.40,458.85,459.13,1791880,822712860.90,19516,618637,34.52,2017,6,0.89,Slight positive
DHFL,EQ,2017-06-20,458.85,459.50,466.85,455.55,459.45,459.90,462.15,1881586,869579584.20,22681,423060,22.48,2017,6,0.23,Slight
DHFL,EQ,2017-06-21,459.90,458.10,465.40,457.60,461.10,461.20,462.28,1619491,748665790.95,22427,842739,52.04,2017,6,0.28,Slight
DHFL,EQ,2017-06-22,461.20,462,468.70,452.55,457.30,456.50,462.07,2461041,1137170594.45,43205,997511,40.53,2017,6,-1.02,Negative
DHFL,EQ,2017-06-23,456.50,457.95,458.10,436,440.70,439.80,442.98,2791780,1236712730.95,39621,790680,28.32,2017,6,-3.66,Among top losers
DHFL,EQ,2017-06-27,439.80,440,440.70,422.70,425.80,426.50,428.55,1939472,831153144.40,29067,512153,26.41,2017,6,-3.02,Among top losers
DHFL,EQ,2017-06-28,426.50,423.50,435,417.85,428,427.85,427.72,1953283,835465707.90,20884,541618,27.73,2017,6,0.32,Slight
DHFL,EQ,2017-06-29,427.85,428.75,442,428.75,437.40,436.20,436.68,2107207,920173664.05,25842,355323,16.86,2017,6,1.95,Positive
DHFL,EQ,2017-06-30,436.20,436.95,439.50,430,436.50,437.20,435.84,1646879,717769327.05,24761,489505,29.72,2017,6,0.23,Slight
DHFL,EQ,2017-07-03,437.20,437.20,445.50,437.20,443.15,442.45,442.40,1227960,543248911.70,16702,461260,37.56,2017,7,1.20,Positive
DHFL,EQ,2017-07-04,442.45,443.05,446.45,432.15,436.30,435.95,438.04,1333859,584277160.20,18814,416523,31.23,2017,7,-1.47,Negative
DHFL,EQ,2017-07-05,435.95,438,438.80,433.60,435.75,435.80,435.88,1210598,527673593.85,23646,482080,39.82,2017,7,-0.03,Slight
DHFL,EQ,2017-07-06,435.80,436,442.15,435.80,437.05,437.90,439.77,1242291,546324106.85,33297,459568,36.99,2017,7,0.48,Slight
DHFL,EQ,2017-07-07,437.90,436.95,438.95,434.50,435.15,435.55,436.16,760038,331501468.55,13828,234649,30.87,2017,7,-0.54,Slight negative
DHFL,EQ,2017-07-10,435.55,435.95,471,435.95,437.50,437.05,437.81,160422,70234701.80,2814,67370,42,2017,7,0.34,Slight
DHFL,EQ,2017-07-11,437.05,438.90,446.50,435,436.50,437.45,441.49,1517250,669853461.70,21319,528288,34.82,2017,7,0.09,Slight
DHFL,EQ,2017-07-12,437.45,438,438,428.30,435.95,434.90,432.52,1553082,671746386.30,30534,467384,30.09,2017,7,-0.58,Slight negative
DHFL,EQ,2017-07-13,434.90,436.10,444.40,434.45,443.50,443,440.94,3079509,1357874423.30,67445,1442954,46.86,2017,7,1.86,Positive
DHFL,EQ,2017-07-14,443,445.50,446,440,442.50,443.05,442.90,1795677,795311338.20,31013,656629,36.57,2017,7,0.01,Slight
