Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
IGL,EQ,2017-05-15,994.50,995.10,1008,995.10,1002,1000.25,1001.54,314597,315080426.80,6153,172367,54.79,2017,5,0,Slight
IGL,EQ,2017-05-16,1000.25,1007.60,1009,988.50,1006,1005.80,998.30,178249,177945444.15,10293,71551,40.14,2017,5,0.01,Slight
IGL,EQ,2017-05-17,1005.80,1009,1027,1008.90,1019.65,1019.10,1020.26,337329,344162611.10,12173,123163,36.51,2017,5,0.01,Slight
IGL,EQ,2017-05-18,1019.10,1019.10,1019.10,999.10,1000.05,1002.55,1008.46,168584,170010077.20,5294,62676,37.18,2017,5,-0.02,Slight
IGL,EQ,2017-05-19,1002.55,1005,1010.85,993,1002.60,1000.15,1001.42,149678,149890520.95,5053,38134,25.48,2017,5,-0.00,Slight
IGL,EQ,2017-05-22,1000.15,1002,1007.55,979.30,995,987.20,987.27,263534,260179705.70,10908,115685,43.90,2017,5,-0.01,Slight
IGL,EQ,2017-05-23,987.20,988.50,995.50,966.80,980.85,981.45,981.17,350503,343902033.55,8861,112562,32.11,2017,5,-0.01,Slight
IGL,EQ,2017-05-24,981.45,981.45,988.90,971.20,980,982.65,980.94,295155,289529424.95,6138,162414,55.03,2017,5,0.00,Slight
IGL,EQ,2017-05-25,982.65,990.70,992.60,967.80,992.60,984.45,982.31,475055,466652013.50,8189,231162,48.66,2017,5,0.00,Slight
IGL,EQ,2017-05-26,984.45,986,1032.95,985.15,1032.95,1026.05,1017.35,555552,565191964.45,16387,237048,42.67,2017,5,0.04,Slight
IGL,EQ,2017-05-29,1026.05,1034,1048.90,1010.40,1027.85,1026.05,1033.34,866262,895141275.95,20636,395910,45.70,2017,5,0,Slight
IGL,EQ,2017-05-30,1026.05,1027.20,1064.90,1022.90,1064,1059.80,1048.40,336537,352824381.45,9178,109585,32.56,2017,5,0.03,Slight
IGL,EQ,2017-05-31,1059.80,1067,1085,1064.10,1073.95,1074.35,1075.89,477726,513982585.25,15525,170154,35.62,2017,5,0.01,Slight
IGL,EQ,2017-06-01,1074.35,1073.70,1073.70,1052,1060,1063.90,1061.16,187826,199313141,7374,66469,35.39,2017,6,-0.01,Slight
IGL,EQ,2017-06-02,1063.90,1063,1096.45,1063,1086.45,1088.35,1088.18,521589,567580554.35,13671,165078,31.65,2017,6,0.02,Slight
IGL,EQ,2017-06-05,1088.35,1089,1094,1075.45,1087.65,1085.25,1085.28,168623,183003387.25,7515,66077,39.19,2017,6,-0.00,Slight
IGL,EQ,2017-06-06,1085.25,1102,1121.15,1087.80,1118,1116.75,1105.33,604141,667777090.85,18715,155176,25.69,2017,6,0.03,Slight
IGL,EQ,2017-06-07,1116.75,1121.90,1126.95,1099.80,1101.80,1106.20,1110.69,228740,254059219.10,5988,100263,43.83,2017,6,-0.01,Slight
IGL,EQ,2017-06-08,1106.20,1101,1112.95,1088.15,1093,1095.95,1096.88,236332,259227335.20,6986,117285,49.63,2017,6,-0.01,Slight
IGL,EQ,2017-06-09,1095.95,1093.95,1106.30,1080.30,1097,1098.70,1095.92,194482,213137539.30,6405,58958,30.32,2017,6,0.00,Slight
IGL,EQ,2017-06-12,1098.70,1090,1097.30,1069.05,1073,1073.55,1080.18,260060,280911725.20,7384,134239,51.62,2017,6,-0.02,Slight
IGL,EQ,2017-06-13,1073.55,1075,1106,1066.55,1089.90,1090.95,1089.86,467237,509221604.65,11342,122927,26.31,2017,6,0.02,Slight
IGL,EQ,2017-06-14,1090.95,1087,1089.95,1071,1074,1073.60,1075.05,266151,286125997.65,9477,161605,60.72,2017,6,-0.02,Slight
IGL,EQ,2017-06-15,1073.60,1080,1080.25,1060.50,1065.85,1063.50,1068.27,166183,177528861.35,5899,52555,31.62,2017,6,-0.01,Slight
IGL,EQ,2017-06-16,1063.50,1072.90,1078,1055.15,1058.65,1060.45,1068.57,206296,220442269.70,5381,56061,27.18,2017,6,-0.00,Slight
IGL,EQ,2017-06-19,1060.45,1064.50,1076.05,1055.60,1072,1069.70,1069.07,361188,386134725.30,8745,240218,66.51,2017,6,0.01,Slight
IGL,EQ,2017-06-20,1069.70,1070,1106.40,1070,1090.90,1086.35,1093.81,567241,620454475.40,14160,121823,21.48,2017,6,0.02,Slight
IGL,EQ,2017-06-21,1086.35,1094.70,1103,1087,1094.20,1093.70,1094,291283,318663829.45,10921,85634,29.40,2017,6,0.01,Slight
IGL,EQ,2017-06-22,1093.70,1097.85,1104,1066.55,1073.10,1077.20,1090.62,216983,236645206.65,6715,47025,21.67,2017,6,-0.02,Slight
IGL,EQ,2017-06-23,1077.20,1079.90,1079.90,1050,1070,1068,1064.08,221319,235500567.40,7678,83851,37.89,2017,6,-0.01,Slight
IGL,EQ,2017-06-27,1068,1062.50,1069.50,1045.60,1048,1052.20,1052.69,173214,182340387.95,5289,60886,35.15,2017,6,-0.01,Slight
IGL,EQ,2017-06-28,1052.20,1041.10,1051.45,1030.20,1037.05,1036.15,1040.35,173255,180245017.15,5743,61115,35.27,2017,6,-0.02,Slight
IGL,EQ,2017-06-29,1036.15,1044,1062,1040.55,1052.90,1052.75,1054.04,365656,385415139.70,13277,40939,11.20,2017,6,0.02,Slight
IGL,EQ,2017-06-30,1052.75,1049.50,1063.50,1037.80,1055,1056.65,1051.36,220355,231672922.75,7376,91116,41.35,2017,6,0.00,Slight
IGL,EQ,2017-07-03,1056.65,1056.95,1064.95,1047.05,1051.05,1052.35,1054.14,254866,268663317.90,10827,159833,62.71,2017,7,-0.00,Slight
IGL,EQ,2017-07-04,1052.35,1059.65,1067.10,1050.05,1060.60,1062,1059.25,227822,241320498.95,8696,71962,31.59,2017,7,0.01,Slight
IGL,EQ,2017-07-05,1062,1065.75,1079,1060.50,1076.80,1072,1069.98,223932,239601678.25,9944,62483,27.90,2017,7,0.01,Slight
IGL,EQ,2017-07-06,1072,1074,1081.35,1063.45,1073,1073.40,1070.76,364281,390058360.50,11691,190224,52.22,2017,7,0.00,Slight
IGL,EQ,2017-07-07,1073.40,1068,1079.30,1068,1074.50,1072.35,1074.44,173620,186544872.25,5361,97907,56.39,2017,7,-0.00,Slight
IGL,EQ,2017-07-10,1072.35,1072,1081,1070,1070.75,1072.30,1073.14,20737,22253776.50,621,10856,52.35,2017,7,-0.00,Slight
IGL,EQ,2017-07-11,1072.30,1077.95,1127.95,1065.05,1121.90,1117.75,1106.26,1053435,1165376227.10,31674,280808,26.66,2017,7,0.04,Slight
