Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
JINDALSTEL,EQ,2017-05-15,112.10,112.90,114.85,112.30,114.70,114.20,113.84,5730419,652322564.20,22627,1197305,20.89,2017,5,0,Slight
JINDALSTEL,EQ,2017-05-16,114.20,115.15,115.75,113.50,113.75,114.10,114.53,5083003,582139920.45,18359,1081322,21.27,2017,5,-0.00,Slight
JINDALSTEL,EQ,2017-05-17,114.10,114.50,118.20,114.20,116.35,116.40,116.62,14511700,1692387134.85,49346,4838996,33.35,2017,5,0.02,Slight
JINDALSTEL,EQ,2017-05-18,116.40,114.70,115.80,112.60,112.95,113.30,113.83,6952070,791375394.45,23427,1894268,27.25,2017,5,-0.03,Slight
JINDALSTEL,EQ,2017-05-19,113.30,113.80,115.50,109.30,112.70,112.15,112.60,7976703,898192980.50,30938,1806216,22.64,2017,5,-0.01,Slight
JINDALSTEL,EQ,2017-05-22,112.15,113.45,115.80,111.95,114.45,113.75,114.08,7699472,878360429.45,28263,1833565,23.81,2017,5,0.01,Slight
JINDALSTEL,EQ,2017-05-23,113.75,114.85,116.40,102.70,107.90,108.15,108.85,39016051,4246776833.60,130143,5521903,14.15,2017,5,-0.05,Slight
JINDALSTEL,EQ,2017-05-24,108.15,109.90,113.90,108.90,110.80,111.10,111.54,18762989,2092734445.75,62087,4301240,22.92,2017,5,0.03,Slight
JINDALSTEL,EQ,2017-05-25,111.10,112,119.50,111.30,118.30,118.50,114.97,15373769,1767578343,49672,4319815,28.10,2017,5,0.07,Slight
JINDALSTEL,EQ,2017-05-26,118.50,119,125.75,119,124.90,125,122.99,18661412,2295108131.90,77863,5187820,27.80,2017,5,0.05,Slight
JINDALSTEL,EQ,2017-05-29,125,127,129.40,119.20,120.85,120.45,124.14,13503169,1676268057.10,50212,2301166,17.04,2017,5,-0.04,Slight
JINDALSTEL,EQ,2017-05-30,120.45,120,124.45,117.10,123.20,123.50,121.22,11227909,1361032689.65,41227,1790333,15.95,2017,5,0.03,Slight
JINDALSTEL,EQ,2017-05-31,123.50,123,124.30,121.20,121.40,121.75,122.13,5671848,692710148.85,22699,1243076,21.92,2017,5,-0.01,Slight
JINDALSTEL,EQ,2017-06-01,121.75,121.75,121.90,118.40,120.80,120.30,119.85,5848472,700946491.90,21483,503627,8.61,2017,6,-0.01,Slight
JINDALSTEL,EQ,2017-06-02,120.30,121.20,123.45,120.60,121.95,121.85,122.08,6266169,764964056.25,24158,819893,13.08,2017,6,0.01,Slight
JINDALSTEL,EQ,2017-06-05,121.85,121.90,123.70,121.05,121.40,121.80,122.28,4337415,530365416.85,17213,730390,16.84,2017,6,-0.00,Slight
JINDALSTEL,EQ,2017-06-06,121.80,121.90,122.40,117.50,117.65,118.20,119.53,5601738,669550866.65,19990,1155665,20.63,2017,6,-0.03,Slight
JINDALSTEL,EQ,2017-06-07,118.20,118.30,119.75,117.70,119.35,119.10,118.83,3348433,397910541.90,12896,599854,17.91,2017,6,0.01,Slight
JINDALSTEL,EQ,2017-06-08,119.10,120.25,125.45,120.25,121.70,121.85,123.36,14349883,1770238935.35,55345,1810823,12.62,2017,6,0.02,Slight
JINDALSTEL,EQ,2017-06-09,121.85,122.85,123.60,121.20,122.95,123.20,122.47,5958974,729813326.75,25344,910831,15.29,2017,6,0.01,Slight
JINDALSTEL,EQ,2017-06-12,123.20,123.75,124.80,121.15,121.95,122.10,122.89,7078435,869844724.45,24636,1419559,20.05,2017,6,-0.01,Slight
