Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
JUBLFOOD,EQ,2017-05-15,986.35,991.85,1031,983.55,1029.60,1025.45,1009.72,576466,582068509.30,19888,115368,20.01,2017,5,0,Slight
JUBLFOOD,EQ,2017-05-16,1025.45,1028.50,1054.85,1028.50,1052,1050.65,1042.26,487510,508110696.20,15487,84859,17.41,2017,5,0.02,Slight
JUBLFOOD,EQ,2017-05-17,1050.65,1044,1058.75,1024.20,1047,1049.05,1039.93,393751,409472571.35,15205,61936,15.73,2017,5,-0.00,Slight
JUBLFOOD,EQ,2017-05-18,1049.05,1039.70,1049.15,1012.20,1014.10,1019.35,1033.80,381432,394324549.90,10345,40599,10.64,2017,5,-0.03,Slight
JUBLFOOD,EQ,2017-05-19,1019.35,1022,1042.20,1011,1012.55,1018.10,1025.24,287852,295117054.10,9834,60049,20.86,2017,5,-0.00,Slight
JUBLFOOD,EQ,2017-05-22,1018.10,1018.10,1038,1015,1022.85,1030.30,1026.60,321837,330398168.10,9940,87006,27.03,2017,5,0.01,Slight
JUBLFOOD,EQ,2017-05-23,1030.30,1030,1030,990,990,993.15,1009.44,342845,346083143.95,12009,77703,22.66,2017,5,-0.04,Slight
JUBLFOOD,EQ,2017-05-24,993.15,995,1005.90,966,974.45,976.45,988.12,448045,442723272.85,12040,42627,9.51,2017,5,-0.02,Slight
JUBLFOOD,EQ,2017-05-25,976.45,974.45,1024,965.25,1024,1014.95,998.09,524803,523802982.35,23985,109155,20.80,2017,5,0.04,Slight
JUBLFOOD,EQ,2017-05-26,1014.95,1024,1035,982.50,993.95,992.70,1013.20,391221,396385702.95,17661,72571,18.55,2017,5,-0.02,Slight
JUBLFOOD,EQ,2017-05-29,992.70,997.80,998.40,925,937.20,940.35,957.94,974901,933898388.15,24822,158323,16.24,2017,5,-0.05,Slight
