Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
MINDTREE,EQ,2017-05-15,510.60,507.35,515,505.90,510.50,509.45,510.39,271952,138800509.75,8261,100362,36.90,2017,5,0,Slight
MINDTREE,EQ,2017-05-16,509.45,507,515.85,506,511,511.30,512.69,207011,106131728.20,5550,82090,39.65,2017,5,0.00,Slight
MINDTREE,EQ,2017-05-17,511.30,507.05,519.70,502.75,504,506.35,512.10,391401,200437504.60,13341,150098,38.35,2017,5,-0.01,Slight
MINDTREE,EQ,2017-05-18,506.35,502,516.75,486,487.50,492.90,505.60,852336,430937717.05,18513,170919,20.05,2017,5,-0.03,Slight
MINDTREE,EQ,2017-05-19,492.90,491.95,502.95,489.50,495.15,497.50,496.43,352273,174878151.50,8326,57853,16.42,2017,5,0.01,Slight
MINDTREE,EQ,2017-05-22,497.50,499.95,511.85,497.10,501.55,502.35,504.78,399974,201899898.35,9779,107089,26.77,2017,5,0.01,Slight
MINDTREE,EQ,2017-05-23,502.35,504,507.45,491,498,501.15,498.72,452893,225866353.65,8567,198703,43.87,2017,5,-0.00,Slight
MINDTREE,EQ,2017-05-24,501.15,502,515,494.05,511.95,509.95,506.72,823967,417521056.90,15083,351179,42.62,2017,5,0.02,Slight
MINDTREE,EQ,2017-05-25,509.95,513.70,549.50,508.45,542.50,543.90,532.14,1632427,868682873,25072,693340,42.47,2017,5,0.07,Slight
MINDTREE,EQ,2017-05-26,543.90,540,544,532,533.45,535.20,537.15,461613,247953805.90,12606,113087,24.50,2017,5,-0.02,Slight
MINDTREE,EQ,2017-05-29,535.20,532.50,552.05,521.60,529.15,530.55,535.83,718355,384914121.10,19256,173854,24.20,2017,5,-0.01,Slight
MINDTREE,EQ,2017-05-30,530.55,530.55,540,524,535.60,537.40,535.40,475566,254620399.25,11648,186388,39.19,2017,5,0.01,Slight
MINDTREE,EQ,2017-05-31,537.40,540,549.80,534.50,546.05,543.95,543.99,617800,336076783.45,18504,234480,37.95,2017,5,0.01,Slight
MINDTREE,EQ,2017-06-01,543.95,545.05,549,535,538,537.40,540.08,504801,272634250.60,18409,182246,36.10,2017,6,-0.01,Slight
MINDTREE,EQ,2017-06-02,537.40,537.80,543.80,533.10,539.90,539.90,539.28,312022,168268100.80,6951,139538,44.72,2017,6,0.00,Slight
MINDTREE,EQ,2017-06-05,539.90,540,560,536.30,555.85,557.45,552.59,960839,530948103.85,34305,367704,38.27,2017,6,0.03,Slight
MINDTREE,EQ,2017-06-06,557.45,560,565.90,544.40,546,546.70,557.59,931646,519479225.90,28291,241092,25.88,2017,6,-0.02,Slight
MINDTREE,EQ,2017-06-07,546.70,549.50,556.10,513.55,534.90,536.90,534.96,957153,512035924.15,18469,250862,26.21,2017,6,-0.02,Slight
MINDTREE,EQ,2017-06-08,536.90,538.50,546.35,528,542.80,543.50,539.33,459527,247838052.80,9138,138735,30.19,2017,6,0.01,Slight
MINDTREE,EQ,2017-06-09,543.50,542,542.75,534.15,537.05,538.75,538.62,229279,123494625.55,7087,87478,38.15,2017,6,-0.01,Slight
MINDTREE,EQ,2017-06-12,538.75,536.10,544.55,528.05,539,539.80,538.19,379066,204010845.35,9623,98241,25.92,2017,6,0.00,Slight
MINDTREE,EQ,2017-06-13,539.80,540.90,542.35,530.20,532,531.80,536.98,320855,172291144.95,12246,97230,30.30,2017,6,-0.01,Slight
MINDTREE,EQ,2017-06-14,531.80,531.70,536.75,516.45,523.50,523.30,523.37,671432,351407049.65,9066,317335,47.26,2017,6,-0.02,Slight
MINDTREE,EQ,2017-06-15,523.30,521.05,523.75,515.05,515.65,517.85,520.28,210643,109592788.85,5216,66819,31.72,2017,6,-0.01,Slight
MINDTREE,EQ,2017-06-16,517.85,518.05,525.45,511.15,514.90,514.95,518.36,385256,199702494.70,6706,116377,30.21,2017,6,-0.01,Slight
MINDTREE,EQ,2017-06-19,514.95,518.70,520.45,511.60,515.20,515.90,516.15,188878,97488450.90,4159,31231,16.54,2017,6,0.00,Slight
MINDTREE,EQ,2017-06-20,515.90,516,525,516,519.05,519.75,520.97,442425,230490111.30,11450,226523,51.20,2017,6,0.01,Slight
MINDTREE,EQ,2017-06-21,519.75,517.85,524,515.05,519.90,519.60,520.65,414457,215787296.90,14034,188443,45.47,2017,6,-0.00,Slight
MINDTREE,EQ,2017-06-22,519.60,520,530.85,518.25,521.05,521,525.40,403163,211820055.15,7914,95596,23.71,2017,6,0.00,Slight
MINDTREE,EQ,2017-06-23,521,531.95,537.50,525,532,532,531.87,1238632,658793281.85,22835,220177,17.78,2017,6,0.02,Slight
MINDTREE,EQ,2017-06-27,532,537,540,516.05,526.05,526.65,528.98,699296,369910443.50,15285,221803,31.72,2017,6,-0.01,Slight
MINDTREE,EQ,2017-06-28,526.65,525,534,520.55,529.95,531.10,529.33,336692,178221369.50,7826,73242,21.75,2017,6,0.01,Slight
MINDTREE,EQ,2017-06-29,531.10,548.70,548.70,525.30,527,528.70,533.11,2877419,1533985313.85,37587,1395145,48.49,2017,6,-0.00,Slight
MINDTREE,EQ,2017-06-30,528.70,529.10,532,523,530.90,529,527.44,470377,248097623.90,7901,245563,52.21,2017,6,0.00,Slight
MINDTREE,EQ,2017-07-03,529,530.90,534,525.10,529,529.05,528.71,823697,435494658.55,17213,486031,59.01,2017,7,0.00,Slight
MINDTREE,EQ,2017-07-04,529.05,535,535.95,529.05,535,534.40,532.27,912799,485857728.25,28323,597937,65.51,2017,7,0.01,Slight
MINDTREE,EQ,2017-07-05,534.40,535,545.70,535,543,541.80,540.49,1592847,860913064.15,32898,980114,61.53,2017,7,0.01,Slight
MINDTREE,EQ,2017-07-06,541.80,542,546.60,539.60,545.90,544.80,542.96,820255,445366595.10,13739,498293,60.75,2017,7,0.01,Slight
MINDTREE,EQ,2017-07-07,544.80,544.90,548.80,538.05,540.70,539.15,543.07,1034523,561821559.70,17271,693438,67.03,2017,7,-0.01,Slight
MINDTREE,EQ,2017-07-10,539.15,539,539,518.90,529.10,529.65,530.06,81549,43225589.80,1502,47018,57.66,2017,7,-0.02,Slight
MINDTREE,EQ,2017-07-11,529.65,530.50,531.50,523.40,524.50,524.70,527.49,499551,263505935.45,9874,250482,50.14,2017,7,-0.01,Slight
MINDTREE,EQ,2017-07-12,524.70,523,525.90,513.15,514,514.30,518.34,609499,315924801.50,9131,367221,60.25,2017,7,-0.02,Slight
MINDTREE,EQ,2017-07-13,514.30,516.85,520,510.10,513.95,513.75,515.39,429212,221209563.35,11816,203188,47.34,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-14,513.75,513.75,518.80,510.55,514,514.95,514.91,692155,356397821.20,12260,394280,56.96,2017,7,0.00,Slight
MINDTREE,EQ,2017-07-17,514.95,515.90,520.35,512.15,514.25,514,517.04,819291,423604106.60,7607,495508,60.48,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-18,514,516.90,516.90,506,507.15,508.40,510.12,462809,236088183.45,12582,157642,34.06,2017,7,-0.01,Slight
MINDTREE,EQ,2017-07-19,508.40,511.75,520,505.25,506.05,506.65,511,1084370,554107922.70,15183,251332,23.18,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-20,506.65,485,500,482.50,484.65,484.30,489.92,2193659,1074726916.80,33883,564402,25.73,2017,7,-0.04,Slight
MINDTREE,EQ,2017-07-21,484.30,486.90,487.70,478.75,484.90,484.25,482.52,783117,377868220.40,14024,308124,39.35,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-24,484.25,485,489.90,482.10,483.50,483.55,485.61,291492,141550963.40,11053,101811,34.93,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-25,483.55,485.60,485.60,475,481.95,481.85,480.58,357817,171961482.90,12055,91149,25.47,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-26,481.85,481.90,484.30,479.10,480,480.20,481.03,224292,107890090.70,5630,84660,37.75,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-27,480.20,480.20,485.15,479,483.15,481.80,482.80,462695,223390930.30,12081,211090,45.62,2017,7,0.00,Slight
MINDTREE,EQ,2017-07-28,481.80,483.15,483.15,476.75,479,479.50,478.90,118353,56679006.05,3282,42691,36.07,2017,7,-0.00,Slight
MINDTREE,EQ,2017-07-31,479.50,481.85,483.90,476.05,476.20,477.45,479.22,150644,72191931.10,3948,59542,39.52,2017,7,-0.00,Slight
MINDTREE,EQ,2017-08-01,477.45,477.35,479.20,469.45,472.35,472.60,474.85,371419,176368459.90,13465,183546,49.42,2017,8,-0.01,Slight
MINDTREE,EQ,2017-08-02,472.60,474,476.45,470,474,473.30,473.94,188148,89170151.10,9400,104624,55.61,2017,8,0.00,Slight
MINDTREE,EQ,2017-08-03,473.30,470.05,473.25,461.50,462.95,465.90,467.10,215576,100695910.10,8860,104754,48.59,2017,8,-0.02,Slight
MINDTREE,EQ,2017-08-04,465.90,464.80,473.25,461.75,472.20,471.05,467.36,439102,205217474.70,7820,259684,59.14,2017,8,0.01,Slight
