Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
PNB,EQ,2017-05-15,169.15,169.95,171.30,166.20,166.85,166.80,168.94,7476618,1263123175.40,41641,1352589,18.09,2017,5,0,Slight
PNB,EQ,2017-05-16,166.80,167.35,178,164.80,173.20,174.15,173.13,51532461,8921903967.60,254027,5804867,11.26,2017,5,4.41,Among top gainers
PNB,EQ,2017-05-17,174.15,173,173.10,164.30,164.80,165.05,167.27,26536944,4438941589,116512,7037498,26.52,2017,5,-5.23,Among top losers
PNB,EQ,2017-05-18,165.05,163.40,164.40,157.90,158.25,158.50,161.06,13905573,2239612548.30,76746,3245443,23.34,2017,5,-3.97,Among top losers
PNB,EQ,2017-05-19,158.50,159.50,162.25,154.10,155.20,155.20,157.59,16311602,2570540467.55,82394,2816963,17.27,2017,5,-2.08,Negative
PNB,EQ,2017-05-22,155.20,157.50,158,150.25,151.05,150.95,153.77,11857847,1823358970.75,61559,1874308,15.81,2017,5,-2.74,Negative
PNB,EQ,2017-05-23,150.95,151.95,154.35,145.55,149.10,149.75,150.19,18177361,2730134675.20,84779,2318975,12.76,2017,5,-0.79,Slight negative
PNB,EQ,2017-05-24,149.75,149.70,152.35,146.50,147.30,147.45,149.16,12578488,1876156468.60,63143,1093155,8.69,2017,5,-1.54,Negative
PNB,EQ,2017-05-25,147.45,148.50,151.90,144.35,151.20,150.70,148.28,18805386,2788529745.95,70546,5106397,27.15,2017,5,2.20,Positive
PNB,EQ,2017-05-26,150.70,151,153.30,149.60,150.30,150.65,151.23,9285518,1404293979.65,45352,1805638,19.45,2017,5,-0.03,Slight
PNB,EQ,2017-05-29,150.65,150.45,151.85,143.05,143.65,145.10,147.58,8154328,1203406698.45,37624,1838845,22.55,2017,5,-3.68,Among top losers
PNB,EQ,2017-05-30,145.10,143.90,148,142.40,146.45,146.35,146.11,10767305,1573237194.75,46802,2178803,20.24,2017,5,0.86,Slight positive
PNB,EQ,2017-05-31,146.35,146.85,151.60,145,150.85,150.50,148.56,16851657,2503432202,62225,5241274,31.10,2017,5,2.84,Positive
PNB,EQ,2017-06-01,150.50,151,152.30,149.25,151.60,151.90,150.95,9103808,1374191400.30,39672,969143,10.65,2017,6,0.93,Slight positive
PNB,EQ,2017-06-02,151.90,153.40,154.05,150.90,153,153.05,152.87,7997880,1222653756.10,37217,1520732,19.01,2017,6,0.76,Slight positive
PNB,EQ,2017-06-05,153.05,153.45,154.75,152.80,153.85,153.80,153.80,5133407,789529480.90,27356,928075,18.08,2017,6,0.49,Slight
PNB,EQ,2017-06-06,153.80,154.10,154.50,149.05,149.55,149.50,151.32,6081488,920237705.20,32123,1091219,17.94,2017,6,-2.80,Negative
PNB,EQ,2017-06-07,149.50,149.50,153,149.25,152.65,152.35,151.17,7023536,1061741432.05,37817,1243197,17.70,2017,6,1.91,Positive
PNB,EQ,2017-06-08,152.35,152.80,153.15,150.75,151.30,151.30,151.73,5183430,786460561.90,29855,892803,17.22,2017,6,-0.69,Slight negative
PNB,EQ,2017-06-09,151.30,151,152.75,149.65,151.80,152.15,151.45,4215439,638407453.80,23742,531658,12.61,2017,6,0.56,Slight positive
PNB,EQ,2017-06-12,152.15,151,151,147.50,148.60,148.40,148.89,6329251,942376196.15,33295,911020,14.39,2017,6,-2.46,Negative
PNB,EQ,2017-06-13,148.40,148.80,150.50,147.50,149.15,148.75,149.12,4610203,687463916.05,36325,825200,17.90,2017,6,0.24,Slight
PNB,EQ,2017-06-14,148.75,149.60,152.70,148.30,152.20,152,150.56,8829217,1329301635.55,43060,1584689,17.95,2017,6,2.18,Positive
PNB,EQ,2017-06-15,152,148.60,150.70,146.70,147.20,147.45,148.04,12486764,1848505520.40,55170,2697077,21.60,2017,6,-2.99,Negative
PNB,EQ,2017-06-16,147.45,148.50,148.90,146.70,147.50,147.65,147.72,6445657,952149860.05,29679,2200753,34.14,2017,6,0.14,Slight
PNB,EQ,2017-06-19,147.65,148.50,149,146.80,146.95,147.25,148.06,3972793,588220932.95,29398,690014,17.37,2017,6,-0.27,Slight
PNB,EQ,2017-06-20,147.25,146.90,147.60,143.50,144.05,143.90,144.66,11058383,1599745028.90,47839,4668493,42.22,2017,6,-2.28,Negative
PNB,EQ,2017-06-21,143.90,144.10,146.65,143.50,146.15,146.20,145.79,6615254,964436954.90,49075,1607645,24.30,2017,6,1.60,Positive
PNB,EQ,2017-06-22,146.20,146.95,147.90,144.75,145.35,145.55,146.58,4476023,656117024.55,26433,877736,19.61,2017,6,-0.44,Slight
PNB,EQ,2017-06-23,145.55,145.75,146.55,142.10,144.10,143.90,144.08,6011716,866189019.65,36711,1388169,23.09,2017,6,-1.13,Negative
PNB,EQ,2017-06-27,143.90,144.40,144.40,135.60,136.20,137,137.82,11185507,1541598359.15,56355,1918992,17.16,2017,6,-4.79,Among top losers
PNB,EQ,2017-06-28,137,134.40,138.25,132.65,136.60,136.50,136.05,10796349,1468875924.30,53240,1259571,11.67,2017,6,-0.36,Slight
PNB,EQ,2017-06-29,136.50,138,139.75,134.80,138.10,138.05,137.11,9372758,1285095594.75,35607,2593740,27.67,2017,6,1.14,Positive
PNB,EQ,2017-06-30,138.05,136.85,138.60,135.50,136.60,137.30,137.38,5476662,752375712.55,24323,738785,13.49,2017,6,-0.54,Slight negative
PNB,EQ,2017-07-03,137.30,137.50,140,136.60,139.55,139.25,137.99,4541871,626729516.45,27851,1007586,22.18,2017,7,1.42,Positive
PNB,EQ,2017-07-04,139.25,139.40,140.35,135.80,135.85,136.55,137.96,4799590,662130387.95,23419,999998,20.84,2017,7,-1.94,Negative
PNB,EQ,2017-07-05,136.55,136.40,137.60,135.25,136.60,136.60,136.59,6423645,877404578.35,31076,1765608,27.49,2017,7,0.04,Slight
PNB,EQ,2017-07-06,136.60,140.45,144.20,139.75,143.50,143.30,142.35,16877517,2402481653.45,77265,4314027,25.56,2017,7,4.90,Among top gainers
PNB,EQ,2017-07-07,143.30,143.60,144.80,142.45,144,144.20,143.77,6501418,934695017.85,33965,1583305,24.35,2017,7,0.63,Slight positive
PNB,EQ,2017-07-10,144.20,148,154.25,145.10,153.10,153.25,152.52,6737212,1027572511.50,31366,2308584,34.27,2017,7,6.28,Among top gainers
PNB,EQ,2017-07-11,153.25,154.35,155.10,148.70,149.40,149.40,152.06,10977204,1669203805.20,58220,3247898,29.59,2017,7,-2.51,Negative
PNB,EQ,2017-07-12,149.40,149.85,152.90,148.40,152.70,152.35,150.80,7270322,1096351388.20,43114,1219587,16.77,2017,7,1.97,Positive
PNB,EQ,2017-07-13,152.35,153.90,154.95,151,152.25,152.25,152.56,5383408,821293131.80,28742,706397,13.12,2017,7,-0.07,Slight
PNB,EQ,2017-07-14,152.25,150,154.90,150,153.50,153.65,152.86,7808933,1193669215.65,40336,1174858,15.05,2017,7,0.92,Slight positive
PNB,EQ,2017-07-17,153.65,153.35,154,151.50,153.20,152.90,152.64,7437053,1135184931.35,25801,2580884,34.70,2017,7,-0.49,Slight
PNB,EQ,2017-07-18,152.90,152.90,158.95,151.90,155.80,154.85,156.41,12397695,1939177078.70,63499,2193026,17.69,2017,7,1.28,Positive
PNB,EQ,2017-07-19,154.85,156.60,158.85,155.65,158.50,158.30,157.11,6062912,952563276.10,30248,1226640,20.23,2017,7,2.23,Positive
PNB,EQ,2017-07-20,158.30,156.95,158.70,155.90,157.50,156.75,157.25,5441983,855750198.65,27241,765148,14.06,2017,7,-0.98,Slight negative
PNB,EQ,2017-07-21,156.75,158,159.70,155.95,158.30,158.25,158.11,6926819,1095198030.35,33064,1499002,21.64,2017,7,0.96,Slight positive
PNB,EQ,2017-07-24,158.25,158.50,163.40,158,161.50,161.30,161.32,8443748,1362127922.20,40919,1493556,17.69,2017,7,1.93,Positive
PNB,EQ,2017-07-25,161.30,162.25,164.30,161.35,162.90,162.95,162.79,6869914,1118345155.80,34026,1818693,26.47,2017,7,1.02,Positive
PNB,EQ,2017-07-26,162.95,162.50,163.70,158.10,158.55,158.90,161.25,8868577,1430080319.85,38957,2965878,33.44,2017,7,-2.49,Negative
PNB,EQ,2017-07-27,158.90,159.95,160.90,153.50,155.15,154.15,156.80,11133709,1745793992.20,46308,3068462,27.56,2017,7,-2.99,Negative
PNB,EQ,2017-07-28,154.15,154,159.45,153,159.20,158.85,157.18,7759390,1219593960.45,34575,1706445,21.99,2017,7,3.05,Among top gainers
PNB,EQ,2017-07-31,158.85,154.90,163.40,154.35,162.70,162.30,160.44,13159766,2111394261.30,60702,3007727,22.86,2017,7,2.17,Positive
PNB,EQ,2017-08-01,162.30,163.80,164.20,157,157.30,157.50,158.88,11446128,1818579759.85,56178,2601717,22.73,2017,8,-2.96,Negative
PNB,EQ,2017-08-02,157.50,159,162.20,157.35,157.85,158.95,159.57,31565886,5036922632.50,128703,4175010,13.23,2017,8,0.92,Slight positive
PNB,EQ,2017-08-03,158.95,157.85,157.85,148.20,148.80,149.30,152.43,19702626,3003207924.90,95685,4736496,24.04,2017,8,-6.07,Among top losers
PNB,EQ,2017-08-04,149.30,149.05,152.35,147.90,151.25,151.05,150.75,12895805,1944011309.65,67955,3110595,24.12,2017,8,1.17,Positive
PNB,EQ,2017-08-07,151.05,151.30,153,151.05,152,152.10,152.13,5372108,817262134.05,32456,1165851,21.70,2017,8,0.70,Slight positive
PNB,EQ,2017-08-08,152.10,153,153,145.50,148.85,148.80,148.66,11529949,1714088808.30,40487,1924997,16.70,2017,8,-2.17,Negative
PNB,EQ,2017-08-09,148.80,148.50,150.30,146.50,147.75,148.30,148.69,7478797,1112015545.10,33269,621976,8.32,2017,8,-0.34,Slight
PNB,EQ,2017-08-10,148.30,147.50,148.30,140.15,144.20,143.15,145.12,8506146,1234402066.60,37306,825204,9.70,2017,8,-3.47,Among top losers
PNB,EQ,2017-08-11,143.15,139,144.60,137.45,140.05,140.35,141.50,14050916,1988243139,69893,3081937,21.93,2017,8,-1.96,Negative
PNB,EQ,2017-08-14,140.35,141.50,143.80,140.35,143.35,143.20,142.22,5282514,751283516.30,30158,1107335,20.96,2017,8,2.03,Positive
PNB,EQ,2017-08-16,143.20,143.90,149.10,140.70,148.80,147.55,143.77,8003091,1150585706.40,39086,807207,10.09,2017,8,3.04,Among top gainers
PNB,EQ,2017-08-17,147.55,148.10,150.10,145.50,146.35,146.30,147.76,8384523,1238916848,35949,1326789,15.82,2017,8,-0.85,Slight negative
PNB,EQ,2017-08-18,146.30,144,144.50,140.70,141.80,142.15,142.17,9195713,1307342821.90,50483,1441031,15.67,2017,8,-2.84,Negative
PNB,EQ,2017-08-21,142.15,143,143.90,136.80,137.60,137.60,140.59,9064019,1274294900.40,50025,2188902,24.15,2017,8,-3.20,Among top losers
PNB,EQ,2017-08-22,137.60,139,139.50,135.65,138.20,138,137.56,9256850,1273395512.60,53563,987686,10.67,2017,8,0.29,Slight
PNB,EQ,2017-08-23,138,139,143.10,138.25,142.60,142.65,141.41,9488136,1341696842.05,59355,1438038,15.16,2017,8,3.37,Among top gainers
PNB,EQ,2017-08-24,142.65,141.50,145.50,140.25,143.90,144.30,142.72,8742823,1247799862.05,46316,1451701,16.60,2017,8,1.16,Positive
PNB,EQ,2017-08-28,144.30,144.30,145.95,143.95,144.90,144.85,144.79,5356187,775547858.05,39925,1568571,29.29,2017,8,0.38,Slight
PNB,EQ,2017-08-29,144.85,143.25,145.40,140.25,141,141,142.97,6956667,994610565.70,54584,1965266,28.25,2017,8,-2.66,Negative
PNB,EQ,2017-08-30,141,142.25,143.35,141.30,143.05,142.50,142.43,4286281,610515829.90,18619,1301616,30.37,2017,8,1.06,Positive
PNB,EQ,2017-08-31,142.50,142.60,145,141.40,143.80,143.80,142.83,8964249,1280355814.30,34594,3323063,37.07,2017,8,0.91,Slight positive
PNB,EQ,2017-09-01,143.80,144.10,145.80,143.90,144.30,144.45,144.78,5319966,770221192.35,22288,930797,17.50,2017,9,0.45,Slight
PNB,EQ,2017-09-04,144.45,144.50,145.40,141.60,142.50,142.65,143.36,4522734,648361091.95,20150,346679,7.67,2017,9,-1.25,Negative
PNB,EQ,2017-09-05,142.65,143.30,143.90,142.40,143.55,143.60,143.38,3193574,457905020.40,14574,372378,11.66,2017,9,0.67,Slight positive
PNB,EQ,2017-09-06,143.60,142.25,142.60,138.35,138.70,139,139.87,12625243,1765901861.25,43368,5719430,45.30,2017,9,-3.20,Among top losers
PNB,EQ,2017-09-07,139,140.40,140.40,137.55,139,138.95,138.98,8834660,1227860778.85,37615,2411057,27.29,2017,9,-0.04,Slight
PNB,EQ,2017-09-08,138.95,139.40,139.80,137.10,137.75,137.85,138.24,4807096,664550906.65,22975,686279,14.28,2017,9,-0.79,Slight negative
PNB,EQ,2017-09-11,137.85,138.90,139.50,137.75,138.30,138.15,138.60,3593970,498110788.35,19592,728489,20.27,2017,9,0.22,Slight
PNB,EQ,2017-09-12,138.15,139.40,142,138,141.70,141.50,140.58,7355454,1034054076.65,44047,2264538,30.79,2017,9,2.42,Positive
PNB,EQ,2017-09-13,141.50,141.95,144.80,141.15,143.35,143,143.42,6517642,934782219.05,33534,1821470,27.95,2017,9,1.06,Positive
PNB,EQ,2017-09-14,143,143,145.80,143,145.35,145.25,144.77,6985935,1011374692.45,32205,2035250,29.13,2017,9,1.57,Positive
PNB,EQ,2017-09-15,145.25,144.20,146.40,143.60,144.05,144.65,144.71,5237646,757929785.40,23604,1317793,25.16,2017,9,-0.41,Slight
PNB,EQ,2017-09-18,144.65,146,147.30,144.50,144.70,144.75,145.75,4089953,596106280.95,25242,1412985,34.55,2017,9,0.07,Slight
PNB,EQ,2017-09-19,144.75,145.50,145.50,141.90,143.80,143.90,143.57,3878878,556906222.85,22619,438332,11.30,2017,9,-0.59,Slight negative
PNB,EQ,2017-09-20,143.90,144,146.45,142.75,144.85,144.80,144.56,9509565,1374724265.70,31589,5119640,53.84,2017,9,0.63,Slight positive
PNB,EQ,2017-09-21,144.80,144.20,145.70,141.35,141.80,141.80,142.60,4955855,706717489.45,24068,1053354,21.25,2017,9,-2.07,Negative
PNB,EQ,2017-09-22,141.80,141.70,141.70,137.05,137.60,137.70,139.11,4339014,603615262.80,22869,918627,21.17,2017,9,-2.89,Negative
PNB,EQ,2017-09-25,137.70,137.50,138.50,133.35,137.60,137.65,135.95,5005117,680437122.15,24593,720903,14.40,2017,9,-0.04,Slight
PNB,EQ,2017-09-26,137.65,137.50,138.25,135.50,136.35,136.65,136.89,4156603,569002187,24906,908520,21.86,2017,9,-0.73,Slight negative
PNB,EQ,2017-09-27,136.65,137.30,138.20,132.05,132.70,132.65,135.23,5049669,682851209.15,25195,1010710,20.02,2017,9,-2.93,Negative
PNB,EQ,2017-09-28,132.65,132.80,133.90,130.20,130.75,130.75,131.98,6456704,852152232.20,28453,1167092,18.08,2017,9,-1.43,Negative
PNB,EQ,2017-09-29,130.75,131.90,132.75,128.40,129.50,129.05,130.59,5696269,743878930.20,28838,1745159,30.64,2017,9,-1.30,Negative
PNB,EQ,2017-10-03,129.05,130.85,131,128.20,129.40,129.60,129.32,6869737,888372479.35,26257,2788540,40.59,2017,10,0.43,Slight
PNB,EQ,2017-10-04,129.60,129.90,132.20,129,130.35,129.95,130.43,4823213,629089708.40,22348,728220,15.10,2017,10,0.27,Slight
PNB,EQ,2017-10-05,129.95,130.40,133.30,130,132.70,132.35,131.88,5435195,716800457.65,24369,1371152,25.23,2017,10,1.85,Positive
PNB,EQ,2017-10-06,132.35,133,137.90,132.95,137.30,137.05,135.37,7521348,1018163150.35,30974,2808888,37.35,2017,10,3.55,Among top gainers
PNB,EQ,2017-10-09,137.05,137,137.85,135.15,137.20,137.30,136.67,4262474,582541535.10,17463,832841,19.54,2017,10,0.18,Slight
PNB,EQ,2017-10-10,137.30,137.50,137.80,136.20,137,137,136.99,2373107,325099530.15,12433,413582,17.43,2017,10,-0.22,Slight
PNB,EQ,2017-10-11,137,138,138.80,130.80,131,131.70,134.49,5753051,773714431.60,28557,1589050,27.62,2017,10,-3.87,Among top losers
PNB,EQ,2017-10-12,131.70,132,134.30,129.95,133.70,133.80,132.13,5371109,709689630.30,24211,426446,7.94,2017,10,1.59,Positive
PNB,EQ,2017-10-13,133.80,133.80,136.75,132.40,135,135,135.08,5481433,740413015.65,27510,567323,10.35,2017,10,0.90,Slight positive
PNB,EQ,2017-10-16,135,135.45,136.35,132,134.20,133.85,133.95,4427314,593027108.85,20451,413209,9.33,2017,10,-0.85,Slight negative
PNB,EQ,2017-10-17,133.85,133.80,136.80,133.35,134.45,134.40,134.94,4220328,569495838.50,18787,410807,9.73,2017,10,0.41,Slight
PNB,EQ,2017-10-18,134.40,133.10,133.85,130.40,131.25,130.90,132.06,6126357,809057945.70,28499,1700486,27.76,2017,10,-2.60,Negative
PNB,EQ,2017-10-19,130.90,131,131.50,128.80,129.30,129.55,130,1148287,149282881.15,6684,490653,42.73,2017,10,-1.03,Negative
PNB,EQ,2017-10-23,129.55,129.60,131.90,129,131.35,131,130.30,4381410,570896084.40,21648,799135,18.24,2017,10,1.12,Positive
PNB,EQ,2017-10-24,131,131.50,141.70,131,137.60,138.20,137.72,13692564,1885737337.60,63629,2547558,18.61,2017,10,5.50,Among top gainers
PNB,EQ,2017-10-25,138.20,152,206.55,152,205.75,202.05,188.41,166547247,31378580984.20,539330,51280258,30.79,2017,10,46.20,Bull run
PNB,EQ,2017-10-26,202.05,212,231.45,201.10,218,213.60,213.21,124669249,26580974703.10,530017,10942333,8.78,2017,10,5.72,Among top gainers
PNB,EQ,2017-10-27,213.60,214,214,195.25,197.30,196.65,202.24,39213574,7930594969.45,185993,4697019,11.98,2017,10,-7.94,Bear drop
PNB,EQ,2017-10-30,196.65,196.80,213,194.75,203.20,203.95,205.59,46136900,9485506632.90,219912,5565348,12.06,2017,10,3.71,Among top gainers
PNB,EQ,2017-10-31,203.95,203.95,206.90,196.60,197.50,197.15,200.08,27023668,5406962052.10,131164,3693136,13.67,2017,10,-3.33,Among top losers
PNB,EQ,2017-11-01,197.15,202,206.30,198.25,199.05,198.90,201.60,28141909,5673452286.80,141284,7550245,26.83,2017,11,0.89,Slight positive
PNB,EQ,2017-11-02,198.90,199.05,203.50,196.05,197.55,197.45,199.16,20686765,4119909147.70,96785,4089733,19.77,2017,11,-0.73,Slight negative
PNB,EQ,2017-11-03,197.45,199.25,212,199.10,207.30,207.80,205.11,96398855,19772829282.25,415429,8992220,9.33,2017,11,5.24,Among top gainers
PNB,EQ,2017-11-06,207.80,206.80,207.60,199.70,201.90,201.20,203.97,21545767,4394627840,104792,4790795,22.24,2017,11,-3.18,Among top losers
PNB,EQ,2017-11-07,201.20,204.80,204.80,188.65,191.25,190.80,194.91,27782722,5415228847.90,142432,4790672,17.24,2017,11,-5.17,Among top losers
PNB,EQ,2017-11-08,190.80,192.85,194.85,186.05,191.40,189.05,190.51,22869578,4356887977.60,105533,3066176,13.41,2017,11,-0.92,Slight negative
PNB,EQ,2017-11-09,189.05,191.40,196.55,190.50,192.75,192.30,192.73,21212153,4088151897.40,96368,3453410,16.28,2017,11,1.72,Positive
PNB,EQ,2017-11-10,192.30,190,196,187,190,190.10,191.64,26367774,5053183086.90,130755,4053656,15.37,2017,11,-1.14,Negative
PNB,EQ,2017-11-13,190.10,192,192.45,186.50,187,187.65,189.93,13730302,2607821504.25,67646,2630797,19.16,2017,11,-1.29,Negative
PNB,EQ,2017-11-14,187.65,188.30,189.95,183.20,184.40,184.05,186.33,14459551,2694318620.75,64349,2799331,19.36,2017,11,-1.92,Negative
PNB,EQ,2017-11-15,184.05,184.90,187.10,179.15,181.50,180.70,183.15,15478328,2834816724.50,69248,2387616,15.43,2017,11,-1.82,Negative
PNB,EQ,2017-11-16,180.70,182.40,191.05,180.10,190.10,189.60,186.37,22146185,4127406056.70,104752,3194215,14.42,2017,11,4.93,Among top gainers
PNB,EQ,2017-11-17,189.60,198,200.90,189.80,190.70,190.80,195.21,28196846,5504318926.30,119814,4254216,15.09,2017,11,0.63,Slight positive
PNB,EQ,2017-11-20,190.80,190.70,190.70,186.50,186.85,187.25,188.22,13291834,2501852585.10,51217,3138947,23.62,2017,11,-1.86,Negative
PNB,EQ,2017-11-21,187.25,188.95,191.70,185.30,186,186.30,188.39,13806005,2600897755.55,56938,1994964,14.45,2017,11,-0.51,Slight negative
PNB,EQ,2017-11-22,186.30,187,192.95,183.50,188.80,189.20,188.68,23941016,4517211162.05,117836,3075572,12.85,2017,11,1.56,Positive
PNB,EQ,2017-11-23,189.20,189.30,189.60,184.95,186.50,186.50,187.06,14256077,2666704700.15,60880,2069311,14.52,2017,11,-1.43,Negative
PNB,EQ,2017-11-24,186.50,187,189.20,185.05,185.95,186.10,187.07,11782239,2204079809.90,47651,2330427,19.78,2017,11,-0.21,Slight
PNB,EQ,2017-11-27,186.10,184.95,186.65,182.85,185.20,185.85,184.91,10556535,1952047692.50,41208,1892143,17.92,2017,11,-0.13,Slight
PNB,EQ,2017-11-28,185.85,186.70,187.85,182.80,183,183.70,185.79,13720114,2549118691.20,51303,2012049,14.66,2017,11,-1.16,Negative
PNB,EQ,2017-11-29,183.70,184.10,184.70,180.50,181.35,181.60,182.85,9800911,1792107393.60,37943,2087025,21.29,2017,11,-1.14,Negative
PNB,EQ,2017-11-30,181.60,180.90,180.90,175.35,176.85,176.10,177.99,17254860,3071193397.65,58439,4421454,25.62,2017,11,-3.03,Among top losers
PNB,EQ,2017-12-01,176.10,177.10,178,170.10,170.30,171.50,175.02,13167162,2304467391.60,56914,2011155,15.27,2017,12,-2.61,Negative
PNB,EQ,2017-12-04,171.50,171.90,174.35,169.50,174.35,173.20,171.89,12795662,2199478122.35,51153,1574344,12.30,2017,12,0.99,Slight positive
PNB,EQ,2017-12-05,173.20,172.40,177.80,170.65,176.15,175.95,174.25,17498518,3049113011.20,72040,2606801,14.90,2017,12,1.59,Positive
PNB,EQ,2017-12-06,175.95,175.40,175.80,170.95,171.40,172.10,173.76,12381441,2151458031.25,62519,1849411,14.94,2017,12,-2.19,Negative
PNB,EQ,2017-12-07,172.10,172.10,175.80,172.05,173.75,173.90,174.13,11340699,1974770839.05,43984,1886537,16.64,2017,12,1.05,Positive
PNB,EQ,2017-12-08,173.90,174.35,175.30,172,172.50,172.70,173.28,8766071,1518963726.25,32946,1064991,12.15,2017,12,-0.69,Slight negative
PNB,EQ,2017-12-11,172.70,174.05,175.30,171.85,172.45,172.95,173.65,7926307,1376388514.10,30049,1158751,14.62,2017,12,0.14,Slight
PNB,EQ,2017-12-12,172.95,172.90,176.25,170.30,173.25,173.70,173.88,16854655,2930762143.60,54422,3208099,19.03,2017,12,0.43,Slight
PNB,EQ,2017-12-13,173.70,173,173.70,166.45,167.55,167.80,170.50,11545396,1968443896,41534,1354898,11.74,2017,12,-3.40,Among top losers
PNB,EQ,2017-12-14,167.80,169,170.65,166.15,169.40,169.60,168.43,12678906,2135480360.85,49678,1252261,9.88,2017,12,1.07,Positive
PNB,EQ,2017-12-15,169.60,172.10,173.95,170.75,171.90,171.60,172.06,8768732,1508723208.50,40774,1504714,17.16,2017,12,1.18,Positive
PNB,EQ,2017-12-18,171.60,168,180.60,161.85,179.90,178.75,175.67,27671940,4861255268.85,108770,3367532,12.17,2017,12,4.17,Among top gainers
PNB,EQ,2017-12-19,178.75,180.85,181,176.35,178.65,178.75,178.87,13603472,2433234854,60439,2263855,16.64,2017,12,0,Slight
PNB,EQ,2017-12-20,178.75,171.90,172.80,169.40,170.55,170.50,170.92,63640511,10877210731.85,182756,33358997,52.42,2017,12,-4.62,Among top losers
PNB,EQ,2017-12-21,170.50,171,174.90,170.50,173.15,173.50,172.95,18059283,3123435646.35,74660,6087753,33.71,2017,12,1.76,Positive
PNB,EQ,2017-12-22,173.50,173.90,177.15,172.15,175.70,175.95,175.19,22577624,3955459550.95,70337,5996166,26.56,2017,12,1.41,Positive
PNB,EQ,2017-12-26,175.95,175.90,175.90,172.55,174.20,174.30,174.13,9993708,1740158641.15,44496,2567892,25.70,2017,12,-0.94,Slight negative
PNB,EQ,2017-12-27,174.30,174.20,177.70,172.70,173,174.10,175.22,14740959,2582954206.45,55758,4521155,30.67,2017,12,-0.11,Slight
PNB,EQ,2017-12-28,174.10,173.25,174.50,170,170.25,170.80,171.37,18945479,3246686025.50,53890,8648072,45.65,2017,12,-1.90,Negative
PNB,EQ,2017-12-29,170.80,171.80,173.65,170.65,171.55,171.40,172,9789074,1683721287,46985,2654665,27.12,2017,12,0.35,Slight
PNB,EQ,2018-01-01,171.40,172.95,173.40,168.90,169.70,169.75,171.31,7869149,1348032197,35893,1423821,18.09,2018,1,-0.96,Slight negative
PNB,EQ,2018-01-02,169.75,170.50,170.90,165.40,166.15,166.40,167.26,13729132,2296383278.05,54266,3567217,25.98,2018,1,-1.97,Negative
PNB,EQ,2018-01-03,166.40,168,169.30,166.20,166.50,166.60,167.66,8534233,1430884733.85,36317,1413490,16.56,2018,1,0.12,Slight
PNB,EQ,2018-01-04,166.60,167.35,179.70,165.40,178,176.45,172.88,31613344,5465302501.70,121680,9106491,28.81,2018,1,5.91,Among top gainers
PNB,EQ,2018-01-05,176.45,180.40,180.50,175.40,176.05,176,177.47,15500426,2750899295.70,64260,2886355,18.62,2018,1,-0.26,Slight
PNB,EQ,2018-01-08,176,177.05,178.15,175.10,175.65,175.70,176.41,7302294,1288170169.05,37673,2078930,28.47,2018,1,-0.17,Slight
PNB,EQ,2018-01-09,175.70,175.30,177.90,174.05,174.55,174.65,176.09,11152776,1963904063.40,42093,1919693,17.21,2018,1,-0.60,Slight negative
PNB,EQ,2018-01-10,174.65,174.45,174.90,170,170.10,170.65,171.90,9021131,1550728455.35,44835,2239225,24.82,2018,1,-2.29,Negative
PNB,EQ,2018-01-11,170.65,170.30,173.60,169.55,173.30,172.75,171.84,8683986,1492224624.40,35136,2854421,32.87,2018,1,1.23,Positive
PNB,EQ,2018-01-12,172.75,173.50,174.90,171.45,174.50,174.20,173.30,11223630,1945015985.05,48951,3181557,28.35,2018,1,0.84,Slight positive
PNB,EQ,2018-01-15,174.20,174.95,175.85,171.85,172.05,172.15,173.69,7104648,1234018255.55,31984,1377316,19.39,2018,1,-1.18,Negative
PNB,EQ,2018-01-16,172.15,172.25,172.95,165.10,165.70,165.55,168.39,11916843,2006678919.50,52318,4407267,36.98,2018,1,-3.83,Among top losers
PNB,EQ,2018-01-17,165.55,165.50,177,162.65,176.50,175.55,170.24,25299752,4307074228.30,112693,6443514,25.47,2018,1,6.04,Among top gainers
PNB,EQ,2018-01-18,175.55,180.70,182.75,168.65,170.35,170.50,176.38,32923946,5807099731.40,122684,9442984,28.68,2018,1,-2.88,Negative
