Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
RELINFRA,EQ,2017-05-15,609.50,606.80,609.35,600.30,604.95,605.40,605.23,1437325,869916495.75,25522,272876,18.98,2017,5,0,Slight
RELINFRA,EQ,2017-05-16,605.40,606,614.20,601,609.80,611.05,609.49,1934562,1179087310.55,30765,400984,20.73,2017,5,0.93,Slight positive
RELINFRA,EQ,2017-05-17,611.05,607,614.20,603.50,605.05,605.25,608.28,1504208,914978534.15,35758,256693,17.06,2017,5,-0.95,Slight negative
RELINFRA,EQ,2017-05-18,605.25,597.70,601.85,576.15,576.45,578.65,588.48,1963168,1155279223.05,37708,390203,19.88,2017,5,-4.39,Among top losers
RELINFRA,EQ,2017-05-19,578.65,578.70,586.35,567.40,571,569.55,575.27,1795870,1033103490.70,35619,306193,17.05,2017,5,-1.57,Negative
RELINFRA,EQ,2017-05-22,569.55,572,575,552.75,556,555.25,562.68,1392634,783601775.60,29319,185983,13.35,2017,5,-2.51,Negative
RELINFRA,EQ,2017-05-23,555.25,550.10,553.50,522.40,522.40,526.25,532.82,3179920,1694311107.45,56756,600676,18.89,2017,5,-5.22,Among top losers
RELINFRA,EQ,2017-05-24,526.25,526,529.70,479.20,492,493.70,503.49,4611031,2321605543.90,74734,520320,11.28,2017,5,-6.19,Among top losers
RELINFRA,EQ,2017-05-25,493.70,495.75,502.85,488.55,495.85,497.15,496.53,2976503,1477937174,40255,685204,23.02,2017,5,0.70,Slight positive
RELINFRA,EQ,2017-05-26,497.15,496.15,513.95,496.05,508.20,508.50,508.09,2344838,1191395623,33768,547816,23.36,2017,5,2.28,Positive
RELINFRA,EQ,2017-05-29,508.50,506,506,445.60,454.30,451.95,466.94,5113595,2387719100.50,88914,861145,16.84,2017,5,-11.12,Bear drop
RELINFRA,EQ,2017-05-30,451.95,453.95,470.80,436.20,463.10,462,459.37,4198597,1928711216.90,65104,312264,7.44,2017,5,2.22,Positive
RELINFRA,EQ,2017-05-31,462,464,484,455.25,480.80,478.90,470.56,5799887,2729195043.05,80462,1294401,22.32,2017,5,3.66,Among top gainers
RELINFRA,EQ,2017-06-01,478.90,481,487.90,475.20,477.85,479.60,481.61,2584206,1244574504.15,38796,227711,8.81,2017,6,0.15,Slight
RELINFRA,EQ,2017-06-02,479.60,482.10,490.70,478.65,485.15,484.05,484.88,2517358,1220604072.20,41140,511152,20.31,2017,6,0.93,Slight positive
RELINFRA,EQ,2017-06-05,484.05,491.30,498.50,489.25,491.50,492.30,493.68,2178491,1075478230.20,42944,392749,18.03,2017,6,1.70,Positive
RELINFRA,EQ,2017-06-06,492.30,496.45,496.85,470.90,480.70,480.15,480.85,2543392,1222999514.25,42291,475996,18.72,2017,6,-2.47,Negative
RELINFRA,EQ,2017-06-07,480.15,479.25,491.50,476.05,488,488.60,484.27,2814064,1362780525.80,43628,198945,7.07,2017,6,1.76,Positive
RELINFRA,EQ,2017-06-08,488.60,489.90,491.90,478.20,478.65,480.95,484.24,1959745,948989990.35,52147,517020,26.38,2017,6,-1.57,Negative
RELINFRA,EQ,2017-06-09,480.95,478.90,478.90,466.60,473.60,473.95,471.82,2465174,1163116402,38166,579770,23.52,2017,6,-1.46,Negative
RELINFRA,EQ,2017-06-12,473.95,467.90,477.90,467,471,471.85,472.94,1476969,698516764.20,26489,177803,12.04,2017,6,-0.44,Slight
RELINFRA,EQ,2017-06-13,471.85,470.10,479.50,465.50,467,470.20,473.54,1878876,889718325.05,31616,279165,14.86,2017,6,-0.35,Slight
RELINFRA,EQ,2017-06-14,470.20,469.80,476.55,462.75,474.60,473.95,469.76,2245218,1054717443.10,33547,191090,8.51,2017,6,0.80,Slight positive
RELINFRA,EQ,2017-06-15,473.95,472.90,479.40,470.75,474,475.85,475.65,1527861,726721640.70,22896,206956,13.55,2017,6,0.40,Slight
RELINFRA,EQ,2017-06-16,475.85,477,485.60,475,478,479.55,480.61,1904792,915467315.35,29501,273514,14.36,2017,6,0.78,Slight positive
RELINFRA,EQ,2017-06-19,479.55,481.10,486.50,480.50,486,484.65,484.16,1275237,617424186.90,19766,157651,12.36,2017,6,1.06,Positive
RELINFRA,EQ,2017-06-20,484.65,487,489.50,478,480.40,479.95,482.88,1194474,576784920.20,18323,188356,15.77,2017,6,-0.97,Slight negative
RELINFRA,EQ,2017-06-21,479.95,477.70,493.80,477.50,490.25,490.20,488.29,2101331,1026060363.80,31922,480858,22.88,2017,6,2.14,Positive
RELINFRA,EQ,2017-06-22,490.20,492.90,506,490.50,494,493.60,498.75,2813820,1403399342.75,46298,244837,8.70,2017,6,0.69,Slight positive
RELINFRA,EQ,2017-06-23,493.60,494,509.45,486.25,503.50,503.85,500.41,3163984,1583279341.60,46374,259203,8.19,2017,6,2.08,Positive
RELINFRA,EQ,2017-06-27,503.85,505.10,508.90,491.10,503.30,503.55,502.17,2320156,1165101443.15,41476,163540,7.05,2017,6,-0.06,Slight
RELINFRA,EQ,2017-06-28,503.55,503.10,508,498.10,503.20,503.80,503.73,1314849,662330332.05,28145,108148,8.23,2017,6,0.05,Slight
RELINFRA,EQ,2017-06-29,503.80,505,507.95,499.10,503.05,503.50,503.85,1239125,624332928.90,19923,134736,10.87,2017,6,-0.06,Slight
RELINFRA,EQ,2017-06-30,503.50,501.20,501.95,491.70,498.50,497.45,496.06,1182964,586825277.90,20230,166669,14.09,2017,6,-1.20,Negative
RELINFRA,EQ,2017-07-03,497.45,499.50,511.80,496.35,507.75,508.40,506.38,1477819,748337989.45,22056,143815,9.73,2017,7,2.20,Positive
RELINFRA,EQ,2017-07-04,508.40,510.10,510.50,496.60,500,500.15,502.33,1078951,541994239.40,19497,107507,9.96,2017,7,-1.62,Negative
RELINFRA,EQ,2017-07-05,500.15,502.75,509,499,508.80,507.40,505.36,1067780,539609320.45,18276,111506,10.44,2017,7,1.45,Positive
RELINFRA,EQ,2017-07-06,507.40,508.95,516.50,505.75,508.30,508.50,511.02,1425362,728384146.45,25141,140759,9.88,2017,7,0.22,Slight
RELINFRA,EQ,2017-07-07,508.50,508.50,519.45,506.25,515.45,514.85,513.56,1793408,921019905.60,39215,428396,23.89,2017,7,1.25,Positive
RELINFRA,EQ,2017-07-10,514.85,535,535,473,516.15,516.40,519.03,325058,168715428.35,4420,96055,29.55,2017,7,0.30,Slight
RELINFRA,EQ,2017-07-11,516.40,517,521.80,507.50,509.60,509.45,515,1089192,560929317.70,22589,180094,16.53,2017,7,-1.35,Negative
RELINFRA,EQ,2017-07-12,509.45,509.60,515.50,508.10,513.45,513.40,511.89,1237420,633419520.90,26077,232269,18.77,2017,7,0.78,Slight positive
RELINFRA,EQ,2017-07-13,513.40,516,517.20,510.60,514.55,515.40,514.13,1137068,584605901.65,26037,245917,21.63,2017,7,0.39,Slight
RELINFRA,EQ,2017-07-14,515.40,516,521.65,513.05,518.80,519.40,518.55,1360641,705557123.05,30206,160601,11.80,2017,7,0.78,Slight positive
RELINFRA,EQ,2017-07-17,519.40,520,521.40,513.40,515.50,516.35,516.61,874243,451642054.90,21329,71405,8.17,2017,7,-0.59,Slight negative
RELINFRA,EQ,2017-07-18,516.35,514,520.90,510.80,514,514.35,516.45,968765,500316450.40,24516,228696,23.61,2017,7,-0.39,Slight
RELINFRA,EQ,2017-07-19,514.35,515.25,517.95,510.10,517,516.25,514.83,860811,443170532.55,22163,158924,18.46,2017,7,0.37,Slight
RELINFRA,EQ,2017-07-20,516.25,518,525.50,513.80,520.20,519.60,521.36,1160142,604854475.50,18903,88179,7.60,2017,7,0.65,Slight positive
RELINFRA,EQ,2017-07-21,519.60,521.95,522.20,499.05,510.50,511.30,512.30,1124601,576129451.35,20407,119525,10.63,2017,7,-1.60,Negative
RELINFRA,EQ,2017-07-24,511.30,511,515.40,505,506.20,506.75,510.72,746981,381495576.15,13826,150584,20.16,2017,7,-0.89,Slight negative
RELINFRA,EQ,2017-07-25,506.75,508.50,511,504.45,506.80,507.45,507.18,905626,459316261.75,14610,129921,14.35,2017,7,0.14,Slight
RELINFRA,EQ,2017-07-26,507.45,508.45,512.50,505.25,509,509.50,509.27,825157,420227412.55,14002,78771,9.55,2017,7,0.40,Slight
RELINFRA,EQ,2017-07-27,509.50,510,520,505.80,506.10,508.55,513.30,2356795,1209750362.95,32638,973988,41.33,2017,7,-0.19,Slight
RELINFRA,EQ,2017-07-28,508.55,505.70,531.90,502.60,524.85,526,523.83,3611758,1891938324.80,49230,322693,8.93,2017,7,3.43,Among top gainers
RELINFRA,EQ,2017-07-31,526,527,534.40,524.90,528.10,528.65,529.63,1725572,913911376.25,22506,199792,11.58,2017,7,0.50,Slight positive
RELINFRA,EQ,2017-08-01,528.65,531.50,532.50,523.10,526.65,526.60,526.81,1296488,683005365.55,24854,165679,12.78,2017,8,-0.39,Slight
RELINFRA,EQ,2017-08-02,526.60,528.95,538.90,527,530.45,532.35,533.66,1818422,970424391.55,35427,316564,17.41,2017,8,1.09,Positive
RELINFRA,EQ,2017-08-03,532.35,532.05,544,523.85,524.35,526.25,533.70,2532498,1351583243.20,38923,242707,9.58,2017,8,-1.15,Negative
RELINFRA,EQ,2017-08-04,526.25,522,532.65,520.70,529.60,530.45,528.59,1308293,691547087,23631,156270,11.94,2017,8,0.80,Slight positive
RELINFRA,EQ,2017-08-07,530.45,532,548,528.35,544,542.20,537.92,1504888,809512262.75,22888,206893,13.75,2017,8,2.22,Positive
RELINFRA,EQ,2017-08-08,542.20,542,545.90,520.60,527.55,528.30,535.40,2040973,1092738366,30663,178311,8.74,2017,8,-2.56,Negative
RELINFRA,EQ,2017-08-09,528.30,528.30,540,507.05,507.15,514.40,528.92,2291404,1211959614.25,36667,266238,11.62,2017,8,-2.63,Negative
RELINFRA,EQ,2017-08-10,514.40,508,513.90,452.25,480,474.45,486.40,3722914,1810807920.65,54377,453008,12.17,2017,8,-7.77,Bear drop
RELINFRA,EQ,2017-08-11,474.45,465.65,476.45,450.60,467,469.20,466.59,2364344,1103169782.05,40648,364492,15.42,2017,8,-1.11,Negative
RELINFRA,EQ,2017-08-14,469.20,476.50,494.40,472.45,487.60,489.55,485.14,1772296,859806090.85,35929,224703,12.68,2017,8,4.34,Among top gainers
RELINFRA,EQ,2017-08-16,489.55,490.40,502.60,482.20,495.50,494.35,492.40,2104952,1036478853.30,36448,337269,16.02,2017,8,0.98,Slight positive
RELINFRA,EQ,2017-08-17,494.35,496.60,504.80,489,493.10,491.40,497.12,1485534,738486203.55,31529,180932,12.18,2017,8,-0.60,Slight negative
RELINFRA,EQ,2017-08-18,491.40,485.45,496.40,481.50,486.90,487.80,488.87,1573202,769096267.70,35871,129988,8.26,2017,8,-0.73,Slight negative
RELINFRA,EQ,2017-08-21,487.80,490,494.35,465.40,468.35,468.70,481.10,1862840,896218383.60,35793,218591,11.73,2017,8,-3.92,Among top losers
RELINFRA,EQ,2017-08-22,468.70,477.75,478.50,458.05,466.30,465.65,469.03,2491036,1168379974.40,50674,303353,12.18,2017,8,-0.65,Slight negative
RELINFRA,EQ,2017-08-23,465.65,471.70,476.60,468.90,474.10,474.80,473.30,1655184,783391081.80,33314,375479,22.69,2017,8,1.96,Positive
RELINFRA,EQ,2017-08-24,474.80,475.50,485.95,472.20,480.70,479.90,480.59,1598138,768053659,31953,404122,25.29,2017,8,1.07,Positive
RELINFRA,EQ,2017-08-28,479.90,482,492,481.50,483.80,483.80,486.85,1710061,832540867.40,28235,383382,22.42,2017,8,0.81,Slight positive
RELINFRA,EQ,2017-08-29,483.80,485.95,520.80,485.60,498.20,498.20,509.28,11154685,5680826975.90,138260,556877,4.99,2017,8,2.98,Positive
RELINFRA,EQ,2017-08-30,498.20,503.90,513.95,503.50,506.50,507,508.47,3291052,1673406457.55,47750,416527,12.66,2017,8,1.77,Positive
RELINFRA,EQ,2017-08-31,507,508.50,513.45,501.15,510.75,509.25,507.73,2549868,1294649123.85,30410,573281,22.48,2017,8,0.44,Slight
RELINFRA,EQ,2017-09-01,509.25,511.80,531.80,511.80,521.70,522.10,522.16,3698220,1931060527.60,51473,442127,11.96,2017,9,2.52,Positive
RELINFRA,EQ,2017-09-04,522.10,522.15,526,498.60,510.15,507.90,511.15,2536082,1296309056.40,33515,214382,8.45,2017,9,-2.72,Negative
RELINFRA,EQ,2017-09-05,507.90,510.55,521.60,508.75,515,514.30,514.59,2128316,1095213053.15,31956,206722,9.71,2017,9,1.26,Positive
RELINFRA,EQ,2017-09-06,514.30,510.55,520.55,506.55,512.80,515.25,514.16,1800796,925891033.45,26561,189308,10.51,2017,9,0.18,Slight
RELINFRA,EQ,2017-09-07,515.25,516,522.40,514.10,514.75,515.50,518.11,1418710,735047928.20,19357,224292,15.81,2017,9,0.05,Slight
RELINFRA,EQ,2017-09-08,515.50,518,519.50,498,503.25,502.20,506.25,1874520,948973001.70,25095,502132,26.79,2017,9,-2.58,Negative
RELINFRA,EQ,2017-09-11,502.20,506.75,514.80,506.75,508.60,508.60,511.24,1299373,664293969.15,21647,131625,10.13,2017,9,1.27,Positive
