Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
SUNTV,EQ,2017-05-15,883.70,885.50,928,885.40,911.25,912.20,917.04,2193488,2011506332.45,40593,179590,8.19,2017,5,0,Slight
SUNTV,EQ,2017-05-16,912.20,908.20,909,890.20,894,894.70,897.29,1110184,996158308.75,22027,220445,19.86,2017,5,-1.92,Negative
SUNTV,EQ,2017-05-17,894.70,894.90,899.15,880.50,889,887.05,887.49,500545,444229603.25,15709,101722,20.32,2017,5,-0.86,Slight negative
SUNTV,EQ,2017-05-18,887.05,888,917.90,865.20,866.15,871.35,902.17,2436703,2198308978.20,47159,481973,19.78,2017,5,-1.77,Negative
SUNTV,EQ,2017-05-19,871.35,877,895.10,813.50,850.60,852.40,842.98,4223048,3559925671.60,85921,305269,7.23,2017,5,-2.17,Negative
SUNTV,EQ,2017-05-22,852.40,860,873.55,834,845.95,844.85,849.74,1969975,1673964513.80,38601,206290,10.47,2017,5,-0.89,Slight negative
SUNTV,EQ,2017-05-23,844.85,848,849.90,806.55,809.55,813.50,824.53,1768982,1458582743.50,32195,350720,19.83,2017,5,-3.71,Among top losers
SUNTV,EQ,2017-05-24,813.50,819,826.95,777,782.95,783.30,801.41,1590566,1274695433.95,28156,162862,10.24,2017,5,-3.71,Among top losers
SUNTV,EQ,2017-05-25,783.30,784.80,807.50,777.95,797,792.55,790.18,1615153,1276268542.65,25545,441496,27.33,2017,5,1.18,Positive
SUNTV,EQ,2017-05-26,792.55,792,814.15,789,808.80,808.90,805.98,1007416,811959766.60,21960,167589,16.64,2017,5,2.06,Positive
SUNTV,EQ,2017-05-29,808.90,799,810.85,779.10,782,781.45,789.60,1085310,856961470.90,27177,170653,15.72,2017,5,-3.39,Among top losers
SUNTV,EQ,2017-05-30,781.45,787.20,804.80,768.50,798.10,797.80,791.26,1140494,902432968.60,23934,96596,8.47,2017,5,2.09,Positive
SUNTV,EQ,2017-05-31,797.80,798.70,829,791.55,801,798,803.97,3353867,2696395003.40,35954,1705758,50.86,2017,5,0.03,Slight
SUNTV,EQ,2017-06-01,798,802,817.95,794,803.40,803.70,805.63,946980,762919135.20,15993,174128,18.39,2017,6,0.71,Slight positive
SUNTV,EQ,2017-06-02,803.70,807,838.85,801.40,837,834.35,822.04,1889892,1553572110.20,32092,238612,12.63,2017,6,3.81,Among top gainers
SUNTV,EQ,2017-06-05,834.35,840,854.35,834.50,835.90,839.95,844.66,1607276,1357606272.15,27510,240654,14.97,2017,6,0.67,Slight positive
