Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
TATACHEM,EQ,2017-05-15,628.40,628.90,636.80,627.10,629.60,629.80,632.46,348768,220583436.85,16519,137793,39.51,2017,5,0,Slight
TATACHEM,EQ,2017-05-16,629.80,629.90,647,629.90,645,643.90,640.36,426939,273393190.50,8398,221740,51.94,2017,5,0.02,Slight
TATACHEM,EQ,2017-05-17,643.90,645,647,636.05,636.10,638.10,640.51,304687,195155159.95,8663,79983,26.25,2017,5,-0.01,Slight
TATACHEM,EQ,2017-05-18,638.10,635,635,622.20,630,624.90,626.25,470858,294872875,10717,224935,47.77,2017,5,-0.02,Slight
TATACHEM,EQ,2017-05-19,624.90,628,635.60,610,618,616.45,623.41,285139,177758045.35,7906,67972,23.84,2017,5,-0.01,Slight
TATACHEM,EQ,2017-05-22,616.45,612.10,624.40,596.40,599,598.90,610.18,401429,244944495.85,13679,89764,22.36,2017,5,-0.03,Slight
TATACHEM,EQ,2017-05-23,598.90,595.10,609.45,580.95,603.30,601.90,599.46,739125,443077220.70,20995,354761,48,2017,5,0.01,Slight
TATACHEM,EQ,2017-05-24,601.90,604,609.90,591.55,595,596.05,600.37,374373,224763927.30,19123,142474,38.06,2017,5,-0.01,Slight
TATACHEM,EQ,2017-05-25,596.05,596.55,619,596.55,613,615.25,609.58,472017,287732778.45,15844,127670,27.05,2017,5,0.03,Slight
TATACHEM,EQ,2017-05-26,615.25,617.30,625.95,606,609.45,610.40,614.91,1217053,748379313.35,27245,171107,14.06,2017,5,-0.01,Slight
TATACHEM,EQ,2017-05-29,610.40,612,617.90,605,609.20,608.25,610.05,532092,324603952.20,17088,199576,37.51,2017,5,-0.00,Slight
TATACHEM,EQ,2017-05-30,608.25,609,629.50,601.75,627.95,627.15,618.90,467679,289447719.60,13601,166441,35.59,2017,5,0.03,Slight
TATACHEM,EQ,2017-05-31,627.15,630,632.95,622.45,625.95,628.30,628.98,333451,209735165.30,11613,86969,26.08,2017,5,0.00,Slight
TATACHEM,EQ,2017-06-01,628.30,632,641,630,639,637.45,637.51,545589,347815769.70,21787,129717,23.78,2017,6,0.01,Slight
TATACHEM,EQ,2017-06-02,637.45,638.50,645.90,636.85,637,639.70,641.17,622003,398810678.70,12269,386904,62.20,2017,6,0.00,Slight
