Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
TATAPOWER,EQ,2017-05-15,82.30,82.55,83.80,82.15,83.55,83.55,82.85,2007841,166351528.35,13315,796744,39.68,2017,5,0,Slight
TATAPOWER,EQ,2017-05-16,83.55,83.90,85.95,83.40,83.70,83.85,84.20,5141578,432930961.30,23193,2125318,41.34,2017,5,0.00,Slight
TATAPOWER,EQ,2017-05-17,83.85,84,86,83.60,85.15,85.35,84.92,5499293,466981388.75,32097,2264851,41.18,2017,5,0.02,Slight
TATAPOWER,EQ,2017-05-18,85.35,84.75,85.60,83.50,83.80,83.75,84.49,2296399,194017658.10,6983,1217618,53.02,2017,5,-0.02,Slight
TATAPOWER,EQ,2017-05-19,83.75,84.40,85.45,83.05,83.90,84.15,84.03,6222693,522919913,19269,1918659,30.83,2017,5,0.00,Slight
TATAPOWER,EQ,2017-05-22,84.15,84.25,84.50,80.55,82,82.05,82.04,5011530,411146940.10,22255,2305842,46.01,2017,5,-0.02,Slight
TATAPOWER,EQ,2017-05-23,82.05,82.05,82.25,80,80.50,80.50,80.41,5940971,477688730.45,21948,4189479,70.52,2017,5,-0.02,Slight
TATAPOWER,EQ,2017-05-24,80.50,80.65,81.75,80.05,80.25,80.25,80.43,4879178,392440810,17019,3525802,72.26,2017,5,-0.00,Slight
TATAPOWER,EQ,2017-05-25,80.25,80.35,81.25,79.85,80,80.40,80.37,8911228,716211194.35,29904,5091540,57.14,2017,5,0.00,Slight
TATAPOWER,EQ,2017-05-26,80.40,80.40,81.25,79.55,81.20,81.05,80.53,2377593,191466207.65,14920,1200115,50.48,2017,5,0.01,Slight
TATAPOWER,EQ,2017-05-29,81.05,81.40,81.40,79.80,81.30,81.15,80.82,1724129,139335901.35,11459,757477,43.93,2017,5,0.00,Slight
TATAPOWER,EQ,2017-05-30,81.15,81.20,82.80,80.85,82.05,82.40,82.05,1879356,154208164.55,14582,895885,47.67,2017,5,0.02,Slight
TATAPOWER,EQ,2017-05-31,82.40,82.60,82.60,80.60,81,81,81.26,5984254,486266944.05,47984,4520829,75.55,2017,5,-0.02,Slight
TATAPOWER,EQ,2017-06-01,81,81.30,81.35,80.05,80.75,80.70,80.54,2767159,222861845.90,12183,1854477,67.02,2017,6,-0.00,Slight
TATAPOWER,EQ,2017-06-02,80.70,81,81.70,80.85,81.20,81.05,81.14,1447974,117491376,11053,880352,60.80,2017,6,0.00,Slight
TATAPOWER,EQ,2017-06-05,81.05,81.45,81.55,80.55,81,81,80.98,2458920,199124669.40,9789,1815292,73.82,2017,6,-0.00,Slight
TATAPOWER,EQ,2017-06-06,81,81,81.05,79.25,79.30,79.60,79.81,3011010,240298418.90,12686,2259482,75.04,2017,6,-0.02,Slight
TATAPOWER,EQ,2017-06-07,79.60,79.50,80.20,79.20,79.75,80,79.82,2020824,161303285.65,21068,1173215,58.06,2017,6,0.01,Slight
TATAPOWER,EQ,2017-06-08,80,79.70,79.95,78.55,79.05,79.05,79.07,2330855,184307892.05,13154,1253932,53.80,2017,6,-0.01,Slight
TATAPOWER,EQ,2017-06-09,79.05,78.70,79.10,77.55,77.95,77.80,78.01,3785162,295272072.85,18107,2383471,62.97,2017,6,-0.02,Slight
TATAPOWER,EQ,2017-06-12,77.80,77.50,79.20,76.65,78.90,78.90,77.62,3119107,242117191.60,16161,1784631,57.22,2017,6,0.01,Slight
TATAPOWER,EQ,2017-06-13,78.90,79,79.50,77.65,77.70,78.10,78.70,2322985,182821951.40,8860,1393413,59.98,2017,6,-0.01,Slight
TATAPOWER,EQ,2017-06-14,78.10,77.85,77.90,76.75,77.65,77.55,77.37,4060663,314186169.90,21298,2875491,70.81,2017,6,-0.01,Slight
TATAPOWER,EQ,2017-06-15,77.55,77.25,77.90,76.80,77.15,77.10,77.13,3411180,263096857.55,16399,2286207,67.02,2017,6,-0.01,Slight
TATAPOWER,EQ,2017-06-16,77.10,77.10,78.40,76.80,78.30,77.90,77.58,4329268,335872614.10,12344,3259465,75.29,2017,6,0.01,Slight
TATAPOWER,EQ,2017-06-19,77.90,77.90,78.70,77.15,78,78.05,77.87,2691021,209553342.25,16505,1798914,66.85,2017,6,0.00,Slight
TATAPOWER,EQ,2017-06-20,78.05,77.70,82.45,77.70,82.35,82.10,81.06,10963089,888661105.20,46025,3736432,34.08,2017,6,0.05,Slight
TATAPOWER,EQ,2017-06-21,82.10,82.50,82.50,81.35,81.50,81.75,81.78,5082680,415670805,20528,2445722,48.12,2017,6,-0.00,Slight
TATAPOWER,EQ,2017-06-22,81.75,82,83.40,80.75,82.45,82.75,82.14,11286863,927101360.05,30993,4829886,42.79,2017,6,0.01,Slight
TATAPOWER,EQ,2017-06-23,82.75,82.70,82.75,81.15,81.60,81.50,81.70,3436311,280758184,21976,1545504,44.98,2017,6,-0.02,Slight
TATAPOWER,EQ,2017-06-27,81.50,81.70,83.80,80.80,81.20,81.10,81.79,6031291,493313729.55,24534,3161014,52.41,2017,6,-0.00,Slight
TATAPOWER,EQ,2017-06-28,81.10,81.80,82,80.85,81.90,81.65,81.49,3192237,260130959.15,17579,1581809,49.55,2017,6,0.01,Slight
TATAPOWER,EQ,2017-06-29,81.65,82.10,82.70,80.95,81.60,81.55,81.51,2374978,193593062.95,19078,1260861,53.09,2017,6,-0.00,Slight
TATAPOWER,EQ,2017-06-30,81.55,81.40,81.45,80.50,80.50,80.55,80.87,3999194,323420105.05,19590,2382207,59.57,2017,6,-0.01,Slight
TATAPOWER,EQ,2017-07-03,80.55,80.25,81.10,79.95,80.55,80.40,80.33,5308137,426397033.65,25846,3580555,67.45,2017,7,-0.00,Slight
TATAPOWER,EQ,2017-07-04,80.40,80.90,81.70,80.55,81.55,81.20,81.11,2415946,195953897.25,9875,1187362,49.15,2017,7,0.01,Slight
TATAPOWER,EQ,2017-07-05,81.20,81.80,82.30,81.55,81.65,81.75,81.91,2227119,182413891.50,11015,781080,35.07,2017,7,0.01,Slight
TATAPOWER,EQ,2017-07-06,81.75,82.30,82.50,81.85,81.95,81.95,82.02,1223744,100375977.35,7083,510283,41.70,2017,7,0.00,Slight
TATAPOWER,EQ,2017-07-07,81.95,82,83,81.40,81.65,81.70,81.82,3227783,264106441.65,21295,1782372,55.22,2017,7,-0.00,Slight
TATAPOWER,EQ,2017-07-10,81.70,89.05,89.05,82.60,83.40,83.45,83.41,1442406,120304625.70,3828,1068781,74.10,2017,7,0.02,Slight
TATAPOWER,EQ,2017-07-11,83.45,84,84.20,82.75,83,83,83.12,4536568,377084193.80,15122,3259739,71.85,2017,7,-0.01,Slight
TATAPOWER,EQ,2017-07-12,83,83.70,84,82.75,83.05,83.05,83.05,3279731,272380886.15,17982,2503801,76.34,2017,7,0.00,Slight
TATAPOWER,EQ,2017-07-13,83.05,83.60,83.90,82.90,83.20,83.25,83.29,1882220,156762765.05,9919,1035271,55,2017,7,0.00,Slight
TATAPOWER,EQ,2017-07-14,83.25,83.35,83.60,82.75,82.85,82.95,83.02,4106073,340896253.85,6757,3435624,83.67,2017,7,-0.00,Slight
TATAPOWER,EQ,2017-07-17,82.95,83,84.10,83,83.40,83.40,83.58,5230073,437130467.85,12665,2808753,53.70,2017,7,0.01,Slight
TATAPOWER,EQ,2017-07-18,83.40,83.30,83.90,81.90,82.20,82.45,82.81,3271847,270940819.20,11713,1720494,52.58,2017,7,-0.01,Slight
TATAPOWER,EQ,2017-07-19,82.45,82.40,83.25,81.90,83,82.95,82.42,3930557,323940017.70,19358,2188340,55.68,2017,7,0.01,Slight
TATAPOWER,EQ,2017-07-20,82.95,82.95,83.50,82.30,83,82.90,83.05,1375720,114251304.70,5453,694507,50.48,2017,7,-0.00,Slight
TATAPOWER,EQ,2017-07-21,82.90,83.20,83.60,82.50,83.30,83.35,83.13,2135714,177552492.75,11381,1034685,48.45,2017,7,0.01,Slight
TATAPOWER,EQ,2017-07-24,83.35,83.35,83.50,82.90,83,83.25,83.22,2111317,175713522.95,7274,1060860,50.25,2017,7,-0.00,Slight
TATAPOWER,EQ,2017-07-25,83.25,83.25,83.40,82.65,82.95,83,82.98,7554662,626866842.20,26896,6650244,88.03,2017,7,-0.00,Slight
TATAPOWER,EQ,2017-07-26,83,83,83.45,81.90,82.50,82.55,82.92,9530863,790319179.50,14157,7614411,79.89,2017,7,-0.01,Slight
TATAPOWER,EQ,2017-07-27,82.55,83,83.15,81.85,82.10,82,82.20,2646710,217549470.35,13825,1734357,65.53,2017,7,-0.01,Slight
TATAPOWER,EQ,2017-07-28,82,82.10,82.90,81.10,82.55,82.15,81.88,1689815,138370490.55,7757,747822,44.25,2017,7,0.00,Slight
TATAPOWER,EQ,2017-07-31,82.15,81.90,82.70,81.10,82,82,81.86,2681618,219530572.85,12710,1474783,55,2017,7,-0.00,Slight
TATAPOWER,EQ,2017-08-01,82,81.20,83.25,81.20,83.25,82.80,82.33,2365558,194756670.50,8956,1215801,51.40,2017,8,0.01,Slight
TATAPOWER,EQ,2017-08-02,82.80,82.80,82.95,82.10,82.30,82.60,82.56,867025,71578832.05,5089,304685,35.14,2017,8,-0.00,Slight
TATAPOWER,EQ,2017-08-03,82.60,82.50,83.40,82.20,82.45,82.65,82.83,2966583,245722298.60,9273,1517249,51.14,2017,8,0.00,Slight
TATAPOWER,EQ,2017-08-04,82.65,82.55,82.75,79.70,80.20,80.25,80.75,5298112,427822909.45,11693,2763158,52.15,2017,8,-0.03,Slight
TATAPOWER,EQ,2017-08-07,80.25,80.70,80.90,79.85,80,80,80.13,3124773,250381011.80,12752,2100299,67.21,2017,8,-0.00,Slight
TATAPOWER,EQ,2017-08-08,80,80.20,80.40,78.05,78.15,78.25,78.93,1840878,145292253.10,9155,795372,43.21,2017,8,-0.02,Slight
TATAPOWER,EQ,2017-08-09,78.25,78.30,78.30,77.15,77.95,77.80,77.77,2107243,163889597.15,11253,1255251,59.57,2017,8,-0.01,Slight
TATAPOWER,EQ,2017-08-10,77.80,77,77.80,75.80,77,76.70,76.98,10816439,832607919.70,20875,7433869,68.73,2017,8,-0.01,Slight
TATAPOWER,EQ,2017-08-11,76.70,76.45,77.10,75.85,76.70,76.55,76.42,4403984,336565734.80,12500,3212725,72.95,2017,8,-0.00,Slight
TATAPOWER,EQ,2017-08-14,76.55,77,81.15,76.60,79.65,79.55,79.36,8120241,644444861.75,31099,1663389,20.48,2017,8,0.04,Slight
TATAPOWER,EQ,2017-08-16,79.55,81.25,83.45,81.10,82,82.05,82.55,11428360,943378547.25,40270,2500956,21.88,2017,8,0.03,Slight
TATAPOWER,EQ,2017-08-17,82.05,82.60,82.60,81.35,81.80,81.65,81.81,3774599,308782129.20,30140,1689492,44.76,2017,8,-0.00,Slight
TATAPOWER,EQ,2017-08-18,81.65,80.40,81.40,80.05,80.40,80.30,80.47,2900287,233378090.45,12871,942288,32.49,2017,8,-0.02,Slight
TATAPOWER,EQ,2017-08-21,80.30,80.65,80.85,80,80.30,80.20,80.32,2749000,220801815.40,13694,1219079,44.35,2017,8,-0.00,Slight
TATAPOWER,EQ,2017-08-22,80.20,81,81.50,79.65,80.10,80.05,80.34,2316424,186096302.45,9396,972308,41.97,2017,8,-0.00,Slight
TATAPOWER,EQ,2017-08-23,80.05,80.35,80.35,78.60,78.70,78.75,79.09,2065914,163389944.70,9450,558547,27.04,2017,8,-0.02,Slight
TATAPOWER,EQ,2017-08-24,78.75,79.70,80.80,78.80,79.05,79.15,79.66,7107291,566201246.95,28623,1616683,22.75,2017,8,0.01,Slight
TATAPOWER,EQ,2017-08-28,79.15,79.30,79.70,78.45,79,78.85,78.96,2117665,167214622.30,11915,1030307,48.65,2017,8,-0.00,Slight
TATAPOWER,EQ,2017-08-29,78.85,78.35,78.40,76.75,77,76.95,77.49,4659510,361084772.30,22337,2090292,44.86,2017,8,-0.02,Slight
TATAPOWER,EQ,2017-08-30,76.95,77.50,78,77.05,77.80,77.65,77.60,2203355,170981387.10,8640,782782,35.53,2017,8,0.01,Slight
TATAPOWER,EQ,2017-08-31,77.65,77.70,79.75,77.55,79.25,79.25,78.61,5439368,427610860.60,16601,2445094,44.95,2017,8,0.02,Slight
TATAPOWER,EQ,2017-09-01,79.25,79.25,80.75,78.85,79.90,80.10,80.05,7004328,560721294.95,20469,2102415,30.02,2017,9,0.01,Slight
TATAPOWER,EQ,2017-09-04,80.10,79.85,80.15,78,78.50,78.45,78.82,1847590,145635180.25,10821,390030,21.11,2017,9,-0.02,Slight
TATAPOWER,EQ,2017-09-05,78.45,79,79,78,78.30,78.35,78.47,1500822,117769142.20,6940,432675,28.83,2017,9,-0.00,Slight
TATAPOWER,EQ,2017-09-06,78.35,78.30,78.65,77.85,78.05,78,78.17,4084036,319247292.60,11220,2898805,70.98,2017,9,-0.00,Slight
TATAPOWER,EQ,2017-09-07,78,78.15,78.40,77.15,77.40,77.35,77.54,2557393,198292903.75,16500,1461169,57.14,2017,9,-0.01,Slight
TATAPOWER,EQ,2017-09-08,77.35,77.55,78.30,76.75,76.95,77,77.35,1894241,146528161.75,11215,635218,33.53,2017,9,-0.00,Slight
TATAPOWER,EQ,2017-09-11,77,78,81,77.90,80.90,80.60,79.58,7804066,621019567.75,32619,2079790,26.65,2017,9,0.05,Slight
TATAPOWER,EQ,2017-09-12,80.60,81.20,81.80,80.70,80.80,81,81.26,5963630,484632706,18910,2100332,35.22,2017,9,0.00,Slight
TATAPOWER,EQ,2017-09-13,81,85,86.70,83.50,85.05,84.80,85.33,31484628,2686671501.40,93698,9950599,31.60,2017,9,0.05,Slight
TATAPOWER,EQ,2017-09-14,84.80,85.05,87.30,84.75,85.05,85.25,85.80,15122422,1297525314.80,67103,6247594,41.31,2017,9,0.01,Slight
TATAPOWER,EQ,2017-09-15,85.25,84.95,84.95,83.80,84.25,84.30,84.27,6486746,546621833,29952,3116859,48.05,2017,9,-0.01,Slight
TATAPOWER,EQ,2017-09-18,84.30,85,85.25,83.35,83.60,83.70,84.40,3959456,334187446.75,19389,1816734,45.88,2017,9,-0.01,Slight
TATAPOWER,EQ,2017-09-19,83.70,83.80,85.65,82.50,84.45,84.60,84.28,6973722,587723844.30,23332,2702922,38.76,2017,9,0.01,Slight
TATAPOWER,EQ,2017-09-20,84.60,86,86.20,83.75,83.90,84,84.76,6704318,568279112.90,32599,2579071,38.47,2017,9,-0.01,Slight
TATAPOWER,EQ,2017-09-21,84,83.90,84.40,82.85,82.95,83.10,83.43,3563888,297344188.45,12932,1402870,39.36,2017,9,-0.01,Slight
TATAPOWER,EQ,2017-09-22,83.10,82.90,82.90,80.10,80.40,80.40,81.37,3947805,321224967.15,18961,1682610,42.62,2017,9,-0.03,Slight
TATAPOWER,EQ,2017-09-25,80.40,81.70,82.50,80.35,82,81.85,81.69,9668182,789811489.80,42197,2878368,29.77,2017,9,0.02,Slight
TATAPOWER,EQ,2017-09-26,81.85,82.90,82.90,79.65,79.85,79.95,80.68,7178936,579196245.25,33449,2294675,31.96,2017,9,-0.02,Slight
TATAPOWER,EQ,2017-09-27,79.95,80.35,80.50,77.80,78.30,78.15,79.24,5905731,467949317.45,24369,2366072,40.06,2017,9,-0.02,Slight
TATAPOWER,EQ,2017-09-28,78.15,78.50,78.75,76.85,77.95,77.25,77.34,42574215,3292629764.35,57890,24641636,57.88,2017,9,-0.01,Slight
TATAPOWER,EQ,2017-09-29,77.25,77.95,78.65,77.15,78,77.80,77.78,7966435,619596227.60,31378,4104051,51.52,2017,9,0.01,Slight
TATAPOWER,EQ,2017-10-03,77.80,79.20,79.55,77.10,77.35,77.40,78.15,8461033,661268199.75,53177,4389732,51.88,2017,10,-0.01,Slight
TATAPOWER,EQ,2017-10-04,77.40,77.45,78.40,77.35,78.40,78,77.81,4682880,364396929.95,36432,2376610,50.75,2017,10,0.01,Slight
TATAPOWER,EQ,2017-10-05,78,78.40,79.20,78.30,79.05,78.95,78.92,3315187,261639098.85,21987,1875657,56.58,2017,10,0.01,Slight
TATAPOWER,EQ,2017-10-06,78.95,79.45,80.90,79.40,80.65,80.65,80.47,7199557,579356297.20,25150,4451297,61.83,2017,10,0.02,Slight
TATAPOWER,EQ,2017-10-09,80.65,80.35,82.05,80.25,81.50,81.45,81.21,6239160,506686657.30,23007,2740654,43.93,2017,10,0.01,Slight
TATAPOWER,EQ,2017-10-10,81.45,81.75,82.10,81.25,81.55,81.55,81.67,3898379,318375934.75,22834,1968033,50.48,2017,10,0.00,Slight
TATAPOWER,EQ,2017-10-11,81.55,81.75,82.55,80.45,80.75,81,81.33,5318204,432511918,18911,2805015,52.74,2017,10,-0.01,Slight
TATAPOWER,EQ,2017-10-12,81,81,82.10,80.45,81.70,81.70,81.34,4280242,348142916.05,24164,1999686,46.72,2017,10,0.01,Slight
TATAPOWER,EQ,2017-10-13,81.70,82.60,82.60,81.40,81.60,81.65,81.75,2469408,201873523.80,17298,966325,39.13,2017,10,-0.00,Slight
TATAPOWER,EQ,2017-10-16,81.65,82,82.25,81.35,81.85,81.95,81.78,2578188,210846406.35,16206,1577143,61.17,2017,10,0.00,Slight
TATAPOWER,EQ,2017-10-17,81.95,81.95,82.10,81.50,81.90,81.60,81.67,3977209,324815180.95,24058,2897281,72.85,2017,10,-0.00,Slight
TATAPOWER,EQ,2017-10-18,81.60,81.80,82.10,81.05,81.90,81.90,81.72,3092776,252727313.15,36546,1853245,59.92,2017,10,0.00,Slight
TATAPOWER,EQ,2017-10-19,81.90,82.55,82.55,81.05,81.40,81.50,81.82,536886,43927603.70,3708,288876,53.81,2017,10,-0.00,Slight
TATAPOWER,EQ,2017-10-23,81.50,82,82.05,81.20,81.70,81.75,81.63,1906801,155650873.05,20520,1069441,56.09,2017,10,0.00,Slight
TATAPOWER,EQ,2017-10-24,81.75,82,82.50,81.55,82.05,82.15,82.08,1983329,162782346.10,11451,1003605,50.60,2017,10,0.00,Slight
TATAPOWER,EQ,2017-10-25,82.15,82.50,83.80,81.85,82.30,82.25,82.56,6803458,561677104.10,21906,3837791,56.41,2017,10,0.00,Slight
TATAPOWER,EQ,2017-10-26,82.25,82.70,83.30,82,82.15,82.15,82.47,7214920,595013700.15,23141,4143221,57.43,2017,10,-0.00,Slight
TATAPOWER,EQ,2017-10-27,82.15,82.50,85.70,82.35,85.35,85.10,84.65,7554777,639476405.40,31799,2876236,38.07,2017,10,0.04,Slight
TATAPOWER,EQ,2017-10-30,85.10,86,87.45,85.35,86,85.95,86.39,5887950,508667590.55,20566,2613430,44.39,2017,10,0.01,Slight
TATAPOWER,EQ,2017-10-31,85.95,86.35,86.35,84.60,85.15,84.90,85.23,3517881,299843324.90,18834,1669624,47.46,2017,10,-0.01,Slight
TATAPOWER,EQ,2017-11-01,84.90,85.70,86.20,84.40,85.05,85.20,85.21,3999344,340792119.50,11380,1880084,47.01,2017,11,0.00,Slight
TATAPOWER,EQ,2017-11-02,85.20,85.20,85.70,84.05,84.80,84.80,84.91,3855149,327349052.75,17900,1597903,41.45,2017,11,-0.00,Slight
TATAPOWER,EQ,2017-11-03,84.80,85.95,88.50,83.70,84.25,84.50,86.31,23606567,2037439595.60,79846,5765124,24.42,2017,11,-0.00,Slight
TATAPOWER,EQ,2017-11-06,84.50,84.45,86.45,83.75,85.25,85.45,85.46,9048909,773364294.80,36533,3454251,38.17,2017,11,0.01,Slight
TATAPOWER,EQ,2017-11-07,85.45,86,86.40,82.45,83.10,83.05,84.05,8529822,716962929.50,22603,4072701,47.75,2017,11,-0.03,Slight
TATAPOWER,EQ,2017-11-08,83.05,83.45,84.55,83,83.20,83.30,83.69,5729398,479466976.15,15450,3078959,53.74,2017,11,0.00,Slight
TATAPOWER,EQ,2017-11-09,83.30,83.55,84.40,82.70,83.65,83.75,83.63,3733865,312249900.80,10951,1505208,40.31,2017,11,0.01,Slight
TATAPOWER,EQ,2017-11-10,83.75,83.45,84.25,82.35,83.20,82.95,83.42,3201517,267063709.90,10232,1448618,45.25,2017,11,-0.01,Slight
TATAPOWER,EQ,2017-11-13,82.95,83.15,83.35,81.75,82.35,82.20,82.32,3917398,322497442.15,13559,1693321,43.23,2017,11,-0.01,Slight
TATAPOWER,EQ,2017-11-14,82.20,82,83.20,81.65,81.70,81.80,82.29,5252226,432205036.80,23015,2916448,55.53,2017,11,-0.00,Slight
TATAPOWER,EQ,2017-11-15,81.80,81.70,82.70,81.65,82.25,82.05,82.11,4310040,353910121.15,19188,2504439,58.11,2017,11,0.00,Slight
TATAPOWER,EQ,2017-11-16,82.05,82.40,85.25,82.40,85,84.80,84.29,9687109,816553154.50,46995,3935181,40.62,2017,11,0.03,Slight
TATAPOWER,EQ,2017-11-17,84.80,85.50,90.40,85.40,89.85,88.95,87.44,17486215,1528978494.20,42517,8781657,50.22,2017,11,0.05,Slight
TATAPOWER,EQ,2017-11-20,88.95,89,92.40,89,91.60,91.70,91.46,22268784,2036741337.95,61120,7851130,35.26,2017,11,0.03,Slight
TATAPOWER,EQ,2017-11-21,91.70,92.15,94.60,91.70,92.65,92.90,93.41,17274882,1613664650.55,64130,7453932,43.15,2017,11,0.01,Slight
TATAPOWER,EQ,2017-11-22,92.90,92.75,93.40,90.45,93.25,93.05,92.15,10917988,1006075470.15,33141,3930927,36,2017,11,0.00,Slight
TATAPOWER,EQ,2017-11-23,93.05,93.40,94.95,92.20,93.10,93.15,93.62,11289675,1056898891.45,40935,4019608,35.60,2017,11,0.00,Slight
