Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
ASHOKA,EQ,2017-05-15,210.35,211,217.50,206.15,216.30,216.05,212.63,159997,34020520.45,3506,88509,55.32,2017,5,0,Slight
ASHOKA,EQ,2017-05-16,216.05,212.30,216,211,214,214.90,213.24,213214,45466299.10,2860,151941,71.26,2017,5,-0.01,Slight
ASHOKA,EQ,2017-05-17,214.90,214.30,218.70,212.10,216.55,217,215.97,383131,82743402.10,3297,261939,68.37,2017,5,0.01,Slight
ASHOKA,EQ,2017-05-18,217,216,216.60,208,210,209.65,211.74,78709,16665707.55,1372,35458,45.05,2017,5,-0.03,Slight
ASHOKA,EQ,2017-05-19,209.65,212.10,213.90,205.05,206.05,206.25,209.95,398725,83713500.05,2060,301747,75.68,2017,5,-0.02,Slight
ASHOKA,EQ,2017-05-22,206.25,208.50,209.15,198.95,201.05,201.60,204.11,126516,25822846.35,2941,86762,68.58,2017,5,-0.02,Slight
ASHOKA,EQ,2017-05-23,201.60,205,205,192.85,196,197.65,197.09,97570,19229881.90,1844,53598,54.93,2017,5,-0.02,Slight
ASHOKA,EQ,2017-05-24,197.65,197.65,201.30,194.45,198,196,197.80,91289,18057305.10,2539,50139,54.92,2017,5,-0.01,Slight
ASHOKA,EQ,2017-05-25,196,200,202.75,197.10,199.90,199.55,199.91,97592,19510048.15,3595,23283,23.86,2017,5,0.02,Slight
ASHOKA,EQ,2017-05-26,199.55,199.95,203.90,198.70,199.90,199.90,200.24,137024,27437143,2379,89490,65.31,2017,5,0.00,Slight
ASHOKA,EQ,2017-05-29,199.90,200,203.85,198.50,201,200.05,200.33,59339,11887294,969,37367,62.97,2017,5,0.00,Slight
ASHOKA,EQ,2017-05-30,200.05,202.05,202.05,193,196,194.90,197.83,143106,28310528.90,1616,116345,81.30,2017,5,-0.03,Slight
ASHOKA,EQ,2017-05-31,194.90,196.95,198,188.60,191,190.35,193.14,164095,31694064.25,4195,114227,69.61,2017,5,-0.02,Slight
ASHOKA,EQ,2017-06-01,190.35,191.10,192.90,186.15,187.75,187.50,189.06,63366,11980171.75,1427,39893,62.96,2017,6,-0.01,Slight
ASHOKA,EQ,2017-06-02,187.50,188.20,193.50,188.20,190,190.25,190.46,88745,16902130.15,1947,47272,53.27,2017,6,0.01,Slight
ASHOKA,EQ,2017-06-05,190.25,190.35,194.50,190.35,191.60,192,192.94,558436,107743685.50,1894,528408,94.62,2017,6,0.01,Slight
ASHOKA,EQ,2017-06-06,192,192.25,193.70,185.10,188.20,187.60,188.63,95631,18039340.80,2803,52811,55.22,2017,6,-0.02,Slight
ASHOKA,EQ,2017-06-07,187.60,187.75,190.70,184.55,186,186.15,187.03,121724,22766203.45,1810,83650,68.72,2017,6,-0.01,Slight
ASHOKA,EQ,2017-06-08,186.15,186.20,189.90,184.40,185.40,186.25,186.87,134107,25061006.60,1821,99604,74.27,2017,6,0.00,Slight
ASHOKA,EQ,2017-06-09,186.25,187.70,187.70,184.45,184.65,185.05,185.07,265993,49227963.35,3412,235242,88.44,2017,6,-0.01,Slight
ASHOKA,EQ,2017-06-12,185.05,186,192.40,186,189.50,189.80,190.31,163046,31029704.25,3237,71308,43.73,2017,6,0.03,Slight
ASHOKA,EQ,2017-06-13,189.80,191.40,193.60,190.05,193,192.25,191.41,86024,16465818.30,2199,37099,43.13,2017,6,0.01,Slight
ASHOKA,EQ,2017-06-14,192.25,191.05,194.70,189.50,190.10,190.65,190.83,53418,10193668.40,1541,25441,47.63,2017,6,-0.01,Slight
ASHOKA,EQ,2017-06-15,190.65,190.15,194.35,186.65,192.10,190.55,191.75,79358,15216574.75,1695,44624,56.23,2017,6,-0.00,Slight
ASHOKA,EQ,2017-06-16,190.55,193.65,195.40,191.10,192,193.30,193.78,248739,48200383,2036,213584,85.87,2017,6,0.01,Slight
ASHOKA,EQ,2017-06-19,193.30,195.40,196.15,192.85,195.60,194.80,194.69,60229,11726166.15,1696,37615,62.45,2017,6,0.01,Slight
ASHOKA,EQ,2017-06-20,194.80,198,205,196.85,198.50,199.20,200.04,380970,76208565.30,5076,221832,58.23,2017,6,0.02,Slight
ASHOKA,EQ,2017-06-21,199.20,199.20,199.20,194.25,199,198.25,197.16,66151,13042336.65,1331,37384,56.51,2017,6,-0.00,Slight
ASHOKA,EQ,2017-06-22,198.25,198.85,198.95,190.60,191.15,191.55,193.37,94821,18335832.70,2415,64930,68.48,2017,6,-0.03,Slight
ASHOKA,EQ,2017-06-23,191.55,193.60,193.60,183,184.30,184.15,185.84,167822,31187968.55,4111,129874,77.39,2017,6,-0.04,Slight
ASHOKA,EQ,2017-06-27,184.15,184.20,186.60,180,183.10,182.75,182.46,59962,10940840.90,2091,37682,62.84,2017,6,-0.01,Slight
