Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
BAJAJELEC,EQ,2017-05-15,350.75,351.20,352.30,339.10,342,341.15,344.83,150265,51815366.05,2733,91705,61.03,2017,5,0,Slight
BAJAJELEC,EQ,2017-05-16,341.15,342.90,350.50,341.65,346.60,347,346.14,118849,41138046.60,2671,53340,44.88,2017,5,1.71,Positive
BAJAJELEC,EQ,2017-05-17,347,347.10,352,345.85,349.50,349.85,349.90,108592,37996454.75,2259,46366,42.70,2017,5,0.82,Slight positive
BAJAJELEC,EQ,2017-05-18,349.85,346.95,346.95,331.50,336,334.10,339.31,158652,53831647.20,3454,91087,57.41,2017,5,-4.50,Among top losers
BAJAJELEC,EQ,2017-05-19,334.10,339.05,344,332,335.50,336.20,338.64,129244,43767310.50,3097,47468,36.73,2017,5,0.63,Slight positive
BAJAJELEC,EQ,2017-05-22,336.20,338,339.95,297.40,313.20,313.25,315.99,436640,137973274.35,9573,128883,29.52,2017,5,-6.83,Among top losers
BAJAJELEC,EQ,2017-05-23,313.25,314,318.50,299.30,316.50,315.55,309.44,174457,53983977.45,4615,59422,34.06,2017,5,0.73,Slight positive
BAJAJELEC,EQ,2017-05-24,315.55,316,344,316,330,327.95,333.41,713070,237741133.50,11873,139627,19.58,2017,5,3.93,Among top gainers
BAJAJELEC,EQ,2017-05-25,327.95,329.95,348.50,327.05,347,346.20,343.29,527663,181142947.45,9390,169067,32.04,2017,5,5.56,Among top gainers
BAJAJELEC,EQ,2017-05-26,346.20,342.20,361.40,340,361.40,359.45,354.09,498356,176462146.85,13974,249504,50.07,2017,5,3.83,Among top gainers
BAJAJELEC,EQ,2017-05-29,359.45,361.65,363.70,342.10,350.05,348.70,353.31,1121276,396159339.40,22652,452341,40.34,2017,5,-2.99,Negative
BAJAJELEC,EQ,2017-05-30,348.70,347.05,348.70,339.75,343.15,342.85,343.25,82976,28481334.90,1904,32621,39.31,2017,5,-1.68,Negative
BAJAJELEC,EQ,2017-05-31,342.85,342.85,359.90,338.45,342,342.05,350.14,211629,74100129.55,4857,83582,39.49,2017,5,-0.23,Slight
BAJAJELEC,EQ,2017-06-01,342.05,342.50,348.30,340.50,342,341.45,344.58,72157,24863940.85,2851,28619,39.66,2017,6,-0.18,Slight
BAJAJELEC,EQ,2017-06-02,341.45,342.10,357.90,342.10,353,352.15,352.99,598382,211225493,12285,257155,42.98,2017,6,3.13,Among top gainers
BAJAJELEC,EQ,2017-06-05,352.15,355,362,352.30,358.10,357.60,358.78,423436,151919379.40,10184,130218,30.75,2017,6,1.55,Positive
BAJAJELEC,EQ,2017-06-06,357.60,360,360.90,354.60,358.30,357.65,358.34,173160,62049330.70,4249,84956,49.06,2017,6,0.01,Slight
BAJAJELEC,EQ,2017-06-07,357.65,360,367,355.25,357.75,357.90,363.73,578218,210313260.85,17732,213347,36.90,2017,6,0.07,Slight
BAJAJELEC,EQ,2017-06-08,357.90,359.95,361.65,355,357.55,356.50,358.26,102728,36803539.35,2038,31560,30.72,2017,6,-0.39,Slight
BAJAJELEC,EQ,2017-06-09,356.50,359.10,359.10,348.60,351,350,351.96,230990,81299942.50,2567,184465,79.86,2017,6,-1.82,Negative
BAJAJELEC,EQ,2017-06-12,350,350,354.65,345.50,348,348.45,349.51,115013,40198557.60,2442,53947,46.91,2017,6,-0.44,Slight
BAJAJELEC,EQ,2017-06-13,348.45,349,352,341.70,342.20,343.50,348.69,252957,88204622.75,4272,105494,41.70,2017,6,-1.42,Negative
BAJAJELEC,EQ,2017-06-14,343.50,345.80,351.45,343.05,350,349.30,348.12,149255,51959137.70,4861,66412,44.50,2017,6,1.69,Positive
BAJAJELEC,EQ,2017-06-15,349.30,350.80,351.60,344,346.15,345.60,347.80,97936,34062084.65,2290,32622,33.31,2017,6,-1.06,Negative
BAJAJELEC,EQ,2017-06-16,345.60,348,350,342.35,342.35,343.95,345.94,96898,33520958.20,2022,43843,45.25,2017,6,-0.48,Slight
BAJAJELEC,EQ,2017-06-19,343.95,343.35,349.80,343.35,347,346.80,347.35,89955,31246314.90,3496,44733,49.73,2017,6,0.83,Slight positive
BAJAJELEC,EQ,2017-06-20,346.80,347.95,348.80,340.10,342,341.40,344.37,112612,38780037.95,2437,63237,56.15,2017,6,-1.56,Negative
BAJAJELEC,EQ,2017-06-21,341.40,342,346,337.50,342,342.35,342.71,152251,52177888.10,2819,75333,49.48,2017,6,0.28,Slight
BAJAJELEC,EQ,2017-06-22,342.35,344,345.25,339.50,341,340,343.13,128392,44054888.90,1844,98274,76.54,2017,6,-0.69,Slight negative
BAJAJELEC,EQ,2017-06-23,340,339.80,342.40,327.60,328.40,328.40,332.68,105938,35242952.75,2462,53091,50.12,2017,6,-3.41,Among top losers
BAJAJELEC,EQ,2017-06-27,328.40,331.20,332.65,321.10,327.95,324.60,324.43,275083,89243922.40,4224,225904,82.12,2017,6,-1.16,Negative
BAJAJELEC,EQ,2017-06-28,324.60,325.95,333,324,324.20,325.05,329.11,115888,38140019,2826,77365,66.76,2017,6,0.14,Slight
BAJAJELEC,EQ,2017-06-29,325.05,327.80,334.95,325.25,333,331.80,331.31,176646,58524735.85,2832,106595,60.34,2017,6,2.08,Positive
BAJAJELEC,EQ,2017-06-30,331.80,331,331,325.05,327,326.75,327,72023,23551349.65,2960,31114,43.20,2017,6,-1.52,Negative
BAJAJELEC,EQ,2017-07-03,326.75,329.80,333,326.10,328.90,328.25,329.03,48154,15844239.70,1864,21126,43.87,2017,7,0.46,Slight
BAJAJELEC,EQ,2017-07-04,328.25,329.70,333,322.05,323.95,324.40,326.99,90969,29745995.10,3276,50326,55.32,2017,7,-1.17,Negative
BAJAJELEC,EQ,2017-07-05,324.40,324,326.10,319.65,322.30,321.30,322.93,106426,34367880.30,4962,63135,59.32,2017,7,-0.96,Slight negative
BAJAJELEC,EQ,2017-07-06,321.30,323.90,333,322.50,330.35,330.80,328.80,247795,81476065.20,9380,144081,58.15,2017,7,2.96,Positive
BAJAJELEC,EQ,2017-07-07,330.80,330,331,327.55,328,328.60,328.74,59102,19429020.60,2309,30130,50.98,2017,7,-0.67,Slight negative
BAJAJELEC,EQ,2017-07-10,328.60,335,335,325,332,330.70,331.21,18427,6103197.80,390,11908,64.62,2017,7,0.64,Slight positive
BAJAJELEC,EQ,2017-07-11,330.70,341.80,344.90,336.20,341,339.20,341.94,435283,148842508.95,11716,133457,30.66,2017,7,2.57,Positive
BAJAJELEC,EQ,2017-07-12,339.20,340.50,342.90,331,334.50,333.85,334.73,180975,60577081.90,5435,71170,39.33,2017,7,-1.58,Negative
BAJAJELEC,EQ,2017-07-13,333.85,336.15,337.70,326.10,331,330.50,331.92,165908,55067519.05,4316,96172,57.97,2017,7,-1.00,Negative
BAJAJELEC,EQ,2017-07-14,330.50,328.40,342.95,326.55,338.15,339.10,336.31,207006,69617768,4697,80807,39.04,2017,7,2.60,Positive
BAJAJELEC,EQ,2017-07-17,339.10,336.45,342,333,335,336.80,337.55,132901,44860150.50,3994,46318,34.85,2017,7,-0.68,Slight negative
BAJAJELEC,EQ,2017-07-18,336.80,335.90,339,328.55,332.70,332,334.52,137720,46070069.05,3474,52707,38.27,2017,7,-1.43,Negative
BAJAJELEC,EQ,2017-07-19,332,333,337.90,331.85,334.30,333.10,334.44,64873,21695938.20,2224,24436,37.67,2017,7,0.33,Slight
BAJAJELEC,EQ,2017-07-20,333.10,335.20,337.90,331.15,335.20,335.40,335.81,137738,46254332.40,2566,69866,50.72,2017,7,0.69,Slight positive
BAJAJELEC,EQ,2017-07-21,335.40,337.75,341,334,335.25,336.85,338.09,173055,58508213.65,5683,102522,59.24,2017,7,0.43,Slight
BAJAJELEC,EQ,2017-07-24,336.85,336.80,354,334.15,338.30,338.45,342.11,412440,141098187.60,5263,217224,52.67,2017,7,0.47,Slight
BAJAJELEC,EQ,2017-07-25,338.45,338.45,342,334.35,335.60,336.05,337.63,126278,42635715.35,2341,33566,26.58,2017,7,-0.71,Slight negative
BAJAJELEC,EQ,2017-07-26,336.05,335.60,341.70,335.60,341.20,340.65,339.75,76863,26114447.30,2029,47586,61.91,2017,7,1.37,Positive
BAJAJELEC,EQ,2017-07-27,340.65,340.10,344.55,336.80,338.05,339.15,340.44,157821,53729083.75,3465,116587,73.87,2017,7,-0.44,Slight
BAJAJELEC,EQ,2017-07-28,339.15,335.25,339.65,335,336.40,335.70,336.02,34289,11521781.80,967,15758,45.96,2017,7,-1.02,Negative
BAJAJELEC,EQ,2017-07-31,335.70,336,338,323.70,326,327.70,331.43,72669,24084402.70,1889,51340,70.65,2017,7,-2.38,Negative
BAJAJELEC,EQ,2017-08-01,327.70,327.90,330,321.30,322.80,323.05,325.71,78526,25576807.80,1668,53075,67.59,2017,8,-1.42,Negative
BAJAJELEC,EQ,2017-08-02,323.05,323.40,333,323,327.70,329,330.20,192198,63462932.45,3614,59523,30.97,2017,8,1.84,Positive
BAJAJELEC,EQ,2017-08-03,329,329.90,336,326.20,327,328.25,330.82,444329,146991657.45,8318,105055,23.64,2017,8,-0.23,Slight
BAJAJELEC,EQ,2017-08-04,328.25,325,330.70,321.50,325.70,325.90,326.63,77798,25411077.35,1989,26446,33.99,2017,8,-0.72,Slight negative
BAJAJELEC,EQ,2017-08-07,325.90,330.70,334.75,328.15,332.45,331.95,331.77,81490,27035999.40,1650,50666,62.17,2017,8,1.86,Positive
BAJAJELEC,EQ,2017-08-08,331.95,332.05,338.50,326,331,329.85,333.63,162378,54173726.90,2871,64647,39.81,2017,8,-0.63,Slight negative
BAJAJELEC,EQ,2017-08-09,329.85,329.85,330.70,316.70,317.90,319.95,324.83,67710,21993910.30,2595,48574,71.74,2017,8,-3.00,Among top losers
BAJAJELEC,EQ,2017-08-10,319.95,318.50,320.50,300,301,302.30,309.87,136908,42423718.10,4250,84804,61.94,2017,8,-5.52,Among top losers
BAJAJELEC,EQ,2017-08-11,302.30,300,314.25,295.20,306.70,306.70,306.74,142221,43624823.05,3614,38663,27.19,2017,8,1.46,Positive
BAJAJELEC,EQ,2017-08-14,306.70,312.70,320,299.95,303.75,304.75,306.37,415238,127218504.05,4321,343843,82.81,2017,8,-0.64,Slight negative
BAJAJELEC,EQ,2017-08-16,304.75,304.95,318,304.95,316.55,315.45,312.05,172277,53759719.35,3514,103105,59.85,2017,8,3.51,Among top gainers
BAJAJELEC,EQ,2017-08-17,315.45,315,330.40,315,329.15,328.90,324.62,179575,58293019.15,4882,72501,40.37,2017,8,4.26,Among top gainers
BAJAJELEC,EQ,2017-08-18,328.90,329,332.30,320.50,330,329.60,328.07,77872,25547112.10,2823,34471,44.27,2017,8,0.21,Slight
BAJAJELEC,EQ,2017-08-21,329.60,335.90,339,326,328,327.55,333.57,117727,39270027.95,3187,41030,34.85,2017,8,-0.62,Slight negative
BAJAJELEC,EQ,2017-08-22,327.55,329.90,334.70,325.10,334.10,333.30,330.35,73761,24366960.90,4297,33848,45.89,2017,8,1.76,Positive
BAJAJELEC,EQ,2017-08-23,333.30,339.70,351.05,336,339,339.50,343.02,375455,128787576.30,7953,123517,32.90,2017,8,1.86,Positive
BAJAJELEC,EQ,2017-08-24,339.50,337,349.75,337,339,340.20,342.46,246156,84298063.20,5108,60968,24.77,2017,8,0.21,Slight
BAJAJELEC,EQ,2017-08-28,340.20,340.50,345,335.70,344.95,340.90,341.47,128149,43759325.75,2922,71246,55.60,2017,8,0.21,Slight
BAJAJELEC,EQ,2017-08-29,340.90,340.60,342.70,334.40,337,337.10,338.28,186304,63023219.55,5304,78543,42.16,2017,8,-1.11,Negative
BAJAJELEC,EQ,2017-08-30,337.10,339.65,343.50,336.10,342.90,342.15,340.38,120624,41058569.85,1839,67034,55.57,2017,8,1.50,Positive
BAJAJELEC,EQ,2017-08-31,342.15,343.80,353.90,340,347.75,348.10,349.75,561209,196280055.45,10583,183128,32.63,2017,8,1.74,Positive
BAJAJELEC,EQ,2017-09-01,348.10,349.90,352.80,340.55,342,341.80,346.47,100762,34911184.90,2771,41505,41.19,2017,9,-1.81,Negative
BAJAJELEC,EQ,2017-09-04,341.80,342.25,348.90,340.05,345.10,345.40,345.02,167065,57641345.90,3136,64590,38.66,2017,9,1.05,Positive
BAJAJELEC,EQ,2017-09-05,345.40,345.20,347.50,342.10,345,343.80,344.67,54173,18671924.35,1525,24964,46.08,2017,9,-0.46,Slight
BAJAJELEC,EQ,2017-09-06,343.80,344.50,345.05,339.05,344.50,343.45,342.75,48799,16725972.70,1345,24905,51.04,2017,9,-0.10,Slight
BAJAJELEC,EQ,2017-09-07,343.45,345,349.15,337.35,341,339.70,344.39,128424,44228168.10,3847,81675,63.60,2017,9,-1.09,Negative
BAJAJELEC,EQ,2017-09-08,339.70,341,347.70,338.40,345.80,345.80,343.27,99784,34253135.75,3534,45091,45.19,2017,9,1.80,Positive
BAJAJELEC,EQ,2017-09-11,345.80,345.90,371.65,344.75,368,367.85,364.67,1034235,377150611.85,16044,296675,28.69,2017,9,6.38,Among top gainers
BAJAJELEC,EQ,2017-09-12,367.85,371.40,381,369.15,379,377.75,375.79,665611,250131979.20,12293,315838,47.45,2017,9,2.69,Positive
BAJAJELEC,EQ,2017-09-13,377.75,379.50,379.95,371,372.30,372.80,373.78,148740,55595958.50,5225,77751,52.27,2017,9,-1.31,Negative
BAJAJELEC,EQ,2017-09-14,372.80,376,407.95,373.30,407,402.85,392.99,1280600,503258331.55,22090,332816,25.99,2017,9,8.06,Bull run
BAJAJELEC,EQ,2017-09-15,402.85,404,411,386.60,390,389.60,399.01,677723,270420281.65,12136,194642,28.72,2017,9,-3.29,Among top losers
BAJAJELEC,EQ,2017-09-18,389.60,393.15,411.60,391,402.60,401.60,403.86,829650,335059960.50,12894,216883,26.14,2017,9,3.08,Among top gainers
BAJAJELEC,EQ,2017-09-19,401.60,404.60,406.35,387.25,388.95,389.30,396.85,296643,117723372.60,6864,131822,44.44,2017,9,-3.06,Among top losers
BAJAJELEC,EQ,2017-09-20,389.30,392.05,396.85,378.15,381,382.85,387.53,210706,81654935,5020,79739,37.84,2017,9,-1.66,Negative
BAJAJELEC,EQ,2017-09-21,382.85,387.70,391.80,375,376.95,376.60,382.51,394776,151007498.70,10829,154600,39.16,2017,9,-1.63,Negative
BAJAJELEC,EQ,2017-09-22,376.60,376.20,396.65,369.30,372.70,373.35,385.91,771125,297587650.10,14895,163828,21.25,2017,9,-0.86,Slight negative
BAJAJELEC,EQ,2017-09-25,373.35,374,374.50,341,357.35,357.75,352.65,343925,121286063.95,9064,119106,34.63,2017,9,-4.18,Among top losers
BAJAJELEC,EQ,2017-09-26,357.75,359.70,368,352.40,356.90,358.45,359.49,309944,111420727.85,10846,130317,42.05,2017,9,0.20,Slight
BAJAJELEC,EQ,2017-09-27,358.45,360,374.90,352.10,357,355.30,364.69,497563,181456970,9565,108216,21.75,2017,9,-0.88,Slight negative
BAJAJELEC,EQ,2017-09-28,355.30,357.60,363.20,352.25,355,357,358.25,134813,48296317.10,3406,34239,25.40,2017,9,0.48,Slight
BAJAJELEC,EQ,2017-09-29,357,358.90,362.45,350.30,352,353.05,356.71,136218,48590373.15,3504,48498,35.60,2017,9,-1.11,Negative
BAJAJELEC,EQ,2017-10-03,353.05,357.40,370.30,352.50,363.70,362.85,364.62,404047,147321735.10,8090,77023,19.06,2017,10,2.78,Positive
