Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
BOMDYEING,EQ,2017-05-15,83,83.15,83.75,81.90,82.15,82.20,82.57,1553427,128260940.65,8074,479867,30.89,2017,5,0,Slight
BOMDYEING,EQ,2017-05-16,82.20,81.90,84,81.75,83.80,83.40,82.88,2149649,178160638.50,9804,561852,26.14,2017,5,1.46,Positive
BOMDYEING,EQ,2017-05-17,83.40,82.55,83.80,82.05,82.25,82.25,82.71,1267468,104835445.55,7220,395417,31.20,2017,5,-1.38,Negative
BOMDYEING,EQ,2017-05-18,82.25,80.85,81.85,78.55,78.90,78.95,80.30,1156424,92865679.10,7001,538431,46.56,2017,5,-4.01,Among top losers
BOMDYEING,EQ,2017-05-19,78.95,79.75,80.35,76.35,77.30,77.15,78.07,1444416,112771641.50,7588,518874,35.92,2017,5,-2.28,Negative
BOMDYEING,EQ,2017-05-22,77.15,76.50,77.55,73.65,74,74,75.88,1104857,83832213.75,7459,418671,37.89,2017,5,-4.08,Among top losers
BOMDYEING,EQ,2017-05-23,74,73.50,74.25,68.50,70.10,70.45,70.86,1943788,137732634,9539,545391,28.06,2017,5,-4.80,Among top losers
BOMDYEING,EQ,2017-05-24,70.45,68.65,70.15,66.30,67.30,66.95,68.15,1897802,129330437.75,9297,700948,36.93,2017,5,-4.97,Among top losers
BOMDYEING,EQ,2017-05-25,66.95,67.85,70.45,67.50,70.20,69.85,68.98,1161153,80100339.50,7276,386944,33.32,2017,5,4.33,Among top gainers
BOMDYEING,EQ,2017-05-26,69.85,70.20,73.75,69.90,73.75,73,72.03,1691870,121863387.15,8618,519995,30.73,2017,5,4.51,Among top gainers
BOMDYEING,EQ,2017-05-29,73,73.40,73.90,70,70.45,70.50,71.88,1343625,96584796.50,7788,495425,36.87,2017,5,-3.42,Among top losers
BOMDYEING,EQ,2017-05-30,70.50,69.80,72.35,68.65,71.90,71.80,70.77,984550,69674546.40,6605,256820,26.09,2017,5,1.84,Positive
BOMDYEING,EQ,2017-05-31,71.80,71.30,72.60,70.50,71.25,71.35,71.65,919733,65895538.60,5296,305972,33.27,2017,5,-0.63,Slight negative
BOMDYEING,EQ,2017-06-01,71.35,70.70,72.75,70.60,70.80,70.95,71.49,747866,53463402.20,5013,255044,34.10,2017,6,-0.56,Slight negative
BOMDYEING,EQ,2017-06-02,70.95,71.40,72,69.55,69.90,69.95,70.83,1546778,109563375.55,6619,488708,31.60,2017,6,-1.41,Negative
BOMDYEING,EQ,2017-06-05,69.95,70.15,77.80,70.10,76.75,76.65,75.32,5748721,432969142.25,26488,1657954,28.84,2017,6,9.58,Bull run
