Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
GUJALKALI,EQ,2017-05-15,456.10,456.70,464.80,455.10,456.55,457.35,460.06,60405,27789977.35,2243,29828,49.38,2017,5,0,Slight
GUJALKALI,EQ,2017-05-16,457.35,459,459,455,455,455.25,455.49,32471,14790098.85,2258,23153,71.30,2017,5,-0.46,Slight
GUJALKALI,EQ,2017-05-17,455.25,457.05,476.40,455.25,474,472.65,468.70,145701,68289878.85,3612,81294,55.80,2017,5,3.82,Among top gainers
GUJALKALI,EQ,2017-05-18,472.65,465,474,461.50,461.50,461.85,464.49,64087,29767587.35,2295,36631,57.16,2017,5,-2.28,Negative
GUJALKALI,EQ,2017-05-19,461.85,466.70,466.75,455,455,455.35,459.99,51272,23584654.65,1359,34417,67.13,2017,5,-1.41,Negative
GUJALKALI,EQ,2017-05-22,455.35,458.50,459.75,454,455,455.25,455.42,78001,35523472.05,1975,65876,84.46,2017,5,-0.02,Slight
GUJALKALI,EQ,2017-05-23,455.25,455.05,457.05,432,432.95,435.15,442.90,186681,82680867.90,3826,144436,77.37,2017,5,-4.42,Among top losers
GUJALKALI,EQ,2017-05-24,435.15,439,445.90,428.50,443.45,440.50,435.65,66041,28770884.95,1895,40932,61.98,2017,5,1.23,Positive
GUJALKALI,EQ,2017-05-25,440.50,443.25,448.90,440,441,443.15,444.19,46811,20793075.20,1448,23034,49.21,2017,5,0.60,Slight positive
GUJALKALI,EQ,2017-05-26,443.15,441.50,450,411.95,430.60,426.20,436.03,327961,143001677.60,7013,105167,32.07,2017,5,-3.82,Among top losers
GUJALKALI,EQ,2017-05-29,426.20,426.55,428.10,406.25,411.65,410.70,415.47,120012,49860831.35,3077,71764,59.80,2017,5,-3.64,Among top losers
