Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
IRCON,EQ,2018-09-28,475,412,465,409.10,412.95,415.30,436.73,5675479,2478674414.20,182952,1617374,28.50,2018,9,0,Slight
IRCON,EQ,2018-10-01,415.30,418.10,434.85,406.60,428.25,427,419.97,624624,262323344.65,20363,148088,23.71,2018,10,2.82,Positive
IRCON,EQ,2018-10-03,427,431.35,437.85,418.55,419.05,421.40,427.59,279765,119625810.90,9172,110748,39.59,2018,10,-1.31,Negative
IRCON,EQ,2018-10-04,421.40,419,419,404,405.45,407.10,410.83,232364,95462083.70,10440,111715,48.08,2018,10,-3.39,Among top losers
IRCON,EQ,2018-10-05,407.10,407,409.10,388.30,397.95,399.80,396.40,373530,148067647.05,9636,203317,54.43,2018,10,-1.79,Negative
IRCON,EQ,2018-10-08,399.80,398,400,380,380.90,382.05,390.29,134318,52423470.30,5565,52484,39.07,2018,10,-4.44,Among top losers
IRCON,EQ,2018-10-09,382.05,382.50,386.25,355,363.20,363.65,367.64,251694,92532166.75,7718,103145,40.98,2018,10,-4.82,Among top losers
IRCON,EQ,2018-10-10,363.65,367,384.40,356.70,365.80,365.05,366.37,682482,250043646.20,13613,323172,47.35,2018,10,0.38,Slight
IRCON,EQ,2018-10-11,365.05,359.80,373.10,350.05,360.05,360.95,364.06,191987,69894994,5894,75420,39.28,2018,10,-1.12,Negative
IRCON,EQ,2018-10-12,360.95,371,373.40,362.10,368,368,368.49,258969,95428123.50,15564,162837,62.88,2018,10,1.95,Positive
IRCON,EQ,2018-10-15,368,374,378.80,368.55,375.75,375.40,373.44,228108,85184517.70,14338,117217,51.39,2018,10,2.01,Positive
IRCON,EQ,2018-10-16,375.40,378.40,392,372,378,379.40,380.91,234268,89234387.15,8717,97125,41.46,2018,10,1.07,Positive
IRCON,EQ,2018-10-17,379.40,384.80,384.80,365.60,367,367.60,374.28,109997,41169398.15,6052,51024,46.39,2018,10,-3.11,Among top losers
IRCON,EQ,2018-10-19,367.60,367.10,367.10,360,362.50,361.75,362.49,59494,21565694.45,2294,25445,42.77,2018,10,-1.59,Negative
